,date,open,high,low,close,volume
0,2020-10-12,4.68282,4.73793,4.68282,4.72523,1198.2099999999994
1,2020-10-13,4.72288,4.7342,4.67844,4.68466,3572.399999999998
2,2020-10-14,4.68046,4.71825,4.66169,4.66169,1930.5600000000002
3,2020-10-15,4.64284,4.6508,4.60467,4.62205,8.749999999999998
4,2020-10-16,4.37281,4.48354,4.37281,4.4512,31.759999999999998
5,2020-10-17,4.40141,4.41222,4.24222,4.24222,84.22
6,2020-10-18,4.31478,4.44536,4.31478,4.44536,19.14
7,2020-10-19,4.34587,4.40082,4.34587,4.40082,0.14
8,2020-10-20,4.37101,4.4,4.3573,4.3573,18.970000000000002
9,2020-10-21,4.3573,4.51378,4.3573,4.46526,4210.66
10,2020-10-22,4.45605,4.56078,4.39999,4.54625,2391.9900000000016
11,2020-10-23,4.53163,4.55413,4.40034,4.48091,2510.1999999999994
12,2020-10-24,4.4825,4.49771,4.45095,4.49189,1176.3099999999995
13,2020-10-25,4.48881,4.49666,4.38705,4.4179,1700.609999999997
14,2020-10-26,4.41293,4.46806,4.3524,4.40465,1477.3100000000002
15,2020-10-27,4.40126,4.41944,4.29305,4.30969,159.28000000000003
16,2020-10-28,4.2893,4.2893,4.18065,4.18065,25.220000000000006
17,2020-10-29,4.22964,4.27659,4.22964,4.24359,25.09
18,2020-10-30,4.17777,4.17777,4.08054,4.09975,12.459999999999999
19,2020-10-31,4.0484,4.22196,3.95951,4.22196,12082.88
20,2020-11-01,4.2,4.2,4.1448,4.1448,59.72
21,2020-11-02,4.1678,4.1678,3.6363,3.81424,1274.7499999999998
22,2020-11-03,3.73636,3.73636,3.60545,3.6616,111.66
23,2020-11-04,3.61345,3.64175,3.38496,3.5298,124.02
24,2020-11-05,3.6044,3.6791,3.4886,3.6186,83.54
25,2020-11-06,3.5947,3.79145,3.5947,3.79145,695.4200000000001
26,2020-11-07,3.86768,3.86768,3.65866,3.77945,2719.7900000000004
27,2020-11-08,3.70945,3.78789,3.7085,3.76277,92.55000000000003
28,2020-11-09,3.78319,3.78323,3.69615,3.74038,22.0
29,2020-11-10,3.72281,3.72281,3.6453,3.68957,105.03000000000002
30,2020-11-12,3.65354,3.65354,3.65354,3.65354,0.05
31,2020-11-13,3.6348,3.67489,3.6348,3.64388,160.14999999999995
32,2020-11-14,3.65098,3.65098,3.61005,3.61005,100.02
33,2020-11-15,3.6,3.61467,3.6,3.61467,310.21
34,2020-11-16,3.61045,3.62795,3.54771,3.54771,234.92000000000002
35,2020-11-17,3.56175,3.72572,3.56175,3.69955,704.2999999999998
36,2020-11-18,3.75191,3.83262,3.64535,3.80835,635.2
37,2020-11-19,3.82007,4.1652,3.82007,4.1652,205.73
38,2020-11-20,4.2,4.27661,4.18973,4.25266,3.739999999999999
39,2020-11-21,4.1689,4.3302,4.1689,4.3302,26.58
40,2020-11-22,4.19995,4.2839,4.10005,4.2839,188.07000000000002
41,2020-11-23,4.27878,4.3614,4.23438,4.23438,23.990000000000002
42,2020-11-24,4.39393,4.5417,4.3332,4.42217,5233.350000000006
43,2020-11-25,4.42811,4.46722,4.16568,4.16568,1748.1300000000003
44,2020-11-26,4.1482,4.19793,3.8343,4.04268,19523.049999999967
45,2020-11-27,4.05815,4.08225,3.95765,4.05062,777.6599999999999
46,2020-11-28,4.08705,4.09324,4.08705,4.09324,10.9
47,2020-11-29,4.09478,4.09478,4.05962,4.066,353.69000000000005
48,2020-11-30,4.0787,4.19218,4.0787,4.14735,932.6700000000001
49,2020-12-01,4.14651,4.18533,3.95315,3.9945,1418.5999999999995
50,2020-12-02,4.01595,4.03875,3.9497,3.98805,782.99
51,2020-12-03,3.97636,3.97719,3.97309,3.97654,1.46
52,2020-12-04,3.9644,3.9644,3.85015,3.85015,369.65999999999997
53,2020-12-06,3.90595,3.91226,3.90595,3.91226,1.08
54,2020-12-07,3.93148,3.93148,3.92177,3.92177,48.36
55,2020-12-08,4.003,4.17885,3.96605,4.17885,2634.629999999999
56,2020-12-09,4.05,4.05,4.02727,4.02727,32.15
57,2020-12-10,4.12375,4.12375,3.99991,3.99992,232.72000000000003
58,2020-12-11,3.89669,3.89669,3.89669,3.89669,0.75
59,2020-12-12,4.00518,4.00518,4.00518,4.00518,5.19
60,2020-12-14,3.96307,3.97569,3.92925,3.92925,0.89
61,2020-12-15,3.91999,3.91999,3.91999,3.91999,0.01
62,2020-12-16,3.89665,4.08178,3.89665,4.08018,430.36
63,2020-12-17,4.0667,4.12259,4.04419,4.09645,416.40999999999997
64,2020-12-18,3.99165,4.08805,3.98746,4.05117,253.92000000000002
65,2020-12-19,4.05482,4.52598,4.05482,4.4,1114.1399999999999
66,2020-12-20,4.26889,4.26889,3.84848,4.09205,7079.9400000000005
67,2020-12-21,4.18008,4.19881,4.00485,4.06996,3340.07
68,2020-12-22,4.0355,4.16345,4.0355,4.16258,270.76000000000005
69,2020-12-23,3.99418,4.16257,3.91495,3.94964,7.029999999999999
70,2020-12-24,3.93234,3.98966,3.92605,3.98966,37.43
71,2020-12-25,4.00355,4.04542,4.0023,4.0257,80.28
72,2020-12-26,4.04192,4.16036,4.02275,4.16036,140.4
73,2020-12-27,4.09744,4.16036,3.9517,4.01325,433.1500000000001
74,2020-12-28,4.0185,4.26245,4.0185,4.21812,8077.909999999999
75,2020-12-29,4.19761,4.30367,4.19761,4.29107,2293.48
76,2020-12-30,4.34311,4.39011,4.26278,4.28668,51.52
77,2020-12-31,4.29997,4.3639,4.29997,4.3639,11.03
78,2021-01-01,4.3758,5.08212,4.3758,5.08212,14744.960000000001
