,date,open,high,low,close,volume
0,2022-01-03,24.182,25.052,22.384,24.11,3757.009444670001
1,2022-01-04,24.391,24.399,22.002,22.084,7295.213005959998
2,2022-01-05,22.183,23.085,16.753,18.205,11201.342971799993
3,2022-01-06,19.729,19.735,16.002,16.396,8313.37944225
4,2022-01-07,17.066,17.066,14.355,14.867,8932.548941529998
5,2022-01-08,14.7,16.642,13.242,14.043,4036.215582350002
6,2022-01-09,14.296,16.29,13.475,14.5,1229.97519258
7,2022-01-10,15.192,15.779,12.633,14.059,3570.9457773499985
8,2022-01-11,14.641,15.741,13.2,15.741,3906.28777559
9,2022-01-12,15.741,19.482,15.5,19.444,2290.8042122199995
10,2022-01-13,19.228,23.197,17.696,20.346,15650.05120668
11,2022-01-14,20.389,25.0,19.294,20.057,6665.604176250001
12,2022-01-15,20.001,21.125,17.208,18.04,2899.2128951899995
13,2022-01-16,18.851,20.029,17.964,19.7,1881.3162859899999
14,2022-01-17,19.7,20.029,15.687,15.687,2182.42158771
15,2022-01-18,15.91,16.8,13.51,15.231,10697.283313780003
16,2022-01-19,15.312,15.674,13.212,14.444,11161.707384000007
17,2022-01-20,13.84,15.333,13.2,13.238,7748.633471509994
18,2022-01-21,13.201,13.949,9.6341,10.277,19714.470655919984
19,2022-01-22,10.276,11.4,7.718,9.44,24891.074654509994
20,2022-01-23,10.99,11.06,9.1452,9.6434,8956.125310469994
21,2022-01-24,9.9359,10.466,7.05,8.05,23921.73576285001
22,2022-01-25,8.05,9.959,8.0098,8.7699,3789.5233879800007
23,2022-01-26,8.77,8.77,6.745,7.2619,26105.66110254001
24,2022-01-27,7.2479,7.3,3.7011,3.814,43387.74198114991
25,2022-01-28,3.7103,6.0727,3.67,5.1105,47533.30899642999
26,2022-01-29,5.1105,6.3999,5.0855,6.1215,11674.628325350002
27,2022-01-30,6.1215,7.25,5.1072,5.5573,20042.472788639985
28,2022-01-31,5.5573,5.9461,4.7,5.6202,7952.315256640008
29,2022-02-01,5.6629,5.7915,5.19,5.23,8597.384177670001
30,2022-02-02,5.23,5.23,4.0633,4.2617,9728.886149200005
31,2022-02-03,4.3998,4.5871,4.1,4.2454,7675.650903000007
32,2022-02-04,4.2438,5.0422,3.9774,4.8821,12579.83078870001
33,2022-02-05,4.9,5.3391,4.1126,4.7993,10165.00517451999
34,2022-02-06,4.799,4.7999,4.3,4.453,5096.520664280002
35,2022-02-07,4.4338,4.9812,4.2347,4.5531,12486.755635559992
36,2022-02-08,4.553,4.7987,4.41,4.4742,13787.399269470001
37,2022-02-09,4.4742,4.6394,4.07,4.07,23919.76780023
38,2022-02-10,4.07,4.3738,3.5324,3.6983,36776.20035805999
39,2022-02-11,3.7034,3.9189,3.0864,3.2423,9263.41304132
40,2022-02-12,3.2421,3.2999,2.89,3.1173,19148.768017959996
41,2022-02-13,3.1171,3.1737,2.7131,3.0012,11885.825208140004
42,2022-02-14,3.0008,3.0942,2.6301,2.7552,10164.444269969987
43,2022-02-15,2.8571,3.663,2.7531,3.6227,13085.316442629995
44,2022-02-16,3.6208,3.7888,3.4152,3.7888,8356.157342650004
45,2022-02-17,3.7888,3.9189,3.3019,3.3798,24249.741748750002
46,2022-02-18,3.3798,3.4693,3.0302,3.4228,20613.146311779994
47,2022-02-19,3.4228,3.5415,3.1924,3.302,6686.315162609996
48,2022-02-20,3.302,3.4439,2.9793,3.0941,7246.026614649999
49,2022-02-21,3.0941,3.424,2.984,3.0267,8507.770836569982
50,2022-02-22,3.0267,3.1269,2.6967,2.8238,11194.75866451001
51,2022-02-23,2.8907,3.0943,2.8002,2.9,7818.503388449992
52,2022-02-24,2.9,2.9761,2.1152,2.5166,33467.29347442002
53,2022-02-25,2.5147,2.7962,2.4712,2.6783,10971.075647189993
54,2022-02-26,2.6781,2.7962,2.5999,2.7117,2255.519424559999
55,2022-02-27,2.6415,2.71,2.2925,2.2925,7013.745138079995
56,2022-02-28,2.2925,2.4107,2.1454,2.2702,19449.99250551
57,2022-03-01,2.2702,2.5181,2.222,2.3412,14557.349670939995
58,2022-03-02,2.2868,2.4278,2.2,2.3607,5623.439282640008
59,2022-03-03,2.3609,2.4697,2.2,2.2001,7650.339801609997
60,2022-03-04,2.2001,2.3193,2.014,2.084,14945.905620489999
61,2022-03-05,2.019,2.0838,2.01,2.0111,3569.7358993200014
62,2022-03-06,2.0593,2.0973,1.63,1.7538,24143.827710019985
63,2022-03-07,1.7471,1.836,1.511,1.525,17787.548430130013
64,2022-03-08,1.5683,1.6199,1.51,1.5102,10676.574242790006
65,2022-03-09,1.5102,1.6835,1.51,1.61,20386.83476127
66,2022-03-10,1.61,1.651,1.4001,1.4431,7886.7013664800015
67,2022-03-11,1.4434,1.4734,1.26,1.2631,29301.819267539926
68,2022-03-12,1.2627,1.3558,1.2603,1.2919,5996.430590749999
69,2022-03-13,1.2913,1.3356,1.25,1.25,3730.581761350004
70,2022-03-14,1.25,1.2626,1.18,1.1809,36660.73956526005
71,2022-03-15,1.1811,1.4749,1.1731,1.39,20622.98906398
72,2022-03-16,1.39,2.6076,1.39,2.4881,45814.25437289001
73,2022-03-17,2.4881,3.2004,2.4283,2.6127,19086.74535270001
74,2022-03-18,2.6129,2.8923,2.4986,2.7262,20596.559549920014
75,2022-03-19,2.7251,2.7963,2.6042,2.6085,2560.2921379699997
76,2022-03-20,2.6063,2.6769,2.2356,2.3183,7840.392211310002
77,2022-03-21,2.3189,2.402,2.13,2.353,12389.483733519999
78,2022-03-22,2.2725,2.518,2.2704,2.3598,5799.942299069999
79,2022-03-23,2.36,2.4412,2.161,2.17,4116.484600150002
80,2022-03-24,2.1617,2.3696,2.1352,2.2023,8699.118995039997
81,2022-03-25,2.2023,2.3224,2.0487,2.0621,6269.802583180002
82,2022-03-26,2.0656,2.223,1.999,2.08,2682.3606227100004
83,2022-03-27,2.08,2.4075,2.0352,2.2,6845.561541109997
84,2022-03-28,2.1635,2.5526,2.1635,2.4152,5751.720696630001
85,2022-03-29,2.3802,2.4803,2.2667,2.3732,4847.294431939993
86,2022-03-30,2.3723,2.42,2.192,2.2127,7615.5600667399995
87,2022-03-31,2.2593,2.2894,2.194,2.2115,2751.9737496099974
88,2022-04-01,2.194,2.25,2.1021,2.1862,2112.5666457400016
89,2022-04-02,2.1866,2.3271,2.0434,2.0435,8720.045729579999
90,2022-04-03,2.0435,2.175,2.01,2.0745,3951.247489519996
91,2022-04-04,2.0745,2.25,2.02,2.1002,2982.2854266399995
92,2022-04-05,2.1002,2.1562,2.02,2.02,2288.4749905299996
93,2022-04-06,2.02,2.0802,1.75,1.752,8880.130928609999
94,2022-04-07,1.752,1.8916,1.75,1.7913,3200.2431256099994
95,2022-04-08,1.7655,1.8478,1.7611,1.8,2197.3750433399996
96,2022-04-09,1.8,1.953,1.7036,1.8144,3153.6398330099923
97,2022-04-10,1.8565,1.9931,1.818,1.9226,4133.704333399998
98,2022-04-11,1.9228,1.9914,1.6107,1.6133,2269.638883590004
99,2022-04-12,1.6578,1.8617,1.6098,1.6801,2378.099475569998
100,2022-04-13,1.6803,1.844,1.6651,1.8141,2130.8834846100012
101,2022-04-14,1.7901,1.8474,1.6991,1.7501,5119.0821980199935
102,2022-04-15,1.7501,1.9606,1.6572,1.8421,3860.1019864100017
103,2022-04-16,1.8421,1.9843,1.8002,1.966,2197.3616756799993
104,2022-04-17,1.9658,2.0887,1.8905,1.9575,2263.547734900002
105,2022-04-18,1.9585,2.0611,1.845,1.9762,3204.5607907100016
106,2022-04-19,1.8854,2.1506,1.8048,2.0305,5131.209540999991
107,2022-04-20,2.0304,2.1982,2.0301,2.1329,8772.660206259989
108,2022-04-21,2.1329,2.3431,1.9905,1.9912,5878.279570750004
109,2022-04-22,1.9914,2.0517,1.9192,1.9424,2547.0228308299957
110,2022-04-23,1.9416,2.0466,1.9237,1.9358,2029.8806301899979
111,2022-04-24,1.936,2.2539,1.9002,2.0882,2434.377932329999
112,2022-04-25,2.089,2.1461,1.8501,1.9635,2619.9244881
113,2022-04-26,1.9646,2.0551,1.8501,1.8502,2417.1295568100018
114,2022-04-27,1.8502,1.9339,1.789,1.8366,4220.849762160004
115,2022-04-28,1.7892,2.0005,1.74,1.7407,5523.917724889996
116,2022-04-29,1.74,1.7549,1.4192,1.5062,13413.26460912
117,2022-04-30,1.4623,1.5164,1.1311,1.1499,7135.947959580007
118,2022-05-01,1.1501,1.3094,1.0788,1.2303,3922.487864380003
119,2022-05-02,1.2309,1.4573,1.2252,1.4211,2371.2200447499995
120,2022-05-03,1.3729,1.4871,1.339,1.3617,5855.674507739998
