,date,open,high,low,close,volume
0,2021-05-10,630.0,630.0,250.319,426.982,548404.3226999996
1,2021-05-11,426.983,491.0,336.098,363.824,1197139.3905000347
2,2021-05-12,363.451,388.624,254.012,256.104,725388.7543000053
3,2021-05-13,255.751,348.032,251.0,301.448,558101.3443999962
4,2021-05-14,301.232,343.0,292.452,304.559,347363.0799999981
5,2021-05-15,304.559,305.694,237.0,246.22,390205.88639999187
6,2021-05-16,246.22,263.623,204.705,225.2,341983.5097999938
7,2021-05-17,225.2,225.515,185.12,195.965,412207.99909999914
8,2021-05-18,196.758,205.999,160.5,163.865,562182.8799999986
9,2021-05-19,163.694,179.948,88.14,122.859,1337198.5511000326
10,2021-05-20,123.283,223.0,103.549,164.508,1978371.5230000447
11,2021-05-21,164.027,186.549,120.0,146.106,1239734.7172
12,2021-05-22,146.073,168.7,125.018,146.29,602348.0677000125
13,2021-05-23,146.036,165.5,120.0,144.0,766960.9803000009
14,2021-05-24,144.0,164.0,135.632,147.999,883249.4495999932
15,2021-05-25,147.652,157.137,123.623,134.201,749400.5217000067
16,2021-05-26,134.2,152.583,131.793,142.893,659287.9388000021
17,2021-05-27,142.893,145.95,129.888,132.221,471228.0025000076
18,2021-05-28,132.346,132.998,110.0,115.816,583422.8082000023
19,2021-05-29,115.671,120.0,105.721,110.839,430876.4273000102
20,2021-05-30,110.907,118.841,104.455,112.0,365132.1417000054
21,2021-05-31,111.903,115.524,105.011,114.804,368517.222500002
22,2021-06-01,114.68,117.0,106.0,107.531,345411.006900006
23,2021-06-02,107.533,112.999,102.04,107.844,481204.9182000087
24,2021-06-03,107.928,137.352,105.15,124.574,724551.2284000163
25,2021-06-04,124.6,124.977,105.151,108.801,561772.9424000098
26,2021-06-05,108.779,116.1,100.001,104.663,322774.9264999937
27,2021-06-06,104.511,110.0,102.612,104.411,294365.07550000254
28,2021-06-07,104.438,106.754,88.875,91.379,515170.2375000053
29,2021-06-08,91.321,94.799,77.0,81.421,998243.3664000313
30,2021-06-09,81.401,88.96,77.126,81.503,851598.4784999808
31,2021-06-10,81.524,84.0,65.657,66.48,1256157.3756999688
32,2021-06-11,66.5,72.497,56.105,58.45,1395067.5283999855
33,2021-06-12,58.45,67.75,53.01,61.154,1250801.3142999124
34,2021-06-13,61.079,66.451,57.057,64.366,817530.0546000109
35,2021-06-14,64.48,70.8,61.855,66.655,796389.6248000041
36,2021-06-15,66.686,68.866,58.626,60.395,937667.8414000582
37,2021-06-16,60.341,60.488,54.703,55.354,904493.2693000826
38,2021-06-17,55.338,60.484,51.08,54.113,868626.5926000619
39,2021-06-18,54.114,55.476,47.0,48.513,870143.8916000339
40,2021-06-19,48.514,54.97,46.327,48.64,988132.534500047
41,2021-06-20,48.635,50.652,44.237,47.101,861878.8932000087
42,2021-06-21,47.155,47.57,36.214,36.632,1340107.257299946
43,2021-06-22,36.624,40.137,31.938,34.507,1508520.049800022
