,date,open,high,low,close,volume
0,2022-04-12,1.74,1.882,1.709,1.838,5732820.2899999805
1,2022-04-13,1.84,1.875,1.732,1.858,4351943.270000007
2,2022-04-14,1.86,1.933,1.762,1.801,4186805.460000001
3,2022-04-15,1.804,1.832,1.734,1.787,2569538.969999987
4,2022-04-16,1.79,1.86,1.755,1.857,3653556.750000012
5,2022-04-17,1.86,1.869,1.707,1.729,3008520.769999998
6,2022-04-18,1.724,1.768,1.575,1.751,5318536.010000033
7,2022-04-19,1.752,2.008,1.743,1.975,7783128.349999894
8,2022-04-20,1.975,2.132,1.904,2.01,9956568.65999998
9,2022-04-21,2.01,2.13,1.844,1.882,8053875.079999765
10,2022-04-22,1.882,1.945,1.784,1.835,3591386.9000000437
11,2022-04-23,1.835,1.892,1.767,1.81,5307263.700000016
12,2022-04-24,1.81,1.841,1.719,1.73,3046122.96000004
13,2022-04-25,1.734,1.815,1.593,1.799,5664002.929999972
14,2022-04-26,1.801,1.864,1.617,1.666,4972014.9899999555
15,2022-04-27,1.666,1.745,1.642,1.719,4017838.8500000173
16,2022-04-28,1.719,1.757,1.639,1.682,3589025.47999999
17,2022-04-29,1.684,1.708,1.522,1.545,4038964.5100000123
18,2022-04-30,1.548,1.594,1.29,1.356,3834789.3399999887
19,2022-05-01,1.357,1.577,1.313,1.513,6184597.749999932
20,2022-05-02,1.516,1.606,1.43,1.542,6179002.119999871
21,2022-05-03,1.542,1.655,1.504,1.578,5232451.529999924
22,2022-05-04,1.578,1.865,1.565,1.817,5889855.999999998
23,2022-05-05,1.818,1.856,1.497,1.574,6817672.29999994
24,2022-05-06,1.575,1.584,1.44,1.507,4277046.209999986
25,2022-05-07,1.509,1.521,1.381,1.422,3414934.7200000077
26,2022-05-08,1.425,1.46,1.344,1.363,5165080.040000028
27,2022-05-09,1.364,1.405,1.137,1.143,7920328.379999905
28,2022-05-10,1.144,1.334,1.095,1.192,10728216.979999831
29,2022-05-11,1.191,1.251,0.716,0.856,17123675.659999833
30,2022-05-12,0.855,0.942,0.644,0.775,5752184.329999965
31,2022-05-13,0.777,0.97,0.753,0.832,4235164.650000011
32,2022-05-14,0.832,0.9,0.746,0.857,3196360.060000041
33,2022-05-15,0.857,0.97,0.806,0.954,2763130.9900000095
34,2022-05-16,0.951,0.951,0.813,0.872,2457309.5100000314
35,2022-05-17,0.879,0.939,0.856,0.914,2180996.6500000115
36,2022-05-18,0.916,0.945,0.794,0.799,2793923.770000002
37,2022-05-19,0.801,0.91,0.782,0.893,1739226.8600000113
38,2022-05-20,0.896,0.922,0.809,0.857,2491551.029999995
39,2022-05-21,0.858,1.021,0.836,0.944,4543777.089999999
40,2022-05-22,0.946,1.074,0.945,0.99,6537999.179999926
41,2022-05-23,0.989,1.054,0.914,0.938,3520444.479999991
42,2022-05-24,0.935,1.012,0.906,0.956,4926792.129999993
43,2022-05-25,0.957,0.982,0.908,0.934,2127590.180000017
44,2022-05-26,0.937,0.97,0.789,0.835,3296413.6000000006
45,2022-05-27,0.835,0.919,0.796,0.85,3208609.990000002
46,2022-05-28,0.852,0.926,0.851,0.915,1759929.4200000067
47,2022-05-29,0.913,1.046,0.887,1.011,2537362.410000009
48,2022-05-30,1.014,1.188,0.987,1.152,7836798.949999887
49,2022-05-31,1.153,1.199,1.031,1.102,5137153.159999903
50,2022-06-01,1.105,1.126,0.928,0.962,5859660.749999883
51,2022-06-02,0.961,1.009,0.907,0.989,3863844.080000053
52,2022-06-03,0.991,0.995,0.906,0.966,2181952.210000007
53,2022-06-04,0.966,0.986,0.923,0.963,2644928.280000004
54,2022-06-05,0.961,1.019,0.933,0.977,2401682.250000003
55,2022-06-06,0.977,1.072,0.974,1.04,3536093.879999994
56,2022-06-07,1.034,1.035,0.931,0.969,3857883.079999989
57,2022-06-08,0.969,0.998,0.935,0.956,2108756.570000006
58,2022-06-09,0.958,1.005,0.942,0.983,1413205.790000004
59,2022-06-10,0.983,0.999,0.878,0.889,4229110.149999992
60,2022-06-11,0.889,0.919,0.786,0.794,3926568.0800000057
61,2022-06-12,0.795,0.827,0.729,0.733,4639699.829999949
62,2022-06-13,0.738,0.752,0.644,0.7,9691100.709999979
63,2022-06-14,0.698,0.741,0.633,0.71,8788865.63999995
64,2022-06-15,0.709,0.794,0.637,0.784,7982054.57999993
65,2022-06-16,0.784,0.799,0.67,0.685,3784273.7399999993
66,2022-06-17,0.688,0.798,0.68,0.759,4349755.159999985
67,2022-06-18,0.759,0.78,0.636,0.712,4528211.239999974
68,2022-06-19,0.712,0.793,0.675,0.778,3837997.5399999986
69,2022-06-20,0.777,0.826,0.732,0.802,2743290.1499999943
70,2022-06-21,0.801,0.856,0.781,0.801,2758766.1800000006
71,2022-06-22,0.802,0.819,0.746,0.765,2198339.830000017
72,2022-06-23,0.765,0.85,0.763,0.839,2308819.7900000014
73,2022-06-24,0.839,0.902,0.823,0.875,1495384.290000002
74,2022-06-25,0.875,0.907,0.834,0.887,963133.4800000004
75,2022-06-26,0.888,0.911,0.812,0.82,1248017.5600000005
76,2022-06-27,0.821,0.865,0.801,0.8346,874003.0099999963
77,2022-06-28,0.838,0.908,0.819,0.8635,1819366.8300000029
78,2022-06-29,0.8634,0.9887,0.8364,0.9458,4706548.429999989
79,2022-06-30,0.9462,1.045,0.8747,1.0022,5450777.710000011
80,2022-07-01,1.003,1.0392,0.8853,0.897,4107215.7000000146
81,2022-07-02,0.8976,0.908,0.856,0.8876,1536104.7300000088
82,2022-07-03,0.8885,0.9228,0.8628,0.8953,888700.4799999946
83,2022-07-04,0.8958,0.9625,0.8799,0.955,1086327.5300000035
84,2022-07-05,0.9595,1.0208,0.924,0.9895,2042474.6500000048
85,2022-07-06,0.9909,1.0261,0.9716,1.0139,1542601.1299999736
86,2022-07-07,1.0139,1.0354,0.966,1.0044,1425342.2400000028
87,2022-07-08,1.0046,1.0395,0.9573,0.9667,1418137.8799999952
88,2022-07-09,0.9639,0.9961,0.9526,0.9709,475204.8799999983
89,2022-07-10,0.9706,0.9779,0.8922,0.9127,1109665.6400000015
90,2022-07-11,0.9103,0.9172,0.8493,0.8569,1033338.2799999999
91,2022-07-12,0.856,0.8827,0.8229,0.8264,1070764.5200000068
92,2022-07-13,0.8262,0.8881,0.807,0.8829,1510522.809999986
93,2022-07-14,0.8823,0.9165,0.8446,0.9164,1200728.8300000064
94,2022-07-15,0.915,0.9359,0.8922,0.9011,1508439.459999995
95,2022-07-16,0.9038,0.9505,0.8808,0.9278,1064713.8700000038
96,2022-07-17,0.927,0.9482,0.9045,0.9123,775194.0899999979
97,2022-07-18,0.9119,1.056,0.9101,1.0287,2640609.7299999776
98,2022-07-19,1.0296,1.075,0.9705,1.038,2549554.6899999967
99,2022-07-20,1.0387,1.131,0.9699,0.9757,4548990.130000005
100,2022-07-21,0.977,0.9987,0.9326,0.9844,1392169.089999996
101,2022-07-22,0.9859,1.0239,0.9238,0.9287,1523416.4400000002
102,2022-07-23,0.9287,0.9671,0.8926,0.9248,1141992.5499999996
103,2022-07-24,0.9283,0.942,0.9075,0.9183,961321.2300000009
104,2022-07-25,0.9194,0.9251,0.823,0.8247,1704129.4900000028
105,2022-07-26,0.8236,0.8296,0.7836,0.8158,1919149.0300000028
106,2022-07-27,0.8163,0.891,0.7893,0.8899,2985590.9599999846
107,2022-07-28,0.8896,0.9641,0.8734,0.9528,3580942.829999984
108,2022-07-29,0.9528,1.1111,0.9301,1.061,7309165.870000062
109,2022-07-30,1.0611,1.2965,1.0601,1.187,9534357.569999814
