,date,open,high,low,close,volume
0,2022-03-01,5.592,5.666,5.545,5.655,1522.99646199
1,2022-03-02,5.566,6.237,5.392,5.648,15194.39657875
2,2022-03-03,5.703,6.618,5.554,5.998,46873.72170445
3,2022-03-04,6.228,6.362,5.5,5.524,25779.77774758
4,2022-03-05,5.449,5.784,5.403,5.669,5287.67641229
5,2022-03-06,5.659,5.824,5.452,5.519,9386.6937344
6,2022-03-07,5.331,5.722,5.171,5.259,5700.58525321
7,2022-03-08,5.233,5.388,5.193,5.193,9396.62497271
8,2022-03-09,5.234,5.468,5.234,5.329,19888.00177973
9,2022-03-10,5.299,5.332,5.011,5.11,7397.53028933
10,2022-03-11,5.071,5.146,4.928,4.942,3337.91840829
11,2022-03-12,4.966,5.365,4.938,5.021,9870.34093662
12,2022-03-13,5.005,5.944,4.986,4.996,27570.10877344
13,2022-03-14,4.996,5.712,4.996,5.275,30765.47361269
14,2022-03-15,5.251,5.344,5.096,5.158,5665.63251832
15,2022-03-16,5.13,5.381,5.105,5.338,4618.69106483
16,2022-03-17,5.329,5.545,5.224,5.338,23553.41643797
17,2022-03-18,5.329,5.393,5.25,5.353,7482.93080922
18,2022-03-19,5.35,5.632,5.34,5.548,13586.1576447
19,2022-03-20,5.548,5.548,5.286,5.325,7697.06990881
20,2022-03-21,5.321,5.626,5.235,5.42,18317.60895557
21,2022-03-22,5.383,5.672,5.383,5.46,6505.32084724
22,2022-03-23,5.445,5.674,5.437,5.633,10626.35520088
23,2022-03-24,5.621,6.3,5.545,5.974,12565.66298337
24,2022-03-25,5.925,6.094,5.698,5.741,12940.7037918
25,2022-03-26,5.798,5.827,5.798,5.827,15.98664244
26,2022-03-27,5.818,6.313,5.802,6.095,12124.59826378
27,2022-03-28,6.112,6.279,5.974,5.974,17292.78341334
28,2022-03-29,5.972,6.185,5.889,5.963,11951.18637435
29,2022-03-30,5.915,6.377,5.856,6.205,10488.44738115
30,2022-03-31,6.268,6.319,5.856,5.913,15570.26046465
31,2022-04-01,5.913,6.43,5.856,6.2,28624.97404787
32,2022-04-02,6.256,6.474,6.143,6.143,17285.44707926
33,2022-04-03,6.163,6.428,6.157,6.313,13624.16084481
34,2022-04-04,6.281,6.375,6.106,6.23,13050.75340862
35,2022-04-05,6.3,7.558,6.3,6.345,45521.16698764
36,2022-04-06,6.321,6.501,5.911,5.947,56002.95858632
37,2022-04-07,5.953,6.4,5.85,6.104,40630.45948642
38,2022-04-08,6.088,6.593,6.07,6.161,40486.50061194
39,2022-04-09,6.168,6.68,6.11,6.332,41820.22221355
40,2022-04-10,6.323,6.397,6.091,6.091,35309.867181
41,2022-04-11,6.063,6.09,5.224,5.276,30108.31207055
42,2022-04-12,5.294,5.661,5.294,5.502,8602.20956103
43,2022-04-13,5.485,5.563,5.409,5.563,8662.63348502
44,2022-04-14,5.59,5.59,5.234,5.301,6591.88176257
45,2022-04-15,5.29,5.39,5.267,5.3,2883.94584237
46,2022-04-16,5.323,5.439,5.238,5.382,5296.26732746
47,2022-04-17,5.389,5.389,5.096,5.096,2192.63032043
48,2022-04-18,5.137,5.164,4.922,5.087,3676.60441189
49,2022-04-19,5.112,5.268,5.096,5.198,8551.8130116
50,2022-04-20,5.173,5.379,5.096,5.192,6696.61526055
51,2022-04-21,5.215,5.414,4.922,4.964,9260.31753797
52,2022-04-22,4.987,5.036,4.841,4.881,3719.37415367
53,2022-04-23,4.903,4.903,4.731,4.735,5303.24047988
54,2022-04-24,4.727,4.759,4.578,4.592,4512.16069504
55,2022-04-25,4.56,4.9,4.229,4.53,19932.21744506
56,2022-04-26,4.53,4.745,4.123,4.123,12880.47427334
57,2022-04-27,4.157,4.332,4.095,4.278,7588.5079384
58,2022-04-28,4.256,4.278,4.097,4.133,5871.19517117
59,2022-04-29,4.135,4.284,3.876,3.934,8456.95481746
60,2022-04-30,3.947,4.025,3.635,3.66,9891.33926727
61,2022-05-01,3.634,3.66,3.456,3.608,19292.82796728
62,2022-05-02,3.657,3.729,3.5,3.531,9018.23242064
63,2022-05-03,3.575,5.25,3.548,4.398,40724.00526665
64,2022-05-04,4.352,4.715,3.907,4.242,68149.8974229
65,2022-05-05,4.214,4.446,3.704,3.773,13437.98929507
66,2022-05-06,3.756,4.126,3.743,3.875,6359.19670029
67,2022-05-07,3.856,4.005,3.622,3.68,3848.78444903
68,2022-05-08,3.543,3.543,3.508,3.508,38.97085609
69,2022-05-09,3.554,3.565,2.935,2.997,15439.76561034
70,2022-05-10,2.978,3.551,2.796,3.06,73159.35011771
71,2022-05-11,3.058,3.127,1.91,2.088,60956.51732759
72,2022-05-12,2.098,2.156,1.49,1.809,71252.01032937
73,2022-05-13,1.795,2.287,1.781,2.069,65403.46762967
74,2022-05-14,2.073,2.25,1.894,2.092,57192.44368139
75,2022-05-15,2.088,2.218,1.986,2.201,41807.86439237
76,2022-05-16,2.199,2.199,1.945,2.0,47389.41072081
77,2022-05-17,2.059,2.45,2.035,2.287,25749.6104878
78,2022-05-18,2.299,2.729,2.203,2.399,70862.81883813
79,2022-05-19,2.437,2.673,2.218,2.348,49455.78642182
80,2022-05-20,2.329,2.412,2.192,2.212,13197.93847114
81,2022-05-21,2.189,2.343,2.135,2.263,6422.06506155
82,2022-05-22,2.281,2.321,2.224,2.261,8726.58388014
83,2022-05-23,2.257,2.327,2.198,2.244,15931.37414978
84,2022-05-24,2.26,2.465,2.166,2.261,19966.47167937
85,2022-05-25,2.236,2.312,2.198,2.25,5518.84385565
86,2022-05-26,2.241,2.242,1.942,2.026,14707.58362732
87,2022-05-27,2.023,2.037,1.865,1.941,2412.56324221
88,2022-05-28,1.945,2.02,1.914,2.001,4241.18067267
89,2022-05-29,2.0,2.29,1.951,2.09,8835.76138617
90,2022-05-30,2.075,2.224,2.072,2.205,4088.55549152
91,2022-05-31,2.2,2.32,2.131,2.268,11083.65438004
92,2022-06-01,2.266,2.267,2.057,2.062,14203.2143263
93,2022-06-02,2.071,2.14,2.044,2.139,3250.86467951
94,2022-06-03,2.13,2.13,2.012,2.04,4429.62421615
95,2022-06-04,2.023,2.048,1.992,2.048,1201.2825723
96,2022-06-05,2.05,2.061,1.995,2.027,2611.97889092
