,date,open,high,low,close,volume
0,2020-10-12,0.28247,0.29558,0.27367,0.28967,1863897.0665507407
1,2020-10-13,0.29021,0.29440077,0.28001,0.28458597,915462.9821858204
2,2020-10-14,0.28389,0.28829913,0.26965584,0.27392,1725923.2322969583
3,2020-10-15,0.27381,0.27822,0.26518,0.27674,860197.0602482391
4,2020-10-16,0.27651,0.28287,0.26196,0.26428,1479839.9021396474
5,2020-10-17,0.26462,0.27236,0.262,0.26923,404669.1061420399
6,2020-10-18,0.26923,0.27483,0.26919,0.27276,334338.91609949974
7,2020-10-19,0.2727,0.2809,0.26677,0.27663,1635960.1174046078
8,2020-10-20,0.27658,0.27658,0.26307,0.26479,1645315.3845154888
9,2020-10-21,0.26468,0.28528,0.26338,0.281,2097510.404678521
10,2020-10-22,0.28103,0.29198116,0.28069,0.2828,1506980.101188508
11,2020-10-23,0.28315,0.28315,0.27126,0.27676,2464827.880497976
12,2020-10-24,0.27774,0.28883,0.27468,0.28751128,859456.5273024896
13,2020-10-25,0.28812,0.29007,0.2766,0.27901,1553863.8510889
14,2020-10-26,0.27901,0.28612,0.26801,0.27448,2165192.4239375195
15,2020-10-27,0.2744,0.28541,0.27257,0.27738,1801401.9424597598
16,2020-10-28,0.27753,0.27922,0.2639,0.26863,1731953.7844735004
17,2020-10-29,0.2697,0.27315,0.25432,0.26013,1562737.9820800687
18,2020-10-30,0.2598,0.26169,0.24888,0.25748,1181208.6640167092
19,2020-10-31,0.25748,0.26325,0.25343,0.25391619,406296.3336287695
20,2020-11-01,0.25395,0.25602,0.24823,0.252,505147.6262275602
21,2020-11-02,0.252,0.25952,0.245,0.24747,745190.78697848
22,2020-11-03,0.24733,0.24907257,0.23606843,0.24783921,1889543.1777471688
23,2020-11-04,0.2466,0.25046,0.22653,0.23581,2041671.4222184375
24,2020-11-05,0.23603,0.2525,0.23,0.24925,1841456.1408256486
25,2020-11-06,0.24941,0.26955,0.24861,0.2669,2355049.4139899462
26,2020-11-07,0.26691792,0.2777,0.25101,0.25708,1804998.2077419423
27,2020-11-08,0.25680668,0.26873,0.25401,0.26699,1013094.34513588
28,2020-11-09,0.26641,0.26775,0.246,0.25271,1530620.394951382
29,2020-11-10,0.25186,0.258,0.25,0.25456277,914269.1776256617
30,2020-11-11,0.25466,0.264,0.25122,0.25272,1990732.1730096794
31,2020-11-12,0.25268,0.25939,0.24726,0.24899,1492634.287458761
32,2020-11-13,0.24826,0.2586,0.24755,0.25674,657277.545100499
33,2020-11-14,0.25773,0.25923,0.24615,0.25143,847640.1427282793
34,2020-11-15,0.25188094,0.258,0.24614,0.25011,389834.84730758035
35,2020-11-16,0.24934,0.26,0.24836,0.25476,1048215.8760174719
36,2020-11-17,0.25463,0.27,0.25463,0.26658,2405996.539419188
37,2020-11-18,0.26637,0.27,0.24951,0.2554,2450182.8569359365
38,2020-11-19,0.2554,0.2554,0.25,0.25339546,739241.9669609705
39,2020-11-20,0.2535228,0.26573,0.25215,0.26537,2528126.238277699
40,2020-11-21,0.26573,0.3264,0.26573,0.32406,11107770.469435563
41,2020-11-22,0.32452038,0.337,0.2901,0.31801,9700329.994708776
42,2020-11-23,0.31636,0.36362,0.31031,0.36043,9995339.588714285
43,2020-11-24,0.3609,0.4297,0.34731,0.38254,12459008.835309196
44,2020-11-25,0.38383,0.40375,0.3371,0.35649,7361290.576409416
45,2020-11-26,0.35514,0.35987,0.275,0.30461,16330969.988283755
46,2020-11-27,0.30443,0.3244,0.29085,0.3121,3057730.802612284
47,2020-11-28,0.31162,0.35,0.30299,0.33908,3893559.6527341804
48,2020-11-29,0.33943,0.35378,0.32746,0.34199,3274756.644176209
49,2020-11-30,0.34258,0.365,0.33239,0.35355,5181560.133679317
50,2020-12-01,0.35341,0.36614,0.31655,0.32738,6498474.341036145
51,2020-12-02,0.32442,0.3467,0.321,0.3436,1755289.3573000387
52,2020-12-03,0.3436,0.35651,0.33897,0.34955,1535849.0453236399
53,2020-12-04,0.34955,0.35075,0.319,0.32247,2598518.0306901415
54,2020-12-05,0.32247,0.34738,0.31775,0.34091,1329347.6488213802
55,2020-12-06,0.34204,0.34763,0.32599,0.34061,1619727.5082270114
56,2020-12-07,0.34064,0.34171,0.30757,0.31884,4129131.270767147
57,2020-12-08,0.31896,0.32447,0.29606,0.29906,2552760.892767542
58,2020-12-09,0.2994,0.31735,0.2856,0.30953,5403838.439744073
59,2020-12-10,0.30964,0.31011,0.2804767,0.28348,8533867.032694291
60,2020-12-11,0.28321,0.28329,0.26667,0.27439,3334244.603567166
61,2020-12-12,0.27435,0.2959,0.27431435,0.28933,3737197.214889414
62,2020-12-13,0.28904,0.30491,0.28548,0.30014,1714866.1027018602
63,2020-12-14,0.29919,0.30496,0.29125,0.30151,1091090.3532039493
64,2020-12-15,0.30151,0.30872,0.293,0.30489,2354033.3606140483
65,2020-12-16,0.3043,0.3334,0.29556,0.32837,2760158.2745799073
66,2020-12-17,0.32881,0.34416,0.31253,0.3206,5898594.813211046
67,2020-12-18,0.32024,0.33089,0.31454,0.32398,1619649.1545826588
68,2020-12-19,0.32393,0.35,0.322,0.34236,3465499.726637114
69,2020-12-20,0.3422,0.34295,0.31689,0.3227,6191377.593573396
70,2020-12-21,0.32239,0.33093,0.29827,0.305,2593640.990661244
71,2020-12-22,0.3035,0.31124,0.286,0.30612,1951477.383265201
72,2020-12-23,0.30609,0.3291,0.24112,0.26363,9641410.875068652
73,2020-12-24,0.26318,0.29676,0.25750769,0.29407,3385512.9293593066
74,2020-12-25,0.294,0.30938,0.2859,0.29172,2156307.326005291
75,2020-12-26,0.29233937,0.30242,0.28,0.28400216,1555409.7912969012
76,2020-12-27,0.28521,0.31879,0.27082,0.29953,10718071.433273377
77,2020-12-28,0.2991,0.318,0.29629,0.30526,2704529.0963759623
78,2020-12-29,0.30555,0.31036,0.28357,0.30199,2188488.733478156
79,2020-12-30,0.30234,0.30636,0.28904,0.29509,1090164.19705473
80,2020-12-31,0.29531,0.30551,0.28,0.29661,2428100.837667913
81,2021-01-01,0.29661,0.30276,0.28815,0.29026,2320375.9968116423
82,2021-01-02,0.29041,0.29638,0.27954,0.28639,2074319.5405524443
83,2021-01-03,0.28651,0.31326997,0.27567,0.30951,7218267.26655051
84,2021-01-04,0.31023,0.34875,0.28112,0.34226,10496567.379940482
85,2021-01-05,0.3435,0.38107,0.31308,0.35090395,15679334.899444122
86,2021-01-06,0.35004,0.39162,0.33756,0.37799,14157462.789406141
87,2021-01-07,0.37784,0.39907,0.3542,0.382,12249881.494670497
88,2021-01-08,0.38217,0.3839,0.34371,0.37002,7411281.37392673
89,2021-01-09,0.37012,0.47177,0.37012,0.43601,23988741.48870577
90,2021-01-10,0.4364,0.47,0.38241,0.42953,12296187.899645766
91,2021-01-11,0.42929,0.4295,0.3267,0.37,10965153.54980549
92,2021-01-12,0.36991,0.38566,0.34623,0.35946,3014986.2927003116
93,2021-01-13,0.36034,0.41579,0.3476,0.41558,4097821.114346583
94,2021-01-14,0.41402,0.45,0.4002,0.42346751,8774387.564881364
95,2021-01-15,0.42349,0.45235,0.387,0.42935,11978198.271341546
96,2021-01-16,0.42935,0.45099,0.415,0.42645,3985929.8564038896
97,2021-01-17,0.42601,0.44559,0.40067,0.43608,6277085.811190733
98,2021-01-18,0.4368,0.48563,0.41819,0.47496,11468680.940050839
99,2021-01-19,0.47691,0.50251,0.46119,0.46846,9386679.667788194
100,2021-01-20,0.46874,0.48599,0.4314,0.46847,6238303.257049865
101,2021-01-21,0.46965,0.49427,0.41563,0.42108,6948875.478825713
102,2021-01-22,0.421,0.4723,0.39258,0.45629,5165350.985141645
103,2021-01-23,0.45437,0.47543,0.43983,0.44809,4612284.325430982
104,2021-01-24,0.44786,0.4796,0.44262,0.45423,3176658.4258298366
105,2021-01-25,0.45454,0.471,0.42746,0.43066,3258958.9499237435
106,2021-01-26,0.43015,0.43799,0.41384,0.43381126,1415049.2679869873
107,2021-01-27,0.43296,0.43297312,0.3785,0.3921,3665996.5427384563
108,2021-01-28,0.39248,0.41509,0.38865,0.40303,2464436.2218707376
109,2021-01-29,0.40317,0.42763,0.39312,0.41194,5770276.801100104
110,2021-01-30,0.41254,0.44413,0.39914,0.42804,2714000.139190221
111,2021-01-31,0.4293,0.4401,0.39676,0.4068,2981236.632878805
112,2021-02-01,0.40681,0.42538,0.395,0.41386,3590767.4169701566
113,2021-02-02,0.41435,0.43575,0.40906,0.43014,2523655.8003534935
114,2021-02-03,0.43048,0.455,0.42393,0.45267,2864199.353572452
115,2021-02-04,0.45284,0.45442,0.42125,0.4384,3010353.5853195284
116,2021-02-05,0.4384,0.52931,0.43673,0.51701,12578220.065859977
117,2021-02-06,0.51701,0.60999,0.49925,0.56138365,14805230.543033317
118,2021-02-07,0.56301,0.59701,0.52802,0.55799,5871179.105504996
119,2021-02-08,0.55702,0.73839,0.5441,0.72298,18310728.428458314
120,2021-02-09,0.72594,0.8092,0.71106,0.75533,16934079.79279185
121,2021-02-10,0.7562,0.92283,0.71801,0.88781,18751910.557589136
122,2021-02-11,0.88926,1.297,0.87,1.1759,35462459.84933458
123,2021-02-12,1.17610417,1.2789,1.087,1.2398,10269961.602523886
124,2021-02-13,1.2397,1.41,1.1819,1.311,19815933.07234611
125,2021-02-14,1.3151,1.3289,1.1321,1.1843,11088486.938510522
126,2021-02-15,1.1941,1.38,0.95149,1.268,25229610.910290144
127,2021-02-16,1.2765,1.38,1.2082,1.2616,10953770.015771769
128,2021-02-17,1.2601,1.34,1.188,1.3029,6514211.119060929
129,2021-02-18,1.3055,1.5699,1.2811,1.4894,14305219.281773446
130,2021-02-19,1.4928,1.5872,1.405,1.4918,10088060.842818867
131,2021-02-20,1.49,1.555,1.3094,1.3801,9976307.857438806
132,2021-02-21,1.3819,1.4627,1.331,1.40956309,4493061.5541907735
133,2021-02-22,1.4098,1.4098,1.016,1.3058,22263444.277632292
134,2021-02-23,1.3086,1.3207,0.88,1.09019414,21554368.52952225
135,2021-02-24,1.0895,1.3099,1.0281,1.1951,14618258.757366385
136,2021-02-25,1.1951,1.2475,1.0904,1.1021,6088638.651047543
137,2021-02-26,1.101,1.1777,1.0215,1.1157,5389475.095701458
138,2021-02-27,1.1172,1.2298,1.117,1.1501,4660233.400050855
139,2021-02-28,1.1473,1.1575,1.0258,1.125,4004738.985406347
140,2021-03-01,1.1275,1.2463,1.1218,1.2076,4398672.546107503
141,2021-03-02,1.2096,1.2275,1.1197,1.1816,3679427.877262501
142,2021-03-03,1.1807044,1.25826572,1.1748,1.2098,6479231.639275403
143,2021-03-04,1.2058,1.2969,1.17,1.2671,9847972.509201339
144,2021-03-05,1.2668,1.4422,1.1973,1.329,15703512.04465831
145,2021-03-06,1.3309,1.3509,1.2793,1.2816,2233333.1059863293
146,2021-03-07,1.2826,1.3461,1.266,1.3149,1949424.414767427
147,2021-03-08,1.3163,1.34,1.2889,1.3006118,1252254.998562879
148,2021-03-09,1.3037,1.42,1.296,1.4187,5122654.335702264
149,2021-03-10,1.42,1.425,1.293,1.3055,4237917.096168389
150,2021-03-11,1.3103,1.531,1.2674,1.3939,8214981.27084161
151,2021-03-12,1.3951,1.441,1.287,1.3245,4581787.557316767
152,2021-03-13,1.3212,1.40809211,1.2865,1.3783,2340451.3456922756
153,2021-03-14,1.376,1.3966,1.311,1.311,999466.8871837001
154,2021-03-15,1.3115,1.3589467,1.22020146,1.2836,3972028.601953777
155,2021-03-16,1.2833,1.3902,1.273,1.3345,2620071.305538044
156,2021-03-17,1.333,1.362,1.295,1.3511,1820058.1966555838
157,2021-03-18,1.3492,1.3661,1.3111,1.3232,1973561.1359616253
158,2021-03-19,1.3231,1.3579,1.3062,1.332,983622.7786970895
159,2021-03-20,1.3337,1.4873,1.3255,1.4063,5735209.376800616
160,2021-03-21,1.4101,1.4451,1.3469,1.4088,2582221.424814059
161,2021-03-22,1.41,1.5616,1.3693,1.4723,5862419.495007305
162,2021-03-23,1.4719,1.765,1.4599,1.6564,14773423.000354223
163,2021-03-24,1.6514,1.74,1.35,1.4089,7380799.434188543
164,2021-03-25,1.403,1.4245,1.2882,1.3409,3771293.5455601625
165,2021-03-26,1.3429,1.4929,1.3429,1.4431,2627907.853526745
166,2021-03-27,1.4443,1.4713,1.358,1.3984,2376658.304216759
167,2021-03-28,1.4009,1.4467,1.3678,1.389,1697369.610089168
168,2021-03-29,1.3874,1.5086,1.3703,1.5086,3224870.7227439135
169,2021-03-30,1.5119,1.5782,1.478,1.532,2516287.4536175043
170,2021-03-31,1.5255,1.5578,1.4241,1.5348,3292837.791584403
171,2021-04-01,1.5368,1.6443,1.528,1.582,2443879.783837462
172,2021-04-02,1.5794,1.639,1.55,1.62460965,5073036.721685451
173,2021-04-03,1.6254,1.6371,1.4746,1.4752,2201299.8880725917
174,2021-04-04,1.4755,1.5631,1.4548,1.554,1155319.7630444085
175,2021-04-05,1.5542,1.7641,1.5156,1.7236,5246049.744978421
176,2021-04-06,1.7248,1.85,1.6601,1.7992,4369003.9303841945
177,2021-04-07,1.7983,1.8138,1.5718,1.6589,3920637.935128829
178,2021-04-08,1.6592,1.9331,1.647,1.886,12168112.659547001
179,2021-04-09,1.8872,1.9951,1.861,1.8673,4930830.722887288
180,2021-04-10,1.8668,2.0997,1.8308,2.086,11868518.219096538
181,2021-04-11,2.0836,2.1419,1.9965,2.0934,5882645.686067871
182,2021-04-12,2.0989,2.1011,1.9651,1.9955,3405334.2458177856
183,2021-04-13,1.9994,2.2,1.9511,2.174,5684555.024094415
184,2021-04-14,2.1783,2.24234017,1.9761,2.1105,5104842.462877354
185,2021-04-15,2.12204516,2.2195,2.0567,2.1928,2791493.3291596333
186,2021-04-16,2.1932,2.6317,2.1668,2.5206,12719974.688087389
187,2021-04-17,2.509,2.6,2.3345,2.3368,5377178.923279077
188,2021-04-18,2.337,2.425,1.55,2.374,25520208.269270986
189,2021-04-19,2.3749,2.49,2.06,2.0866,13015043.106287539
190,2021-04-20,2.0927,2.301,1.8355,2.1951,10834209.69384728
191,2021-04-21,2.2002,2.2821,2.038,2.0627,4825986.461272472
192,2021-04-22,2.0639,2.1624,1.7602,1.8316,8086115.604190277
193,2021-04-23,1.8283,1.9294,1.5327,1.8761,12921986.97324294
194,2021-04-24,1.8807,1.8863,1.6446,1.6687,2661071.168232388
195,2021-04-25,1.6720334,1.814,1.555,1.63908731,3861681.240825684
196,2021-04-26,1.6404,2.0382,1.6189,1.9882,7078018.517800814
197,2021-04-27,1.9822,2.212,1.9439,2.1996,4094404.2846513353
198,2021-04-28,2.2,2.29,2.0272,2.1836,4424891.729440317
199,2021-04-29,2.1854,2.1866,1.9729,2.1,2575569.784465571
200,2021-04-30,2.1,2.159,2.045,2.1351,2958891.3090891577
201,2021-05-01,2.1363,2.144,2.06,2.1082,1264627.2158395406
202,2021-05-02,2.1112,2.1112,1.9979,2.0453,1686575.63123793
203,2021-05-03,2.03760911,2.1774,2.03760911,2.0799,2263557.8988896767
204,2021-05-04,2.0799,2.0873,1.81176356,1.832,6006952.663908376
