,date,open,high,low,close,volume
0,2022-02-08,3.683,3.8121,3.615,3.8042,109894.63395067
1,2022-02-09,3.8021,3.8467,3.6847,3.8008,208410.48222008
2,2022-02-10,3.801,3.8718,3.5937,3.6574,278456.4156465425
3,2022-02-11,3.6535,3.7494,3.3081,3.3775,279996.9104572214
4,2022-02-12,3.3778,3.45,3.2699,3.3144,132112.2392502
5,2022-02-13,3.3441,3.35,3.1578,3.2649,95814.40463317
6,2022-02-14,3.2554,3.3593,3.1633,3.2942,116229.43736843
7,2022-02-15,3.2967,3.4983,3.2967,3.4945,123626.97151284
8,2022-02-16,3.4837,4.0447,3.4699,3.6265,790141.2944235872
9,2022-02-17,3.632,3.7677,3.3337,3.344,355269.5011209892
10,2022-02-18,3.3447,3.544,3.2206,3.2651,277524.7325677015
11,2022-02-19,3.4102,3.4489,3.3994,3.4482,1871.71693381
12,2022-02-20,3.4411,3.4566,3.1503,3.1919,182906.01767375
13,2022-02-21,3.1993,3.3025,2.9128,2.9191,374588.1147649646
14,2022-02-22,2.9191,3.0688,2.8055,3.0544,274816.6420688718
15,2022-02-23,3.0495,3.18,2.9435,2.9592,242243.5358466002
16,2022-02-24,2.9447,3.0744,2.5611,3.0144,828386.7528171752
17,2022-02-25,3.0221,3.1827,2.9294,3.1446,269395.9247222315
18,2022-02-26,3.1447,3.2389,3.0978,3.1707,135902.5376414
19,2022-02-27,3.1676,3.2903,2.9662,3.0164,207309.54442913
20,2022-02-28,3.0071,3.4129,2.9625,3.4103,271272.1047446817
21,2022-03-01,3.4085,3.6427,3.4031,3.5314,462140.7974499086
22,2022-03-02,3.5318,3.6442,3.28,3.5125,563063.154767483
23,2022-03-03,3.5026,3.6262,3.3247,3.3657,273040.8388577109
24,2022-03-04,3.3606,3.4298,3.1196,3.1437,459171.1435146438
25,2022-03-05,3.1332,3.2386,3.0424,3.2335,202411.78411319
26,2022-03-06,3.2368,3.265,3.0701,3.1332,124106.11782278
27,2022-03-07,3.1186,3.2048,2.9655,3.0222,265079.6630086605
