,date,open,high,low,close,volume
0,2021-06-17,0.68,0.7189,0.6019,0.6257,19534673.800000083
1,2021-06-18,0.6298,0.6419,0.4983,0.5293,24951126.49999994
2,2021-06-19,0.5293,0.5888,0.4406,0.4611,24359337.199999988
3,2021-06-20,0.4603,0.4798,0.3951,0.4156,11808869.499999966
4,2021-06-21,0.4156,0.4245,0.297,0.301,21425651.90000002
5,2021-06-22,0.3008,0.3239,0.2402,0.2538,28344698.100000046
6,2021-06-23,0.2531,0.2986,0.245,0.2711,19879690.69999989
7,2021-06-24,0.2709,0.2895,0.2562,0.2699,10698756.000000015
8,2021-06-25,0.2705,0.2873,0.2423,0.2428,8758755.999999993
9,2021-06-26,0.2428,0.2522,0.2252,0.2452,9580244.199999979
10,2021-06-27,0.2461,0.32,0.2431,0.295,27223081.699999932
11,2021-06-28,0.2955,0.2966,0.2718,0.2842,12345927.59999995
12,2021-06-29,0.2842,0.315,0.2773,0.2858,10734808.800000016
13,2021-06-30,0.2859,0.292,0.256,0.2712,10489390.90000002
14,2021-07-01,0.2709,0.2712,0.2471,0.2521,5998656.100000011
15,2021-07-02,0.252,0.273,0.2422,0.2611,8121663.600000016
16,2021-07-03,0.2613,0.2758,0.2495,0.2636,4390184.499999996
17,2021-07-04,0.2633,0.2814,0.2569,0.2699,4763895.199999997
18,2021-07-05,0.2701,0.2712,0.2517,0.2586,2357406.399999999
19,2021-07-06,0.2588,0.38,0.2561,0.3262,36952358.10000008
20,2021-07-07,0.3257,0.3875,0.3113,0.3169,62511556.400000565
21,2021-07-08,0.3171,0.3266,0.2759,0.2833,19553977.79999998
22,2021-07-09,0.2826,0.2989,0.269,0.2803,9968027.900000015
23,2021-07-10,0.2807,0.2962,0.2718,0.2792,9657455.499999985
24,2021-07-11,0.2792,0.3349,0.2787,0.3097,28825651.400000118
25,2021-07-12,0.3092,0.3118,0.2784,0.2903,10625653.200000016
26,2021-07-13,0.2903,0.3164,0.2751,0.2879,13542708.00000004
27,2021-07-14,0.2885,0.3186,0.271,0.2964,12587787.299999986
28,2021-07-15,0.2965,0.3033,0.2637,0.28,11178839.000000004
29,2021-07-16,0.28,0.2925,0.2649,0.2671,8765819.899999944
30,2021-07-17,0.2671,0.2726,0.2567,0.2609,6384822.600000019
31,2021-07-18,0.2609,0.2736,0.2563,0.261,5831081.800000013
32,2021-07-19,0.2614,0.2638,0.2436,0.2477,5390093.299999997
33,2021-07-20,0.2482,0.2484,0.2113,0.223,13965114.299999937
34,2021-07-21,0.2225,0.25,0.2133,0.2393,8550781.799999993
35,2021-07-22,0.2395,0.2566,0.2302,0.2478,16714831.100000028
36,2021-07-23,0.248,0.2543,0.2315,0.2462,19839632.90000007
37,2021-07-24,0.2463,0.2641,0.2417,0.249,32041548.599999987
38,2021-07-25,0.2495,0.26,0.2413,0.2533,27540072.400000013
39,2021-07-26,0.2531,0.2735,0.2447,0.2447,32237947.00000001
40,2021-07-27,0.2448,0.2594,0.2343,0.2525,13259146.700000037
41,2021-07-28,0.2523,0.2575,0.2429,0.2475,6990750.999999999
42,2021-07-29,0.2473,0.2624,0.2416,0.2614,8229538.100000017
43,2021-07-30,0.2617,0.2848,0.2423,0.2764,16773618.800000047
44,2021-07-31,0.2765,0.3326,0.2741,0.2971,36114913.59999989
45,2021-08-01,0.297,0.3124,0.2693,0.2733,18135699.50000002
46,2021-08-02,0.2732,0.2985,0.26,0.2804,11070177.4
47,2021-08-03,0.2804,0.3028,0.276,0.2789,13734412.499999912
48,2021-08-04,0.2789,0.3042,0.2715,0.2919,10601885.30000003
49,2021-08-05,0.292,0.3188,0.2822,0.3117,15366516.99999998
50,2021-08-06,0.312,0.3276,0.3038,0.3145,13678900.700000003
51,2021-08-07,0.314,0.3386,0.3013,0.3192,13386022.799999947
52,2021-08-08,0.3195,0.3236,0.2856,0.2946,13516024.900000054
53,2021-08-09,0.2944,0.35,0.2854,0.3313,17512183.69999975
54,2021-08-10,0.332,0.5214,0.316,0.3327,52824918.4000001
55,2021-08-11,0.3325,0.3791,0.3325,0.3419,19342794.900000125
56,2021-08-12,0.342,0.3597,0.321,0.3415,17718766.099999752
57,2021-08-13,0.3412,0.4236,0.3378,0.3971,22332761.200000007
58,2021-08-14,0.3971,0.42,0.3682,0.3918,14519337.700000096
59,2021-08-15,0.3918,0.3991,0.3693,0.3925,7495362.000000071
60,2021-08-16,0.3929,0.416,0.3743,0.3755,12032415.999999814
61,2021-08-17,0.3759,0.4045,0.3505,0.3543,18644833.699999977
62,2021-08-18,0.3541,0.3762,0.3303,0.352,17738204.49999991
