,date,open,high,low,close,volume
0,2022-04-12,0.8768,0.92,0.8338,0.8625,1445020.500000029
1,2022-04-13,0.8642,0.9745,0.8617,0.8943,2450585.9999999427
2,2022-04-14,0.8925,0.9733,0.8642,0.8737,1426577.7000000644
3,2022-04-15,0.8727,0.9771,0.8711,0.92,2483049.700000003
4,2022-04-16,0.9233,0.9236,0.8329,0.8726,875820.9999999963
5,2022-04-17,0.8748,0.888,0.8521,0.8663,717942.9000000027
6,2022-04-18,0.867,0.8675,0.8001,0.8379,993628.3000000267
7,2022-04-19,0.8379,0.8543,0.8309,0.8436,594639.1999999994
8,2022-04-20,0.8436,0.8538,0.8199,0.8331,461614.09999999526
9,2022-04-21,0.8345,0.9198,0.8331,0.8893,1754936.5000000626
10,2022-04-22,0.8888,0.8949,0.8327,0.8414,830228.0000000148
11,2022-04-23,0.8402,0.8431,0.8246,0.8263,257660.49999999933
12,2022-04-24,0.827,0.8614,0.8195,0.8573,330818.79999999545
13,2022-04-25,0.8522,0.8562,0.7928,0.816,935043.6000000362
14,2022-04-26,0.8163,0.8341,0.7794,0.7817,1181901.0000000296
15,2022-04-27,0.782,0.8096,0.7705,0.7926,815560.3000000177
16,2022-04-28,0.7925,0.8461,0.7907,0.8179,936797.8000000281
17,2022-04-29,0.8169,0.8179,0.7901,0.7956,240360.29999999693
18,2022-04-30,0.7956,0.7992,0.7218,0.7267,615612.1999999998
19,2022-05-01,0.7267,0.7687,0.7238,0.7463,535584.1000000002
20,2022-05-02,0.7474,0.8353,0.7347,0.7513,1647583.8000000257
21,2022-05-03,0.7513,0.7565,0.7225,0.7285,422584.39999999496
22,2022-05-04,0.7289,0.7623,0.7285,0.758,322210.8999999941
23,2022-05-05,0.7578,0.7833,0.7203,0.7289,611125.6000000007
24,2022-05-06,0.7308,0.735,0.6902,0.7028,538911.299999998
25,2022-05-07,0.7015,0.8595,0.6977,0.7334,2705568.799999942
26,2022-05-08,0.7338,0.8031,0.6996,0.7071,1712193.4000000337
27,2022-05-09,0.7072,0.7098,0.6188,0.625,952678.3000000203
28,2022-05-10,0.6247,0.645,0.5843,0.5982,805533.100000019
29,2022-05-11,0.5964,0.6061,0.49,0.4972,1097100.2000000225
30,2022-05-12,0.4994,0.5233,0.4344,0.4639,826029.5000000099
31,2022-05-13,0.463,0.5352,0.4501,0.4986,709939.0000000029
32,2022-05-14,0.5015,0.5251,0.4717,0.4917,673813.500000006
33,2022-05-15,0.4926,0.52,0.4802,0.5144,680490.2000000231
34,2022-05-16,0.5147,0.517,0.4706,0.4901,495872.1999999933
35,2022-05-17,0.491,0.621,0.4884,0.5269,2010481.7000000244
36,2022-05-18,0.5281,0.5528,0.4914,0.4954,917048.5000000078
37,2022-05-19,0.4956,0.5183,0.4879,0.5105,352318.8999999949
38,2022-05-20,0.5101,0.5407,0.5065,0.513,363890.49999999953
39,2022-05-21,0.5137,0.5549,0.51,0.5505,351081.0999999998
40,2022-05-22,0.5514,0.5514,0.5227,0.5319,279370.7999999995
41,2022-05-23,0.5319,0.5774,0.5057,0.5118,626156.0000000008
42,2022-05-24,0.5118,0.5385,0.5057,0.5349,253899.1999999984
43,2022-05-25,0.5344,0.5404,0.5272,0.5314,103244.20000000052
44,2022-05-26,0.5314,0.5361,0.4868,0.4913,281598.19999999285
45,2022-05-27,0.4913,0.4931,0.4718,0.4748,181234.09999999966
46,2022-05-28,0.4761,0.4925,0.474,0.4793,174903.29999999853
47,2022-05-29,0.4799,0.4842,0.4619,0.4694,257502.29999999935
48,2022-05-30,0.4685,0.533,0.4682,0.5145,675298.2000000003
49,2022-05-31,0.5145,0.5153,0.4856,0.5026,433014.79999999603
50,2022-06-01,0.5039,0.5168,0.4475,0.4621,457307.5999999979
51,2022-06-02,0.4621,0.4852,0.4569,0.4769,163552.90000000078
52,2022-06-03,0.4757,0.4797,0.4608,0.4653,95773.69999999991
53,2022-06-04,0.465,0.4764,0.4614,0.4708,75818.99999999999
54,2022-06-05,0.4705,0.4736,0.4646,0.4677,50989.10000000001
55,2022-06-06,0.4686,0.4996,0.4685,0.477,224726.20000000027
56,2022-06-07,0.4783,0.4795,0.4477,0.4622,341604.9
57,2022-06-08,0.4633,0.5055,0.4633,0.475,628751.700000001
58,2022-06-09,0.475,0.5076,0.4665,0.4793,294399.89999999973
59,2022-06-10,0.4789,0.4844,0.4469,0.4495,389694.6999999999
60,2022-06-11,0.4481,0.4579,0.431,0.4327,165331.600000001
61,2022-06-12,0.4333,0.437,0.4111,0.4129,96696.60000000031
62,2022-06-13,0.4138,0.4152,0.3247,0.3474,972022.8000000002
63,2022-06-14,0.3461,0.3672,0.3304,0.3504,412926.79999999836
64,2022-06-15,0.3517,0.3663,0.3256,0.3597,235849.6999999989
65,2022-06-16,0.3597,0.365,0.306,0.3131,322160.5000000002
66,2022-06-17,0.3147,0.333,0.3095,0.3215,298942.8000000005
67,2022-06-18,0.3204,0.3293,0.266,0.2904,451769.19999999896
68,2022-06-19,0.2901,0.3502,0.2684,0.3496,553855.5999999989
69,2022-06-20,0.3472,0.3499,0.3168,0.3262,445194.4000000014
70,2022-06-21,0.326,0.3635,0.3202,0.3334,734797.3999999998
71,2022-06-22,0.3336,0.3345,0.303,0.3087,458567.2000000009
