,date,open,high,low,close,volume
0,2022-01-03,296.59,298.48,285.77,289.59,161.51687889999965
1,2022-01-04,289.75,310.16,283.0,296.0,182.12937607
2,2022-01-05,295.05,307.01,255.58,267.33,293.53783565999987
3,2022-01-06,266.42,272.28,259.39,269.61,320.09956468000024
4,2022-01-07,270.48,273.81,247.52,250.44,321.2960278199999
5,2022-01-08,251.04,254.42,232.08,240.54,243.80665949000002
6,2022-01-09,239.82,251.91,239.07,246.74,266.36103624
7,2022-01-10,246.7,250.48,229.13,241.5,431.01596100999984
8,2022-01-11,240.71,261.44,240.37,260.84,258.4337204099999
9,2022-01-12,261.01,278.88,261.01,275.52,246.23529079999994
10,2022-01-13,275.22,280.61,265.19,265.55,191.24369153999984
11,2022-01-14,265.76,289.21,264.73,281.77,390.48369948000004
12,2022-01-15,282.15,289.35,280.56,289.08,94.48920611
13,2022-01-16,290.04,292.45,274.3,277.89,286.38673503
14,2022-01-17,277.9,278.02,255.79,259.13,145.12426033
15,2022-01-18,259.38,260.68,248.8,253.4,110.44613307999988
16,2022-01-19,253.58,254.13,241.44,243.66,76.38611467000001
17,2022-01-20,243.67,257.06,238.91,239.64,389.4155882099998
18,2022-01-21,239.41,241.0,211.45,214.11,568.8613792500007
19,2022-01-22,213.99,217.62,173.66,190.59,991.2692818200019
20,2022-01-23,190.14,198.24,181.19,191.78,313.55661634999996
21,2022-01-24,191.4,191.4,162.49,174.66,767.4564313200011
22,2022-01-25,175.05,180.73,170.07,173.51,187.27620447000015
23,2022-01-26,173.65,180.48,162.5,165.51,346.4066699100002
24,2022-01-27,165.22,168.23,156.27,164.61,279.78093906000026
25,2022-01-28,164.31,169.42,159.3,168.9,223.70180873000012
26,2022-01-29,168.56,174.04,167.74,171.32,64.55464776999997
27,2022-01-30,170.99,173.96,161.93,163.19,117.44232575999997
28,2022-01-31,163.5,165.0,155.17,159.81,196.76737306
29,2022-02-01,159.76,175.25,158.97,170.61,219.17712472000017
30,2022-02-02,171.2,177.62,160.76,162.45,267.74790015000025
31,2022-02-03,162.79,163.46,156.11,162.93,177.32491641999997
32,2022-02-04,163.02,181.78,162.46,180.34,333.5928544100002
33,2022-02-05,180.25,188.85,179.25,185.02,111.87657845999989
34,2022-02-06,184.81,198.64,180.81,195.6,227.67252777999963
35,2022-02-07,195.61,202.77,193.28,198.42,121.36792066000012
36,2022-02-08,198.61,204.92,185.25,192.5,231.83413614000008
37,2022-02-09,192.71,195.22,185.18,192.08,173.38756208000004
38,2022-02-10,192.11,193.62,178.64,179.28,246.93846869000004
39,2022-02-11,179.14,183.78,161.28,165.29,276.0602578600001
40,2022-02-12,164.7,172.4,161.02,166.54,183.42395421999993
41,2022-02-13,166.8,171.64,160.87,163.54,171.86917140000003
42,2022-02-14,163.21,168.38,159.37,167.2,134.2520002599999
43,2022-02-15,167.38,177.91,166.71,176.22,85.27306194999997
44,2022-02-16,176.16,178.04,166.84,166.84,311.35261678000006
45,2022-02-17,167.02,169.93,155.22,155.72,188.06219817000024
46,2022-02-18,155.07,159.67,147.91,150.01,263.4269029700003
47,2022-02-19,149.89,154.02,146.4,151.31,160.32531503
48,2022-02-20,151.48,151.48,136.35,139.17,196.75768748
49,2022-02-21,139.27,144.29,125.69,126.06,418.0609189000001
50,2022-02-22,126.05,133.2,122.74,129.91,264.26886635999995
51,2022-02-23,129.98,135.09,123.07,123.67,176.95153189000007
52,2022-02-24,123.39,125.09,105.48,118.05,548.6517089800008
53,2022-02-25,117.8,126.35,114.1,124.75,181.43411547000014
54,2022-02-26,124.88,129.75,122.55,124.92,77.30420527999992
55,2022-02-27,124.78,126.78,115.55,117.77,129.26369947999999
56,2022-02-28,117.63,130.03,115.26,129.99,145.94111568000008
57,2022-03-01,130.1,142.54,128.22,138.62,288.0857194700003
58,2022-03-02,138.68,140.5,133.53,138.56,111.66138565999992
59,2022-03-03,138.42,143.02,130.87,131.96,150.18454539999993
60,2022-03-04,131.86,132.37,119.19,120.61,69.77247406
61,2022-03-05,120.9,123.93,116.73,122.72,83.05151959000005
62,2022-03-06,122.54,124.35,117.47,119.74,63.68735193000002
63,2022-03-07,119.59,127.37,115.17,120.59,139.06004227999998
64,2022-03-08,120.61,127.64,119.44,122.38,172.10565919999996
65,2022-03-09,122.35,136.91,122.35,135.28,181.9016180300003
66,2022-03-10,135.38,139.88,123.0,126.69,315.8404383400004
67,2022-03-11,126.52,131.91,121.34,123.75,148.43286873000005
68,2022-03-12,123.88,127.51,123.51,123.72,19.760326019999976
69,2022-03-13,123.7,125.3,117.06,117.55,25.969983400000004
70,2022-03-14,117.27,120.97,116.41,120.5,231.1454888099996
71,2022-03-15,120.36,125.6,115.89,125.6,372.6329347899998
72,2022-03-16,125.46,130.88,121.85,130.64,367.8486414599994
73,2022-03-17,130.66,136.23,128.49,133.1,357.0646043800002
74,2022-03-18,132.93,149.12,131.31,148.56,394.2367452399997
75,2022-03-19,147.98,152.95,144.44,146.75,125.46856820999977
76,2022-03-20,146.63,152.91,142.08,152.33,285.60331556
77,2022-03-21,151.89,160.35,144.99,155.23,514.2681153300015
78,2022-03-22,155.37,160.45,153.83,158.33,169.92053156999984
79,2022-03-23,158.19,169.82,156.78,161.83,205.76066777000008
80,2022-03-24,161.78,165.24,156.68,163.0,304.0207426100002
81,2022-03-25,162.87,167.5,158.34,166.47,397.79116397000007
82,2022-03-26,166.61,170.39,163.86,164.23,207.50820725000014
83,2022-03-27,164.63,174.75,163.57,174.08,167.44327663999994
84,2022-03-28,173.78,181.75,164.17,168.22,640.7816980799997
85,2022-03-29,168.48,186.66,168.34,183.96,283.42358165999997
86,2022-03-30,183.78,193.24,175.95,188.17,453.40400595000045
87,2022-03-31,188.35,200.57,182.2,188.43,546.5662822500002
88,2022-04-01,188.63,195.48,178.27,189.43,264.04940754000035
89,2022-04-02,189.7,206.65,189.41,201.37,350.1430964000005
90,2022-04-03,201.63,204.54,195.83,201.59,154.40523001
91,2022-04-04,201.76,201.76,183.29,189.07,474.22359230000006
92,2022-04-05,189.08,194.69,179.38,179.7,365.39655048000054
93,2022-04-06,179.59,181.25,167.2,174.55,418.30697157000003
94,2022-04-07,174.23,183.46,171.1,181.57,392.7711252700006
95,2022-04-08,181.38,193.19,171.13,172.07,220.2655364100005
96,2022-04-09,172.02,178.72,170.81,178.49,141.57401733000017
97,2022-04-10,178.24,179.72,169.51,169.64,151.1549692600002
98,2022-04-11,169.95,169.95,150.26,152.28,513.1551291400006
99,2022-04-12,153.12,159.27,148.69,153.82,152.24843442
100,2022-04-13,153.77,161.88,151.2,159.89,296.01409199000034
101,2022-04-14,161.03,167.06,156.39,161.07,196.07581961000002
102,2022-04-15,160.9,167.64,158.51,166.38,160.5577139
103,2022-04-16,166.31,176.08,166.31,174.46,201.91715717999978
104,2022-04-17,174.61,178.98,169.21,169.21,139.71062912999997
105,2022-04-18,168.89,168.89,155.54,167.42,209.04482427000008
106,2022-04-19,167.2,178.6,163.6,176.66,153.30401935999987
107,2022-04-20,176.5,185.95,173.89,180.53,294.7448546099998
108,2022-04-21,180.77,184.97,165.23,168.76,218.0310011400001
109,2022-04-22,168.31,173.51,162.75,164.74,261.05404118000024
110,2022-04-23,164.63,167.18,159.33,162.28,84.77816110000008
111,2022-04-24,162.45,163.62,157.45,159.5,76.30455620999997
112,2022-04-25,159.5,164.41,149.35,164.41,212.02523856000002
113,2022-04-26,164.55,166.56,152.67,154.97,305.12014047000065
114,2022-04-27,154.84,163.48,154.84,158.28,181.01942309999973
115,2022-04-28,157.97,161.37,154.84,157.95,180.07085713
116,2022-04-29,158.05,159.44,145.14,145.22,216.69713985000007
117,2022-04-30,145.33,149.07,126.32,131.58,275.6874054800002
118,2022-05-01,131.79,137.03,128.92,132.55,196.64348115000018
119,2022-05-02,132.6,135.49,126.44,130.93,195.90291739000008
120,2022-05-03,130.85,134.84,126.23,127.59,123.24929508999992
121,2022-05-04,127.93,142.93,127.27,140.3,268.94495228000034
122,2022-05-05,140.73,144.42,125.8,127.49,286.64743518000034
123,2022-05-06,127.57,130.65,121.21,126.45,493.22276551000044
124,2022-05-07,126.62,127.25,115.89,117.87,272.18592308
125,2022-05-08,118.15,118.57,111.63,112.23,167.81129713999994
126,2022-05-09,112.29,115.45,94.12,94.15,1180.3780473700003
127,2022-05-10,94.75,104.51,89.32,92.83,976.93611172
128,2022-05-11,92.878,95.53,71.58,73.071,3962.5700204699956
129,2022-05-12,73.544,76.735,62.989,69.231,4125.5011222300045
130,2022-05-13,69.284,83.494,67.634,73.988,1261.3309486099977
131,2022-05-14,74.28,78.112,66.415,74.652,1056.4949678900045
132,2022-05-15,74.41,86.198,68.843,79.985,1949.6881200199994
133,2022-05-16,80.773,85.315,68.806,73.616,2846.1207185899793
134,2022-05-17,73.506,87.818,73.082,82.096,1987.9905170100017
135,2022-05-18,81.949,83.691,71.986,76.128,1068.481776620005
136,2022-05-19,76.229,82.362,71.2,80.478,951.3106662300086
137,2022-05-20,80.431,81.527,73.367,75.32,488.8805285299993
138,2022-05-21,75.468,80.365,73.405,80.087,272.0342295399997
139,2022-05-22,80.287,82.163,78.341,80.297,256.5876642200002
140,2022-05-23,80.194,89.078,78.405,82.48,455.7132072099986
141,2022-05-24,82.64,86.076,75.783,81.819,425.59479067999894
142,2022-05-25,81.87,86.488,78.797,79.325,407.0062909899994
143,2022-05-26,79.342,81.017,69.291,69.697,1623.5269846499982
144,2022-05-27,69.871,71.299,64.808,66.334,3262.2075963899833
145,2022-05-28,66.491,69.051,65.281,67.598,657.0689795500008
146,2022-05-29,67.507,72.66,65.442,71.912,388.07967150000013
147,2022-05-30,71.776,77.955,71.12,77.955,634.5170154100003
148,2022-05-31,77.978,82.72,73.722,79.892,2457.2348447599884
149,2022-06-01,79.856,87.518,70.343,72.939,2576.637240559992
150,2022-06-02,72.853,75.02,70.672,73.37,8083.120571240025
