,date,open,high,low,close,volume
0,2022-04-12,0.1139,0.1207,0.1127,0.1148,5549269.299999999
1,2022-04-13,0.1157,0.1212,0.114,0.121,3380453.1999999997
2,2022-04-14,0.1206,0.1211,0.114,0.1149,3129940.099999993
3,2022-04-15,0.1149,0.1165,0.1118,0.1153,3711569.900000005
4,2022-04-16,0.1148,0.1172,0.1138,0.1157,2596924.799999995
5,2022-04-17,0.1155,0.1213,0.1147,0.1168,3366784.2999999933
6,2022-04-18,0.1168,0.1222,0.1106,0.1161,8804915.900000019
7,2022-04-19,0.1163,0.1205,0.1149,0.1165,3482131.599999999
8,2022-04-20,0.1163,0.1213,0.1158,0.119,3128825.4999999884
9,2022-04-21,0.119,0.1208,0.115,0.1152,4454777.599999986
10,2022-04-22,0.1152,0.1227,0.1127,0.1162,5921580.800000004
11,2022-04-23,0.1168,0.1172,0.1133,0.1141,2279787.999999993
12,2022-04-24,0.1139,0.1202,0.1132,0.1193,3208986.5999999824
13,2022-04-25,0.1194,0.1194,0.1086,0.1134,5059206.300000009
14,2022-04-26,0.1134,0.1165,0.107,0.1102,3880505.3999999864
15,2022-04-27,0.1104,0.1114,0.1079,0.1088,2491178.300000007
16,2022-04-28,0.1089,0.1131,0.1072,0.1112,3334955.6999999904
17,2022-04-29,0.1111,0.1145,0.1026,0.1049,4043597.3999999915
18,2022-04-30,0.1049,0.1065,0.0974,0.0993,4055077.699999983
19,2022-05-01,0.0986,0.1061,0.0978,0.105,3631355.1999999834
20,2022-05-02,0.105,0.1073,0.1021,0.1045,2818208.699999983
21,2022-05-03,0.1044,0.1082,0.1023,0.1073,3400268.199999988
22,2022-05-04,0.1073,0.1123,0.1034,0.1109,5599909.899999967
23,2022-05-05,0.1109,0.113,0.0991,0.101,5310610.999999974
24,2022-05-06,0.101,0.1052,0.0984,0.1044,4310254.399999982
25,2022-05-07,0.1048,0.1056,0.0982,0.1009,3093206.1000000006
26,2022-05-08,0.1008,0.1016,0.0875,0.0907,6174948.599999986
27,2022-05-09,0.0902,0.0916,0.0753,0.077,10243662.400000082
28,2022-05-10,0.0779,0.0864,0.0735,0.0823,9458369.900000054
29,2022-05-11,0.0823,0.0839,0.0539,0.056,20818303.700000152
30,2022-05-12,0.056,0.0596,0.0441,0.052,14515072.499999959
31,2022-05-13,0.052,0.0751,0.0515,0.0573,6567777.900000005
32,2022-05-14,0.0577,0.0651,0.0561,0.0634,4184399.999999996
33,2022-05-15,0.0638,0.0759,0.0591,0.0705,5739477.999999998
34,2022-05-16,0.0709,0.073,0.065,0.0702,4879673.7999999905
35,2022-05-17,0.0695,0.0721,0.0669,0.0711,5733212.299999988
36,2022-05-18,0.0711,0.0714,0.0573,0.0578,7315180.699999998
37,2022-05-19,0.0579,0.0658,0.0577,0.0626,5965692.400000008
38,2022-05-20,0.0627,0.0643,0.057,0.0611,6233673.300000021
39,2022-05-21,0.0611,0.0645,0.0598,0.063,3125740.29999999
40,2022-05-22,0.0632,0.0644,0.0615,0.0642,2207492.0000000005
41,2022-05-23,0.0639,0.072,0.0624,0.0664,7616129.799999986
42,2022-05-24,0.0664,0.0681,0.0611,0.0653,7222202.299999993
43,2022-05-25,0.065,0.0663,0.061,0.0612,7157794.300000002
44,2022-05-26,0.0614,0.0641,0.0575,0.0603,6476104.200000012
45,2022-05-27,0.0606,0.0618,0.0569,0.0592,6977224.200000025
46,2022-05-28,0.0594,0.0665,0.0589,0.0634,7456930.099999948
47,2022-05-29,0.0638,0.0664,0.0601,0.0629,5162229.800000013
48,2022-05-30,0.063,0.0697,0.0623,0.0678,5190056.900000002
49,2022-05-31,0.0675,0.0735,0.066,0.0708,4373960.79999999
50,2022-06-01,0.0708,0.0749,0.0635,0.0659,9083831.800000034
51,2022-06-02,0.0657,0.0684,0.0608,0.0672,2996147.199999996
52,2022-06-03,0.0676,0.068,0.0621,0.0636,2432334.099999997
53,2022-06-04,0.0636,0.0664,0.0617,0.0663,1957988.300000002
54,2022-06-05,0.0656,0.0661,0.0631,0.0646,2139096.9000000022
55,2022-06-06,0.0646,0.074,0.0645,0.0684,5863260.000000016
56,2022-06-07,0.0683,0.0702,0.0595,0.0666,6072153.699999991
57,2022-06-08,0.0666,0.0842,0.0645,0.0686,10008058.700000027
58,2022-06-09,0.0687,0.0986,0.0681,0.0957,41869812.09999997
59,2022-06-10,0.0959,0.107,0.0749,0.0768,39887502.00000052
60,2022-06-11,0.0768,0.0867,0.0664,0.0688,12484501.499999974
61,2022-06-12,0.0692,0.0711,0.0625,0.063,9356262.299999986
62,2022-06-13,0.063,0.0634,0.0511,0.0519,14461306.00000001
63,2022-06-14,0.0519,0.0605,0.0501,0.0577,9736949.599999988
64,2022-06-15,0.0581,0.0726,0.0492,0.072,15655288.200000148
65,2022-06-16,0.0725,0.0738,0.055,0.0558,11690666.300000051
66,2022-06-17,0.057,0.0653,0.0564,0.0613,4694962.300000015
67,2022-06-18,0.0612,0.0627,0.051,0.0572,10058004.499999953
68,2022-06-19,0.0574,0.063,0.0533,0.0615,6902486.000000032
69,2022-06-20,0.0624,0.0665,0.0565,0.0643,7741804.399999998
70,2022-06-21,0.0643,0.067,0.0619,0.0636,3699573.6999999983
71,2022-06-22,0.0636,0.0649,0.0599,0.0609,3855726.400000003
72,2022-06-23,0.0613,0.0667,0.0608,0.0632,4253841.799999999
73,2022-06-24,0.0633,0.066,0.0614,0.0652,5106605.699999984
74,2022-06-25,0.0652,0.0673,0.0618,0.0642,5053119.100000021
75,2022-06-26,0.0645,0.0682,0.0636,0.0641,3505373.300000003
76,2022-06-27,0.0639,0.0697,0.0603,0.0643,6313164.39999998
77,2022-06-28,0.0639,0.0677,0.0601,0.0607,4192578.299999993
78,2022-06-29,0.0605,0.0626,0.057,0.0587,5428856.2
79,2022-06-30,0.0587,0.0601,0.0544,0.0594,5265837.9
80,2022-07-01,0.0594,0.064,0.0566,0.0578,5659707.700000004
81,2022-07-02,0.058,0.0596,0.0557,0.0586,2356483.6999999974
