,date,open,high,low,close,volume
0,2020-10-13,0.41,0.41,0.41,0.41,0.32
1,2020-10-14,0.43,0.43,0.43,0.43,10.0
2,2020-10-15,0.41,0.455,0.4,0.455,25.649999999999995
3,2020-10-16,0.4,0.425,0.331532,0.331532,23.58
4,2020-10-17,0.425,0.425,0.425,0.425,0.01
5,2020-10-21,0.41,0.41,0.41,0.41,0.07
6,2020-10-22,0.41,0.425,0.41,0.425,0.05
7,2020-10-23,0.380889,0.380889,0.380889,0.380889,1.07
8,2020-10-26,0.424999,0.424999,0.370803,0.370803,1.59
9,2020-10-27,0.37085,0.39,0.370643,0.370643,266.31999999999994
10,2020-10-28,0.37,0.37,0.327503,0.327503,3.35
11,2020-10-29,0.400999,0.400999,0.400999,0.400999,1.0
12,2020-10-30,0.336767,0.336767,0.3275,0.3275,0.12000000000000001
13,2020-10-31,0.4008,0.4008,0.4008,0.4008,0.01
14,2020-11-01,0.303732,0.303733,0.275003,0.275003,3742.4900000000002
15,2020-11-02,0.275006,0.35,0.275004,0.35,2263.87
16,2020-11-03,0.35,0.362723,0.35,0.362723,415.28999999999996
17,2020-11-04,0.362723,0.362724,0.35,0.362724,2445.81
18,2020-11-05,0.362724,0.362724,0.362723,0.362724,242.20000000000002
19,2020-11-06,0.362724,0.475,0.35,0.41643,10478.479999999985
20,2020-11-07,0.370001,0.370001,0.350001,0.350001,204.11000000000004
21,2020-11-09,0.350001,0.350003,0.350001,0.350001,497.56
22,2020-11-10,0.360443,0.399996,0.35,0.399996,958.7299999999999
23,2020-11-11,0.399996,0.41,0.399996,0.405,5.0
24,2020-11-12,0.395,0.395,0.350001,0.350001,340.0
25,2020-11-13,0.409735,0.409735,0.409735,0.409735,0.01
26,2020-11-16,0.409972,0.435,0.409972,0.435,46.06999999999999
27,2020-11-17,0.44,0.465,0.41,0.454999,1675.26
28,2020-11-18,0.418287,0.454985,0.350145,0.38,186.61999999999995
29,2020-11-19,0.401,0.46,0.400999,0.46,116.25999999999999
30,2020-11-20,0.464998,0.465,0.391117,0.4183,396.66
31,2020-11-21,0.4425,0.4425,0.4325,0.435564,12.33
32,2020-11-22,0.432508,0.57,0.425,0.4625,2256.66
33,2020-11-23,0.47,0.4975,0.4675,0.4775,13.440000000000001
34,2020-11-24,0.467502,0.5,0.410001,0.415,3048.609999999996
35,2020-11-25,0.415,0.44,0.39,0.4305,14.799999999999999
36,2020-11-26,0.4,0.4,0.34,0.375129,1485.0600000000002
37,2020-11-27,0.3755,0.4015,0.3755,0.4015,59.20000000000001
38,2020-11-28,0.4025,0.44,0.4025,0.416881,101.8
39,2020-11-29,0.42,0.42,0.415,0.415,1.0
40,2020-11-30,0.439999,0.45,0.439999,0.45,3.87
41,2020-12-01,0.452499,0.4575,0.4125,0.424822,195.09999999999997
42,2020-12-02,0.41,0.430549,0.371757,0.40055,202.85000000000002
43,2020-12-03,0.40055,0.499999,0.365,0.499999,109.55
44,2020-12-05,0.410002,0.410002,0.410002,0.410002,0.01
45,2020-12-06,0.4355,0.437499,0.4125,0.4125,1.3
46,2020-12-07,0.4355,0.437499,0.4355,0.437499,713.63
47,2020-12-08,0.43,0.43,0.41,0.41,1903.079999999999
48,2020-12-09,0.407502,0.407502,0.4025,0.4025,374.58
49,2020-12-10,0.425492,0.425492,0.3925,0.415499,1.32
50,2020-12-11,0.39,0.407548,0.385,0.407548,1.2100000000000002
51,2020-12-12,0.407549,0.437499,0.407549,0.42755,108.23999999999998
52,2020-12-13,0.43,0.5,0.43,0.5,588.6800000000001
53,2020-12-14,0.46,0.5,0.4575,0.5,353.4100000000001
54,2020-12-15,0.5,0.5025,0.4475,0.4475,4218.579999999997
55,2020-12-16,0.479995,0.51,0.479982,0.51,180.40999999999997
56,2020-12-17,0.5125,0.545,0.5125,0.523619,635.49
57,2020-12-18,0.523619,0.53546,0.471164,0.471164,9717.5
58,2020-12-19,0.475897,0.5075,0.465384,0.494413,19565.939999999995
59,2020-12-20,0.493776,0.501577,0.48537,0.495236,7732.960000000002
60,2020-12-21,0.495625,0.495625,0.468048,0.475796,11235.449999999995
61,2020-12-22,0.475797,0.484849,0.469765,0.471479,2121.24
62,2020-12-23,0.47431,0.488475,0.47431,0.488142,2421.71
63,2020-12-24,0.488142,0.504695,0.485683,0.504695,2245.0899999999997
64,2020-12-25,0.504695,0.5075,0.484423,0.5071,7042.350000000001
65,2020-12-26,0.508561,0.5355,0.508561,0.525275,6025.8499999999985
66,2020-12-27,0.52,0.666666,0.509712,0.571022,4839.2
67,2020-12-28,0.574801,0.669999,0.522501,0.588676,3324.550000000002
68,2020-12-29,0.588676,0.590929,0.5125,0.582132,6120.570000000002
69,2020-12-30,0.590929,0.997142,0.576267,0.613814,15469.460000000001
70,2020-12-31,0.613814,0.727721,0.606117,0.676173,13238.88999999999
71,2021-01-01,0.672834,0.678072,0.613023,0.641307,6234.350000000001
72,2021-01-02,0.646326,0.799999,0.594646,0.594646,10186.920000000038
73,2021-01-03,0.594704,0.6255,0.54,0.54,689.27
74,2021-01-04,0.570082,0.68965,0.561466,0.670801,3176.789999999997
75,2021-01-05,0.680938,0.8,0.675835,0.701039,1287.74
76,2021-01-06,0.752679,0.752715,0.593999,0.594,1596.1800000000003
77,2021-01-07,0.647617,1.66,0.5,0.609982,13344.159999999998
78,2021-01-08,0.604869,0.799967,0.573499,0.759422,764.5700000000003
79,2021-01-09,0.619507,0.761053,0.57,0.761053,95.57
80,2021-01-10,0.65729,0.76,0.55,0.55,399.15999999999997
81,2021-01-11,0.550009,0.7,0.4975,0.594999,7157.630000000002
82,2021-01-12,0.513153,0.615,0.490001,0.512486,1620.5099999999998
83,2021-01-13,0.5276,0.566239,0.491416,0.565336,827.1500000000003
84,2021-01-14,0.569088,0.62,0.559891,0.581957,3135.9600000000005
85,2021-01-15,0.579054,0.624997,0.536164,0.536164,2119.48
86,2021-01-16,0.536164,0.5675,0.400001,0.528657,4142.370000000019
87,2021-01-17,0.514378,0.514378,0.47,0.470013,100.88000000000001
88,2021-01-18,0.507876,0.6025,0.470019,0.6025,994.1799999999994
89,2021-01-19,0.602477,0.602477,0.477511,0.477511,247.46999999999971
90,2021-01-20,0.533714,0.68,0.487452,0.58,446.46999999999997
91,2021-01-21,0.58,0.5875,0.467501,0.467501,2299.8899999999994
92,2021-01-22,0.503933,0.627498,0.460001,0.601338,883.3500000000028
93,2021-01-23,0.543505,0.600914,0.490001,0.564521,898.7099999999998
94,2021-01-24,0.564436,0.57826,0.512969,0.57826,3734.8400000000006
95,2021-01-25,0.578214,0.67,0.55547,0.668933,11866.53000000001
96,2021-01-26,0.668934,0.686883,0.62909,0.664897,4940.26
97,2021-01-27,0.664897,0.682521,0.643379,0.643379,3318.7799999999997
98,2021-01-28,0.643379,0.649877,0.629583,0.64683,1188.1399999999999
99,2021-01-29,0.637202,0.646831,0.637202,0.637202,1923.7799999999997
