,date,open,high,low,close,volume
0,2021-11-03,0.1799,0.1799,0.13,0.1568,14225363.99999996
1,2021-11-04,0.155,0.1775,0.142,0.1489,22811700.699999984
2,2021-11-05,0.149,0.152,0.14,0.1409,6803674.800000009
3,2021-11-06,0.1409,0.15,0.13,0.1436,8872635.39999996
4,2021-11-07,0.1429,0.19,0.135,0.1447,38080988.70000024
5,2021-11-08,0.1449,0.188,0.143,0.1592,33819438.600000195
6,2021-11-09,0.1572,0.18,0.1513,0.1697,22939103.200000037
7,2021-11-10,0.169,0.27,0.1663,0.213,141897273.60000226
8,2021-11-11,0.2148,0.2235,0.1942,0.2011,22320199.800000284
9,2021-11-12,0.2012,0.2012,0.1632,0.177,18730646.399999924
10,2021-11-13,0.1774,0.1804,0.1654,0.1709,10335077.399999978
11,2021-11-14,0.1709,0.1848,0.1606,0.166,8460436.30000004
12,2021-11-15,0.1664,0.1861,0.1625,0.1672,16437987.099999985
13,2021-11-16,0.1663,0.1838,0.1576,0.1624,13671160.700000053
14,2021-11-17,0.1625,0.1735,0.1522,0.1528,11795039.700000139
15,2021-11-18,0.153,0.1586,0.135,0.1391,7950166.999999974
16,2021-11-19,0.1392,0.1566,0.1359,0.1505,7209201.59999999
17,2021-11-20,0.1507,0.1729,0.1416,0.1564,10651003.100000024
18,2021-11-21,0.1576,0.1806,0.1505,0.1671,19696834.000000045
19,2021-11-22,0.1677,0.1677,0.15,0.1615,8217708.69999999
20,2021-11-23,0.1618,0.1825,0.1561,0.1653,16553541.100000111
21,2021-11-24,0.1652,0.1662,0.1505,0.1577,6937151.899999995
22,2021-11-25,0.1578,0.1624,0.1494,0.1578,10566134.60000005
23,2021-11-26,0.1566,0.1787,0.1426,0.1553,17673937.300000016
24,2021-11-27,0.1545,0.1655,0.1502,0.1569,6919903.600000047
25,2021-11-28,0.1569,0.17,0.151,0.159,10793258.500000065
26,2021-11-29,0.159,0.1624,0.153,0.1559,6356866.700000021
27,2021-11-30,0.1565,0.158,0.15,0.1544,5567716.100000005
28,2021-12-01,0.1544,0.1575,0.1483,0.1507,4516383.500000011
29,2021-12-02,0.15,0.1532,0.1448,0.1468,2817485.8000000003
30,2021-12-03,0.1468,0.1521,0.14,0.1404,3298250.2000000007
31,2021-12-04,0.1406,0.1428,0.106,0.1222,5384227.100000193
32,2021-12-05,0.1224,0.1336,0.1157,0.1201,3446387.3000000375
33,2021-12-06,0.1189,0.1229,0.109,0.1145,4664977.500000079
34,2021-12-07,0.115,0.15,0.1145,0.1256,17423471.39999952
35,2021-12-08,0.1256,0.1306,0.121,0.1231,2607028.7999999924
36,2021-12-09,0.1238,0.1257,0.1134,0.1135,1435135.8999999869
37,2021-12-10,0.1142,0.1183,0.108,0.1101,1691800.0999999922
38,2021-12-11,0.1093,0.111,0.1028,0.1075,3696837.300000013
39,2021-12-12,0.1075,0.109,0.1027,0.1072,2131528.79999997
40,2021-12-13,0.1073,0.1095,0.0941,0.0951,2732560.9000000074
41,2021-12-14,0.0952,0.097,0.0901,0.0933,1708547.7999999549
42,2021-12-15,0.0938,0.1343,0.0918,0.1186,7221977.600000049
43,2021-12-16,0.1187,0.1229,0.102,0.1046,10827644.399999987
44,2021-12-17,0.1045,0.125,0.1026,0.1111,13191259.099999873
45,2021-12-18,0.1112,0.1151,0.102,0.1099,4083083.500000014
46,2021-12-19,0.1099,0.1104,0.105,0.1061,1537531.199999992
47,2021-12-20,0.1072,0.1089,0.0988,0.1003,2066769.699999958
48,2021-12-21,0.1006,0.1086,0.0996,0.1028,3620713.0000000265
49,2021-12-22,0.1029,0.1133,0.1024,0.1053,4429294.200000051
50,2021-12-23,0.1053,0.1158,0.1037,0.1132,3675628.699999997
51,2021-12-24,0.1133,0.1163,0.1116,0.1129,1538848.7999999956
52,2021-12-25,0.1125,0.1143,0.1119,0.1138,692622.0000000001
53,2021-12-26,0.1141,0.1142,0.1112,0.1124,814777.0999999999
54,2021-12-27,0.1125,0.1164,0.1123,0.1145,1216041.5000000007
55,2021-12-28,0.1145,0.1153,0.109,0.1094,1057527.8999999976
56,2021-12-29,0.1096,0.1098,0.1075,0.1075,868831.499999999
