,date,open,high,low,close,volume
0,2021-06-24,23.94,25.37,23.1,23.23,72335.99500000004
1,2021-06-25,23.26,23.85,19.73,19.88,128726.66600000023
2,2021-06-26,19.9,21.42,17.85,18.48,88893.50099999968
3,2021-06-27,18.59,21.85,18.39,20.23,106369.82699999974
4,2021-06-28,20.22,20.5,19.1,19.44,20241.69399999997
5,2021-06-29,19.47,21.25,19.44,20.2,32872.68500000001
6,2021-06-30,20.25,23.03,18.83,19.63,90675.94199999998
7,2021-07-01,19.69,19.74,18.14,18.38,38129.49199999984
8,2021-07-02,18.38,18.51,16.99,17.4,35208.49699999981
9,2021-07-03,17.4,18.67,17.4,17.99,54272.76299999987
10,2021-07-04,17.99,18.69,17.85,18.17,13236.93800000002
11,2021-07-05,18.17,18.23,17.01,17.3,16083.188999999995
12,2021-07-06,17.26,17.88,17.01,17.18,27386.555999999964
13,2021-07-07,17.19,17.88,17.15,17.28,46914.449999999924
14,2021-07-08,17.26,17.27,15.43,16.18,46474.84300000011
15,2021-07-09,16.25,16.9,15.36,16.07,52584.988000000034
16,2021-07-10,16.05,16.4,15.44,15.57,20127.169999999966
17,2021-07-11,15.56,15.98,15.48,15.64,20369.554000000004
18,2021-07-12,15.64,16.14,14.55,14.73,28120.185999999983
19,2021-07-13,14.72,15.43,14.09,14.57,26921.418999999914
20,2021-07-14,14.51,14.72,13.13,14.17,28568.44599999995
21,2021-07-15,14.17,15.26,13.13,13.38,27746.622999999894
22,2021-07-16,13.39,14.49,12.21,12.28,62262.86299999995
23,2021-07-17,12.27,17.19,12.12,14.14,302593.54200000037
24,2021-07-18,14.19,14.48,12.81,12.95,84352.02299999971
25,2021-07-19,12.95,12.99,11.51,11.58,97378.3709999998
26,2021-07-20,11.63,11.73,10.8,11.1,30040.789999999924
27,2021-07-21,11.11,12.53,10.7,11.46,107046.24499999982
28,2021-07-22,11.45,12.7,11.25,11.37,75349.30199999985
29,2021-07-23,11.37,12.18,11.14,12.11,102956.36900000002
30,2021-07-24,12.16,12.92,11.79,12.06,104761.59899999996
31,2021-07-25,12.08,12.42,11.87,12.3,76521.55800000054
32,2021-07-26,12.35,13.63,12.12,12.36,166917.41400000014
33,2021-07-27,12.4,15.26,12.3,14.48,356842.6759999905
34,2021-07-28,14.43,14.96,13.69,14.13,111080.20399999912
35,2021-07-29,14.1,17.55,13.75,16.13,204227.85099999944
36,2021-07-30,16.09,27.8,15.98,19.11,900111.9040001681
37,2021-07-31,19.12,21.2,18.66,18.83,260604.3519999964
38,2021-08-01,18.78,19.22,16.59,16.91,142491.10299999954
39,2021-08-02,16.87,17.65,16.72,17.09,59504.02300000097
40,2021-08-03,17.09,17.1,15.52,15.9,86124.52999999847
41,2021-08-04,15.9,17.56,15.75,17.16,123102.27099999784
42,2021-08-05,17.2,17.42,16.03,16.52,94848.43200000051
43,2021-08-06,16.48,17.6,14.83,17.17,85773.84500000006
44,2021-08-07,17.19,17.98,15.2,17.02,100946.84800000043
45,2021-08-08,17.04,21.92,16.62,18.23,471827.56499997654
46,2021-08-09,18.18,20.68,17.5,18.76,168043.46899999795
47,2021-08-10,18.75,19.66,18.62,19.15,126629.93400000125
48,2021-08-11,19.19,20.93,18.0,18.41,108609.97399999821
49,2021-08-12,18.39,19.0,17.68,18.3,54994.42799999975
50,2021-08-13,18.3,19.9,18.05,19.14,75323.74999999968
51,2021-08-14,19.16,20.8,18.74,19.86,107420.82499999795
52,2021-08-15,19.89,20.34,19.3,20.02,43630.089000000014
53,2021-08-16,20.06,20.81,19.16,19.4,77861.79399999978
54,2021-08-17,19.34,20.05,18.34,18.36,50380.301999999974
55,2021-08-18,18.35,19.17,17.52,18.4,53470.09099999984
56,2021-08-19,18.4,23.74,17.76,21.04,171461.8039999987
57,2021-08-20,21.09,24.2,20.68,21.78,330924.39000001183
58,2021-08-21,21.78,22.76,21.39,22.22,48247.89600000006
