,date,open,high,low,close,volume
0,2020-10-13,0.1983,0.1983,0.1866,0.1889,5810148.148565062
1,2020-10-14,0.1886,0.1927,0.1775,0.1803,6732993.047831497
2,2020-10-15,0.1805,0.1873,0.1766,0.1839,6513992.2881350145
3,2020-10-16,0.1838,0.1843,0.1669,0.1693,9004678.674781637
4,2020-10-17,0.1692,0.1823,0.1679,0.1715,10999367.206597611
5,2020-10-18,0.1718,0.182,0.171,0.176,7431762.726355747
6,2020-10-19,0.1755,0.178,0.168,0.1713,10827754.715060715
7,2020-10-20,0.1717,0.1753,0.1566,0.1584,12203527.761186166
8,2020-10-21,0.158,0.17954,0.1577,0.166,17254774.232936654
9,2020-10-22,0.1656,0.1749,0.16479,0.1701,7029389.781098847
10,2020-10-23,0.1702,0.172,0.1624,0.1662,6066782.403346271
11,2020-10-24,0.166,0.1686,0.1632,0.1666,9306671.15549764
12,2020-10-25,0.1667,0.1708,0.1642,0.1642,7482541.663515142
13,2020-10-26,0.1643,0.1679,0.1505,0.157,10143447.77332531
14,2020-10-27,0.1571,0.16225,0.1537,0.1554,12912869.416842978
15,2020-10-28,0.1556,0.1595,0.14,0.1452,15565100.09496366
16,2020-10-29,0.145,0.1464,0.1303,0.1334,12485910.585695561
17,2020-10-30,0.1337,0.1363,0.12,0.1281,14447308.20498482
18,2020-10-31,0.128,0.1449,0.1267,0.1427,15425437.16038481
19,2020-11-01,0.1428,0.1638,0.1417,0.149,19999295.58604125
20,2020-11-02,0.1486,0.1517,0.1365,0.1394,8351304.891127706
21,2020-11-03,0.1394,0.1396,0.1295,0.1314,6634701.202538584
22,2020-11-04,0.1304,0.1314,0.1181,0.1244,7927938.337152007
23,2020-11-05,0.1245,0.1288,0.115,0.1208,13558897.384563137
24,2020-11-06,0.1207,0.1408,0.1203,0.1386,11389952.00072881
25,2020-11-07,0.1381,0.1621,0.1341,0.1436,18171556.704992395
26,2020-11-08,0.1436,0.1613,0.1385,0.1561,10283185.49799723
27,2020-11-09,0.1561,0.1732,0.1477,0.1564,16343785.220199507
28,2020-11-10,0.1568,0.288,0.1549,0.2166,67744208.64305219
29,2020-11-11,0.2167,0.27701,0.1789,0.1856,75255477.46072577
30,2020-11-12,0.1853,0.189,0.1714,0.179,24676994.389551025
31,2020-11-13,0.1787,0.20908,0.1766,0.1911,15754305.686603965
32,2020-11-14,0.191,0.1934,0.1734,0.1787,11774080.861547781
33,2020-11-15,0.1791,0.1882,0.1711,0.1769,13282412.071321988
34,2020-11-16,0.1769,0.1919,0.1728,0.1849,8795513.915483948
35,2020-11-17,0.1847,0.1895,0.1802,0.1853,9051510.38344803
36,2020-11-18,0.1853,0.1899,0.1703,0.1772,10388022.70643904
37,2020-11-19,0.177,0.1891,0.173,0.1765,16046556.312334511
38,2020-11-20,0.1764,0.2001,0.1745,0.1874,15683284.371742314
39,2020-11-21,0.1877,0.212,0.1809,0.1988,21915247.788456365
40,2020-11-22,0.1993,0.20356,0.1778,0.1887,11344854.64195728
41,2020-11-23,0.1895,0.2029,0.1853,0.1977,13667402.060352378
42,2020-11-24,0.1977,0.2473,0.1936,0.2257,37083006.21875999
43,2020-11-25,0.2256,0.2394,0.201,0.2096,25573252.911825724
44,2020-11-26,0.2088,0.2223,0.1626,0.1907,21084115.06517206
45,2020-11-27,0.1911,0.1963,0.1717,0.187,7271208.647907777
46,2020-11-28,0.18256,0.2139,0.18256,0.1908,13595336.35395377
47,2020-11-29,0.1907,0.2013,0.1868,0.196,6769641.607272668
48,2020-11-30,0.1964,0.2024,0.1912,0.2021,8305307.117693819
49,2020-12-01,0.202,0.205,0.184,0.1889,13017094.127310548
50,2020-12-02,0.1888,0.2057,0.1859,0.2001,9519262.1632379
51,2020-12-03,0.2003,0.202,0.1927,0.1988,5196970.226783413
52,2020-12-04,0.1992,0.2,0.1796,0.1811,11506148.298941854
53,2020-12-05,0.1809,0.1944,0.179,0.1941,6452458.278669003
54,2020-12-06,0.1942,0.1958,0.183,0.1889,6284560.254358382
55,2020-12-07,0.1894,0.1895,0.1811,0.1844,3451890.215462343
56,2020-12-08,0.184,0.2598,0.1725,0.1843,44551282.56810522
57,2020-12-09,0.184,0.22171,0.1686,0.18826,49938898.11097851
58,2020-12-10,0.1875,0.1879,0.1731,0.1741,11621479.153112976
59,2020-12-11,0.1745,0.1789,0.165,0.1667,12798437.223369189
60,2020-12-12,0.1664,0.1899,0.1664,0.1784,12377229.126103384
61,2020-12-13,0.1788,0.1822,0.1743,0.1781,8444425.044515679
62,2020-12-14,0.1778,0.1789,0.1733,0.1775,5403330.370190867
63,2020-12-15,0.1774,0.21231,0.1705,0.1722,5539894.308199196
64,2020-12-16,0.1723,0.1836,0.1689,0.1739,14447229.1631491
65,2020-12-17,0.174,0.1837,0.16644,0.1716,12526843.268393124
66,2020-12-18,0.172,0.1776,0.16716,0.1731,7818120.585290241
67,2020-12-19,0.1731,0.1796,0.171,0.1722,8500290.68556889
68,2020-12-20,0.1716,0.1744,0.162,0.1719,10522440.112799048
69,2020-12-21,0.1719,0.1767,0.1586,0.1609,12535511.143648734
70,2020-12-22,0.1609,0.17,0.1547,0.1643,11858859.562845265
71,2020-12-23,0.1643,0.1655,0.1291,0.1412,14226734.459145034
72,2020-12-24,0.1413,0.1513,0.1358,0.1495,11918441.445650736
73,2020-12-25,0.1493,0.1598,0.1454,0.1522,10118430.01623909
74,2020-12-26,0.1523,0.1599,0.1464,0.1521,7753582.8493164
75,2020-12-27,0.1522,0.168,0.145,0.1609,10706966.243155027
76,2020-12-28,0.161,0.19,0.1573,0.1759,37789326.646457545
77,2020-12-29,0.1758,0.1889,0.1658,0.1838,39872446.67456064
78,2020-12-30,0.1839,0.2199,0.1775,0.1796,45373590.96211056
79,2020-12-31,0.1792,0.1797,0.1659,0.1697,14074383.527414724
80,2021-01-01,0.1696,0.1818,0.1676,0.1758,15079698.16607104
81,2021-01-02,0.1758,0.18,0.1701,0.1756,7688525.693161073
82,2021-01-03,0.1757,0.3149,0.17461,0.2908,99424840.44235998
83,2021-01-04,0.2918,0.42,0.2429,0.3636,307381499.708621
84,2021-01-05,0.3634,0.63,0.355,0.4801,453532825.4758526
85,2021-01-06,0.4803,0.61408,0.3667,0.4057,231208564.5507543
86,2021-01-07,0.4064,0.45,0.25,0.3702,102659760.00860247
87,2021-01-08,0.3706,0.41052,0.3138,0.35,61756162.2983028
