,date,open,high,low,close,volume
0,2020-10-13,1.1529,1.180675,1.12994,1.1421,52013.20665267006
1,2020-10-14,1.14569,1.16112,1.10823,1.11658,59421.71895012003
2,2020-10-15,1.11739,1.12817,1.07745,1.10452,52774.537658199864
3,2020-10-16,1.10761,1.11244,1.042275,1.06279,69312.3810036699
4,2020-10-17,1.05624,1.10406,1.04519,1.07079,32263.965818290053
5,2020-10-18,1.07214,1.109024,1.05598,1.10328,63267.77087471001
6,2020-10-19,1.09895,1.13123,1.07814,1.10295,104608.01854332977
7,2020-10-20,1.10308,1.10462,1.058603,1.07038,72286.30931918991
8,2020-10-21,1.07048,1.127521,1.06467,1.09565,84609.41694817983
9,2020-10-22,1.09706,1.134264,1.09602,1.11266,61060.220150319976
10,2020-10-23,1.11231,1.127184,1.096392,1.11038,72744.62063294993
11,2020-10-24,1.10617,1.141839,1.105,1.128879,75833.15974390997
12,2020-10-25,1.1234,1.13098,1.096783,1.12392,138189.25438074986
13,2020-10-26,1.12418,1.1329,1.06855,1.08359,108015.32456159966
14,2020-10-27,1.08162,1.135827,1.066845,1.08587,107815.19222129998
15,2020-10-28,1.08657,1.106899,1.024445,1.06402,106648.43775005965
16,2020-10-29,1.0646,1.075056,1.0396,1.04837,77558.66483645007
17,2020-10-30,1.0483,1.07623,1.01913,1.04011,56914.93055850001
18,2020-10-31,1.03991,1.06395,1.02197,1.02641,42547.58115378988
19,2020-11-01,1.02417,1.03285,1.007754,1.02547,44616.656906919874
20,2020-11-02,1.02302,1.045081,0.986222,1.00104,71576.95831949983
21,2020-11-03,1.00046,1.00151,0.92664,1.00072,59479.522512299794
22,2020-11-04,1.00124,1.016745,0.97517,0.99109,59327.56550569994
23,2020-11-05,0.9904,1.04914,0.9848,1.02624,88267.43749066984
24,2020-11-06,1.02579,1.208122,1.01688,1.14331,176067.8136896703
25,2020-11-07,1.14408,1.16236,1.030038,1.07512,127831.02132919966
26,2020-11-08,1.088744,1.12839,1.08445,1.10703,55877.30630460003
27,2020-11-09,1.10663,1.1203,1.05162,1.10253,61852.14659391998
28,2020-11-10,1.10474,1.14937,1.08502,1.14004,64441.86132925999
29,2020-11-11,1.143796,1.149411,1.104583,1.10589,56469.4038413398
30,2020-11-12,1.10495,1.134541,1.0841,1.09715,70177.70297275986
31,2020-11-13,1.09848,1.124574,1.08542,1.11195,53732.4368025401
32,2020-11-14,1.12247,1.133291,1.0619,1.09063,66261.20308275998
33,2020-11-15,1.09153,1.115063,1.05338,1.07175,154901.44000078965
34,2020-11-16,1.07134,1.114546,1.05242,1.08112,161070.57002546944
35,2020-11-17,1.08092,1.176402,1.06482,1.13455,131473.08123590972
36,2020-11-18,1.14406,1.203726,1.09063,1.15238,123416.33232595956
37,2020-11-19,1.15753,1.198372,1.10584,1.15941,112609.5406074799
38,2020-11-20,1.15213,1.205013,1.14051,1.188281,84024.20124554
39,2020-11-21,1.18218,1.307138,1.15084,1.28834,98956.44730948002
40,2020-11-22,1.302779,1.338922,1.13169,1.23095,140520.4991158593
41,2020-11-23,1.260347,1.357847,1.18842,1.28265,163415.70398921013
42,2020-11-24,1.28219,1.62392,1.26778,1.44918,256729.0926799404
43,2020-11-25,1.45865,1.585,1.30981,1.437645,131454.91989842942
44,2020-11-26,1.443423,1.471411,1.117319,1.21986,324924.60958056105
