,date,open,high,low,close,volume
0,2020-10-13,50.73,50.797,48.8446,49.95,536084.6783128938
1,2020-10-14,49.981,51.095,49.2427,49.84,371799.4026557544
2,2020-10-15,49.81,50.318,48.8225,49.58,435538.89431162307
3,2020-10-16,49.569,49.9,45.42,47.6083,648632.6126405114
4,2020-10-17,47.646,47.688,46.3027,46.93,457904.9670630982
5,2020-10-18,46.97,47.998,46.7958,47.58,238877.90269271954
6,2020-10-19,47.58,48.508,46.6,48.0,302748.39348684927
7,2020-10-20,48.027,48.46,46.3315,46.93,398052.8576601752
8,2020-10-21,46.928,55.19,46.8465,53.1,1417638.253222651
9,2020-10-22,53.105,56.403,52.9995,54.41,1509704.6009602593
10,2020-10-23,54.437,57.04,53.1539,55.46,1147256.9153203645
11,2020-10-24,55.456,59.699,54.8394,59.1964,1137782.0878414782
12,2020-10-25,59.255,60.122,56.56,58.89,998414.8439680749
13,2020-10-26,58.841,59.38,54.9255,56.9,1111648.7218462855
14,2020-10-27,56.88,59.3,56.5,57.95,909364.7792016166
15,2020-10-28,57.973,60.9,54.696,55.84,1286312.4801778083
16,2020-10-29,55.816,56.5731,53.346,54.836,1020889.7449201496
17,2020-10-30,54.835,55.81,52.187,54.0038,808279.724057092
18,2020-10-31,54.054,56.51,53.6,55.748,792347.7487369543
19,2020-11-01,55.744,56.24,53.991,55.65,485895.4108076712
20,2020-11-02,55.6098,56.86,53.05,53.8258,725350.3974912454
21,2020-11-03,53.812,54.4,51.07,53.945,753656.2625643513
22,2020-11-04,53.989,55.34,51.602,54.75,839649.0210915714
23,2020-11-05,54.722,59.79,54.631,58.958,1092784.7519547918
24,2020-11-06,58.879,63.76,58.557,63.29,1734934.737478979
25,2020-11-07,63.166,64.87,56.98,58.95,1630087.4708521955
26,2020-11-08,58.975,62.07,58.5545,61.0091,942751.0614170759
27,2020-11-09,61.082,61.969,57.4394,59.28,882920.8406208535
28,2020-11-10,59.29,59.648,57.0289,57.97,863665.29530208
29,2020-11-11,57.976,60.69,57.8274,59.286,790725.157698615
30,2020-11-12,59.33,60.81,57.6257,60.75,1000438.920762052
31,2020-11-13,60.655,66.67,60.1274,66.01,1690445.2935261305
32,2020-11-14,65.9634,66.34,61.7,63.7513,1100451.2162578902
33,2020-11-15,63.858,64.5,61.01,62.37,747422.8503325835
34,2020-11-16,62.2834,74.65,62.1043,73.83,2218781.9136563577
35,2020-11-17,73.7723,77.06,71.315,76.3079,2368501.7382248347
36,2020-11-18,76.401,77.18,68.0001,73.409,2392573.8000899977
37,2020-11-19,73.371,84.0,71.29,81.5681,2679419.5070365
38,2020-11-20,81.64,85.92,80.0234,82.5155,2347534.127031316
39,2020-11-21,82.491,88.56,80.003,87.0635,2413863.2764614904
40,2020-11-22,86.856,88.01,77.13,83.0,2208996.516878775
41,2020-11-23,82.95,90.98,80.8,89.18,2375400.64067581
42,2020-11-24,89.13,94.05,85.394,89.34,2835376.194045452
43,2020-11-25,89.2402,90.74,77.713,81.75,1855810.1620150786
44,2020-11-26,81.68,83.26,64.3,70.9134,3063700.5451337574
45,2020-11-27,71.188,73.732,65.28,69.18,2505053.6114637894
46,2020-11-28,69.318,75.0,68.3095,72.7064,1577556.1357748136
47,2020-11-29,72.75,81.21,71.5326,79.0,1707981.1764614827
48,2020-11-30,79.007,88.56,76.6185,87.67,2066159.5326380932
49,2020-12-01,87.689,93.159,78.39,85.17,3226831.1005321518
50,2020-12-02,85.18,90.74,82.606,88.99,1869230.7254156957
51,2020-12-03,89.088,91.83,85.4622,88.9834,1550054.7243343403
