,date,open,high,low,close,volume
0,2021-11-13,49.591,53.34,48.381,52.112,264629.07891472906
1,2021-11-14,52.141,52.456,49.095,51.086,190492.19331679787
2,2021-11-15,51.079,51.576,48.036,48.095,196759.85148624005
3,2021-11-16,48.065,48.065,41.184,43.235,999924.2740010748
4,2021-11-17,43.23,43.906,40.545,43.263,726629.6974524466
5,2021-11-18,43.238,45.151,38.845,40.315,1054884.3727671478
6,2021-11-19,40.312,43.465,39.63,42.429,569655.3111632501
7,2021-11-20,42.431,45.546,41.46,45.228,561690.4397860117
8,2021-11-21,45.393,45.395,42.679,43.574,420645.14428476756
9,2021-11-22,43.574,43.935,40.455,41.124,671316.9640469936
10,2021-11-23,41.134,43.415,39.79,42.747,458960.50562364317
11,2021-11-24,42.747,43.025,37.845,38.581,584952.1553490292
12,2021-11-25,38.553,43.86,38.425,43.57,309607.856147122
13,2021-11-26,43.595,45.15,37.908,41.171,806542.8675166119
14,2021-11-27,41.129,44.418,40.995,43.906,158620.91190527065
15,2021-11-28,43.882,50.236,42.209,50.18,647271.0453006106
16,2021-11-29,50.237,52.952,47.765,51.735,392892.99775363796
17,2021-11-30,51.698,60.0,50.56,59.638,1551556.0368769432
18,2021-12-01,59.72,64.815,55.88,63.989,1484465.128896271
19,2021-12-02,63.98,66.476,61.301,66.372,1025747.9994654559
20,2021-12-03,66.283,70.462,63.027,63.723,1138354.5499954834
21,2021-12-04,63.652,78.211,49.625,75.255,2548523.0100560123
22,2021-12-05,75.255,78.37,65.5,68.248,2298836.063878243
23,2021-12-06,68.161,68.385,59.977,67.062,2349143.702289089
24,2021-12-07,67.07,74.394,65.733,68.86,1740970.7981226952
25,2021-12-08,68.82,75.898,65.19,75.206,1274311.2817149633
26,2021-12-09,75.207,76.65,65.682,66.548,1263772.8739161724
27,2021-12-10,66.548,71.97,60.591,60.94,1244524.827201272
28,2021-12-11,60.981,63.879,57.776,60.227,962592.4276596482
29,2021-12-12,60.184,62.573,57.623,62.069,993499.5699885023
30,2021-12-13,62.062,62.531,52.492,53.0,1097998.933871649
31,2021-12-14,53.0,60.647,52.203,60.196,1083128.5329580673
32,2021-12-15,60.196,64.005,54.391,61.684,989474.7935120334
33,2021-12-16,61.83,68.453,61.063,64.29,947435.7468550028
34,2021-12-17,64.281,68.954,60.742,65.607,617866.0782207951
35,2021-12-18,65.653,74.517,62.445,74.336,581896.7883173176
36,2021-12-19,74.216,78.97,72.395,78.254,612131.8877513467
37,2021-12-20,78.2,83.0,72.3,82.081,1024474.1461096078
38,2021-12-21,82.162,88.974,79.596,87.334,599354.8576065158
39,2021-12-22,87.343,98.005,84.531,85.446,737921.0430718238
40,2021-12-23,85.446,95.098,84.335,94.448,456585.4016980154
41,2021-12-24,94.275,101.5,93.827,95.766,697161.2960055224
42,2021-12-25,95.764,100.98,95.273,98.444,332692.0919247555
