,date,open,high,low,close,volume
0,2020-10-21,0.00195,0.00195,0.0015602,0.0017233,3745.636
1,2020-10-23,0.00185,0.0024563,0.00185,0.0024563,41054.49405074
2,2020-10-25,0.00172,0.00172,0.00154,0.0015778,40972.385061999994
3,2020-10-26,0.0023456,0.0023456,0.0023456,0.0023456,14766.092699
4,2020-11-02,0.00168,0.00168,0.0016029,0.0016029,13227.907301
5,2020-11-03,0.0017914,0.0019534,0.0017279,0.0019485,694693.09419578
6,2020-11-05,0.0016139,0.00168,0.0016113,0.0016113,8991.0
7,2020-11-06,0.0016597,0.0016597,0.0016597,0.0016597,6986.0
8,2020-11-07,0.0022,0.0022,0.0015275,0.0021882,533914.29705717
9,2020-11-08,0.0020987,0.0020987,0.0020987,0.0020987,10000.0
10,2020-11-09,0.001577,0.001639,0.0015678,0.001639,144517.38387488
11,2020-11-13,0.0015857,0.0016257,0.0015857,0.0016,110000.0
12,2020-11-15,0.0015811,0.0015811,0.0015811,0.0015811,2859.64598097
13,2020-11-16,0.0015811,0.0020138,0.0015811,0.0015811,3306.395
14,2020-11-20,0.00159,0.0020138,0.00159,0.0020138,75356.42474546
15,2020-11-22,0.00177,0.00177,0.00177,0.00177,11526.923076
16,2020-11-24,0.0020138,0.00202,0.0018339,0.0018339,60473.041359539995
17,2020-11-25,0.0018303,0.0020541,0.0015855,0.0020541,1060007.7209921398
18,2020-11-26,0.0020715,0.0020715,0.0020714,0.0020714,50804.0
19,2020-11-28,0.0018,0.0018,0.0018,0.0018,29935.0
20,2020-11-29,0.0018,0.0018,0.0018,0.0018,9939.000212
21,2020-11-30,0.0020523,0.00209,0.00183,0.00183,296402.15054
22,2020-12-02,0.00183,0.00192,0.0015859,0.00192,3047889.7519739904
23,2020-12-03,0.00167,0.00181,0.00167,0.00181,206472.66711999
24,2020-12-04,0.0016716,0.00178,0.0016716,0.00178,2553.17244672
25,2020-12-05,0.00195,0.0020632,0.00193,0.0020632,255070.65228039
26,2020-12-06,0.0017608,0.0017608,0.0017608,0.0017608,1057.71271458
27,2020-12-14,0.0017978,0.0017978,0.0017978,0.0017978,22999.99999976
28,2020-12-15,0.00186,0.0023899,0.00181,0.0023503,267326.74913205
29,2020-12-16,0.00255,0.0028791,0.0024295,0.0025605,176878.50208445
30,2020-12-17,0.0028791,0.0028791,0.0028,0.0028,10995.276598
31,2020-12-18,0.0026949,0.00315,0.0026949,0.0030983,14584.59697059
32,2020-12-19,0.0031294,0.0032964,0.0031294,0.0032964,40662.0040658
33,2020-12-20,0.0033782,0.0034,0.00333,0.0033874,73400.975701
34,2020-12-21,0.0027,0.0029,0.0025809,0.00274,66951.43536100001
35,2020-12-22,0.00272,0.003,0.00272,0.003,57523.10720699
36,2020-12-23,0.003,0.003,0.00262,0.00262,2888.489907
37,2020-12-26,0.00293,0.00293,0.00293,0.00293,1615.832462
38,2020-12-27,0.0024879,0.0028308,0.0024607,0.0028308,94990.0
39,2020-12-28,0.0032,0.0034,0.003,0.0034,180392.35781186
40,2020-12-29,0.0034,0.0034,0.0025594,0.0025594,2281.72891574
41,2021-01-02,0.00339,0.00339,0.0026158,0.00265,47281.633208
42,2021-01-03,0.0026,0.0026527,0.0026,0.0026527,11950.11
43,2021-01-04,0.003,0.003,0.00241,0.0025148,113563.625381
44,2021-01-05,0.0029,0.0029,0.0024142,0.0024142,10980.0
45,2021-01-06,0.003,0.0030291,0.0024598,0.0024598,11214.01729056
46,2021-01-07,0.0031,0.0032068,0.0026,0.0026,44409.07806
47,2021-01-08,0.002522,0.0026,0.002522,0.0025396,4936.6
48,2021-01-09,0.0025438,0.0027,0.0025438,0.0027,1759.5
49,2021-01-10,0.0026099,0.0026099,0.00241,0.0024258,69649.72931667
50,2021-01-11,0.00235,0.0027143,0.0020668,0.0027,64558.31698113
51,2021-01-12,0.0026889,0.0026889,0.0026889,0.0026889,4535.551461
52,2021-01-13,0.0021275,0.0027,0.0021275,0.0022283,168329.01283335
53,2021-01-14,0.0027,0.00315,0.0027,0.00315,197381.69111588
54,2021-01-15,0.0027287,0.00328,0.0027287,0.00328,5560.829497
55,2021-01-16,0.0033,0.0036,0.0027287,0.0027287,24502.24286055
56,2021-01-18,0.0035786,0.0035786,0.0035,0.0035,20000.0
57,2021-01-20,0.0035789,0.0035789,0.003108,0.003108,68933.570727
58,2021-01-21,0.003108,0.003108,0.003108,0.003108,998.0
59,2021-01-22,0.003108,0.003108,0.003108,0.003108,65874.0
60,2021-01-24,0.0034885,0.0039,0.0034885,0.0039,172455.81398942
61,2021-01-25,0.00352,0.00352,0.00352,0.00352,24815.1203
62,2021-01-27,0.0035129,0.0035129,0.00321,0.0032109,12146.131765680002
