,date,open,high,low,close,volume
0,2020-10-13,0.040111,0.064,0.0053886,0.0063998,40687.98724706
1,2020-10-15,0.072,0.072,0.0053603,0.007,48758.0
2,2020-10-16,0.007,0.07,0.0065416,0.0065503,20928.0
3,2020-10-17,0.0067209,0.072,0.0067209,0.072,1030.0
4,2020-10-18,0.0070836,0.0089539,0.0070835,0.0089539,11140.0
5,2020-10-20,0.0071089,0.071,0.0071089,0.071,2082.0
6,2020-10-21,0.0082067,0.0082067,0.0082066,0.0082066,7204.0
7,2020-10-22,0.0089231,0.0089231,0.008923,0.008923,2341.0
8,2020-10-23,0.0089121,0.065,0.00834,0.0126738,25813.0
9,2020-10-24,0.0125737,0.0125737,0.0053518,0.0076052,23307.0
10,2020-10-27,0.0065706,0.0065706,0.0065706,0.0065706,2331.0
11,2020-10-28,0.0067298,0.0067298,0.0062072,0.0062072,194602.0
12,2020-10-29,0.0074672,0.0074672,0.0074628,0.0074629,1475.0
13,2020-10-30,0.0054949,0.0054949,0.0048901,0.0048901,10097.0
14,2020-10-31,0.0068984,0.0074402,0.0068984,0.0074402,647.0
15,2020-11-01,0.05,0.05,0.0065892,0.0065892,148.96857383
16,2020-11-03,0.0071857,0.0072573,0.0071857,0.0072573,3001.0
17,2020-11-04,0.007207,0.007207,0.007207,0.007207,2292.0
18,2020-11-05,0.065,0.1,0.0072016,0.0072016,1187159.0836581802
19,2020-11-06,0.0064743,0.053,0.006448,0.053,4037.0
20,2020-11-07,0.051,0.051,0.0061626,0.046773,3729.0298010000006
21,2020-11-08,0.00498,0.00498,0.00498,0.00498,700.0
22,2020-11-09,0.05298,0.09283,0.0067153,0.0092672,361880.47718668
23,2020-11-10,0.0069928,0.0585,0.0069764,0.0585,11389.608228030003
24,2020-11-11,0.0069763,0.0585,0.0069763,0.0585,2387.0
25,2020-11-16,0.0585,0.0585,0.0585,0.0585,216.956522
26,2020-11-17,0.0074455,0.0074455,0.0074455,0.0074455,8.0
27,2020-11-19,0.004972,0.004972,0.004972,0.004972,10.0
28,2020-11-21,0.0069807,0.0070388,0.0069807,0.0070388,3332.0
29,2020-11-22,0.0585,0.0585,0.0065699,0.0065699,2086.0
30,2020-11-23,0.0065715,0.0066,0.0062818,0.0062818,2641.0
31,2020-11-24,0.0585,0.0585,0.0049972,0.0055399,4264.76752363
32,2020-11-25,0.0092898,0.0092899,0.0060013,0.0086,13405.0
33,2020-11-26,0.0086,0.0555,0.0086,0.0505,9479.0
34,2020-11-27,0.0051351,0.078,0.005135,0.0056,170682.07777815
35,2020-11-28,0.0056614,0.0741,0.0056613,0.0741,2048.0
36,2020-11-29,0.069,0.069,0.062,0.062,96.0
37,2020-11-30,0.006095,0.0777,0.0060805,0.0061177,4551.808
38,2020-12-01,0.0050499,0.0050499,0.0050499,0.0050499,652.0
39,2020-12-02,0.0777,0.0777,0.073,0.073,82.0
40,2020-12-03,0.0049718,0.0777,0.0043427,0.054001,1162.0750738
41,2020-12-04,0.0060883,0.047598,0.0060882,0.04612,5445.252154059999
42,2020-12-06,0.0060723,0.0060723,0.0049277,0.0049277,1010.0
43,2020-12-08,0.046,0.046,0.042709,0.042709,690.309
44,2020-12-09,0.0050001,0.0050001,0.004945,0.004945,1270.0
45,2020-12-11,0.0060693,0.0060693,0.0060413,0.0060413,315.0
46,2020-12-14,0.0061109,0.0061177,0.0061109,0.0061177,202163.0
47,2020-12-15,0.0062111,0.0062115,0.006211,0.006211,8240.0
48,2020-12-16,0.0080164,0.045891,0.0073749,0.0073749,36218.0
49,2020-12-17,0.0088419,0.055,0.0088419,0.055,2192.0
50,2020-12-18,0.054,0.055,0.054,0.055,64.0
51,2020-12-19,0.008842,0.008842,0.008842,0.008842,30.0
52,2020-12-20,0.0088419,0.056,0.0088419,0.0091273,2616.0
53,2020-12-22,0.039277,0.053485,0.0064249,0.041,17706.674367040003
54,2020-12-23,0.00824,0.052711,0.0069623,0.051755,3004.171879
55,2020-12-24,0.052,0.052,0.042,0.051894,2575.0
56,2020-12-27,0.009,0.042561,0.0056249,0.042561,1938.731285
57,2020-12-28,0.00524,0.0089909,0.0052,0.0052,5841.0
58,2020-12-29,0.04,0.04,0.0071418,0.0089999,7694.72425072
59,2020-12-30,0.0089999,0.037389,0.0089999,0.037389,45.71401482
60,2020-12-31,0.0373,0.037842,0.0052115,0.0052115,12400.0
61,2021-01-01,0.0373,0.0373,0.036011,0.0365,3560.31261306
62,2021-01-02,0.0085498,0.0361,0.0052129,0.03,13483.054929
63,2021-01-03,0.0087997,0.03,0.0087997,0.03,365.0
64,2021-01-04,0.0075006,0.0087799,0.0075001,0.0087799,5887.0
65,2021-01-05,0.00878,0.0087997,0.0054003,0.0054003,3601.0
66,2021-01-06,0.0089999,0.011,0.0054033,0.0109999,6630.0
67,2021-01-07,0.011,0.050885,0.0109998,0.0508,4437.597813
68,2021-01-08,0.054989,0.058167,0.0077316,0.0092716,81446.75612022
69,2021-01-09,0.0093552,0.055624,0.007928,0.013,14049.87014527
70,2021-01-10,0.031376,0.055415,0.031376,0.052494,6877.299999999999
71,2021-01-11,0.052373,0.05749,0.007,0.0129904,14339.00806828
72,2021-01-12,0.01299,0.04999,0.0070143,0.0076265,1388.0
73,2021-01-13,0.0070002,0.055,0.0070002,0.055,7409.81437816
74,2021-01-15,0.0070313,0.0070313,0.0070313,0.0070313,1.0
75,2021-01-18,0.0070008,0.0129742,0.0070008,0.0070014,150.0
76,2021-01-19,0.058,0.091,0.0070017,0.008,440440.36290986
77,2021-01-20,0.052,0.061329,0.008,0.008,10256.0579996
78,2021-01-21,0.0082,0.043912,0.008,0.008,11776.909
79,2021-01-22,0.0070018,0.0123278,0.0070018,0.0120845,23039.0
80,2021-01-23,0.0070791,0.0070791,0.0070016,0.0070016,4943.0
81,2021-01-25,0.011,0.01295,0.0074018,0.01295,7967.0
82,2021-01-26,0.01295,0.013,0.0118999,0.013,4781.0
83,2021-01-27,0.0081672,0.058187,0.0081672,0.0565,2988.936
84,2021-01-28,0.0129999,0.058,0.0086034,0.013399,21484.292849100006
85,2021-01-29,0.0455,0.047327,0.0125225,0.046,1916.122312
86,2021-01-30,0.047327,0.053357,0.009834,0.0133999,2444.93587078
87,2021-01-31,0.0107421,0.046,0.0106875,0.0106875,12110.888552370001
88,2021-02-01,0.041197,0.048326,0.0129999,0.040525,8816.176911
89,2021-02-02,0.0098661,0.012865,0.0096188,0.012865,10121.0
90,2021-02-03,0.0118173,0.0118173,0.0118173,0.0118173,3.0
91,2021-02-04,0.0475,0.0482,0.0092709,0.0116044,3439.01569
92,2021-02-05,0.011688,0.0482,0.011688,0.0482,2396.0
93,2021-02-06,0.0120322,0.0482,0.0107117,0.0136764,28454.270693
94,2021-02-07,0.0136796,0.053357,0.0123171,0.0506,44739.773883990005
95,2021-02-08,0.041725,0.059,0.0123313,0.0123313,17982.43636214
96,2021-02-09,0.0129912,0.0129912,0.0129912,0.0129912,4055.0
97,2021-02-10,0.011273,0.059,0.0112729,0.0146455,109590.000841
98,2021-02-11,0.0123672,0.061,0.0123672,0.0446,16471.333971099997
99,2021-02-12,0.044579,0.061,0.0143291,0.0585,19096.18049176
100,2021-02-13,0.046653,0.064175,0.0142897,0.0142897,15831.742265700002
101,2021-02-14,0.0142883,0.070335,0.0095141,0.070335,122167.36216496
102,2021-02-15,0.0176186,0.0727,0.0144267,0.0161,25999.768665030002
103,2021-02-16,0.0163,0.06238,0.016,0.0176424,10832.972477
104,2021-02-17,0.061616,0.061616,0.0150003,0.0176571,5586.69201439
105,2021-02-18,0.0205512,0.07322,0.0205512,0.0727,14613.750856999999
106,2021-02-19,0.0267662,0.081858,0.0240896,0.0240896,10574.407961429997
107,2021-02-20,0.0808,0.0964,0.0259999,0.0259999,18537.66061603
108,2021-02-21,0.026,0.09639,0.021,0.0306307,11084.482581
109,2021-02-22,0.0270635,0.09635,0.0226717,0.0341,13192.23211877
110,2021-02-23,0.0288003,0.070415,0.0178583,0.0178583,24825.981222000002
111,2021-02-24,0.018,0.090598,0.018,0.075,8329.58842
112,2021-02-25,0.025,0.088179,0.025,0.088179,172.0
113,2021-02-26,0.088822,0.095,0.0210003,0.095,5753.08056377
114,2021-02-27,0.072626,0.091016,0.02495,0.02495,2115.664038
115,2021-02-28,0.0214596,0.072626,0.018,0.018,9351.48
116,2021-03-01,0.0212339,0.072627,0.0170001,0.022307,9119.88
117,2021-03-02,0.0201095,0.0202,0.0200002,0.0202,3493.0
118,2021-03-03,0.0203,0.2,0.0203,0.0232,333810.59569388995
119,2021-03-04,0.0231,0.12948,0.0216572,0.12595,2514.75
120,2021-03-05,0.0200007,0.13,0.018998,0.0216571,4612.0
121,2021-03-06,0.13,0.13,0.0766,0.07701,38057.37195524
122,2021-03-07,0.0216571,0.11656,0.0216568,0.0216571,5007.950048
123,2021-03-08,0.0216571,0.11345,0.0203328,0.113,4079.0337980000004
124,2021-03-09,0.0216568,0.092874,0.0216568,0.092874,449.3
125,2021-03-10,0.0216571,0.0219,0.0216571,0.0219,9.0
126,2021-03-11,0.0229984,0.11111,0.0190733,0.097,67136.581728
127,2021-03-12,0.0229997,0.11111,0.0190748,0.0229865,3922.9054422500003
128,2021-03-13,0.098026,0.111,0.0235633,0.0235633,3530.12663469
129,2021-03-14,0.111,0.1345,0.0260001,0.0377769,46397.61446783
130,2021-03-15,0.0343444,0.11318,0.0331231,0.0394959,24688.0
131,2021-03-16,0.038,0.11318,0.034112,0.034112,10778.775634000001
132,2021-03-17,0.034112,0.12428,0.032525,0.032525,3428.2
133,2021-03-18,0.0317097,0.12988,0.0316356,0.032111,86168.59113125
134,2021-03-19,0.105,0.11876,0.0351368,0.060696,166429.49111946995
135,2021-03-20,0.074419,0.26,0.062042,0.26,101151.43422159998
136,2021-03-21,0.078306,0.2599999,0.0675,0.2132905,180567.39662454996
137,2021-03-22,0.14,0.1999846,0.081,0.12,136245.12996660997
138,2021-03-23,0.12001,0.18,0.0940201,0.1453395,59204.20907833001
139,2021-03-24,0.1152,0.1768718,0.0910001,0.1045296,61244.10266564
140,2021-03-25,0.11,0.15006,0.0649982,0.13442,47837.9692646
141,2021-03-26,0.09,0.12862,0.0820464,0.1048163,32693.3841057
142,2021-03-27,0.082089,0.0983728,0.082089,0.0880269,1012.0
143,2021-03-28,0.0976435,0.1195611,0.0750003,0.0781028,24448.0
144,2021-03-29,0.0780011,0.1322293,0.0762,0.1198741,20544.0
145,2021-03-30,0.0971003,0.119996,0.0971001,0.1174226,19617.0
146,2021-03-31,0.1156726,0.1187007,0.101907,0.101907,9339.0
147,2021-04-01,0.1046065,0.1298187,0.0888,0.0890193,19877.0
148,2021-04-02,0.126697,0.126697,0.0888395,0.0980715,2679.0
149,2021-04-03,0.1005308,0.115,0.1005308,0.103,6189.0
150,2021-04-04,0.1026892,0.1149989,0.0952123,0.0952123,8678.0
151,2021-04-05,0.0950001,0.0964333,0.0876213,0.0964333,3735.0
152,2021-04-06,0.0912773,0.1149999,0.0906407,0.1023436,9728.0
153,2021-04-07,0.09,0.1149999,0.0878103,0.0989327,4680.0
154,2021-04-08,0.0956316,0.1059999,0.0953225,0.0953225,3534.0
155,2021-04-09,0.1149997,0.1149997,0.09,0.09804,6006.0
156,2021-04-10,0.1023937,0.14,0.1011102,0.14,17002.0
157,2021-04-11,0.1399999,0.1777777,0.1253196,0.1398869,16572.0
158,2021-04-12,0.1296989,0.2,0.1296989,0.1892,25266.0
159,2021-04-13,0.189232,0.2048432,0.1437798,0.1437798,19999.0
