,date,open,high,low,close,volume
0,2021-07-15,4.99,5.5,4.65,4.83,471693.55
1,2021-07-16,4.82,5.14,3.9,3.92,736200.6299999909
2,2021-07-17,3.9,4.37,3.78,3.93,817035.8499999936
3,2021-07-18,3.93,4.19,3.76,3.87,233889.95000000007
4,2021-07-19,3.85,3.88,3.39,3.47,301382.7600000007
5,2021-07-20,3.44,3.64,3.0,3.06,382799.04000000056
6,2021-07-21,3.08,3.44,3.05,3.27,425053.18000000017
7,2021-07-22,3.28,3.37,3.17,3.25,189917.12999999983
8,2021-07-23,3.24,4.22,3.21,3.87,881772.8799999949
9,2021-07-24,3.86,4.18,3.6,3.64,667495.4599999989
10,2021-07-25,3.65,4.74,3.54,4.22,782515.1699999941
11,2021-07-26,4.22,4.86,4.0,4.07,628542.4800000011
12,2021-07-27,4.08,4.18,3.75,4.0,183492.5299999998
13,2021-07-28,3.99,4.19,3.89,4.01,189233.14000000074
14,2021-07-29,4.02,4.02,3.84,3.96,198596.71999999997
15,2021-07-30,3.96,4.28,3.8,4.03,288196.31
16,2021-07-31,4.03,5.69,3.97,5.53,1659982.7399999856
17,2021-08-01,5.54,5.54,4.57,4.66,655186.6399999999
18,2021-08-02,4.66,4.99,4.42,4.68,311747.2499999987
19,2021-08-03,4.67,5.9,4.54,5.26,975291.3900000026
20,2021-08-04,5.26,6.5,5.23,6.2,932225.3100000155
21,2021-08-05,6.18,7.33,5.92,6.65,1017497.0200000065
22,2021-08-06,6.64,6.65,5.96,6.1,544455.4899999975
23,2021-08-07,6.08,8.2,5.78,7.65,1461511.0299999856
24,2021-08-08,7.67,7.89,6.75,6.75,967927.7200000037
25,2021-08-09,6.75,7.5,6.42,7.09,463121.3299999941
26,2021-08-10,7.07,7.11,6.43,6.79,359668.87000000046
27,2021-08-11,6.77,7.39,6.65,6.75,703925.7099999854
28,2021-08-12,6.75,6.99,5.93,6.29,503512.680000001
29,2021-08-13,6.29,6.79,6.19,6.69,388448.09000000195
30,2021-08-14,6.7,7.77,6.65,6.95,1066757.6200000038
31,2021-08-15,6.96,7.11,6.47,7.06,265365.28999999806
32,2021-08-16,7.07,7.53,6.67,7.0,570182.5300000062
33,2021-08-17,6.99,7.25,6.34,6.36,337263.28999999916
34,2021-08-18,6.36,6.56,6.08,6.16,183264.72000000018
35,2021-08-19,6.17,6.79,6.12,6.66,155803.53999999867
36,2021-08-20,6.67,6.88,6.52,6.87,177318.13999999975
37,2021-08-21,6.86,6.88,6.46,6.48,107638.59999999986
38,2021-08-22,6.49,7.49,6.41,7.07,553714.6799999996
39,2021-08-23,7.09,11.22,7.09,9.58,2470323.4100000793
40,2021-08-24,9.57,15.1,9.15,12.54,3003095.760000393
41,2021-08-25,12.54,21.0,12.44,17.91,5301126.649999867
42,2021-08-26,17.91,18.46,13.3,13.56,4124263.1300002714
43,2021-08-27,13.5,14.95,12.71,13.97,1896469.8800001182
44,2021-08-28,14.03,16.83,13.78,14.65,1891092.5400000713
45,2021-08-29,14.65,15.74,13.66,13.94,925778.109999969
46,2021-08-30,13.96,14.0,11.86,11.96,980745.2099999984
47,2021-08-31,11.98,12.83,10.91,11.23,1041290.6599999848
48,2021-09-01,11.23,12.59,10.95,11.94,1231746.2500000119
49,2021-09-02,11.95,13.66,11.79,12.38,1307931.5900000003
50,2021-09-03,12.36,12.89,11.44,11.96,696774.4700000024
51,2021-09-04,11.95,12.92,11.81,11.96,660558.6200000054
52,2021-09-05,11.96,12.85,11.81,12.31,485113.20000000036
53,2021-09-06,12.32,12.98,11.2,12.01,639333.920000013
54,2021-09-07,11.99,12.78,7.72,9.06,1736814.1800000097
55,2021-09-08,9.07,9.84,7.95,9.0,1424570.2199999583
56,2021-09-09,9.01,9.75,8.56,9.15,778854.29999998
57,2021-09-10,9.13,9.48,8.26,8.57,367207.3300000002
58,2021-09-11,8.59,9.07,8.23,8.55,222294.23000000065
59,2021-09-12,8.53,13.91,8.3,12.98,2025755.320000071
60,2021-09-13,12.97,13.18,9.81,11.39,1923195.640000046
61,2021-09-14,11.39,11.59,10.22,10.57,533027.7999999939
62,2021-09-15,10.58,11.36,10.27,10.97,397243.8900000038
63,2021-09-16,10.95,13.26,10.56,12.33,1105414.4199999808
64,2021-09-17,12.34,12.64,10.92,11.13,374297.19999999297
65,2021-09-18,11.18,11.69,10.69,10.96,216176.58000000112
66,2021-09-19,10.96,12.56,10.61,11.18,676941.9099999849
67,2021-09-20,11.2,11.22,9.0,9.4,507653.99999998877
68,2021-09-21,9.37,9.55,8.0,8.43,325954.15000000334
69,2021-09-22,8.46,9.62,8.21,9.37,332289.0199999999
70,2021-09-23,9.36,9.85,8.91,9.8,275012.20000000193
71,2021-09-24,9.8,11.14,8.55,9.32,1100880.6499999953
72,2021-09-25,9.32,9.51,8.7,8.86,224541.79
73,2021-09-26,8.86,8.88,7.39,8.07,382165.2000000387
74,2021-09-27,8.1,9.45,7.93,8.14,622137.8399999944
75,2021-09-28,8.11,8.68,8.04,8.17,428614.5300000003
76,2021-09-29,8.17,8.94,8.06,8.53,320510.6500000029
77,2021-09-30,8.53,9.3,8.36,8.97,316528.5500000117
78,2021-10-01,8.99,9.76,8.83,9.56,495888.7699999946
79,2021-10-02,9.56,10.92,9.33,10.25,780079.260000126
80,2021-10-03,10.24,10.49,9.9,10.16,291388.0999999999
81,2021-10-04,10.12,10.13,9.37,9.74,284355.82000000105
82,2021-10-05,9.72,11.81,9.64,11.22,1269195.000000045
83,2021-10-06,11.22,11.83,10.27,10.71,491730.319999988
84,2021-10-07,10.7,12.22,10.3,11.61,669081.9699999859
85,2021-10-08,11.64,11.64,10.63,10.8,412305.8499999997
86,2021-10-09,10.8,10.91,10.33,10.57,254244.19000000058
87,2021-10-10,10.55,10.97,9.72,9.8,438282.1800000375
88,2021-10-11,9.78,10.22,9.44,9.75,255078.430000002
89,2021-10-12,9.72,9.72,8.75,9.3,458512.77999999846
90,2021-10-13,9.32,9.6,8.89,9.29,422957.9299999998
91,2021-10-14,9.27,9.82,9.25,9.39,240317.41999999998
92,2021-10-15,9.42,10.65,9.04,10.07,536933.3600000024
93,2021-10-16,10.05,11.25,9.91,10.16,560990.9000000121
94,2021-10-17,10.16,11.38,9.97,10.66,481180.0100000081
95,2021-10-18,10.67,10.86,9.82,10.05,160479.48999999708
96,2021-10-19,10.07,10.31,9.73,9.93,173102.34999999913
97,2021-10-20,9.94,10.47,9.74,10.13,174558.50999999949
98,2021-10-21,10.12,10.84,9.91,9.92,328993.1500000037
99,2021-10-22,9.94,10.41,9.62,9.91,152055.62999999893
100,2021-10-23,9.89,9.99,9.66,9.88,46721.24999999977
101,2021-10-24,9.87,9.88,9.15,9.33,101315.02999999945
102,2021-10-25,9.32,9.76,9.27,9.75,119939.18999999874
103,2021-10-26,9.76,9.87,9.34,9.49,156649.17999999877
104,2021-10-27,9.48,17.79,9.42,10.59,2405994.6300000497
105,2021-10-28,10.61,12.64,10.6,11.44,1190365.4799999453
106,2021-10-29,11.44,12.08,11.16,11.22,207570.6999999981
107,2021-10-30,11.22,11.34,10.22,10.55,200572.4699999989
108,2021-10-31,10.56,11.54,9.92,10.76,413441.50000000227
109,2021-11-01,10.77,12.7,10.55,11.41,597883.7800000106
110,2021-11-02,11.42,13.02,11.04,12.55,454738.65999999904
111,2021-11-03,12.57,14.39,12.12,13.17,838874.2200000007
112,2021-11-04,13.22,13.23,11.65,12.07,202676.78999999724
113,2021-11-05,12.09,12.53,11.52,11.79,134527.85999999792
114,2021-11-06,11.75,12.35,10.95,11.37,135076.99999999825
115,2021-11-07,11.37,12.0,11.3,11.91,81889.96999999938
116,2021-11-08,11.91,12.77,11.63,12.14,254333.24999999828
117,2021-11-09,12.15,12.89,11.82,12.52,271586.38999999873
118,2021-11-10,12.51,16.68,12.29,15.87,1633125.769999896
119,2021-11-11,15.89,19.78,14.74,15.64,1788713.1500000963
120,2021-11-12,15.6,16.63,14.21,14.72,702714.2200000051
121,2021-11-13,14.71,15.09,13.66,13.86,305277.360000002
122,2021-11-14,13.87,15.47,13.7,14.57,824414.4099999798
123,2021-11-15,14.61,14.65,13.11,13.29,275687.18000000133
124,2021-11-16,13.3,13.3,10.97,11.79,414481.1500000016
125,2021-11-17,11.79,12.16,11.1,12.02,318519.9300000013
126,2021-11-18,12.01,12.4,9.91,10.36,582278.4399999976
127,2021-11-19,10.39,11.6,10.11,11.16,364114.5300000038
128,2021-11-20,11.17,11.98,11.15,11.73,352928.8900000048
129,2021-11-21,11.74,13.2,11.27,12.21,609139.6500000026
130,2021-11-22,12.22,13.4,11.76,12.28,492932.48000003106
131,2021-11-23,12.31,12.98,11.54,12.64,315312.3900000028
132,2021-11-24,12.69,13.46,12.17,13.14,564508.5000000142
133,2021-11-25,13.14,14.44,12.78,14.02,540259.670000027
134,2021-11-26,14.04,19.56,13.78,19.25,2798891.4399999813
135,2021-11-27,19.24,22.58,17.2,17.98,2427314.65000027
136,2021-11-28,17.98,18.49,14.67,16.07,893341.8799999941
137,2021-11-29,16.1,18.59,15.47,18.16,824286.7099999972
138,2021-11-30,18.15,18.58,15.51,15.91,343856.04000000743
139,2021-12-01,15.9,17.24,15.3,15.5,433032.5500000163
140,2021-12-02,15.5,15.55,14.5,15.22,327423.48000001046
141,2021-12-03,15.21,15.53,12.71,13.12,199065.80999999575
142,2021-12-04,13.11,13.11,8.66,11.85,793029.5199999776
143,2021-12-05,11.85,12.13,10.48,11.18,376007.03000000794
144,2021-12-06,11.19,11.53,9.98,11.4,361403.580000007
145,2021-12-07,11.42,13.3,11.36,13.05,418143.3700000032
146,2021-12-08,13.05,13.51,11.87,13.16,208260.0100000025
147,2021-12-09,13.18,14.6,12.39,12.5,386971.76000000455
148,2021-12-10,12.52,12.95,11.09,11.19,138963.13999999996
149,2021-12-11,11.2,11.8,10.99,11.68,67470.56999999969
150,2021-12-12,11.73,11.86,11.14,11.75,64341.87999999949
151,2021-12-13,11.73,12.0,9.86,9.93,131387.0500000009
152,2021-12-14,9.96,10.63,9.76,10.5,72375.76999999983
153,2021-12-15,10.47,11.08,9.92,10.93,139039.83000000037
154,2021-12-16,10.91,11.89,10.83,10.9,119549.4399999996
155,2021-12-17,10.92,11.46,10.29,10.87,112718.15000000014
156,2021-12-18,10.88,11.57,10.65,11.14,61126.589999999735
