,date,open,high,low,close,volume
0,2021-03-11,0.3871,0.59,0.314,0.4243,226442280.80001178
1,2021-03-12,0.425,0.5376,0.3924,0.4145,399949092.9000123
2,2021-03-13,0.4147,0.4694,0.4097,0.4249,173058984.70000008
3,2021-03-14,0.4274,0.4385,0.3727,0.3806,118930211.89999896
4,2021-03-15,0.3812,0.43,0.3781,0.3912,115608669.99999963
5,2021-03-16,0.3917,0.3963,0.348,0.3735,107185915.80000177
6,2021-03-17,0.3735,0.427,0.3709,0.4016,137536451.00000206
7,2021-03-18,0.4015,0.4378,0.3845,0.3893,106105840.00000139
8,2021-03-19,0.3896,0.4246,0.3737,0.4094,78726423.80000065
9,2021-03-20,0.4094,0.4195,0.3825,0.3837,52078388.00000002
10,2021-03-21,0.3837,0.4006,0.3646,0.3809,64138294.80000056
11,2021-03-22,0.3801,0.3845,0.3221,0.346,72887257.50000028
12,2021-03-23,0.3465,0.3664,0.3252,0.3303,78755753.69999956
13,2021-03-24,0.3306,0.3779,0.3053,0.3211,107637907.09999985
14,2021-03-25,0.3212,0.3364,0.2973,0.3003,112249593.10000004
15,2021-03-26,0.3004,0.343,0.291,0.3368,87190766.40000084
16,2021-03-27,0.3369,0.3576,0.3311,0.3321,62733530.40000013
17,2021-03-28,0.3318,0.3555,0.3275,0.3462,57975840.59999925
18,2021-03-29,0.3464,0.4283,0.3368,0.3841,147010319.49999887
19,2021-03-30,0.3843,0.3884,0.36,0.3709,68529507.29999988
20,2021-03-31,0.3711,0.3839,0.3378,0.3607,63076816.70000008
21,2021-04-01,0.3603,0.3781,0.3525,0.3632,50539971.20000041
22,2021-04-02,0.3632,0.397,0.357,0.3832,68223037.1000004
23,2021-04-03,0.3832,0.3989,0.351,0.3517,45760027.99999973
24,2021-04-04,0.3514,0.3726,0.3438,0.3613,26679454.799999855
25,2021-04-05,0.3613,0.3708,0.346,0.3702,50549936.20000031
26,2021-04-06,0.371,0.3896,0.361,0.3743,54829149.4999995
27,2021-04-07,0.3743,0.3758,0.3107,0.3377,59612515.700000085
28,2021-04-08,0.3378,0.3611,0.3357,0.356,29714889.499999974
29,2021-04-09,0.356,0.3838,0.35,0.3671,44903972.199999824
30,2021-04-10,0.3671,0.3757,0.3479,0.3577,36117456.89999998
31,2021-04-11,0.3575,0.3699,0.3505,0.3687,23895781.399999972
32,2021-04-12,0.3692,0.3728,0.3502,0.3575,31331397.60000001
33,2021-04-13,0.3582,0.4248,0.3574,0.4227,125532650.59999925
34,2021-04-14,0.4232,0.45,0.3701,0.4141,122910466.49999925
35,2021-04-15,0.4148,0.4599,0.4015,0.4406,96537311.20000069
36,2021-04-16,0.4403,0.4686,0.4074,0.4359,80129149.80000071
37,2021-04-17,0.4358,0.4399,0.4003,0.4029,47900138.89999995
38,2021-04-18,0.4031,0.4071,0.32,0.3647,114585605.69999972
39,2021-04-19,0.3649,0.3873,0.3258,0.3272,61733406.19999994
40,2021-04-20,0.3274,0.3522,0.2973,0.3428,82524946.19999984
41,2021-04-21,0.3428,0.3828,0.3282,0.3572,91116868.70000072
42,2021-04-22,0.3572,0.4215,0.345,0.35,154400768.1999992
43,2021-04-23,0.3504,0.3876,0.295,0.3824,123567420.30000016
44,2021-04-24,0.3824,0.3913,0.3387,0.3552,65540674.59999956
45,2021-04-25,0.3554,0.4039,0.3458,0.3845,84608756.99999934
46,2021-04-26,0.3845,0.5789,0.3794,0.5374,324937352.60000104
47,2021-04-27,0.5374,0.85,0.535,0.832,324698289.3000039
48,2021-04-28,0.8318,0.8996,0.6743,0.778,475967417.90001607
49,2021-04-29,0.7773,0.9296,0.7427,0.8928,297274725.50000924
50,2021-04-30,0.8928,0.9457,0.7821,0.8223,254341292.100001
51,2021-05-01,0.8223,0.8412,0.7711,0.7866,127672727.4999984
52,2021-05-02,0.7867,0.8279,0.7403,0.8226,96826737.60000014
53,2021-05-03,0.8233,0.8698,0.7767,0.7948,116390893.5999993
54,2021-05-04,0.7953,0.7992,0.6877,0.7051,149109747.99999085
55,2021-05-05,0.7051,0.8369,0.7007,0.8108,173195945.3999982
56,2021-05-06,0.811,0.8148,0.7255,0.7621,120861117.69999853
57,2021-05-07,0.762,0.8086,0.7331,0.751,104238559.79999985
58,2021-05-08,0.7511,0.8517,0.7325,0.8508,110565010.29999718
59,2021-05-09,0.8515,1.06,0.7896,0.9706,357307152.5999991
60,2021-05-10,0.9707,1.0064,0.7828,0.8769,179621635.8000025
61,2021-05-11,0.8761,1.0919,0.8009,1.0658,191024278.7999936
62,2021-05-12,1.0654,1.2312,1.0,1.0502,314287183.50000435
63,2021-05-13,1.0539,1.1843,0.93,1.0526,240830547.29999873
64,2021-05-14,1.0525,1.5186,1.0431,1.4772,269453078.70000166
65,2021-05-15,1.4786,1.8903,1.4739,1.5974,397985510.5000136
66,2021-05-16,1.5961,1.8322,1.46,1.7286,218431771.0000055
67,2021-05-17,1.7274,1.794,1.4781,1.7297,243518161.3000034
68,2021-05-18,1.7304,2.825,1.708,2.4418,467248070.80001915
69,2021-05-19,2.4444,2.6433,1.04,1.6231,722861880.2001895
70,2021-05-20,1.6248,2.22,1.32,1.8351,375775359.19994026
71,2021-05-21,1.836,1.9547,1.197,1.4863,313332949.70001316
72,2021-05-22,1.4866,1.6227,1.1301,1.1943,226837247.49999753
73,2021-05-23,1.193,1.2615,0.7441,1.0754,447319001.10003406
74,2021-05-24,1.0743,1.99,1.0683,1.744,679554174.2000719
75,2021-05-25,1.7457,1.95,1.513,1.9381,432762206.3999657
76,2021-05-26,1.9382,2.4399,1.8315,2.2112,500107090.00004303
77,2021-05-27,2.2113,2.2657,1.8552,2.0386,305993077.0000015
78,2021-05-28,2.0392,2.0611,1.665,1.8182,376672281.40001696
79,2021-05-29,1.818,1.9118,1.514,1.698,274240464.7999932
80,2021-05-30,1.6977,1.984,1.552,1.8659,266589572.89993766
81,2021-05-31,1.8658,1.9364,1.7461,1.8689,197310325.19998795
82,2021-06-01,1.869,1.9895,1.765,1.8256,134574353.80000126
83,2021-06-02,1.8257,1.89,1.75,1.8,87008594.09999904
84,2021-06-03,1.799,1.88,1.7609,1.8237,68525458.39999782
85,2021-06-04,1.8236,1.8249,1.5514,1.6315,171025132.5999905
86,2021-06-05,1.6321,1.6958,1.4517,1.5288,86882658.10000394
87,2021-06-06,1.5293,1.59,1.5121,1.5811,59928213.50000249
88,2021-06-07,1.5814,1.7265,1.46,1.4857,121452243.3000072
89,2021-06-08,1.4841,1.5238,1.266,1.4817,217964308.69999868
90,2021-06-09,1.4817,1.536,1.3535,1.4906,130978657.69999877
91,2021-06-10,1.4918,1.4973,1.3343,1.3628,68399801.29999983
92,2021-06-11,1.3618,1.384,1.2295,1.2508,81192435.60000052
93,2021-06-12,1.2508,1.3987,1.1594,1.3389,104139604.5999975
94,2021-06-13,1.3383,1.495,1.3111,1.4671,84709171.39999957
95,2021-06-14,1.4687,1.6011,1.4155,1.5492,88329820.40000197
96,2021-06-15,1.5498,1.71,1.5333,1.6289,99955284.90000193
97,2021-06-16,1.6284,1.6373,1.4467,1.478,93017286.79999697
98,2021-06-17,1.4775,1.5585,1.45,1.502,62482438.99999966
99,2021-06-18,1.5024,1.5137,1.3043,1.38,82677007.99999979
100,2021-06-19,1.3795,1.435,1.3483,1.3579,45668181.8000001
101,2021-06-20,1.358,1.4372,1.2821,1.3977,52884313.70000064
102,2021-06-21,1.3981,1.4096,1.08,1.0987,128252763.69999778
103,2021-06-22,1.0983,1.24,0.9246,1.0769,287905985.39999807
104,2021-06-23,1.076,1.2512,1.0289,1.1756,126995006.80000064
105,2021-06-24,1.176,1.242,1.135,1.2023,75015313.39999996
106,2021-06-25,1.2026,1.2342,1.04,1.0402,84369628.50000046
107,2021-06-26,1.0404,1.1041,1.0061,1.0768,59751614.60000416
108,2021-06-27,1.0778,1.1151,1.0343,1.1151,55661713.600002155
109,2021-06-28,1.1145,1.1663,1.0865,1.1204,60518455.89999946
110,2021-06-29,1.1209,1.251,1.1149,1.1726,69977634.29999897
111,2021-06-30,1.1707,1.1814,1.079,1.1687,68059079.79999952
112,2021-07-01,1.1699,1.17,1.0616,1.073,45161699.20000003
113,2021-07-02,1.0732,1.11,1.0419,1.1018,35616204.700000204
114,2021-07-03,1.1019,1.146,1.08,1.1181,24580211.900000095
115,2021-07-04,1.1181,1.18,1.0955,1.1476,32741514.300000187
116,2021-07-05,1.1475,1.1496,1.0825,1.0994,31484154.100000646
117,2021-07-06,1.1003,1.1645,1.0995,1.1306,41121499.79999999
