,date,open,high,low,close,volume
0,2020-10-13,24.275,24.394,22.457,22.8,2993.333372850004
1,2020-10-14,22.821,23.248,22.409,22.46,2512.957422089999
2,2020-10-15,22.46,22.476,21.035,21.928,3985.708552589999
3,2020-10-16,21.895,21.985,19.313,19.65,3398.470380269999
4,2020-10-17,19.641,19.72,17.5,18.156,7574.534887490008
5,2020-10-18,18.124,18.489,16.999,17.083,3559.3928904100017
6,2020-10-19,17.087,23.0,17.001,18.313,16141.68376542999
7,2020-10-20,18.227,19.48,17.418,17.435,4791.501424070002
8,2020-10-21,17.415,20.263,17.072,18.147,5471.738038340002
9,2020-10-22,18.151,20.478,17.388,19.394,6885.9480948800065
10,2020-10-23,19.331,19.778,17.921,18.055,4419.80366686
11,2020-10-24,18.089,18.871,18.0,18.314,2993.6215483400038
12,2020-10-25,18.32,20.478,18.223,19.82,3293.3955248100006
13,2020-10-26,19.775,24.921,18.912,23.017,14938.501634629978
14,2020-10-27,22.947,26.3,22.553,24.398,10286.761121149993
15,2020-10-28,24.357,25.352,20.909,21.086,9173.386618589995
16,2020-10-29,21.243,22.1,18.685,20.228,9611.834968599998
17,2020-10-30,20.085,22.325,19.336,20.831,3453.098482730002
18,2020-10-31,20.84,22.242,20.319,21.571,2651.2745413999996
19,2020-11-01,21.571,22.873,21.248,21.844,4805.977865219997
20,2020-11-02,21.888,22.874,20.314,22.008,6816.874371200005
21,2020-11-03,23.056,23.173,20.374,21.925,4736.001487770001
22,2020-11-04,21.947,21.947,20.212,20.259,3421.1055837500026
23,2020-11-05,20.123,21.096,19.577,20.033,4925.058007169998
24,2020-11-06,20.038,23.783,19.738,21.614,8143.276689210006
25,2020-11-07,21.665,22.76,20.033,20.782,6166.2582382799965
26,2020-11-08,20.775,21.853,20.244,21.224,1460.6485980100003
27,2020-11-09,21.323,21.6,20.091,21.151,2903.251762079997
28,2020-11-10,21.075,21.714,19.844,21.543,3028.3341341100013
29,2020-11-11,21.6,23.198,21.193,22.58,5973.637644490007
30,2020-11-12,22.637,23.589,21.611,21.747,3422.992729480002
31,2020-11-13,21.744,22.274,21.491,21.764,1776.1650826400012
32,2020-11-14,21.842,22.236,20.63,21.444,2152.396075520002
33,2020-11-15,21.476,22.043,18.695,20.817,1965.3323334599988
34,2020-11-16,20.464,25.0,19.381,22.085,4069.995507489993
35,2020-11-17,22.369,22.642,21.54,21.92,3203.9301951500024
36,2020-11-18,21.897,49.949,21.614,22.586,3770.611384490003
37,2020-11-19,22.586,28.531,21.615,26.897,9841.085794680012
38,2020-11-20,26.329,33.989,26.255,31.099,21465.25892009003
39,2020-11-21,31.086,33.543,27.5,27.5,10613.312799819996
40,2020-11-22,27.5,30.028,26.112,28.822,11579.125316869999
