,date,open,high,low,close,volume
0,2022-01-03,9.9857,10.117,9.938,10.01,685.2682559699996
1,2022-01-04,10.01,10.057,9.874,9.899,1502.39718029
2,2022-01-05,9.896,10.002,9.428,9.5129,8917.483295289998
3,2022-01-06,9.4819,9.5,9.071,9.23,3023.916808290002
4,2022-01-07,9.158,9.327,9.0,9.2672,4313.04089494
5,2022-01-08,9.2682,9.4334,8.883,9.0271,13187.51532661998
6,2022-01-09,9.0265,9.268,9.0112,9.2284,7923.202449429999
7,2022-01-10,9.223,9.325,9.0232,9.2107,8073.644137809992
8,2022-01-11,9.2105,9.3966,9.054,9.271,15268.285495460004
9,2022-01-12,9.279,9.613,9.2195,9.5482,9780.269513239984
10,2022-01-13,9.5551,9.6347,9.4221,9.4262,3669.3949524900013
11,2022-01-14,9.4271,9.557,9.3374,9.4715,4277.0666611999995
12,2022-01-15,9.464,9.5001,9.3231,9.4377,569.7243820900003
13,2022-01-16,9.4255,9.4255,9.1188,9.172,3649.4414203400015
14,2022-01-17,9.1687,9.1937,9.0281,9.062,2876.471994669996
15,2022-01-18,9.0517,9.067,8.932,8.9852,2117.064683399998
16,2022-01-19,8.9857,9.023,8.9028,8.9598,1222.5972213799998
17,2022-01-20,8.9485,9.174,8.9485,9.025,2236.05617313
18,2022-01-21,9.0128,9.0494,8.3424,8.3424,15672.92635151002
19,2022-01-22,8.3413,8.36,1.4114,4.7791,81034.40369748007
20,2022-01-23,4.7814,4.904,4.4392,4.8255,15521.432109149971
21,2022-01-24,4.8192,5.1296,4.263,4.5231,14544.25057354998
22,2022-01-25,4.5229,4.6263,4.4647,4.5144,27572.82369931155
23,2022-01-26,4.5137,4.714,4.494,4.5512,29187.919019489786
24,2022-01-27,4.5577,4.646,4.423,4.5061,33808.408051480175
25,2022-01-28,4.507,4.5771,4.4142,4.538,25392.34713230945
26,2022-01-29,4.5388,4.6747,4.5349,4.658,9709.341729119897
27,2022-01-30,4.665,4.7424,4.6178,4.7129,12325.246040400265
28,2022-01-31,4.7069,4.7807,4.6053,4.7002,7918.6117605101135
29,2022-02-01,4.6936,4.6957,4.608,4.681,5119.118682469995
30,2022-02-02,4.6789,4.7398,4.61,4.638,4327.926049559998
31,2022-02-03,4.6392,4.6781,4.593,4.6633,262.7621502500001
32,2022-02-04,4.6729,4.8089,4.6575,4.8045,1686.291131430004
33,2022-02-05,4.8015,4.8209,4.7415,4.7933,8212.953544900018
34,2022-02-06,4.7947,4.9714,4.755,4.9696,5101.85993985995
35,2022-02-07,4.9623,5.0836,4.931,5.0338,2218.877460450001
36,2022-02-08,5.0403,5.0763,4.9035,4.9806,4680.829535650008
37,2022-02-09,4.9721,5.0526,4.9311,5.0504,3051.388547620054
38,2022-02-10,5.0438,5.0953,4.9669,5.0272,2905.393478450046
39,2022-02-11,5.0271,5.4622,5.0204,5.4123,16989.831722789535
40,2022-02-12,5.4215,5.4883,5.3289,5.3359,3629.250223380042
41,2022-02-13,5.3351,5.4096,5.3068,5.3221,108.68297410000001
42,2022-02-14,5.3139,5.4962,5.2162,5.4794,5111.275811100007
43,2022-02-15,5.4794,5.5881,5.3976,5.4232,8133.116938379972
44,2022-02-16,5.4312,5.4517,5.3902,5.4364,178.93212080000012
45,2022-02-17,5.4327,5.4801,5.0817,5.09,4276.105171339989
46,2022-02-18,5.0896,5.0938,4.9173,4.9432,2371.2886725800054
47,2022-02-19,4.9472,5.1071,4.9472,5.0268,12570.196742929957
48,2022-02-20,5.0328,5.0328,4.736,4.89,7188.213221649908
49,2022-02-21,4.8771,4.9194,4.7875,4.7985,2127.8288159700014
50,2022-02-22,4.7911,4.9077,4.7389,4.803,2229.004436959997
51,2022-02-23,4.808,4.9575,4.7633,4.7633,6830.648561920013
52,2022-02-24,4.7633,4.8483,4.5035,4.6247,7326.637120020004
53,2022-02-25,4.6304,4.7724,4.6203,4.7585,35821.88922328302
54,2022-02-26,4.7775,4.8187,4.7263,4.7956,597.5381980999999
55,2022-02-27,4.7848,4.811,4.6672,4.6963,671.9575027800003
56,2022-02-28,4.6961,4.9062,4.6672,4.8843,7403.023648719973
57,2022-03-01,4.8703,4.9497,4.8373,4.8825,8467.130840950016
58,2022-03-02,4.9,4.9143,4.8266,4.8532,1839.9975256399998
59,2022-03-03,4.8573,4.9195,4.7136,4.7489,13510.005373259994
60,2022-03-04,4.7507,4.7578,4.5576,4.5687,6101.607948139985
61,2022-03-05,4.5627,4.6188,4.4967,4.5982,3800.4678103700016
62,2022-03-06,4.5902,4.5924,4.4981,4.5057,6387.576744240004
63,2022-03-07,4.4999,4.5315,4.4319,4.4686,3358.957450170006
64,2022-03-08,4.4716,4.5237,4.4414,4.4576,780.4018972999993
65,2022-03-09,4.4603,4.7522,4.4528,4.7111,3979.6026014600097
66,2022-03-10,4.7164,4.7185,4.5336,4.5689,5413.724529069999
67,2022-03-11,4.5623,4.6793,4.5199,4.5786,18495.942435980014
68,2022-03-12,4.5848,4.7605,4.5848,4.7566,896.8891492700003
69,2022-03-13,4.7586,4.8885,4.7519,4.78,633.4006645600001
70,2022-03-14,4.7829,5.1116,4.7665,5.0449,37023.94329401099
71,2022-03-15,5.0491,5.0795,5.033,5.0487,716.1292027000001
72,2022-03-16,5.0398,5.2165,5.0143,5.1931,2785.239326159969
73,2022-03-17,5.2181,5.2181,5.0524,5.0652,1404.9714886400016
74,2022-03-18,5.0568,5.1353,5.0293,5.1137,60.52076725
75,2022-03-19,5.1109,5.1179,5.0404,5.0469,422.7594555399998
76,2022-03-20,5.0507,5.1779,5.0424,5.1533,2529.9813712599826
77,2022-03-21,5.1591,5.2519,5.1211,5.223,2430.509054020003
