,date,open,high,low,close,volume
0,2022-04-12,0.9982,1.0003,0.996,1.0003,62042.97000000002
1,2022-04-13,0.9992,1.0003,0.989,0.9999,68447.27000000002
2,2022-04-14,0.9991,1.0,0.9957,0.999,63189.12999999997
3,2022-04-15,0.9999,1.0,0.9961,0.9964,7040.010000000002
4,2022-04-16,0.9974,0.9975,0.9904,0.9948,7979.600000000004
5,2022-04-17,0.995,0.9996,0.9891,0.995,20185.039999999994
6,2022-04-18,0.9917,1.0,0.9897,0.9991,32539.809999999998
7,2022-04-19,0.9998,1.0,0.9983,0.9997,40703.640000000014
8,2022-04-20,0.9988,1.0,0.9983,0.9988,21448.85
9,2022-04-21,0.9998,1.0007,0.9985,0.9995,72672.32999999999
10,2022-04-22,0.9987,0.9998,0.9977,0.9987,12512.539999999999
11,2022-04-23,0.9987,1.0,0.9987,0.9991,24675.269999999993
12,2022-04-24,0.9991,1.0,0.999,0.9991,11442.829999999996
13,2022-04-25,0.9991,1.0008,0.998,0.9992,43674.450000000004
14,2022-04-26,0.9992,1.0,0.9976,0.9996,26267.500000000004
15,2022-04-27,0.9991,0.9999,0.9975,0.9987,34056.56000000003
16,2022-04-28,0.999,0.9999,0.9986,0.9995,20532.37000000001
17,2022-04-29,0.9991,1.0005,0.9978,0.9998,68164.34999999999
18,2022-04-30,0.9998,0.9999,0.9983,0.9992,39776.72999999997
19,2022-05-01,0.9991,0.9995,0.9963,0.9992,73042.21999999997
20,2022-05-02,0.9983,0.9996,0.9972,0.9986,40333.05000000001
21,2022-05-03,0.9993,0.9996,0.9972,0.9986,64323.36000000001
22,2022-05-04,0.998,0.9991,0.99,0.9957,43668.86000000002
23,2022-05-05,0.9948,0.9991,0.9706,0.9976,44586.379999999954
24,2022-05-06,0.9904,0.9968,0.97,0.9766,9894.120000000008
25,2022-05-07,0.9756,0.9998,0.97,0.9898,25434.779999999995
26,2022-05-08,0.9981,0.9999,0.978,0.9995,34175.53999999997
27,2022-05-09,0.9999,1.0498,0.9982,1.0321,178668.97999999986
28,2022-05-10,1.0366,1.5801,0.997,0.9992,399213.17
29,2022-05-11,0.9992,1.006,0.9921,0.9993,649172.9799999987
30,2022-05-12,0.9921,1.006,0.991,0.9931,419109.4199999998
31,2022-05-13,0.9932,1.003,0.9895,0.9992,186787.60000000027
32,2022-05-14,0.9992,1.003,0.9908,1.0028,170169.87000000002
33,2022-05-15,1.0003,1.007,0.996,0.996,112343.73999999998
34,2022-05-16,0.996,1.003,0.9957,0.9992,101400.38999999997
35,2022-05-17,1.0022,1.0037,0.9975,0.998,78411.54000000002
36,2022-05-18,0.9976,1.0,0.9899,0.9985,53285.320000000014
37,2022-05-19,0.9975,1.0,0.9942,0.999,54709.47000000002
38,2022-05-20,0.999,1.0034,0.995,0.9979,79861.76
39,2022-05-21,0.9998,0.9999,0.9867,0.9989,39063.62
40,2022-05-22,0.9989,1.004,0.9907,0.9992,62431.50000000001
41,2022-05-23,1.0028,1.0086,0.996,0.9963,121866.49000000003
42,2022-05-24,0.9963,1.0002,0.9891,0.998,97017.34000000004
43,2022-05-25,0.9973,1.0007,0.9896,0.9986,85608.03000000004
44,2022-05-26,0.9988,1.0038,0.9913,1.0004,53090.069999999985
45,2022-05-27,1.0004,1.0024,0.995,0.9995,23241.660000000007
46,2022-05-28,0.9964,1.0009,0.996,0.9981,12840.920000000007
47,2022-05-29,0.9999,1.0082,0.9982,1.0062,24870.11000000001
48,2022-05-30,1.0033,1.0082,0.9961,1.0026,46459.41999999999
49,2022-05-31,1.0002,1.0049,0.9985,1.0018,34453.61000000002
50,2022-06-01,0.9986,1.0049,0.9985,1.0031,29017.13999999999
51,2022-06-02,1.0004,1.0049,0.9985,1.0011,14016.15
52,2022-06-03,1.0011,1.0011,0.9985,0.9998,28755.07999999999
53,2022-06-04,0.9998,1.0006,0.9985,0.9987,7016.94
54,2022-06-05,1.0005,1.0005,0.9985,1.0,8397.860000000002
55,2022-06-06,1.0,1.005,0.9986,1.0042,57723.15000000003
56,2022-06-07,1.0046,1.005,0.998,1.0029,114024.77000000006
57,2022-06-08,1.0027,1.0049,0.9989,0.9992,29186.699999999993
58,2022-06-09,0.9992,1.0046,0.9989,0.9992,44077.85999999999
59,2022-06-10,0.9994,1.002,0.998,0.9981,52251.810000000005
60,2022-06-11,1.0009,1.0048,0.998,1.0,26128.170000000013
61,2022-06-12,1.0044,1.005,0.9981,1.0001,102230.13999999997
62,2022-06-13,1.0006,1.005,0.9981,0.9996,211237.8000000004
63,2022-06-14,1.0049,1.0049,0.9975,1.0019,178065.00000000003
64,2022-06-15,1.0038,1.0049,0.9975,1.0029,53164.02999999999
65,2022-06-16,1.0001,1.0041,0.9975,0.9989,66019.08000000002
66,2022-06-17,1.0024,1.0041,0.9987,1.0003,27490.019999999986
67,2022-06-18,1.0016,1.005,0.9979,1.0002,83719.87999999993
68,2022-06-19,1.0014,1.0051,1.0001,1.0028,55269.980000000025
69,2022-06-20,1.0028,1.0052,0.999,1.0002,69985.85000000008
70,2022-06-21,0.9997,1.0058,0.9989,1.0011,74140.26
71,2022-06-22,1.0011,1.0066,0.9992,1.0032,43096.240000000034
72,2022-06-23,1.0034,1.006,0.9984,0.9987,37295.02000000002
73,2022-06-24,0.9995,1.0027,0.9962,1.0005,57407.33999999997
74,2022-06-25,0.9996,1.0018,0.996,0.9983,38008.69999999996
75,2022-06-26,0.9997,1.0056,0.9981,1.0056,37599.90999999998
76,2022-06-27,1.0056,1.0058,0.996,0.9966,45521.71000000002
77,2022-06-28,0.9963,0.9999,0.996,0.9991,23444.74
78,2022-06-29,0.9992,1.0009,0.996,1.0002,56224.82999999999
79,2022-06-30,1.0007,1.01,0.9962,1.0,84282.88999999997
80,2022-07-01,0.9985,1.0017,0.9915,0.9994,47264.250000000044
81,2022-07-02,0.9992,1.0,0.9944,0.9995,10235.310000000001
82,2022-07-03,0.9962,1.0,0.991,0.9929,19017.019999999993
83,2022-07-04,0.9989,0.9996,0.991,0.9971,10788.269999999999
84,2022-07-05,0.9916,0.9995,0.9903,0.9993,18480.59
85,2022-07-06,0.9946,1.0025,0.9939,0.9966,40102.92999999999
86,2022-07-07,1.0003,1.0024,0.996,0.9994,26813.090000000007
87,2022-07-08,0.9993,1.0,0.9966,0.9998,13683.879999999994
88,2022-07-09,0.9996,1.0054,0.9966,0.9994,45593.60999999999
89,2022-07-10,1.003,1.0066,0.9961,1.0005,110572.13000000003
90,2022-07-11,1.0016,1.0018,0.996,0.996,32532.76
91,2022-07-12,0.996,1.0,0.9281,0.9334,4252.669999999997
92,2022-07-13,0.9737,0.9795,0.9293,0.9302,4124.56
93,2022-07-14,0.9502,1.0,0.95,0.9643,13612.950000000003
94,2022-07-15,0.9474,0.9999,0.9474,0.9915,3905.6800000000026
95,2022-07-16,0.9899,1.0,0.9884,0.9997,13150.570000000002
96,2022-07-17,0.996,1.0,0.996,0.9963,27509.129999999994
97,2022-07-18,0.9961,1.0,0.9784,0.9963,30403.93
98,2022-07-19,0.9891,1.0,0.9891,0.9906,43774.93
99,2022-07-20,0.9905,1.0,0.9565,0.984,33584.64000000001
100,2022-07-21,0.9779,1.0,0.95,0.9997,22825.970000000016
101,2022-07-22,0.9963,1.0,0.99,0.9962,39456.350000000035
102,2022-07-23,0.9998,0.9999,0.9689,0.9689,35230.93
103,2022-07-24,0.9689,0.9979,0.96,0.9803,13444.920000000002
104,2022-07-25,0.9801,4.9,0.97,0.9961,683286.1200000005
105,2022-07-26,0.9961,1.0,0.978,0.9905,99901.34000000005
106,2022-07-27,0.9906,0.9996,0.9905,0.991,32581.379999999994
107,2022-07-28,0.9919,1.0,0.991,0.9967,89365.66000000003
108,2022-07-29,0.999,1.0,0.9914,0.9989,28563.32999999995
109,2022-07-30,0.996,1.0095,0.996,0.9968,61191.960000000065
110,2022-07-31,0.9999,1.0095,0.996,0.9976,25142.070000000007
111,2022-08-01,0.9998,1.0095,0.996,0.9973,30628.59999999999
112,2022-08-02,0.9985,1.0017,0.9973,0.9983,17564.430000000008
