,date,open,high,low,close,volume
0,2020-10-13,0.808342,0.842341,0.7869,0.790057,104184.79432276025
1,2020-10-14,0.790528,0.813348,0.757332,0.774203,93269.67714397977
2,2020-10-15,0.772397,0.8243,0.76566,0.80884,107253.89214362991
3,2020-10-16,0.786483,0.815523,0.742375,0.780932,253686.93577801046
4,2020-10-17,0.798785,0.809966,0.720372,0.780843,48163.80630037004
5,2020-10-18,0.779758,0.826574,0.765721,0.782462,107542.2914399996
6,2020-10-19,0.786625,0.846835,0.779061,0.813963,148742.43275343947
7,2020-10-20,0.80727,0.926251,0.72,0.841781,247465.5083748098
8,2020-10-21,0.843206,0.957817,0.833638,0.860983,311418.4440377004
9,2020-10-22,0.867815,0.922,0.833125,0.867552,216386.98729131973
10,2020-10-23,0.865393,0.906386,0.832695,0.840909,189997.9282493297
11,2020-10-24,0.844437,0.87073,0.810716,0.829713,187324.9464445404
12,2020-10-25,0.831621,0.866088,0.810102,0.839958,117383.89062795983
13,2020-10-26,0.846784,0.853888,0.785915,0.808181,119817.91333702959
14,2020-10-27,0.807007,0.847137,0.780001,0.790156,199694.51100982056
15,2020-10-28,0.790327,0.822091,0.73,0.75118,189520.25478351035
16,2020-10-29,0.764143,0.789933,0.74,0.765165,142604.58897861998
17,2020-10-30,0.763557,0.775492,0.680001,0.72668,152257.46798112988
18,2020-10-31,0.726569,0.759665,0.705594,0.721143,188381.34918601994
19,2020-11-01,0.723343,0.750542,0.667147,0.691211,64729.846493340236
20,2020-11-02,0.687935,0.751215,0.64681,0.654223,67916.90350053973
21,2020-11-03,0.654442,0.751305,0.64503,0.689564,82372.34727467032
22,2020-11-04,0.68402,0.73,0.655192,0.671058,173286.76169809006
23,2020-11-05,0.668016,0.737929,0.662416,0.687321,168938.81268976058
24,2020-11-06,0.687214,0.79208,0.67481,0.752255,153307.47760703936
25,2020-11-07,0.748926,0.803221,0.67,0.684164,387762.88460111275
26,2020-11-08,0.688089,0.781434,0.680264,0.712435,136912.7065738896
27,2020-11-09,0.71137,0.78001,0.680107,0.703632,149316.84930599004
28,2020-11-10,0.703986,0.776216,0.697402,0.718089,188432.60346691927
29,2020-11-11,0.715742,0.823049,0.709359,0.747655,210746.86994387986
30,2020-11-12,0.750053,0.799277,0.712048,0.734455,219890.5447055292
31,2020-11-13,0.732738,0.809,0.709359,0.729963,184025.47836252066
32,2020-11-14,0.729963,0.78836,0.680107,0.710493,80306.72451681957
33,2020-11-15,0.750499,0.767495,0.680107,0.688203,197096.08744023967
34,2020-11-16,0.690911,0.749943,0.685415,0.697973,189766.6971104793
35,2020-11-17,0.697071,0.766698,0.696,0.7212,288916.4533657998
36,2020-11-18,0.71738,0.763347,0.682578,0.690257,315982.7640908704
37,2020-11-19,0.730293,0.761265,0.678532,0.689499,227896.1903134885
38,2020-11-20,0.687318,0.759852,0.68698,0.721357,267369.5581931397
39,2020-11-21,0.72219,0.891355,0.711335,0.799999,550727.2079236016
40,2020-11-22,0.799999,0.971666,0.740393,0.818689,532979.9947695216
41,2020-11-23,0.819104,1.177871,0.748,0.971297,623284.1519170487
42,2020-11-24,0.971845,1.44,0.881621,1.1244,746204.1988232998
43,2020-11-25,1.372967,1.44,0.905186,1.007203,445641.3439648709
44,2020-11-26,1.001378,1.221276,0.820001,0.963264,955260.5931957455
45,2020-11-27,0.963192,1.207694,0.954935,1.003232,372816.32568859315
46,2020-11-28,1.005363,1.266534,0.967717,1.101343,585381.6217217122
47,2020-11-29,1.111255,1.24916,1.02,1.051087,660278.0074429653
48,2020-11-30,1.059311,1.247997,0.980001,1.045532,422507.03575378173
49,2020-12-01,1.041053,1.347119,0.98,1.002994,368229.19124459376
50,2020-12-02,1.007155,1.184455,0.980001,1.05455,256243.3857161116
51,2020-12-03,1.049897,1.216129,1.009141,1.174184,462542.2914583507
52,2020-12-04,1.049628,1.2083,0.94,0.941568,226091.29670065967
53,2020-12-05,0.942626,1.13313,0.911,1.02051,243192.8226674607
54,2020-12-06,1.020495,1.128,1.008068,1.074821,238033.31010389008
55,2020-12-07,1.072908,1.089799,1.028199,1.042821,187260.19322170017
56,2020-12-08,1.041571,1.077352,0.948433,0.964738,166552.80685792115
57,2020-12-09,0.963186,1.066,0.908318,0.979034,264936.75391375995
58,2020-12-10,0.978871,1.046383,0.907501,0.924834,178881.6284785696
59,2020-12-11,0.932359,0.989645,0.89261,0.921317,116717.22670699982
60,2020-12-12,0.922654,1.190766,0.919191,0.93735,414402.9547078622
61,2020-12-13,0.937339,1.127998,0.91111,1.068244,179640.06612104978
62,2020-12-14,1.071327,1.112638,1.025804,1.059068,149204.77162069004
63,2020-12-15,1.060182,1.088878,0.987152,1.071962,214134.95097955008
64,2020-12-16,1.075723,1.207977,1.053314,1.159592,360150.29045666923
65,2020-12-17,1.161059,1.2083,1.052425,1.128274,352474.48297910194
66,2020-12-18,1.127945,1.157444,1.107089,1.137963,95149.65018907964
67,2020-12-19,1.140705,1.176853,1.0685,1.110413,289987.62833652063
68,2020-12-20,1.102993,1.138094,0.987408,1.044408,224538.43784318073
69,2020-12-21,1.042866,1.12411,0.911109,1.038542,210440.13953456917
70,2020-12-22,1.006019,1.093337,0.82,0.959888,248912.4636126198
71,2020-12-23,0.959888,1.154091,0.830835,0.907662,406719.7586519334
72,2020-12-24,0.907387,1.067035,0.8273,0.973449,257819.80285509917
73,2020-12-25,0.975411,1.070886,0.932447,0.992511,168367.9968727095
74,2020-12-26,0.994702,1.1,0.916214,0.938001,149102.47669856984
75,2020-12-27,0.93739,1.157726,0.904302,1.04608,245716.19538974023
76,2020-12-28,1.122506,1.134725,0.989807,1.00984,240166.11625276005
77,2020-12-29,1.010405,1.114943,0.977,1.01802,169503.8210788492
78,2020-12-30,1.021107,1.072794,0.98271,1.01549,173734.6623394299
79,2020-12-31,1.018006,1.082331,0.907464,0.960604,198700.3360098997
80,2021-01-01,0.959815,1.055492,0.932822,0.997213,155641.42387050999
81,2021-01-02,0.995116,1.110999,0.940255,1.045781,366952.5597527301
82,2021-01-03,1.045517,1.867675,0.986706,1.652167,1524032.582594007
83,2021-01-04,1.662239,1.737991,1.228464,1.377905,1420744.1680848822
84,2021-01-05,1.376684,1.68,1.19,1.443772,956044.2997221489
85,2021-01-06,1.438501,2.788799,1.395001,2.191129,1051097.119123758
86,2021-01-07,2.179492,5.295799,2.135264,4.359141,2345091.9732804014
87,2021-01-08,4.387745,4.789999,2.8,3.641668,2025650.9711252686
88,2021-01-09,3.627069,4.088887,3.145663,3.224884,1489307.5240564924
89,2021-01-10,3.258674,3.93,2.676685,3.043039,1295271.8399777547
90,2021-01-11,3.006951,3.24,1.928459,2.65978,1854966.9831165138
91,2021-01-12,2.733128,4.0,2.435826,3.46716,1510472.173780201
92,2021-01-13,3.449946,3.637805,2.717853,3.31328,1863272.095262489
93,2021-01-14,3.365145,3.616653,3.057601,3.182543,945136.7110993052
94,2021-01-15,3.198578,3.538499,2.726939,3.061317,1156222.9463696426
95,2021-01-16,3.164004,3.946501,2.878977,3.189318,1377328.6387387544
96,2021-01-17,3.201078,3.624999,2.999519,3.095711,1389760.3162328321
97,2021-01-18,3.096396,3.88,2.876582,3.112529,1049132.8853740147
98,2021-01-19,3.111376,3.779037,2.869564,2.901171,1076214.8860793817
99,2021-01-20,2.909128,3.57229,2.564287,2.81749,654276.7625492722
100,2021-01-21,2.834477,3.42,2.209004,2.229122,721135.7685568985
101,2021-01-22,2.921565,3.5,2.040196,2.557267,686384.008799101
102,2021-01-23,2.557113,3.359186,2.488706,2.875386,477722.80419737054
103,2021-01-24,3.1551,3.529549,2.800236,3.045469,489594.57510121196
104,2021-01-25,3.036238,3.54019,2.863461,2.955794,585079.2051521209
105,2021-01-26,2.936155,3.297626,2.659395,2.840032,373152.84652100987
106,2021-01-27,2.823982,3.209419,2.566009,2.70224,559966.4927647231
107,2021-01-28,2.674905,4.58,2.652473,3.336075,1390111.8420450361
108,2021-01-29,3.333051,4.48,3.100392,3.36048,1092675.2116057063
109,2021-01-30,3.371288,4.2,2.946895,3.197659,548637.4640249548
110,2021-01-31,3.201619,3.75,2.968139,3.041837,579764.3873738128
111,2021-02-01,3.039979,3.7,2.90067,3.141987,745567.9161521301
112,2021-02-02,3.137829,3.691677,3.057485,3.352197,529510.3984705008
113,2021-02-03,3.352118,3.7387,3.261883,3.399152,437262.63224583835
114,2021-02-04,3.399496,3.701551,3.14,3.214367,933741.636728547
115,2021-02-05,3.247638,4.225207,3.110004,3.487041,811614.6430951484
116,2021-02-06,3.492064,3.804786,3.275983,3.384057,355512.33835927193
117,2021-02-07,3.664167,3.906564,3.070387,3.120391,677147.802035073
118,2021-02-08,3.12341,3.836875,3.082006,3.381939,610255.061114783
119,2021-02-09,3.384441,4.933327,3.329324,3.988491,988408.1959385985
120,2021-02-10,3.988541,4.85,3.836832,3.953997,754123.2478237045
121,2021-02-11,3.951783,6.543763,3.756455,5.973686,1238903.6721563414
122,2021-02-12,5.263091,7.899999,5.003892,6.019791,1104252.9779741343
123,2021-02-13,6.028718,6.937025,5.642447,6.507978,398743.7176087829
124,2021-02-14,6.529243,6.544799,5.154473,5.348233,372065.3916857433
125,2021-02-15,5.314571,7.022769,4.514755,5.8231,1178379.5754232018
126,2021-02-16,5.810173,6.948151,5.500001,6.363177,568860.1746363613
