,date,open,high,low,close,volume
0,2022-01-03,14.31,16.443,13.945,16.403,39338.55754206001
1,2022-01-04,16.499,17.653,15.941,16.0,51406.27825565992
2,2022-01-05,15.9,17.244,14.011,15.289,59922.888389130014
3,2022-01-06,15.293,16.279,14.777,15.932,57648.57609070994
4,2022-01-07,15.993,16.041,14.32,14.992,44223.53432817006
5,2022-01-08,15.08,15.506,13.364,13.789,36685.51946264001
6,2022-01-09,13.685,14.261,13.127,13.533,9966.074259959996
7,2022-01-10,13.48,15.548,13.212,15.479,38804.09647482008
8,2022-01-11,15.472,18.444,15.347,18.032,43931.53659876996
9,2022-01-12,18.039,18.795,17.455,17.54,28673.97678721006
10,2022-01-13,17.563,19.859,17.205,19.529,38045.726380270076
11,2022-01-14,19.659,20.523,18.494,20.191,33001.514012520056
12,2022-01-15,20.253,20.253,19.071,19.342,5189.50097583
13,2022-01-16,19.272,20.382,18.779,20.107,5605.36905209
14,2022-01-17,20.13,20.13,17.414,17.743,22077.026824659984
15,2022-01-18,17.746,18.199,16.792,17.717,37701.365726440046
16,2022-01-19,17.72,17.837,16.186,16.229,71335.75033260949
17,2022-01-20,16.22,17.556,15.182,15.29,29317.89413938002
18,2022-01-21,15.261,15.69,11.972,13.252,74675.19319269965
19,2022-01-22,13.182,13.515,10.129,11.431,122260.51511763934
20,2022-01-23,11.418,12.56,10.878,11.727,85074.75369122923
21,2022-01-24,11.706,11.706,9.5507,10.71,126154.54539715957
22,2022-01-25,10.724,12.489,10.017,12.119,54436.42916391988
23,2022-01-26,12.117,12.927,10.777,11.299,96728.5121057895
24,2022-01-27,11.276,11.726,9.959,10.49,74742.29894797996
25,2022-01-28,10.522,10.866,10.072,10.777,15562.619618460005
26,2022-01-29,10.767,11.347,10.664,11.056,11564.00853636001
27,2022-01-30,11.028,11.144,10.297,10.335,8781.287813590003
28,2022-01-31,10.375,11.35,10.052,11.115,73081.14984054964
29,2022-02-01,11.134,11.515,10.968,11.217,53186.65791542993
30,2022-02-02,11.261,11.944,10.87,10.87,30519.404879830032
31,2022-02-03,10.92,10.979,10.448,10.967,19054.056359040023
32,2022-02-04,10.915,13.105,10.861,12.961,45303.7971124397
33,2022-02-05,13.025,13.577,12.613,12.857,26476.885022960047
34,2022-02-06,12.845,13.957,12.785,13.533,16883.719503539993
35,2022-02-07,13.578,14.073,13.103,13.496,68305.45480092961
36,2022-02-08,13.513,13.735,12.209,12.776,12697.166632279997
37,2022-02-09,12.846,13.096,12.132,13.005,7698.628688289988
38,2022-02-10,12.985,12.985,11.738,11.82,13145.865089379991
39,2022-02-11,11.806,12.305,10.663,10.868,11032.088852859988
40,2022-02-12,10.838,11.245,10.447,10.786,7513.340828790002
41,2022-02-13,10.761,10.925,10.146,10.398,12245.032116589997
42,2022-02-14,10.399,10.665,10.057,10.566,9085.870243840007
43,2022-02-15,10.547,11.598,10.5,11.53,14689.218735509989
44,2022-02-16,11.517,11.517,10.856,11.24,9503.885048350005
45,2022-02-17,11.274,11.713,10.403,10.419,11936.055881479999
46,2022-02-18,10.454,10.946,10.177,10.289,15433.941167270015
47,2022-02-19,10.279,10.478,9.8446,10.05,15240.398364000026
48,2022-02-20,10.054,10.075,9.106,9.297,9441.49244045998
49,2022-02-21,9.305,9.8294,8.517,8.572,6996.57350611
50,2022-02-22,8.578,9.012,8.233,8.9769,9107.762192829998
51,2022-02-23,8.958,9.4511,8.5529,8.561,8804.93089721
52,2022-02-24,8.541,8.7506,7.3976,8.5006,35562.39783309002
53,2022-02-25,8.5055,9.04,8.257,8.961,7563.275652259998
54,2022-02-26,8.944,9.385,8.908,9.1201,8925.544566879995
55,2022-02-27,9.082,9.165,8.31,8.516,4819.956314829998
56,2022-02-28,8.516,9.776,8.357,9.776,12219.157313240012
57,2022-03-01,9.78,11.9,9.511,11.785,35283.27963105996
58,2022-03-02,11.744,11.853,10.885,11.066,5136.921233190002
