,date,open,high,low,close,volume
0,2020-10-13,18.036,18.128,17.34926,17.596,223307.20905804037
1,2020-10-14,17.633,17.797,16.8337,16.96954,221130.01131239987
2,2020-10-15,16.96991,17.36,16.86332,17.23996,203712.0228188798
3,2020-10-16,17.235,17.323,16.73148,17.01219,188328.18329508984
4,2020-10-17,17.03554,17.308,16.91047,17.18798,112124.18103744976
5,2020-10-18,17.18706623,17.754,17.15184,17.42,153182.69121077974
6,2020-10-19,17.40812,17.667,17.086,17.58494,248398.47906456972
7,2020-10-20,17.5815,18.03,16.87,16.94333,363347.35502412956
8,2020-10-21,16.94396,18.822,16.886,18.31473,447177.34038191265
9,2020-10-22,18.31213,19.215,18.26026,18.6415,281761.24736604147
10,2020-10-23,18.64566,18.675,17.814,18.11542,204207.7882722196
11,2020-10-24,18.11958,18.489,17.994,18.30753,339946.8963200304
12,2020-10-25,18.311,18.494,17.63893,17.8473,288392.0843175913
13,2020-10-26,17.84784,18.129,16.60462,17.08589,200491.68747139972
14,2020-10-27,17.08222,17.451,16.84598,17.00468,261952.85959013
15,2020-10-28,16.99824,17.123,15.683,15.867,213998.65628694996
16,2020-10-29,15.873,16.0775,14.9021,15.29221,228248.28318988025
17,2020-10-30,15.28182,15.464,13.95304,14.78344,268896.51309018093
18,2020-10-31,14.79402,15.207,14.56517,14.70377,223655.43844661958
19,2020-11-01,14.71,15.062,14.54409,14.94976,403882.6916245216
20,2020-11-02,14.95457,15.79843,14.94992,15.21494,344184.4995467997
21,2020-11-03,15.1993,15.488,14.12036,14.67523,298904.17189465824
22,2020-11-04,14.691,14.737,13.47441,14.08,321262.69012014277
23,2020-11-05,14.05991,14.6372,13.79438,14.395,252662.22752282934
24,2020-11-06,14.40479,15.9937,14.314,15.72443,413531.8987873128
25,2020-11-07,15.71956,16.63244,14.53588,14.875,460879.8662072032
26,2020-11-08,14.855,15.716,14.66241,15.4228,247870.25390726948
27,2020-11-09,15.45221,15.584,14.82445,15.37253,305150.4037826593
28,2020-11-10,15.37452,15.829,15.129,15.5914,172248.88011978928
29,2020-11-11,15.5794,15.987,15.17,15.39534,465038.0758671707
30,2020-11-12,15.38738,16.025,15.19616,15.45372,250248.0079400498
31,2020-11-13,15.4556,16.14,15.35756,16.01349,291829.729270458
32,2020-11-14,16.009,16.28523,15.387,15.68365,1115742.5928757011
33,2020-11-15,15.68982,15.95717,15.0,15.32575,607179.5642296042
34,2020-11-16,15.31194,15.909,15.14046,15.73533,140335.03683673023
35,2020-11-17,15.73582,16.688,15.686,16.15598,223988.50596892042
36,2020-11-18,16.16572,16.36358,15.215,15.71949,354553.4875553323
37,2020-11-19,15.728,16.25862,15.3823,16.11646,451729.27798423235
