,date,open,high,low,close,volume
0,2020-10-13,0.0849908,0.0849908,0.05559,0.0746129,629
1,2020-10-14,0.0601547,0.0694892,0.0601547,0.0694892,56
2,2020-10-15,0.0660825,0.0805523,0.065,0.065,1225
3,2020-10-16,0.063172,0.07,0.0610001,0.0610001,144
4,2020-10-18,0.0622021,0.08,0.0622021,0.0660847,1961
5,2020-10-19,0.0746557,0.0746558,0.0670788,0.0670788,1032
6,2020-10-21,0.075,0.075,0.075,0.075,4873
7,2020-10-22,0.073656,0.1113,0.0736431,0.09628,7582
8,2020-10-23,0.0968533,0.12,0.0968533,0.119992,7193
9,2020-10-24,0.107145,0.1071768,0.104,0.104,10187
10,2020-10-25,0.0980639,0.0981687,0.0980638,0.0981687,5000
11,2020-10-26,0.0941553,0.0941553,0.0941553,0.0941553,44
12,2020-10-27,0.0886387,0.0935201,0.0602017,0.0871108,63815
13,2020-10-28,0.0656045,0.10072,0.0459,0.076,79849
14,2020-10-29,0.075,0.0768947,0.066408,0.066408,112
15,2020-10-30,0.0768947,0.0769,0.0723678,0.0723678,284
16,2020-10-31,0.0723677,0.0723677,0.0582527,0.0582527,2142
17,2020-11-02,0.0703365,0.0703365,0.0696466,0.0696466,551
18,2020-11-03,0.0680499,0.0680499,0.0609949,0.0609949,1071
19,2020-11-04,0.071186,0.071186,0.071186,0.071186,76
20,2020-11-05,0.0739575,0.0739575,0.0739575,0.0739575,587
21,2020-11-06,0.0779,0.0799767,0.0581223,0.0581229,27206
22,2020-11-07,0.0544359,0.0544359,0.053491,0.053491,460
23,2020-11-08,0.0557384,0.0656565,0.0542261,0.0600998,24957
24,2020-11-09,0.0612072,0.0612365,0.044,0.044,72642
25,2020-11-10,0.0549198,0.055,0.049,0.0549409,40117
26,2020-11-11,0.054,0.054,0.054,0.054,51
27,2020-11-12,0.052,0.052,0.052,0.052,2929
28,2020-11-14,0.0530923,0.0530923,0.047997,0.047997,915
29,2020-11-15,0.047997,0.0510226,0.0479965,0.0510226,37400
30,2020-11-16,0.0513267,0.0538683,0.0510122,0.0538683,1382
31,2020-11-17,0.0516966,0.0516966,0.0516966,0.0516966,107
32,2020-11-18,0.0525003,0.0579999,0.0510122,0.0510164,43560
33,2020-11-19,0.0510122,0.0510224,0.0390001,0.0502614,31281
34,2020-11-20,0.0502614,0.0511429,0.0488192,0.0511429,8329
35,2020-11-21,0.0544438,0.0544438,0.0457688,0.0488375,55342
36,2020-11-22,0.0488375,0.0488375,0.044024,0.0481141,4261
37,2020-11-23,0.0486432,0.0486432,0.044214,0.04445,1451
38,2020-11-24,0.0493095,0.0508464,0.0470075,0.0471792,12282
39,2020-11-25,0.0544593,0.0659799,0.0456617,0.0530118,31101
40,2020-11-26,0.0503147,0.0564662,0.044,0.044,7165
41,2020-11-27,0.044,0.047587,0.044,0.044,14955
42,2020-11-28,0.044,0.0454547,0.044,0.0447859,1056
43,2020-11-29,0.0447913,0.0454545,0.044,0.0454545,184
44,2020-11-30,0.0440038,0.045,0.0440001,0.045,740
45,2020-12-01,0.046449,0.0490834,0.044,0.044,5024
46,2020-12-02,0.044,0.0462172,0.044,0.0462172,815
47,2020-12-03,0.0461575,0.0505299,0.0440001,0.0474882,1194
48,2020-12-04,0.0568452,0.0568452,0.0488458,0.0488458,6
49,2020-12-05,0.0482102,0.049,0.0440001,0.0440001,959
50,2020-12-06,0.049,0.049,0.0440001,0.0440002,3043
51,2020-12-07,0.0504152,0.0504597,0.048947,0.048947,198
52,2020-12-08,0.049279,0.049279,0.0483663,0.0483663,201
53,2020-12-09,0.0485035,0.0485035,0.0485017,0.0485017,45
54,2020-12-10,0.0530995,0.0531026,0.0443628,0.0473892,15581
55,2020-12-11,0.0460174,0.0460174,0.0460174,0.0460174,4960
56,2020-12-12,0.0529079,0.056,0.0529079,0.0543912,9710
57,2020-12-13,0.0619949,0.0619949,0.059376,0.0603743,1655
58,2020-12-15,0.058626,0.058626,0.0586252,0.0586252,57
59,2020-12-16,0.0623103,0.0632815,0.0608574,0.0608574,16814
60,2020-12-17,0.0621318,0.065,0.0621318,0.065,7008
61,2020-12-18,0.0618719,0.0618719,0.0606,0.0606,396
62,2020-12-19,0.0606023,0.0634567,0.0520476,0.0634567,20733
63,2020-12-20,0.0628896,0.0634567,0.0552344,0.0579681,14007
64,2020-12-21,0.0559819,0.0568419,0.055981,0.055981,1374
65,2020-12-22,0.0501533,0.05736,0.0501515,0.0542001,11298
66,2020-12-23,0.0614604,0.066,0.0566379,0.066,43625
67,2020-12-24,0.0768429,0.0768429,0.0622218,0.0645,15299
68,2020-12-25,0.0648869,0.0648869,0.0648869,0.0648869,362
69,2020-12-26,0.0655775,0.072,0.0650039,0.072,1716
70,2020-12-27,0.0720833,0.08,0.0708751,0.0708751,5669
71,2020-12-28,0.071,0.08,0.0693866,0.0693866,3528
72,2020-12-29,0.0667836,0.098,0.0667027,0.098,3557
73,2020-12-30,0.0790283,0.0979998,0.073328,0.0805511,7378
74,2020-12-31,0.082732,0.115,0.0741628,0.115,44721
75,2021-01-01,0.1149995,0.1399999,0.0852198,0.1194749,40227
76,2021-01-02,0.1104405,0.1104405,0.0717944,0.0860002,6184
77,2021-01-03,0.1109255,0.1109255,0.0749934,0.08,5685
78,2021-01-04,0.0765745,0.0798802,0.0765736,0.0798801,763
79,2021-01-05,0.07988,0.0921346,0.074392,0.0921346,4359
80,2021-01-06,0.0900001,0.1097009,0.0900001,0.1097009,5293
81,2021-01-07,0.0909954,0.10698,0.0757101,0.0757124,131118
82,2021-01-08,0.0852324,0.1064477,0.0757069,0.0757069,3411
83,2021-01-09,0.08,0.09,0.0648169,0.0741,14487
84,2021-01-10,0.0665005,0.0704144,0.0600024,0.065708,3157
85,2021-01-11,0.0660057,0.0899904,0.0597232,0.0849729,13046
86,2021-01-12,0.0627376,0.07,0.047138,0.0614245,87877
87,2021-01-13,0.0614605,0.0693,0.055,0.0693,2821
88,2021-01-14,0.0752154,0.0752154,0.0629829,0.0629829,20037
89,2021-01-15,0.0703635,0.0703635,0.0600001,0.064336,15367
90,2021-01-16,0.0660309,0.0696472,0.0611217,0.0636983,6774
91,2021-01-17,0.0636985,0.0663727,0.0636984,0.0638881,8376
92,2021-01-18,0.0652172,0.0738761,0.065217,0.0738761,9231
93,2021-01-19,0.0658352,0.0731343,0.0652171,0.0652171,9517
94,2021-01-20,0.065217,0.0652303,0.0633348,0.0633348,60710
95,2021-01-21,0.0568614,0.0600563,0.044,0.044,35187
96,2021-01-22,0.045,0.045,0.045,0.045,72
97,2021-01-23,0.0440001,0.0462064,0.044,0.044,5750
98,2021-01-24,0.0466674,0.0566153,0.044,0.050504,8690
99,2021-01-25,0.050504,0.0538923,0.050504,0.0505388,1332
100,2021-01-26,0.0511144,0.0566399,0.0510062,0.0510062,103
101,2021-01-27,0.0566398,0.0707758,0.05557,0.0611048,5614
102,2021-01-28,0.0555727,0.0615919,0.0505041,0.0517001,4795
103,2021-01-29,0.0518043,0.0654757,0.0518043,0.0587907,10084
104,2021-01-30,0.0534119,0.0595073,0.0525737,0.0545,1304
105,2021-01-31,0.0545,0.0571864,0.0478121,0.0478368,110690
106,2021-02-01,0.0488786,0.0559688,0.0453074,0.0497285,308518
107,2021-02-02,0.0483804,0.05357,0.0454863,0.049,47997
108,2021-02-03,0.0535545,0.0559981,0.048555,0.0547728,190609
109,2021-02-04,0.0533207,0.0632566,0.049,0.0631431,276233
110,2021-02-05,0.0560111,0.0613579,0.05335,0.058692,25610
111,2021-02-06,0.0576221,0.0611261,0.0520343,0.0520343,208187
112,2021-02-07,0.0500041,0.0578282,0.0500001,0.0526478,67621
113,2021-02-08,0.0504225,0.0599999,0.0500041,0.0569366,102317
114,2021-02-09,0.0569792,0.06,0.05,0.0509808,138498
115,2021-02-10,0.0501282,0.0559981,0.050016,0.0500335,100066
116,2021-02-11,0.050016,0.0559999,0.05001,0.0500103,446400
117,2021-02-12,0.0554139,0.0613579,0.0500115,0.0545,417557
118,2021-02-13,0.0555962,0.0559609,0.05001,0.05001,125109
119,2021-02-14,0.05002,0.0532022,0.0470007,0.0487677,318469
120,2021-02-15,0.0480094,0.0501009,0.0440003,0.0467914,26314
121,2021-02-16,0.0467885,0.0509081,0.044,0.045931,150381
122,2021-02-17,0.0442029,0.0502276,0.0442029,0.0464553,261280
123,2021-02-18,0.046455,0.0534071,0.046455,0.0485902,17949
124,2021-02-19,0.0487253,0.0497397,0.046,0.046,6711
125,2021-02-20,0.0460159,0.0483569,0.046,0.0460015,335859
126,2021-02-21,0.046,0.0472317,0.046,0.046,30476
127,2021-02-22,0.046,0.0469974,0.04,0.0444267,153874
128,2021-02-23,0.0415047,0.042,0.0300011,0.0394393,84401
129,2021-02-24,0.0394798,0.0394798,0.0353535,0.0353535,1079
130,2021-02-25,0.0371986,0.0393592,0.0342009,0.0342009,3886
131,2021-02-26,0.033651,0.0336512,0.0333448,0.033417,2730
132,2021-02-27,0.0364512,0.036833,0.0334171,0.036833,2465
133,2021-02-28,0.0337517,0.0387923,0.0337517,0.0387923,82
134,2021-03-01,0.0339736,0.0391967,0.0321358,0.0391967,1647
135,2021-03-02,0.0391967,0.0436779,0.0391967,0.0436779,5323
136,2021-03-03,0.041,0.0439712,0.0382453,0.0419997,69656
137,2021-03-04,0.0403153,0.0420266,0.0403153,0.0405689,15045
138,2021-03-05,0.040789,0.042,0.0405678,0.0405678,10374
139,2021-03-06,0.0405678,0.0405678,0.0405678,0.0405678,117
140,2021-03-07,0.0418,0.0418,0.0418,0.0418,34
141,2021-03-08,0.040191,0.040191,0.0376286,0.0398755,1180
142,2021-03-09,0.0398752,0.0425401,0.0373296,0.0373296,8436
143,2021-03-10,0.0408063,0.042,0.0367006,0.0399746,18016
144,2021-03-11,0.0399746,0.0420112,0.0394891,0.0411316,51180
145,2021-03-12,0.0411324,0.0424199,0.0407162,0.0407162,8385
146,2021-03-13,0.0407141,0.0435271,0.0403016,0.0435164,49235
147,2021-03-14,0.0415519,0.0454509,0.0407142,0.0454509,87992
148,2021-03-15,0.0454509,0.0455551,0.0400001,0.0400001,55631
149,2021-03-16,0.0400001,0.0419,0.0383009,0.0418999,9374
150,2021-03-17,0.0418999,0.0454545,0.041004,0.0454545,83909
151,2021-03-18,0.0454545,0.0484848,0.041625,0.0438937,178131
152,2021-03-19,0.0432752,0.0461122,0.041,0.041,79352
153,2021-03-20,0.0389593,0.043,0.0389429,0.0409921,51208
154,2021-03-21,0.0419999,0.042,0.0393939,0.04,18464
155,2021-03-22,0.0393939,0.0416868,0.0393939,0.0400003,2451
156,2021-03-23,0.0419965,0.0450758,0.0395,0.0450758,47966
157,2021-03-24,0.0425285,0.0454633,0.0401129,0.0401129,141873
158,2021-03-25,0.0400101,0.0419784,0.0395103,0.0418608,6662
159,2021-03-26,0.0418625,0.0429999,0.0330679,0.0405185,199384
160,2021-03-27,0.0419968,0.0484848,0.0399,0.043582,231373
161,2021-03-28,0.041978,0.0546555,0.0417015,0.0470223,505493
162,2021-03-29,0.0479358,0.0481128,0.0442208,0.044977,7140
163,2021-03-30,0.0438132,0.046226,0.0420001,0.0439881,24656
164,2021-03-31,0.0433449,0.0508926,0.0401,0.0426032,31306
165,2021-04-01,0.0426032,0.0468875,0.0426032,0.0427456,44138
166,2021-04-02,0.0430592,0.0471425,0.041845,0.0419999,33195
167,2021-04-03,0.0419998,0.042082,0.0401004,0.0406959,15218
168,2021-04-04,0.0405301,0.0502472,0.0404929,0.0496164,267337
169,2021-04-05,0.0502472,0.0823791,0.0502472,0.0748881,145539
170,2021-04-06,0.0739501,0.0748901,0.0582047,0.0582047,28716
171,2021-04-07,0.0589446,0.0699941,0.0477781,0.059849,43762
172,2021-04-08,0.0655051,0.0699855,0.0568732,0.0606746,19531
173,2021-04-09,0.0590061,0.0726761,0.0585195,0.0719999,18003
174,2021-04-10,0.0686759,0.072,0.0601983,0.0615,7691
175,2021-04-11,0.0639644,0.0639734,0.0615,0.0615,7698
176,2021-04-12,0.0634582,0.0634596,0.0586746,0.0619848,35585
177,2021-04-13,0.0601175,0.0676604,0.0545436,0.0545614,104709
178,2021-04-14,0.0547865,0.0614521,0.052,0.0587816,113440
179,2021-04-15,0.0582601,0.0597757,0.0500013,0.0500013,56719
180,2021-04-16,0.0500006,0.0542964,0.04909,0.0505096,63887
181,2021-04-17,0.0495023,0.0518485,0.04909,0.0504751,23678
182,2021-04-18,0.0490924,0.050366,0.042,0.043455,54546
183,2021-04-19,0.0430087,0.0489548,0.0425186,0.0442,81588
184,2021-04-20,0.043222,0.0649961,0.0418825,0.0471472,88046
185,2021-04-21,0.0452601,0.06,0.0437119,0.0465015,68418
186,2021-04-22,0.045836,0.0506291,0.0420034,0.0420034,80876
187,2021-04-23,0.042191,0.0427218,0.0376299,0.040187,59902
188,2021-04-24,0.0416247,0.0419987,0.037612,0.0419987,10463
189,2021-04-25,0.0368109,0.05,0.0368109,0.0437487,43786
190,2021-04-26,0.0442437,0.052997,0.0425328,0.0444367,56281
191,2021-04-27,0.0468047,0.0547004,0.0439174,0.0439282,40487
192,2021-04-28,0.044,0.0546911,0.0437945,0.0546911,6087
193,2021-04-29,0.0546908,0.06,0.042,0.0539589,75821
194,2021-04-30,0.0529956,0.059,0.0484933,0.059,20352
195,2021-05-01,0.0554652,0.0686869,0.055,0.0560581,46726
196,2021-05-02,0.0618212,0.0664739,0.0543094,0.0650901,9960
197,2021-05-03,0.0574152,0.0642891,0.0563509,0.0563509,24378
198,2021-05-04,0.0595586,0.062775,0.0515615,0.0517649,11749
199,2021-05-05,0.0546251,0.0546251,0.05091,0.05091,4945
200,2021-05-06,0.05,0.0628821,0.0487491,0.0612351,14259
201,2021-05-07,0.0628969,0.0699,0.0607396,0.0613325,16986
202,2021-05-08,0.0657033,0.0698639,0.0593639,0.0600091,15114
203,2021-05-09,0.0600844,0.0600844,0.0570984,0.0570984,1631
204,2021-05-10,0.0593603,0.0640371,0.0523667,0.05847,12504
205,2021-05-11,0.0532055,0.07,0.0532055,0.0589407,68480
206,2021-05-12,0.055,0.0607853,0.0465554,0.0465554,44772
207,2021-05-13,0.0465554,0.050346,0.0420167,0.0420167,5405
208,2021-05-14,0.0496928,0.0496928,0.0455658,0.0455658,16
209,2021-05-15,0.0479316,0.0479316,0.0420167,0.0448,11024
210,2021-05-16,0.0433676,0.0459406,0.0404041,0.0404041,4068
211,2021-05-17,0.040404,0.0410518,0.040404,0.0410518,11
212,2021-05-18,0.040404,0.046035,0.040404,0.0429129,7697
213,2021-05-19,0.0436188,0.0436188,0.03,0.038,30372
214,2021-05-20,0.038,0.038,0.037,0.037074,5274
215,2021-05-21,0.037,0.037,0.0302878,0.0302878,1119
216,2021-05-22,0.0302862,0.0333757,0.0302853,0.0333757,496
217,2021-05-23,0.0315,0.0315,0.027881,0.027881,6946
218,2021-05-24,0.0299999,0.0349107,0.0250409,0.0313978,6054
219,2021-05-25,0.0323803,0.0349997,0.0323803,0.0340116,1900
220,2021-05-26,0.0338816,0.0349999,0.032,0.0324952,140
221,2021-05-27,0.0348376,0.035,0.0311243,0.0337425,9824
222,2021-05-28,0.0312777,0.0333766,0.0288717,0.0306681,1052
223,2021-05-29,0.0300368,0.0305763,0.0277322,0.0290081,5190
224,2021-05-30,0.0293846,0.0318991,0.0291478,0.0292694,427
225,2021-05-31,0.0310822,0.0334984,0.0280956,0.0321882,17801
226,2021-06-01,0.0329181,0.0329181,0.0305008,0.0308597,11
227,2021-06-02,0.0308963,0.0327325,0.0308963,0.0320831,33
