,date,open,high,low,close,volume
0,2021-04-09,1.3899,1.5444,1.113,1.2946,54192644.29999964
1,2021-04-10,1.2933,1.3287,0.9809,1.0266,71322614.39999974
2,2021-04-11,1.0258,1.0589,0.9222,0.9518,43633150.00000119
3,2021-04-12,0.9516,0.975,0.8438,0.87,35839216.69999999
4,2021-04-13,0.8691,0.93,0.8259,0.8505,36825221.29999999
5,2021-04-14,0.8495,0.8552,0.73,0.7866,55908416.49999986
6,2021-04-15,0.7863,0.9434,0.7527,0.8122,68804976.70000008
7,2021-04-16,0.8122,0.8267,0.74,0.7742,51964924.300000966
8,2021-04-17,0.7742,0.841,0.76,0.7778,38360136.20000021
9,2021-04-18,0.7786,0.7999,0.5758,0.6638,49005323.00000042
10,2021-04-19,0.6635,0.6988,0.579,0.5885,27676394.899999943
11,2021-04-20,0.5883,0.609,0.5186,0.6065,27083208.99999987
12,2021-04-21,0.6063,0.871,0.5917,0.7198,100064850.49999897
13,2021-04-22,0.7196,0.7463,0.5792,0.6082,44331325.99999995
14,2021-04-23,0.6079,0.6389,0.4908,0.5987,49307642.59999986
15,2021-04-24,0.5991,0.6422,0.5476,0.5523,21304329.399999984
16,2021-04-25,0.5511,0.675,0.5455,0.6143,23485523.59999984
17,2021-04-26,0.6155,0.6905,0.5937,0.659,24312692.900000196
18,2021-04-27,0.6577,0.7189,0.6426,0.6787,23080599.500000227
19,2021-04-28,0.6787,0.7125,0.615,0.6538,23011323.500000123
20,2021-04-29,0.6534,0.694,0.6213,0.65,15598677.699999997
21,2021-04-30,0.6492,0.71,0.6291,0.6921,17351513.100000124
22,2021-05-01,0.6921,0.84,0.6855,0.7688,46078539.7000001
23,2021-05-02,0.7688,0.791,0.705,0.757,16583808.700000096
24,2021-05-03,0.756,0.8153,0.7364,0.7616,23318607.900000244
25,2021-05-04,0.7613,0.7634,0.6505,0.6696,27819267.600000095
26,2021-05-05,0.6696,0.7098,0.6553,0.6935,21715091.999999996
27,2021-05-06,0.6935,0.6974,0.6301,0.6436,28725313.99999998
28,2021-05-07,0.6452,0.696,0.627,0.6592,18073214.30000003
29,2021-05-08,0.6594,0.6794,0.634,0.655,15848712.399999972
30,2021-05-09,0.6546,0.66,0.6025,0.6238,18932575.09999994
31,2021-05-10,0.6255,0.75,0.5303,0.5768,37262990.99999996
32,2021-05-11,0.5751,0.631,0.5565,0.6241,25271209.199999984
33,2021-05-12,0.6241,0.6617,0.5039,0.5068,24398028.700000115
34,2021-05-13,0.507,0.5696,0.4813,0.5345,22971659.199999966
35,2021-05-14,0.5345,0.5799,0.523,0.5472,15100914.400000026
36,2021-05-15,0.5474,0.6442,0.5362,0.587,39761692.00000013
37,2021-05-16,0.5869,0.7384,0.55,0.5872,95516281.49999645
38,2021-05-17,0.5867,0.588,0.5147,0.5272,32709252.50000012
39,2021-05-18,0.5279,0.5676,0.5186,0.5323,24813793.200000107
40,2021-05-19,0.5316,0.5465,0.2,0.3285,62077725.09999917
