,date,open,high,low,close,volume
0,2020-10-16,0.010424,0.01044,0.010424,0.01044,15292
1,2020-10-17,0.011998,0.0130679,0.011998,0.0130679,363
2,2020-10-21,0.014,0.02,0.014,0.02,1455
3,2020-10-26,0.0191852,0.0268796,0.0191852,0.0268796,32269
4,2020-10-27,0.03,0.03,0.025,0.0299633,22650
5,2020-10-29,0.0319999,0.0319999,0.0196841,0.0319999,8156
6,2020-10-31,0.019697,0.019697,0.019697,0.019697,33
7,2020-11-02,0.0197032,0.0197032,0.0196982,0.0196982,3616
8,2020-11-05,0.0196841,0.0196913,0.0196841,0.0196841,582
9,2020-11-06,0.0319849,0.0319849,0.0319849,0.0319849,9
10,2020-11-07,0.0319769,0.0319999,0.0197043,0.0319999,19950
11,2020-11-08,0.0202676,0.0202767,0.0153816,0.0153816,17900
12,2020-11-09,0.0319999,0.0319999,0.0154625,0.0159999,12152
13,2020-11-10,0.0154593,0.0255314,0.0131703,0.0158,117505
14,2020-11-11,0.0199912,0.0199912,0.0133348,0.0133348,14595
15,2020-11-12,0.0133475,0.0133476,0.0129601,0.0129601,2117
16,2020-11-13,0.0129601,0.0129601,0.01296,0.01296,20004
17,2020-11-16,0.0139999,0.0139999,0.0139999,0.0139999,1
18,2020-11-18,0.0139998,0.0152,0.0139998,0.0152,7417
19,2020-11-23,0.0133453,0.0133453,0.0118209,0.0118209,8650
20,2020-11-27,0.0122822,0.0122822,0.0122822,0.0122822,42
21,2020-11-29,0.0124787,0.0124787,0.0124787,0.0124787,10
22,2020-12-01,0.0161173,0.0226188,0.0161173,0.0226188,9070
23,2020-12-02,0.0168715,0.0169042,0.0141816,0.014192,47078
24,2020-12-03,0.0142882,0.0142882,0.0142881,0.0142881,973
25,2020-12-04,0.0142022,0.0142022,0.0142022,0.0142022,1
26,2020-12-06,0.0142022,0.0142022,0.0142022,0.0142022,373
27,2020-12-10,0.0142022,0.0173599,0.0142022,0.0173599,30
28,2020-12-12,0.0177128,0.0177651,0.0124388,0.0124388,42503
29,2020-12-13,0.0171421,0.0171421,0.0171421,0.0171421,1000
30,2020-12-16,0.0165125,0.0165125,0.0165125,0.0165125,6170
31,2020-12-17,0.0165116,0.0165116,0.0165115,0.0165115,7396
32,2020-12-19,0.017279,0.017279,0.017279,0.017279,1
33,2020-12-20,0.018991,0.018991,0.01899,0.01899,1791
34,2020-12-21,0.01899,0.01899,0.01899,0.01899,3562
35,2020-12-22,0.0191137,0.0191137,0.0191137,0.0191137,10
36,2020-12-27,0.019,0.019,0.0118445,0.0118445,10279
