,date,open,high,low,close,volume
0,2020-12-02,0.151,0.154,0.1065,0.1154,99326217.95568506
1,2020-12-03,0.1154,0.228,0.103,0.1853,346456176.3335349
2,2020-12-04,0.1853,0.41,0.1809,0.3271,668056524.7707242
3,2020-12-05,0.327,0.3701,0.2533,0.2888,404601371.08247745
4,2020-12-06,0.2888,0.3165,0.2368,0.2527,207422273.51269278
5,2020-12-07,0.2526,0.289,0.2424,0.2598,111689000.46635248
6,2020-12-08,0.2599,0.2694,0.2118,0.2173,120280731.66896197
7,2020-12-09,0.2173,0.2476,0.1912,0.2055,135804593.68852526
8,2020-12-10,0.2051,0.2082,0.1659,0.1747,103471384.92569397
9,2020-12-11,0.1749,0.24,0.1675,0.2109,205712233.70545906
10,2020-12-12,0.2105,0.2695,0.2082,0.2401,185479955.0959246
11,2020-12-13,0.2408,0.2408,0.211,0.2306,106180352.69806601
12,2020-12-14,0.2306,0.245,0.2183,0.2257,62957824.99202379
13,2020-12-15,0.2256,0.226,0.1915,0.202,76184640.7803775
14,2020-12-16,0.2025,0.2285,0.1865,0.197,96980727.11060856
15,2020-12-17,0.1971,0.21,0.1811,0.1917,85192066.53094701
16,2020-12-18,0.1916,0.2,0.175,0.1892,99437294.47238451
17,2020-12-19,0.1892,0.199,0.1751,0.1806,97192529.51963238
18,2020-12-20,0.1802,0.27,0.165,0.2166,268992638.54161245
19,2020-12-21,0.2166,0.2569,0.1907,0.2067,344004717.0306455
20,2020-12-22,0.2067,0.215,0.185,0.1894,114934033.24109332
21,2020-12-23,0.1893,0.2005,0.156,0.169,98826473.84573375
22,2020-12-24,0.1688,0.198,0.162,0.18,76812883.49498348
23,2020-12-25,0.1798,0.19,0.17,0.177,42018976.744462006
24,2020-12-26,0.177,0.185,0.17,0.1779,44699548.44487199
25,2020-12-27,0.178,0.182,0.1725,0.1769,39285187.213846296
26,2020-12-28,0.1768,0.1945,0.173,0.1757,58921003.51820007
27,2020-12-29,0.1757,0.1813,0.1629,0.1708,51564755.55574093
28,2020-12-30,0.1711,0.1765,0.164,0.1705,39835969.25650507
29,2020-12-31,0.1707,0.171,0.161,0.1628,19552314.65036902
30,2021-01-01,0.163,0.1762,0.1619,0.1667,30235230.76055401
31,2021-01-02,0.1669,0.17,0.1585,0.1615,30744320.196854983
32,2021-01-03,0.1611,0.1643,0.15,0.1589,48214948.478222884
33,2021-01-04,0.1586,0.18,0.155,0.1595,75078028.25294894
34,2021-01-05,0.1598,0.1968,0.1588,0.1824,123818573.91404001
35,2021-01-06,0.1824,0.217,0.1806,0.1971,130174424.60166076
36,2021-01-07,0.1973,0.2297,0.1906,0.2023,101461814.63900249
37,2021-01-08,0.2018,0.2225,0.1808,0.1924,75918557.44185886
38,2021-01-09,0.193,0.21,0.186,0.2019,47033163.47810992
39,2021-01-10,0.202,0.2052,0.185,0.1889,52098641.99197105
40,2021-01-12,0.171,0.1848,0.163,0.1745,43289824.34905493
41,2021-01-13,0.1756,0.189,0.1705,0.1874,29708033.168146107
42,2021-01-14,0.1869,0.1992,0.1807,0.1872,25149884.86876006
43,2021-01-15,0.1872,0.1932,0.172,0.1811,23272742.302074928
44,2021-01-16,0.1811,0.1978,0.1797,0.1915,34766571.58117596
45,2021-01-17,0.1918,0.228,0.1829,0.2162,91998285.5010395
46,2021-01-18,0.2161,0.24,0.1936,0.2226,98698555.16854677
47,2021-01-19,0.2226,0.2447,0.204,0.2335,71866931.61045013
48,2021-01-20,0.2336,0.2437,0.2157,0.2313,55971375.87383532
49,2021-01-21,0.231,0.234,0.1955,0.1976,37144711.45425401
50,2021-01-22,0.197,0.2192,0.1881,0.206,39637804.71092323
51,2021-01-23,0.2056,0.216,0.2012,0.2065,22012870.700169824
52,2021-01-24,0.2067,0.2379,0.2052,0.222,47936379.023156166
53,2021-01-25,0.2219,0.238,0.2177,0.22,29614672.86082528
54,2021-01-26,0.22,0.2234,0.2101,0.22,17231967.18368587
55,2021-01-27,0.2202,0.24,0.2057,0.2103,48903635.39756173
56,2021-01-28,0.2101,0.23,0.2078,0.2251,23992942.33826608
57,2021-01-29,0.2255,0.2294,0.21,0.2237,24907642.991383154
58,2021-01-30,0.2239,0.238,0.2173,0.2324,32084721.742740717
59,2021-01-31,0.2319,0.2997,0.2276,0.2741,132370046.21479908
60,2021-02-01,0.2741,0.32,0.26,0.2833,114185524.86666554
61,2021-02-02,0.2833,0.2922,0.265,0.2814,47676944.92595736
62,2021-02-03,0.2814,0.2901,0.275,0.2869,38674274.95882324
63,2021-02-04,0.2869,0.3397,0.2831,0.3357,113353385.4616024
64,2021-02-05,0.3369,0.69,0.3353,0.538,405456610.5620723
65,2021-02-06,0.5384,0.5799,0.4344,0.4929,149947376.11246502
66,2021-02-07,0.4936,0.5199,0.4604,0.4993,54821172.27924932
67,2021-02-08,0.499,0.57,0.4901,0.5168,64058732.612197064
68,2021-02-09,0.5165,0.5475,0.503,0.519,42147616.22600535
69,2021-02-10,0.5194,0.5693,0.515,0.5318,57764169.40744827
70,2021-02-11,0.5318,0.6771,0.517,0.64,119949245.42511898
71,2021-02-12,0.64,0.8886,0.6051,0.785,167971797.09054297
72,2021-02-13,0.7868,0.8498,0.733,0.7663,60739420.03847529
73,2021-02-14,0.7662,0.8485,0.6631,0.7411,52149240.71539984
74,2021-02-15,0.74,0.749,0.55,0.6818,62076075.008227274
75,2021-02-16,0.6805,0.7295,0.6254,0.6899,37809527.09040502
76,2021-02-17,0.6899,0.838,0.685,0.7922,80058122.02208066
77,2021-02-18,0.792,0.8099,0.7475,0.7604,28540272.056448713
78,2021-02-19,0.7604,0.7687,0.71,0.7179,31538139.004197918
79,2021-02-20,0.7184,0.7948,0.713,0.7527,51944888.93931743
80,2021-02-21,0.7525,1.14,0.7376,0.9595,218910188.0935942
81,2021-02-22,0.9588,1.019,0.71,0.8973,111008735.71190007
82,2021-02-23,0.8976,0.8999,0.6422,0.7384,97899776.89010704
83,2021-02-24,0.7396,0.873,0.6861,0.8134,56415107.55347056
84,2021-02-25,0.8131,0.84,0.7057,0.7145,27482440.66747562
85,2021-02-26,0.7145,0.76,0.6589,0.706,44508476.89693347
86,2021-02-27,0.7055,0.76,0.692,0.7264,29677998.3818512
87,2021-02-28,0.7259,0.7307,0.5955,0.6717,36218795.67841006
88,2021-03-01,0.67,0.77,0.6533,0.7377,35608064.567965075
89,2021-03-02,0.7381,0.7495,0.6566,0.6998,29822380.89789304
90,2021-03-03,0.6998,0.74,0.6829,0.71,26463399.742102202
91,2021-03-04,0.7081,0.7297,0.6605,0.6762,21058862.618533913
92,2021-03-05,0.6768,0.69,0.6301,0.6768,22023531.10149201
93,2021-03-06,0.6768,0.7125,0.6456,0.6788,13249388.093745986
94,2021-03-07,0.6795,0.6943,0.6665,0.682,12948153.112315066
95,2021-03-08,0.682,0.7192,0.6691,0.7125,20841289.30311909
96,2021-03-09,0.7121,0.719,0.6901,0.709,21305175.169143043
97,2021-03-10,0.709,0.74,0.67,0.6851,26768159.50619604
98,2021-03-11,0.6852,0.7025,0.64,0.6411,28453734.038435984
99,2021-03-12,0.6414,0.6571,0.5876,0.5988,35401075.83244484
100,2021-03-13,0.5991,0.6459,0.5769,0.628,26034464.654043935
101,2021-03-14,0.6281,0.6482,0.583,0.5987,17562920.77605704
102,2021-03-15,0.5986,0.625,0.5719,0.5792,19082921.240845967
103,2021-03-16,0.5799,0.61,0.5498,0.5683,19606456.852819834
104,2021-03-17,0.5683,0.6116,0.5551,0.5979,24560385.297235083
105,2021-03-18,0.5982,0.6442,0.5656,0.5779,32028119.63103887
106,2021-03-19,0.5779,0.606,0.5641,0.58,16103394.907773044
107,2021-03-20,0.5801,0.6986,0.5775,0.6642,51805486.604843564
108,2021-03-21,0.6627,0.6998,0.6056,0.6418,31334863.138464138
109,2021-03-22,0.6431,0.6712,0.5868,0.5891,22157651.00085503
110,2021-03-23,0.5894,0.6178,0.5701,0.581,15470024.021381978
111,2021-03-24,0.581,0.642,0.5378,0.5412,18261125.65218892
112,2021-03-25,0.5413,0.5578,0.49,0.4902,23130844.81804108
113,2021-03-26,0.4901,0.5484,0.49,0.5395,25765654.877547808
114,2021-03-27,0.539,0.5687,0.5229,0.5279,22508073.293099042
115,2021-03-28,0.5279,0.5673,0.5171,0.5408,24627764.793765973
116,2021-03-29,0.5411,0.598,0.531,0.5774,34028533.77503293
117,2021-03-30,0.5777,0.685,0.5602,0.6093,63233451.71258985
118,2021-03-31,0.6087,0.6099,0.5705,0.5859,20290124.767264906
119,2021-04-01,0.5853,0.6,0.5745,0.5865,14192309.346315976
120,2021-04-02,0.5864,0.6313,0.5775,0.6214,20291585.39314507
121,2021-04-03,0.6214,0.6329,0.5719,0.5724,13672331.351258943
122,2021-04-04,0.5724,0.6247,0.5655,0.6056,11571589.387353027
123,2021-04-05,0.6059,0.6655,0.5981,0.6268,20994190.986581106
124,2021-04-06,0.6268,0.6372,0.59,0.6062,14047257.501627952
125,2021-04-07,0.6066,0.6231,0.55,0.5643,16985703.073046032
126,2021-04-08,0.5646,0.6,0.5375,0.575,14553200.35234208
127,2021-04-09,0.5757,0.5959,0.5629,0.5676,13036585.215928985
128,2021-04-10,0.5675,0.61,0.562,0.5851,13849152.406247986
129,2021-04-11,0.5856,0.5961,0.5696,0.5856,9823229.942781998
130,2021-04-12,0.5856,0.6079,0.5804,0.5994,12868231.573929943
131,2021-04-13,0.5996,0.6199,0.5801,0.6068,14358790.437989902
132,2021-04-14,0.6065,0.6073,0.5412,0.5714,31710866.045948803
133,2021-04-15,0.5714,0.59,0.5482,0.5834,26416308.511449926
134,2021-04-16,0.5843,0.5887,0.5475,0.569,20907290.37957188
135,2021-04-17,0.5689,0.6059,0.5651,0.5778,24418987.815760966
136,2021-04-18,0.5781,0.5788,0.4595,0.519,31237997.255006805
137,2021-04-19,0.5187,0.552,0.4706,0.4984,18448992.86851499
138,2021-04-20,0.4979,0.5011,0.4036,0.4823,51406099.87331704
139,2021-04-21,0.4826,0.5217,0.4413,0.4535,27839386.809843346
140,2021-04-22,0.4527,0.4849,0.4206,0.4309,23464958.20873918
141,2021-04-23,0.431,0.4329,0.36,0.4159,34925386.262191705
142,2021-04-24,0.4178,0.4178,0.3755,0.3861,16370636.981615093
143,2021-04-25,0.386,0.4068,0.3557,0.3798,15351057.50116399
144,2021-04-26,0.3798,0.4742,0.375,0.465,50136060.659079514
145,2021-04-27,0.465,0.51,0.4489,0.4918,32983092.57754215
146,2021-04-28,0.4925,0.5979,0.462,0.5144,78697512.69768465
147,2021-04-29,0.5142,0.5757,0.5,0.5269,35482070.75899186
148,2021-04-30,0.5266,0.5354,0.5013,0.5222,23697013.238815866
149,2021-05-01,0.5223,0.5367,0.5111,0.516,15547140.843247054
150,2021-05-02,0.5159,0.5205,0.4921,0.5047,14128499.518653905
151,2021-05-03,0.505,0.528,0.5025,0.5111,18869884.578891937
152,2021-05-04,0.5114,0.5142,0.4554,0.458,22132492.75801115
153,2021-05-05,0.4581,0.4839,0.4569,0.4757,25196126.749237992
154,2021-05-06,0.4761,0.4846,0.4466,0.4506,31078145.41540563
