,date,open,high,low,close,volume
0,2021-04-09,3.112,3.15,2.827,2.955,4984443.889999987
1,2021-04-10,2.955,2.978,2.525,2.631,6222439.9999997355
2,2021-04-11,2.626,2.845,2.508,2.564,3508952.290000217
3,2021-04-12,2.559,2.63,2.311,2.417,3363587.1000000313
4,2021-04-13,2.417,2.807,2.378,2.426,6171834.5800000755
5,2021-04-14,2.426,2.447,2.152,2.366,6150093.280000001
6,2021-04-15,2.366,2.578,2.313,2.411,4475789.199999986
7,2021-04-16,2.403,2.429,2.108,2.275,5569918.839999958
8,2021-04-17,2.276,2.388,2.231,2.286,3168731.4299999857
9,2021-04-18,2.292,2.326,1.634,1.961,7440803.819999841
10,2021-04-19,1.964,2.095,1.623,1.662,4911273.759999993
11,2021-04-20,1.668,1.772,1.487,1.686,6563065.989999956
12,2021-04-21,1.688,2.222,1.682,1.927,11211259.079999922
13,2021-04-22,1.923,2.189,1.594,1.647,10337522.269999843
14,2021-04-23,1.647,1.731,1.384,1.68,11035838.199999826
15,2021-04-24,1.68,1.69,1.452,1.465,4665798.400000009
16,2021-04-25,1.468,1.653,1.406,1.517,3988899.799999992
17,2021-04-26,1.516,1.924,1.494,1.716,5590151.669999967
18,2021-04-27,1.711,2.066,1.68,1.954,4678816.569999938
19,2021-04-28,1.951,2.036,1.77,1.889,3117185.970000009
20,2021-04-29,1.891,1.949,1.73,1.808,2973350.739999987
21,2021-04-30,1.807,1.9,1.747,1.862,2870554.259999994
22,2021-05-01,1.861,1.924,1.783,1.876,2783782.1899999864
23,2021-05-02,1.876,1.878,1.731,1.802,2212651.3699999987
24,2021-05-03,1.801,1.946,1.792,1.859,4448589.2200000025
25,2021-05-04,1.863,1.863,1.543,1.574,7632887.019999948
26,2021-05-05,1.574,1.828,1.557,1.711,6809164.139999975
27,2021-05-06,1.709,1.73,1.553,1.588,6103597.849999988
28,2021-05-07,1.586,1.65,1.504,1.573,5828738.500000008
29,2021-05-08,1.573,1.65,1.543,1.574,3448560.8799999957
30,2021-05-09,1.575,1.65,1.474,1.56,6039566.569999954
31,2021-05-10,1.559,1.629,1.282,1.354,6220543.09999998
32,2021-05-11,1.354,1.476,1.311,1.436,5037372.669999948
33,2021-05-12,1.436,1.674,1.181,1.207,11607036.889999932
34,2021-05-13,1.212,1.405,1.122,1.274,6909122.599999916
35,2021-05-14,1.271,1.5,1.266,1.38,5990088.139999994
36,2021-05-15,1.38,1.397,1.225,1.252,5064813.249999944
37,2021-05-16,1.252,1.348,1.113,1.202,5587293.419999944
38,2021-05-17,1.203,1.204,1.028,1.115,5894770.740000006
39,2021-05-18,1.117,1.239,1.106,1.131,6023490.589999956
40,2021-05-19,1.13,1.156,0.48,0.716,12306001.709999721
41,2021-05-20,0.72,0.876,0.644,0.804,7193496.7499999665
42,2021-05-21,0.803,0.999,0.604,0.707,11489183.079999896
43,2021-05-22,0.706,0.753,0.618,0.683,4921725.779999999
44,2021-05-23,0.683,0.737,0.456,0.575,7435243.820000001
45,2021-05-24,0.573,0.697,0.55,0.686,6002857.429999969
46,2021-05-25,0.687,1.2,0.64,1.133,30742020.83000029
47,2021-05-26,1.133,1.525,1.021,1.201,73524986.98000059
48,2021-05-27,1.202,1.35,1.034,1.112,25339184.470000114
49,2021-05-28,1.114,1.126,0.905,0.941,20084411.169999972
50,2021-05-29,0.941,1.059,0.81,0.901,9790890.58999998
51,2021-05-30,0.905,1.189,0.823,1.136,21990098.529999837
52,2021-05-31,1.134,1.164,1.015,1.087,14139573.849999804
53,2021-06-01,1.084,1.19,1.044,1.055,12744642.66999989
54,2021-06-02,1.056,1.12,1.019,1.042,6261809.9599999925
55,2021-06-03,1.042,1.113,1.028,1.073,5082572.059999987
56,2021-06-04,1.073,1.078,0.891,0.946,8224218.739999954
57,2021-06-05,0.946,1.0,0.856,0.929,6099182.179999977
58,2021-06-06,0.929,0.964,0.908,0.948,3621786.3099999996
59,2021-06-07,0.947,0.995,0.826,0.841,4495574.669999992
60,2021-06-08,0.841,0.89,0.747,0.826,8324805.459999986
61,2021-06-09,0.824,0.875,0.769,0.858,4983171.069999995
62,2021-06-10,0.859,0.862,0.748,0.771,3967618.8499999926
63,2021-06-11,0.771,0.912,0.73,0.77,9937585.64999995
64,2021-06-12,0.771,0.771,0.681,0.723,3552950.4099999885
65,2021-06-13,0.726,0.792,0.699,0.777,2350558.7500000023
66,2021-06-14,0.781,0.948,0.76,0.921,8103767.719999982
67,2021-06-15,0.922,0.991,0.895,0.982,7053217.799999979
68,2021-06-16,0.984,1.094,0.896,0.917,16888626.45999995
69,2021-06-17,0.917,0.989,0.864,0.895,5423293.959999982
70,2021-06-18,0.894,0.894,0.762,0.822,5406895.439999989
71,2021-06-19,0.817,0.93,0.785,0.822,10115199.749999965
72,2021-06-20,0.822,0.899,0.76,0.866,7252140.869999979
73,2021-06-21,0.868,0.903,0.67,0.671,12885193.559999947
74,2021-06-22,0.672,0.737,0.54,0.616,13709545.66000004
75,2021-06-23,0.618,0.726,0.592,0.674,7601781.629999964
76,2021-06-24,0.673,0.75,0.666,0.687,9063551.469999861
77,2021-06-25,0.688,0.7,0.611,0.613,6530572.409999921
78,2021-06-26,0.612,0.636,0.567,0.619,6234673.3399999775
79,2021-06-27,0.622,0.7,0.585,0.683,5392147.840000008
80,2021-06-28,0.683,0.72,0.658,0.671,6024878.2500000065
81,2021-06-29,0.67,0.732,0.669,0.683,4774319.829999962
82,2021-06-30,0.687,0.701,0.626,0.688,3882278.0700000743
83,2021-07-01,0.689,0.711,0.636,0.647,2595971.1100000483
84,2021-07-02,0.647,0.661,0.612,0.644,1285497.8499999705
85,2021-07-03,0.645,0.675,0.626,0.657,1387584.9399999797
86,2021-07-04,0.656,0.697,0.635,0.672,2133818.7000000225
87,2021-07-05,0.672,0.677,0.623,0.638,2401545.5000000084
88,2021-07-06,0.637,0.683,0.637,0.664,2572874.6800000686
89,2021-07-07,0.663,0.827,0.658,0.734,13673687.479999805
90,2021-07-08,0.73,0.798,0.639,0.658,13051729.5099996
91,2021-07-09,0.657,0.685,0.614,0.674,5200150.160000203
92,2021-07-10,0.675,0.794,0.66,0.79,11971044.999999931
93,2021-07-11,0.792,0.8,0.735,0.761,6623656.989999985
94,2021-07-12,0.764,0.767,0.682,0.705,5089143.310000007
95,2021-07-13,0.707,0.742,0.674,0.74,5551810.109999983
96,2021-07-14,0.74,0.852,0.668,0.819,13261631.549999762
97,2021-07-15,0.817,0.96,0.797,0.938,22280372.53999854
98,2021-07-16,0.939,0.94,0.74,0.741,9063383.400000043
99,2021-07-17,0.741,0.78,0.704,0.718,7535077.10000008
100,2021-07-18,0.717,0.767,0.693,0.708,2880728.490000011
101,2021-07-19,0.706,0.712,0.635,0.653,4627714.180000196
102,2021-07-20,0.652,0.665,0.563,0.592,4680207.410000283
103,2021-07-21,0.591,0.685,0.571,0.66,5072959.440000113
104,2021-07-22,0.66,0.719,0.641,0.68,3191812.0999999866
105,2021-07-23,0.68,0.77,0.668,0.755,5503114.039999995
106,2021-07-24,0.754,0.849,0.738,0.788,10438504.549999898
107,2021-07-25,0.787,0.856,0.738,0.799,7873017.73
108,2021-07-26,0.797,0.85,0.725,0.747,6874438.0599999465
109,2021-07-27,0.743,0.804,0.716,0.768,4038195.0900000082
110,2021-07-28,0.767,0.81,0.754,0.773,3228932.1800000137
111,2021-07-29,0.776,0.832,0.752,0.782,2706809.099999997
112,2021-07-30,0.783,0.81,0.753,0.79,3268260.7200000104
113,2021-07-31,0.79,0.833,0.777,0.802,3040998.0200000205
114,2021-08-01,0.806,0.859,0.764,0.778,3591850.660000002
115,2021-08-02,0.779,0.819,0.764,0.788,1480535.680000009
116,2021-08-03,0.789,0.802,0.751,0.762,1436997.790000014
117,2021-08-04,0.764,0.853,0.752,0.828,2252206.760000011
118,2021-08-05,0.829,0.836,0.766,0.806,3810509.740000021
119,2021-08-06,0.808,0.885,0.776,0.83,5002819.479999966
120,2021-08-07,0.832,0.93,0.822,0.872,5868030.049999919
121,2021-08-08,0.873,0.88,0.784,0.802,2132228.9500000044
122,2021-08-09,0.803,0.867,0.768,0.858,4267953.709999968
123,2021-08-10,0.857,0.934,0.836,0.898,6860079.749999969
124,2021-08-11,0.898,1.058,0.895,0.947,7783316.289999937
125,2021-08-12,0.945,0.988,0.861,0.91,3838263.419999989
126,2021-08-13,0.91,0.995,0.893,0.991,3066775.8800000106
127,2021-08-14,0.993,1.115,0.959,1.092,9117672.01999982
128,2021-08-15,1.092,1.096,0.996,1.068,5282772.979999993
129,2021-08-16,1.07,1.19,1.033,1.05,6582658.709999866
130,2021-08-17,1.05,1.12,0.943,0.958,5211255.819999956
131,2021-08-18,0.956,0.997,0.902,0.948,2784364.7900000075
132,2021-08-19,0.95,1.032,0.91,1.012,3018070.010000019
133,2021-08-20,1.013,1.079,0.988,1.066,4041604.960000011
134,2021-08-21,1.068,1.152,1.043,1.089,6688059.439999849
135,2021-08-22,1.088,1.2,1.075,1.182,6743156.619999903
136,2021-08-23,1.184,1.198,1.116,1.141,3129096.6600000104
137,2021-08-24,1.14,1.163,1.0,1.03,3716848.909999983
138,2021-08-25,1.032,1.099,0.984,1.071,3769334.3800000004
139,2021-08-26,1.068,1.153,0.99,1.017,7740953.869999864
140,2021-08-27,1.017,1.09,0.967,1.075,3090657.179999978
141,2021-08-28,1.075,1.111,1.044,1.088,2301542.810000008
142,2021-08-29,1.089,1.101,1.028,1.056,1909886.8000000187
143,2021-08-30,1.055,1.3,1.044,1.19,17894952.74999967
144,2021-08-31,1.191,1.235,1.111,1.129,4574355.330000007
145,2021-09-01,1.13,1.186,1.095,1.172,2764416.3600000646
146,2021-09-02,1.173,1.209,1.13,1.165,3428030.099999982
147,2021-09-03,1.165,1.39,1.136,1.36,9917928.279999884
148,2021-09-04,1.36,1.377,1.248,1.27,3965499.1300000777
149,2021-09-05,1.272,1.355,1.254,1.337,3662883.710000019
150,2021-09-06,1.337,1.41,1.279,1.373,5256607.209999996
151,2021-09-07,1.374,1.376,0.85,1.009,11346007.209999898
152,2021-09-08,1.009,1.062,0.887,0.991,9307656.549999954
153,2021-09-09,0.994,1.051,0.954,1.005,7595541.580000017
154,2021-09-10,1.004,1.049,0.903,0.929,5397675.229999983
155,2021-09-11,0.93,0.986,0.913,0.949,2838241.1100000027
156,2021-09-12,0.946,1.029,0.92,0.997,3166183.150000009
