,date,open,high,low,close,volume
0,2020-10-13,3.6456,3.6658,3.4485,3.529601,1856440.6885101083
1,2020-10-14,3.531106,3.5619,3.2595,3.3352,1855151.9410519423
2,2020-10-15,3.333187,3.5177,3.2238,3.4364,1975827.4990378125
3,2020-10-16,3.4373,3.5086,3.22,3.22742,1729244.9936556206
4,2020-10-17,3.234229,3.3129,3.016598,3.250317,1101959.1098502576
5,2020-10-18,3.2535,3.459136,3.243704,3.403479,1097248.8429078537
6,2020-10-19,3.407418,3.51,3.2512,3.3699,1411954.5669329113
7,2020-10-20,3.3698,3.392,3.066,3.1318,1898285.671903372
8,2020-10-21,3.1335,3.4639,3.1083,3.2704,2191172.6821149983
9,2020-10-22,3.2702,3.593,3.264163,3.490113,2299415.1597441435
10,2020-10-23,3.492546,3.66,3.380862,3.527091,1630337.9298306243
11,2020-10-24,3.527016,3.5789,3.4237,3.49013,1270962.9643838129
12,2020-10-25,3.4847,3.492652,3.2804,3.3589,1187819.6847764207
13,2020-10-26,3.3537,3.420471,3.0831,3.2386,2331412.3299143417
14,2020-10-27,3.2378,3.89,3.1506,3.2184,1582632.252726339
15,2020-10-28,3.23,3.3,2.9787,3.0701,1701945.176698531
16,2020-10-29,3.071,3.275,2.8508,2.892922,1449772.2260044767
17,2020-10-30,2.892518,2.9336,2.7609,2.866652,2295926.26344994
18,2020-10-31,2.8739,3.0102,2.85662,2.920462,1092442.28165053
19,2020-11-01,2.919828,3.198868,2.8844,3.137539,2085879.7522797645
20,2020-11-02,3.136881,3.19,2.85,3.002,1239732.8297478568
21,2020-11-03,3.003528,4.22,2.8045,2.9021,1367323.2131188544
22,2020-11-04,2.9036,3.0019,2.6286,2.764147,2736693.611284444
23,2020-11-05,2.766927,3.09,2.6741,2.8915,2765222.426052495
24,2020-11-06,2.8917,3.3789,2.884841,3.3291,3129417.4266528627
25,2020-11-07,3.3224,3.5,2.84,3.0592,4529386.948550825
26,2020-11-08,3.0632,3.3374,2.998141,3.1881,2576880.583709689
27,2020-11-09,3.1928,3.2534,3.0146,3.174652,2693865.1673647165
28,2020-11-10,3.1784,3.2661,3.0871,3.234548,2412215.224366888
29,2020-11-11,3.240269,3.855,3.234302,3.51,7224250.438800835
30,2020-11-12,3.508778,3.8277,3.3754,3.486842,6451247.181928158
31,2020-11-13,3.4873,3.65,3.4316,3.626182,2902877.7635936965
32,2020-11-14,3.624194,3.6425,3.267808,3.422806,2934692.500960138
33,2020-11-15,3.4244,3.4989,3.2417,3.324707,2111362.815183906
34,2020-11-16,3.3204,3.53,3.271269,3.434473,1895133.3577201313
35,2020-11-17,3.4413,3.5853,3.4001,3.4624,2521411.3192058946
36,2020-11-18,3.4628,3.5088,3.16368,3.326326,3045545.4815853504
