,date,open,high,low,close,volume
0,2021-08-11,9.92,10.97,9.26,9.88,569109.9600000002
1,2021-08-12,9.88,10.5,8.47,8.95,877688.5000000035
2,2021-08-13,8.97,9.86,8.3,9.02,345084.08999999956
3,2021-08-14,9.01,9.5,8.58,8.97,212314.38000000076
4,2021-08-15,8.91,8.97,8.19,8.55,120593.83000000009
5,2021-08-16,8.55,9.27,8.48,8.61,141267.15999999992
6,2021-08-17,8.62,9.2,8.33,8.36,128832.57000000073
7,2021-08-18,8.38,9.02,8.15,8.63,84433.69999999988
8,2021-08-19,8.63,10.64,8.41,9.8,498570.9699999998
9,2021-08-20,9.75,9.88,9.32,9.53,143219.2000000005
10,2021-08-21,9.54,9.84,9.14,9.41,79749.49000000024
11,2021-08-22,9.44,9.48,8.8,9.21,101511.09999999993
12,2021-08-23,9.21,9.83,9.2,9.52,153541.19000000064
13,2021-08-24,9.52,9.81,8.6,8.82,102452.81999999996
14,2021-08-25,8.78,9.68,8.5,8.98,87803.42999999992
15,2021-08-26,9.0,9.2,7.82,8.0,145730.94999999958
16,2021-08-27,8.0,8.66,7.83,8.47,118436.23000000001
17,2021-08-28,8.5,8.53,8.14,8.4,58163.92000000004
18,2021-08-29,8.37,8.8,8.16,8.42,71752.99999999994
19,2021-08-30,8.39,11.35,8.22,8.68,368153.20999999787
20,2021-08-31,8.7,8.78,8.17,8.29,151658.44000000024
21,2021-09-01,8.26,8.99,8.13,8.96,102783.22000000029
22,2021-09-02,8.92,8.94,8.47,8.54,87503.95000000027
23,2021-09-03,8.52,9.13,8.35,8.86,113396.75000000013
24,2021-09-04,8.83,9.07,8.77,8.89,65531.64999999976
25,2021-09-05,8.89,9.73,8.86,9.63,145490.5999999991
26,2021-09-06,9.64,9.75,9.18,9.64,142702.68000000008
27,2021-09-07,9.68,10.94,6.74,7.99,350942.7800000021
28,2021-09-08,7.96,8.32,7.33,7.93,113611.48000000042
29,2021-09-09,7.93,8.33,7.69,7.8,86206.24000000078
30,2021-09-10,7.85,9.3,7.45,8.3,198157.4600000024
31,2021-09-11,8.33,9.27,8.09,8.6,193883.22000000312
32,2021-09-12,8.63,10.25,8.51,9.61,225929.74000000276
