,date,open,high,low,close,volume
0,2020-10-13,0.2709,0.2745,0.26,0.2636,6021977.0
1,2020-10-14,0.2637,0.2687,0.2505,0.2564,7926049.0
2,2020-10-15,0.2563,0.2573,0.2415,0.2481,10073532.0
3,2020-10-16,0.2477,0.255,0.24,0.2495,6710145.0
4,2020-10-17,0.2496,0.2539,0.2413,0.247,4014856.0
5,2020-10-18,0.2473,0.2519,0.2437,0.2487,2936643.0
6,2020-10-19,0.2489,0.25,0.2405,0.2421,5316076.0
7,2020-10-20,0.2416,0.2441,0.2233,0.2273,8615416.0
8,2020-10-21,0.2269,0.2497,0.2263,0.2357,8577116.0
9,2020-10-22,0.2351,0.2579,0.2338,0.2414,9520116.0
10,2020-10-23,0.2414,0.252,0.2412,0.2429,5299820.0
11,2020-10-24,0.2432,0.2508,0.2413,0.2437,5280451.0
12,2020-10-25,0.2438,0.27,0.2436,0.2542,15376475.0
13,2020-10-26,0.2543,0.2572,0.2368,0.249,8306173.0
14,2020-10-27,0.2487,0.251,0.2391,0.2426,5897275.0
15,2020-10-28,0.2423,0.2449,0.223,0.2272,10737375.0
16,2020-10-29,0.2269,0.2308,0.21,0.2135,9653189.0
17,2020-10-30,0.2132,0.22,0.2052,0.2126,10638757.0
18,2020-10-31,0.2127,0.2189,0.2093,0.2176,4981082.0
19,2020-11-01,0.2178,0.2248,0.2055,0.2107,7611580.0
20,2020-11-02,0.2107,0.216,0.2066,0.2079,6693739.0
21,2020-11-03,0.2079,0.2239,0.1969,0.2008,12930619.0
22,2020-11-04,0.2013,0.2096,0.1959,0.2015,6057483.0
23,2020-11-05,0.2011,0.2112,0.1992,0.2028,9451456.0
24,2020-11-06,0.2028,0.2416,0.2024,0.2346,22012568.0
25,2020-11-07,0.2348,0.2456,0.2107,0.2154,23502827.0
26,2020-11-08,0.215,0.2398,0.215,0.2244,14620624.0
27,2020-11-09,0.224,0.2308,0.2162,0.2208,13117374.0
28,2020-11-10,0.2211,0.2378,0.217,0.2329,17093737.0
29,2020-11-11,0.233,0.2398,0.2281,0.2341,14920367.0
30,2020-11-12,0.2341,0.2349,0.2207,0.2237,8520547.0
31,2020-11-13,0.223,0.2377,0.223,0.2326,11887577.0
32,2020-11-14,0.2326,0.2337,0.2232,0.2254,6103339.0
33,2020-11-15,0.2254,0.23,0.2172,0.2224,6764108.0
34,2020-11-16,0.2223,0.2296,0.215,0.2248,11359187.0
35,2020-11-17,0.2247,0.2299,0.22,0.2254,13509628.0
36,2020-11-18,0.2254,0.276,0.2221,0.2648,56503062.0
37,2020-11-19,0.2643,0.27,0.24,0.2477,27217558.0
38,2020-11-20,0.2478,0.2525,0.2407,0.245,16080729.0
39,2020-11-21,0.2451,0.2683,0.2424,0.2581,29069852.0
40,2020-11-22,0.2579,0.2681,0.2465,0.2503,22648697.0
41,2020-11-23,0.2503,0.341,0.2459,0.3093,91471320.0
42,2020-11-24,0.3093,0.3762,0.3009,0.3339,82207714.0
43,2020-11-25,0.3384,0.354,0.292,0.3083,41482495.0
44,2020-11-26,0.3082,0.3115,0.2551,0.2677,28607038.0
45,2020-11-27,0.2661,0.2762,0.2568,0.2699,12160251.0
46,2020-11-28,0.27,0.305,0.2644,0.298,28855700.0
47,2020-11-29,0.2977,0.325,0.289,0.3114,28502090.0
48,2020-11-30,0.3121,0.3187,0.2995,0.3158,20724035.0
49,2020-12-01,0.316,0.3176,0.2851,0.2898,15999655.0
50,2020-12-02,0.2902,0.3015,0.2837,0.2951,14392088.0
51,2020-12-03,0.2952,0.3121,0.2894,0.297,17464510.0
52,2020-12-04,0.297,0.348,0.2852,0.3088,67522013.0
53,2020-12-05,0.3083,0.3424,0.3008,0.3067,37833889.0
54,2020-12-06,0.3065,0.3191,0.3,0.3037,16742226.0
55,2020-12-07,0.3036,0.316,0.2987,0.3017,11827027.0
56,2020-12-08,0.3018,0.3305,0.2766,0.2805,29554697.0
57,2020-12-09,0.2808,0.2925,0.2619,0.2759,23341050.0
58,2020-12-10,0.2766,0.2774,0.2499,0.2523,23254458.0
59,2020-12-11,0.2525,0.2615,0.2461,0.2464,16954188.0
60,2020-12-12,0.2461,0.2689,0.2434,0.259,19724049.0
61,2020-12-13,0.259,0.2677,0.255,0.2612,10930075.0
62,2020-12-14,0.2612,0.2646,0.2539,0.2564,6041233.0
63,2020-12-15,0.256,0.2693,0.2525,0.2529,13157522.0
64,2020-12-16,0.2528,0.2684,0.248,0.2677,15781026.0
65,2020-12-17,0.2677,0.2755,0.2518,0.2592,20466829.0
66,2020-12-18,0.2594,0.262,0.2519,0.2585,11743127.0
67,2020-12-19,0.2587,0.2596,0.247,0.2531,18196779.0
68,2020-12-20,0.2531,0.2823,0.2405,0.2649,29313602.0
69,2020-12-21,0.2653,0.3645,0.25,0.2656,164181676.0
70,2020-12-22,0.2658,0.275,0.2505,0.2606,40022273.0
71,2020-12-23,0.2602,0.262,0.21,0.2257,34137633.0
72,2020-12-24,0.2255,0.2498,0.2163,0.2408,23142853.0
73,2020-12-25,0.241,0.2441,0.2276,0.235,14073131.0
74,2020-12-26,0.2354,0.241,0.2268,0.232,13227837.0
75,2020-12-27,0.232,0.274,0.2308,0.2376,45049456.0
76,2020-12-28,0.2377,0.2526,0.2363,0.2381,16259965.0
77,2020-12-29,0.2381,0.2438,0.2222,0.2312,15824698.0
78,2020-12-30,0.2309,0.243,0.2277,0.2307,12890170.0
79,2020-12-31,0.2309,0.2347,0.22,0.2228,10596111.0
80,2021-01-01,0.2231,0.2416,0.2231,0.2308,11920157.0
81,2021-01-02,0.2314,0.2488,0.2275,0.233,20794814.0
82,2021-01-03,0.2336,0.2345,0.222,0.2302,23971110.0
83,2021-01-04,0.2301,0.2604,0.2243,0.2342,42690270.0
84,2021-01-05,0.2346,0.2679,0.2305,0.2564,47609693.0
85,2021-01-06,0.2564,0.3066,0.2508,0.2826,60827418.0
86,2021-01-07,0.282,0.3125,0.27,0.2834,52565694.0
87,2021-01-08,0.2839,0.2916,0.2566,0.2708,28638096.0
88,2021-01-09,0.271,0.3185,0.2631,0.3181,42303056.0
89,2021-01-10,0.318,0.33,0.27,0.2911,41012385.0
90,2021-01-12,0.2524,0.2696,0.2445,0.2496,19401015.0
91,2021-01-13,0.2496,0.2753,0.24,0.2645,18788455.0
92,2021-01-14,0.2643,0.2779,0.2564,0.2646,16223796.0
93,2021-01-15,0.2639,0.2718,0.2472,0.2634,18925084.0
94,2021-01-16,0.2634,0.2999,0.2618,0.2784,50192136.0
95,2021-01-17,0.279,0.3152,0.2669,0.3009,46256545.0
96,2021-01-18,0.3012,0.337,0.2985,0.3187,57287720.0
97,2021-01-19,0.3188,0.3306,0.2918,0.2951,28722537.0
98,2021-01-20,0.2948,0.2994,0.2791,0.2986,18119641.0
99,2021-01-21,0.2982,0.31,0.265,0.2695,24881571.0
100,2021-01-22,0.2691,0.3096,0.2534,0.2868,28339766.0
101,2021-01-23,0.2868,0.3094,0.2839,0.2991,18703988.0
102,2021-01-24,0.2993,0.31,0.2877,0.2949,18253760.0
103,2021-01-25,0.2939,0.3271,0.2902,0.2949,34080720.0
104,2021-01-26,0.2949,0.3018,0.2821,0.2975,15317910.0
105,2021-01-27,0.2973,0.2975,0.2625,0.2692,12432333.0
106,2021-01-28,0.2693,0.2889,0.267,0.2837,12657419.0
107,2021-01-29,0.2836,0.298,0.2788,0.2853,23970949.0
108,2021-01-30,0.2852,0.3088,0.2763,0.2982,25961238.0
109,2021-01-31,0.2986,0.325,0.2887,0.308,39522684.0
110,2021-02-01,0.308,0.3878,0.2922,0.3508,106012985.0
111,2021-02-02,0.3508,0.3645,0.3305,0.3451,41933933.0
112,2021-02-03,0.3451,0.36,0.3375,0.3506,31362712.0
113,2021-02-04,0.3505,0.4397,0.35,0.403,90552087.0
114,2021-02-05,0.4032,0.49,0.3923,0.4508,99054438.0
115,2021-02-06,0.4503,0.456,0.383,0.4051,59788433.0
116,2021-02-07,0.4052,0.43,0.3879,0.4042,28335758.0
117,2021-02-08,0.4038,0.435,0.399,0.4269,35300152.0
118,2021-02-09,0.4269,0.47,0.4158,0.4611,44332516.0
119,2021-02-10,0.4609,0.4772,0.4117,0.4505,45106295.0
120,2021-02-11,0.4504,0.5912,0.4384,0.5341,94434834.0
121,2021-02-12,0.5338,0.79,0.516,0.7104,174209561.0
122,2021-02-13,0.7096,0.74,0.5793,0.6761,99278677.0
123,2021-02-14,0.6766,0.689,0.59,0.6323,53322824.0
124,2021-02-15,0.6326,0.72,0.5,0.6167,92340651.0
125,2021-02-16,0.6185,0.65,0.5579,0.6041,44788913.0
126,2021-02-17,0.6038,0.6456,0.555,0.6072,38903145.0
127,2021-02-18,0.607,0.6383,0.5816,0.6141,36963619.0
128,2021-02-19,0.6138,0.678,0.5738,0.6539,54322732.0
129,2021-02-20,0.6539,0.675,0.5801,0.6051,52045014.0
130,2021-02-21,0.605,0.7456,0.596,0.6815,98589079.0
131,2021-02-22,0.6824,0.6866,0.5,0.6005,82199697.0
132,2021-02-23,0.6009,0.6025,0.4417,0.4962,84857858.0
133,2021-02-24,0.4962,0.55,0.4705,0.5079,47879438.0
134,2021-02-25,0.5077,0.53,0.4576,0.463,33202589.0
135,2021-02-26,0.4647,0.4829,0.42,0.4583,33768514.0
136,2021-02-27,0.458,0.495,0.4497,0.4677,27872289.0
137,2021-02-28,0.467,0.484,0.426,0.4535,22500411.0
138,2021-03-01,0.4535,0.5039,0.449,0.4922,22381787.0
139,2021-03-02,0.4924,0.5052,0.458,0.4792,27053034.0
140,2021-03-03,0.4792,0.5286,0.4706,0.5079,32128977.0
141,2021-03-04,0.5077,0.52,0.4686,0.482,26121420.0
142,2021-03-05,0.4818,0.482,0.452,0.4676,21309381.0
143,2021-03-06,0.4677,0.4854,0.4567,0.4715,10800990.0
144,2021-03-07,0.4711,0.508,0.4689,0.5004,19822383.0
145,2021-03-08,0.5002,0.5266,0.488,0.5195,23918205.0
146,2021-03-09,0.5195,0.59,0.51,0.5715,38298966.0
147,2021-03-10,0.572,0.59,0.5268,0.5523,28015959.0
148,2021-03-11,0.5523,0.675,0.5408,0.5998,82880516.0
149,2021-03-12,0.5984,0.63,0.5793,0.6008,26813342.0
150,2021-03-13,0.6007,0.6425,0.5645,0.6146,26565629.0
151,2021-03-14,0.6146,0.672,0.5977,0.626,24831680.0
152,2021-03-15,0.6269,0.663,0.5912,0.622,28116339.0
153,2021-03-16,0.622,0.625,0.5757,0.6069,20261952.0
154,2021-03-17,0.6069,0.6262,0.5861,0.6171,15486386.0
155,2021-03-18,0.6172,0.6699,0.6172,0.63,30897234.0
156,2021-03-19,0.63,0.75,0.6203,0.7349,52147574.0
157,2021-03-20,0.7378,0.9155,0.7145,0.7829,96342650.0
158,2021-03-21,0.7815,0.8575,0.727,0.8162,45750861.0
159,2021-03-22,0.8168,0.8299,0.7261,0.7268,36148974.0
160,2021-03-23,0.7269,0.7716,0.642,0.6695,37865114.0
161,2021-03-24,0.6663,0.7289,0.596,0.6036,29721260.0
162,2021-03-25,0.6036,0.6382,0.5607,0.565,33811255.0
163,2021-03-26,0.5634,0.7862,0.5568,0.7202,72403705.0
164,2021-03-27,0.7202,0.754,0.6671,0.6709,31578403.0
165,2021-03-28,0.6709,0.695,0.66,0.6755,21370608.0
166,2021-03-29,0.6757,0.7383,0.6703,0.714,28640555.0
167,2021-03-30,0.7134,0.7436,0.7049,0.7218,19628579.0
168,2021-03-31,0.7216,0.7385,0.6704,0.6999,25392432.0
169,2021-04-01,0.7,0.7169,0.6888,0.7049,15443213.0
170,2021-04-02,0.7049,0.7785,0.6878,0.73,28219166.0
171,2021-04-03,0.7301,0.754,0.6683,0.6755,18258545.0
172,2021-04-04,0.6759,0.8189,0.6705,0.8107,31453258.0
173,2021-04-05,0.8124,0.899,0.75,0.818,70495345.0
174,2021-04-06,0.8177,0.8493,0.7672,0.8123,32709154.0
175,2021-04-07,0.8116,0.819,0.7,0.7434,31891217.0
176,2021-04-08,0.7427,0.817,0.7269,0.7912,20908645.0
177,2021-04-09,0.792,0.8474,0.78,0.8066,20933959.0
178,2021-04-10,0.8074,0.835,0.7939,0.8083,17306990.0
179,2021-04-11,0.804,0.8175,0.7661,0.8012,13041960.0
180,2021-04-12,0.8012,0.8139,0.7691,0.7737,11462138.0
181,2021-04-13,0.7738,0.7997,0.7503,0.7634,20030417.0
182,2021-04-14,0.763,0.7812,0.73,0.7618,24180166.0
183,2021-04-15,0.7616,0.8214,0.7611,0.7951,29320026.0
184,2021-04-16,0.7953,0.8525,0.7542,0.8461,32158310.0
185,2021-04-17,0.8461,0.865,0.797,0.7976,21720400.0
186,2021-04-18,0.7985,0.7999,0.643,0.7187,28229766.0
187,2021-04-19,0.7189,0.7469,0.6585,0.6627,16094220.0
188,2021-04-20,0.6621,0.6869,0.6055,0.6794,17654739.0
189,2021-04-21,0.6794,0.703,0.6273,0.6274,16211156.0
190,2021-04-22,0.6274,0.6664,0.5804,0.5916,20827828.0
191,2021-04-23,0.5901,0.6125,0.5068,0.568,26099938.0
192,2021-04-24,0.5682,0.5841,0.5314,0.5365,8419294.0
193,2021-04-25,0.5364,0.5787,0.5057,0.5325,8705673.0
194,2021-04-26,0.5321,0.6045,0.5268,0.5971,16608488.0
195,2021-04-27,0.5972,0.6436,0.5963,0.6388,13008067.0
196,2021-04-28,0.6395,0.67,0.5924,0.6173,13953707.0
197,2021-04-29,0.617,0.6299,0.5884,0.609,11949887.0
198,2021-04-30,0.6089,0.6599,0.6079,0.6542,15209174.0
199,2021-05-01,0.6542,0.6678,0.6337,0.6542,12215975.0
200,2021-05-02,0.6542,0.7,0.637,0.6659,22823975.0
201,2021-05-03,0.6663,0.6968,0.6525,0.6639,15614808.0
202,2021-05-04,0.6642,0.6655,0.5859,0.6006,21735065.0
203,2021-05-05,0.6006,0.6655,0.6001,0.659,22217763.0
204,2021-05-06,0.6591,0.71,0.645,0.6699,30928794.0
205,2021-05-07,0.6694,0.7363,0.6354,0.6739,26866081.0
206,2021-05-08,0.674,0.6969,0.65,0.6668,10629345.0
207,2021-05-09,0.6676,0.6687,0.63,0.6531,14311404.0
208,2021-05-10,0.6531,0.6698,0.5802,0.6031,22536672.0
209,2021-05-11,0.603,0.6447,0.569,0.6209,24291890.0
210,2021-05-12,0.62,0.6609,0.5546,0.5561,28623048.0
211,2021-05-13,0.5561,0.6056,0.5152,0.548,21870071.0
212,2021-05-14,0.548,0.5987,0.548,0.5783,13503536.0
213,2021-05-15,0.5787,0.6283,0.55,0.5524,27611914.0
214,2021-05-16,0.5529,0.6613,0.55,0.6158,37256438.0
215,2021-05-17,0.6154,0.6219,0.5107,0.5312,26102608.0
216,2021-05-18,0.532,0.5632,0.5223,0.5335,18149858.0
217,2021-05-19,0.5335,0.5409,0.3052,0.376,45383762.0
218,2021-05-20,0.377,0.4348,0.3229,0.4205,23740754.0
219,2021-05-21,0.4203,0.5039,0.3374,0.3736,32096024.0
220,2021-05-22,0.3738,0.47,0.3375,0.4251,41604558.0
221,2021-05-23,0.4245,0.4298,0.2766,0.3299,34911429.0
222,2021-05-24,0.3291,0.3812,0.3189,0.3784,27245884.0
223,2021-05-25,0.3786,0.535,0.352,0.4394,81396341.0
224,2021-05-26,0.4388,0.52,0.4301,0.4849,51973847.0
225,2021-05-27,0.4846,0.4999,0.4365,0.4432,21506980.0
226,2021-05-28,0.4436,0.45,0.3734,0.3984,17043304.0
227,2021-05-29,0.3984,0.4239,0.35,0.3719,15209979.0
228,2021-05-30,0.373,0.4311,0.3513,0.3979,22946420.0
229,2021-05-31,0.3978,0.4217,0.3755,0.4101,11762762.0
230,2021-06-01,0.4095,0.419,0.39,0.3943,12700718.0
231,2021-06-02,0.3947,0.4155,0.3906,0.4032,8280183.0
232,2021-06-03,0.4029,0.4225,0.4,0.4062,8621344.0
233,2021-06-04,0.4065,0.407,0.3561,0.375,17125793.0
234,2021-06-05,0.3756,0.4176,0.36,0.3659,13494463.0
235,2021-06-06,0.3656,0.4031,0.3652,0.3749,10750486.0
236,2021-06-07,0.3744,0.4048,0.3505,0.3569,10608501.0
237,2021-06-08,0.3569,0.3676,0.3087,0.3381,11780131.0
238,2021-06-09,0.3381,0.365,0.3235,0.3466,9795402.0
239,2021-06-10,0.3472,0.3738,0.3278,0.3305,22325931.0
240,2021-06-11,0.3305,0.3443,0.3048,0.3059,9733225.0
241,2021-06-12,0.306,0.33,0.2917,0.3094,7080132.0
242,2021-06-13,0.3098,0.3272,0.2973,0.3245,6867055.0
243,2021-06-14,0.3248,0.3425,0.313,0.3294,10130859.0
244,2021-06-15,0.3291,0.3415,0.3246,0.3284,11937114.0
245,2021-06-16,0.3288,0.3321,0.3113,0.3113,11303064.0
246,2021-06-17,0.3113,0.3301,0.311,0.3146,8455870.0
247,2021-06-18,0.3143,0.3154,0.2882,0.295,7649803.0
248,2021-06-19,0.2955,0.301,0.2887,0.2916,4482745.0
249,2021-06-20,0.2915,0.2933,0.2716,0.2832,7422233.0
250,2021-06-21,0.2831,0.2854,0.2316,0.2342,16758458.0
251,2021-06-22,0.2342,0.2441,0.1942,0.2173,20780250.0
252,2021-06-23,0.2175,0.2495,0.2083,0.2387,13901384.0
253,2021-06-24,0.2387,0.2564,0.2268,0.2471,10012750.0
254,2021-06-25,0.2469,0.2686,0.2278,0.2339,17836373.0
