,date,open,high,low,close,volume
0,2022-01-03,0.80807,0.81013,0.76365,0.7653,19306.121401089997
1,2022-01-04,0.76633,0.79162,0.74681,0.7612,34036.37654416003
2,2022-01-05,0.7612,0.7673,0.68634,0.69205,27502.368797289982
3,2022-01-06,0.69381,0.7102,0.67,0.69474,44708.65817009998
4,2022-01-07,0.69573,0.69573,0.5994,0.6017,148313.50297407937
5,2022-01-08,0.60301,0.61148,0.50598,0.53231,94686.87961918008
6,2022-01-09,0.53417,0.55341,0.52067,0.53932,22342.40511636002
7,2022-01-10,0.53607,0.54124,0.5079,0.52855,43810.560460250024
8,2022-01-11,0.52833,0.55152,0.51936,0.54257,33953.115389239996
9,2022-01-12,0.54255,0.60082,0.53879,0.58216,61487.01430702997
10,2022-01-13,0.58432,0.58432,0.53895,0.53923,68449.50070194999
11,2022-01-14,0.53874,0.5434,0.52164,0.52951,41938.19168805
12,2022-01-15,0.53086,0.53306,0.49211,0.51247,50793.39116236998
13,2022-01-16,0.51223,0.51223,0.49227,0.49476,16788.400152450024
14,2022-01-17,0.49506,0.49506,0.47225,0.47514,24629.136487910004
15,2022-01-18,0.47465,0.47752,0.44516,0.45836,74410.81309149996
16,2022-01-19,0.45617,0.45841,0.43385,0.43564,133596.44557305012
17,2022-01-20,0.43698,0.45098,0.41009,0.41274,50487.55660645005
18,2022-01-21,0.41086,0.41263,0.36801,0.37668,237933.45262859008
19,2022-01-22,0.37712,0.38016,0.2525,0.27737,490201.8184259791
20,2022-01-23,0.2768,0.293,0.25279,0.25909,395705.00451930956
21,2022-01-24,0.25909,0.32291,0.21254,0.30179,464537.01176210155
22,2022-01-25,0.30273,0.46445,0.30273,0.41646,555869.9042542907
23,2022-01-26,0.41558,0.49475,0.39558,0.43813,507059.7095589
24,2022-01-27,0.4365,0.49069,0.40265,0.42759,479724.58037519007
25,2022-01-28,0.42765,0.49002,0.42645,0.48248,347178.48883609974
26,2022-01-29,0.48278,0.60414,0.48278,0.5173,280218.77436100016
27,2022-01-30,0.51534,0.52795,0.48498,0.49447,70101.37341395003
28,2022-01-31,0.49529,0.58388,0.46506,0.57496,97280.65592244007
29,2022-02-01,0.57501,0.73599,0.5748,0.72201,59092.40816525993
30,2022-02-02,0.72138,0.72556,0.63224,0.64585,61827.08039756994
31,2022-02-03,0.64907,0.68697,0.59937,0.6244,39895.58480934998
32,2022-02-04,0.62452,0.69072,0.62348,0.6892,36819.08069705998
33,2022-02-05,0.6913,0.73769,0.66482,0.72956,28011.9673005
34,2022-02-06,0.72881,0.73294,0.67456,0.69658,6193.534766569999
35,2022-02-07,0.69767,0.71102,0.68045,0.68866,40499.42013988003
36,2022-02-08,0.69013,0.7203,0.64999,0.66158,7946.107031259996
37,2022-02-09,0.66182,0.70061,0.65101,0.70026,3724.5267623800005
38,2022-02-10,0.70015,0.81504,0.68488,0.72885,40776.908383649956
39,2022-02-11,0.72857,0.73432,0.57844,0.58659,31874.10902660995
40,2022-02-12,0.58834,0.60378,0.53797,0.54364,28316.141478750003
41,2022-02-13,0.54331,0.56317,0.52983,0.53931,6840.35601519
42,2022-02-14,0.53868,0.56931,0.53378,0.56733,6268.8142075999995
43,2022-02-15,0.56792,0.60025,0.56549,0.59985,3384.2233052399993
44,2022-02-16,0.5991,0.59992,0.56877,0.58084,3471.8283336799996
45,2022-02-17,0.58085,0.58632,0.53326,0.5368,10839.762291029987
46,2022-02-18,0.53569,0.54704,0.4968,0.49892,8144.530129879993
47,2022-02-19,0.49829,0.50475,0.47084,0.4852,9111.249841589994
48,2022-02-20,0.48621,0.48786,0.43245,0.43499,14118.775023659995
49,2022-02-21,0.435,0.4899,0.43438,0.4365,26232.53776718997
50,2022-02-22,0.43577,0.43848,0.42011,0.43819,20604.00382846997
51,2022-02-23,0.43665,0.45174,0.4073,0.40957,15724.943357009994
52,2022-02-24,0.40726,0.41042,0.35675,0.39536,34763.06695185
53,2022-02-25,0.39305,0.41584,0.39245,0.40839,14929.72701811999
54,2022-02-26,0.41062,0.41834,0.37693,0.38318,10563.787293349988
55,2022-02-27,0.38289,0.38503,0.34998,0.35265,3258.0052571799974
56,2022-02-28,0.35243,0.37782,0.32363,0.37391,23677.579141969985
57,2022-03-01,0.37427,0.40353,0.37427,0.39099,26323.24959247
58,2022-03-02,0.3911,0.39448,0.36054,0.36726,15736.353171650006
59,2022-03-03,0.36726,0.37851,0.36222,0.36628,30210.97082955004
60,2022-03-04,0.36803,0.36828,0.34421,0.34895,20459.791316860013
61,2022-03-05,0.34887,0.35365,0.33029,0.33249,13821.903360519997
62,2022-03-06,0.3323,0.3349,0.3232,0.32365,43145.948904099976
63,2022-03-07,0.32358,0.32358,0.29315,0.29748,54019.80678036001
64,2022-03-08,0.29867,0.32212,0.29656,0.3007,62319.26847182005
65,2022-03-09,0.30083,0.35024,0.29995,0.32569,61519.94622919002
66,2022-03-10,0.32504,0.32718,0.31129,0.31528,30666.381132510003
67,2022-03-11,0.31356,0.32322,0.30752,0.31437,38752.66829589998
68,2022-03-12,0.31583,0.31878,0.28652,0.30294,11110.302049350003
69,2022-03-13,0.30361,0.31944,0.30361,0.31118,12328.177676300005
70,2022-03-14,0.30938,0.33862,0.30901,0.32749,27700.519030609987
71,2022-03-15,0.32749,0.32944,0.31676,0.32466,12641.818262019999
72,2022-03-16,0.32457,0.32909,0.31817,0.32631,57687.458551100026
73,2022-03-17,0.32632,0.41116,0.32482,0.40769,91068.52559973985
74,2022-03-18,0.40754,0.42272,0.39074,0.39402,65439.54297108
75,2022-03-19,0.39443,0.40759,0.38322,0.38994,34528.15328527001
76,2022-03-20,0.39067,0.39211,0.36748,0.36807,16168.017787640001
77,2022-03-21,0.36763,0.38355,0.36254,0.36968,17514.12833597001
78,2022-03-22,0.37006,0.38681,0.36998,0.3824,11682.471174549999
79,2022-03-23,0.3818,0.38472,0.36144,0.37683,7979.760119439997
80,2022-03-24,0.37402,0.45841,0.37402,0.43981,45382.43269327002
81,2022-03-25,0.43907,0.46059,0.42104,0.42584,24653.378134500006
82,2022-03-26,0.42638,0.43335,0.3887,0.39152,14292.740336799998
83,2022-03-27,0.39188,0.40586,0.39156,0.39987,27545.66838287998
84,2022-03-28,0.39989,0.4788,0.39937,0.40746,192349.75889342983
85,2022-03-29,0.40806,0.42239,0.40201,0.40525,29423.67999144001
86,2022-03-30,0.40478,0.43087,0.39061,0.41541,30390.448502729992
87,2022-03-31,0.41322,0.4148,0.38709,0.38746,32408.963521909976
88,2022-04-01,0.38796,0.39919,0.37505,0.39736,24046.72795813
89,2022-04-02,0.39736,0.41366,0.37964,0.38011,36774.861647329984
90,2022-04-03,0.38095,0.39274,0.37513,0.38747,28140.099624249993
91,2022-04-04,0.38721,0.38995,0.36879,0.37402,6024.851836680006
92,2022-04-05,0.37384,0.37738,0.36441,0.36617,12122.364683070009
93,2022-04-06,0.36593,0.36593,0.32751,0.32751,34179.69217192998
94,2022-04-07,0.32726,0.33655,0.31869,0.32657,13639.50311293001
95,2022-04-08,0.32699,0.3368,0.27406,0.28485,74801.04136731003
96,2022-04-09,0.28485,0.29051,0.26591,0.28417,33548.27681473002
97,2022-04-10,0.28417,0.28659,0.27006,0.27006,24870.383981110015
98,2022-04-11,0.27066,0.27137,0.2455,0.24707,63275.899203410016
99,2022-04-12,0.24776,0.27534,0.24562,0.26323,31993.679556669988
100,2022-04-13,0.2643,0.26899,0.26005,0.26778,52613.522734799975
101,2022-04-14,0.26915,0.27164,0.25907,0.26282,23169.716281879988
102,2022-04-15,0.26315,0.26483,0.2566,0.25924,43224.360065300025
103,2022-04-16,0.25902,0.26267,0.24714,0.25246,20026.08823484999
104,2022-04-17,0.25239,0.25768,0.24882,0.24883,31984.813525949998
105,2022-04-18,0.24887,0.25468,0.24014,0.25275,73513.87679326998
106,2022-04-19,0.25267,0.26592,0.25078,0.25573,45125.88001257
107,2022-04-20,0.25556,0.26138,0.24914,0.25158,27489.548703869976
108,2022-04-21,0.25173,0.26381,0.24525,0.24647,38058.04075099002
109,2022-04-22,0.24671,0.25186,0.24612,0.24731,26270.59520097
110,2022-04-23,0.2474,0.25754,0.23141,0.23967,78433.30708069995
111,2022-04-24,0.23997,0.24204,0.23333,0.23552,26810.20042305002
112,2022-04-25,0.23603,0.23603,0.22217,0.23489,52170.728099239954
113,2022-04-26,0.23512,0.2354,0.21747,0.21798,106722.81399441996
114,2022-04-27,0.21787,0.22797,0.21706,0.22312,145249.7125634299
115,2022-04-28,0.22297,0.22619,0.2206,0.22224,67127.28981311998
116,2022-04-29,0.2223,0.22399,0.20451,0.21775,57657.00575928994
117,2022-04-30,0.21805,0.21877,0.18784,0.18784,84496.53283859
118,2022-05-01,0.1881,0.2046,0.18433,0.18767,42087.545034100025
119,2022-05-02,0.18734,0.20292,0.18734,0.19122,49778.158793340044
120,2022-05-03,0.1903,0.19126,0.18157,0.18394,98343.16215440998
121,2022-05-04,0.1828,0.19497,0.18168,0.19479,97121.09315047997
122,2022-05-05,0.19425,0.19765,0.1808,0.18351,102854.33965817998
123,2022-05-06,0.18407,0.18424,0.16746,0.16855,202159.35058234012
124,2022-05-07,0.16828,0.16848,0.15057,0.15075,55945.60260780997
125,2022-05-08,0.15082,0.15155,0.13152,0.13152,181323.69318466005
126,2022-05-09,0.13158,0.1328,0.11592,0.11627,630406.3018853295
127,2022-05-10,0.11627,0.11973,0.10616,0.11147,801634.7418312504
128,2022-05-11,0.11157,0.11702,0.088916,0.091441,868429.1512786994
129,2022-05-12,0.090978,0.092204,0.082386,0.08276,800212.9605444795
130,2022-05-13,0.082522,0.11443,0.08195,0.10633,893726.6012952811
131,2022-05-14,0.10503,0.10699,0.087874,0.10189,2460863.684259961
132,2022-05-15,0.10198,0.1053,0.098146,0.10476,1817039.689593332
133,2022-05-16,0.1048,0.10513,0.09915,0.099942,1705075.772225639
134,2022-05-17,0.099828,0.1111,0.099293,0.10507,1286334.604629213
135,2022-05-18,0.10496,0.10651,0.096002,0.10129,334053.81507434015
136,2022-05-19,0.10136,0.11463,0.086214,0.10757,621401.0041243805
137,2022-05-20,0.10681,0.1081,0.10279,0.10552,54504.49556459003
138,2022-05-21,0.10357,0.10563,0.097253,0.10069,299678.0039141202
139,2022-05-22,0.10065,0.10483,0.10063,0.10318,44173.029168199995
140,2022-05-23,0.1027,0.10742,0.1013,0.10241,128014.55811244009
141,2022-05-24,0.10242,0.10366,0.098911,0.10349,447795.56199669
142,2022-05-25,0.10149,0.10511,0.099487,0.099811,273266.76099633984
143,2022-05-26,0.10061,0.1007,0.091004,0.092811,5411.934444360006
144,2022-05-27,0.092857,0.094452,0.08926,0.090296,821585.2988898894
145,2022-05-28,0.09033,0.091788,0.086985,0.08975,910320.1487775014
146,2022-05-29,0.089184,0.090238,0.088205,0.088781,130953.31442134987
147,2022-05-30,0.089064,0.094049,0.087874,0.09371,486123.52665151
148,2022-05-31,0.093736,0.094119,0.090121,0.093739,486700.8048682395
149,2022-06-01,0.093773,0.094364,0.087475,0.087484,446340.63336361013
150,2022-06-02,0.087366,0.10218,0.086965,0.089878,808144.4438336313
151,2022-06-03,0.089871,0.09001,0.084209,0.088467,398645.0879423995
152,2022-06-04,0.088244,0.089572,0.086196,0.087614,397180.94876546995
153,2022-06-05,0.088054,0.092291,0.087309,0.090119,221150.99156827002
154,2022-06-06,0.090132,0.093348,0.089596,0.091397,555811.4107075497
155,2022-06-07,0.091274,0.097197,0.087809,0.089217,377521.6559501005
156,2022-06-08,0.089278,0.092337,0.086615,0.087624,472094.0849745104
157,2022-06-09,0.087655,0.088147,0.086029,0.08603,187895.8364384199
158,2022-06-10,0.086027,0.086655,0.084224,0.084246,84049.30315112988
159,2022-06-11,0.08421,0.084697,0.080846,0.080884,71529.90721455
160,2022-06-12,0.080887,0.08141,0.078637,0.07877,34491.92429060994
161,2022-06-13,0.07877,0.079226,0.075831,0.07782,68258.92886079007
162,2022-06-14,0.077259,0.079942,0.075514,0.076,84237.73494584
163,2022-06-15,0.076018,0.078385,0.07477,0.078385,58006.658271559994
164,2022-06-16,0.078441,0.082815,0.077029,0.078393,346540.2995291201
165,2022-06-17,0.078393,0.079254,0.077548,0.077664,55930.67327421997
166,2022-06-18,0.077678,0.078149,0.065534,0.074568,273788.65084786015
167,2022-06-19,0.074683,0.084806,0.074067,0.084459,62819.732954319996
168,2022-06-20,0.084321,0.10153,0.081904,0.090002,483140.78713674983
169,2022-06-21,0.090472,0.09625,0.089214,0.090099,41367.28621362001
170,2022-06-22,0.088858,0.089718,0.085377,0.085377,14986.998553209998
171,2022-06-23,0.085617,0.086788,0.081174,0.081841,37515.31730819001
172,2022-06-24,0.081848,0.082523,0.074357,0.074357,241756.26393423
173,2022-06-25,0.074268,0.075102,0.073084,0.074382,92696.04469461006
174,2022-06-26,0.074365,0.075167,0.074214,0.074781,48466.948658480105
175,2022-06-27,0.074335,0.075028,0.073268,0.073724,25277.26849425997
176,2022-06-28,0.073305,0.074548,0.071528,0.07166,30797.472156200016
177,2022-06-29,0.07166,0.072531,0.070499,0.070613,47260.52632240009
178,2022-06-30,0.070607,0.07122,0.068753,0.069703,33706.994064939994
179,2022-07-01,0.069264,0.070298,0.06847,0.068898,264846.0091698101
180,2022-07-02,0.068922,0.069406,0.067344,0.068323,62512.92034802999
181,2022-07-03,0.067915,0.068379,0.06743,0.067701,15971.64445047001
182,2022-07-04,0.067666,0.06934,0.067293,0.068969,36032.01669980997
183,2022-07-05,0.068997,0.06938,0.058892,0.062655,285255.3291749202
184,2022-07-06,0.062704,0.066712,0.062544,0.066667,119789.06160136996
185,2022-07-07,0.066268,0.071249,0.066268,0.070951,110717.38045600006
186,2022-07-08,0.070977,0.074816,0.070977,0.074272,111570.94370351997
187,2022-07-09,0.074219,0.078758,0.069809,0.078023,85607.33662447004
188,2022-07-10,0.079866,0.086819,0.064652,0.065436,177764.72259630047
189,2022-07-11,0.06549,0.070642,0.05411,0.055837,256485.92871327006
190,2022-07-12,0.056022,0.057063,0.051184,0.053565,473116.25731928984
191,2022-07-13,0.053596,0.05716,0.053264,0.055749,35743.64436973004
192,2022-07-14,0.055827,0.061078,0.055392,0.05988,402566.4467963099
193,2022-07-15,0.059872,0.061453,0.054491,0.057532,733225.6237800404
194,2022-07-16,0.05753,0.05876,0.056945,0.058581,1558615.8466762316
195,2022-07-17,0.058656,0.05878,0.057728,0.057734,143799.20455089942
196,2022-07-18,0.057744,0.059166,0.057744,0.058846,239325.64586010002
197,2022-07-19,0.059072,0.061279,0.058593,0.058632,224156.08421295986
198,2022-07-20,0.058451,0.063002,0.057392,0.05767,250588.0717616496
199,2022-07-21,0.05767,0.057799,0.056859,0.057779,153844.30223647004
200,2022-07-22,0.057645,0.058291,0.056959,0.057027,573007.0965375605
201,2022-07-23,0.057381,0.057524,0.055863,0.056876,802210.8008481805
202,2022-07-24,0.056865,0.057388,0.056557,0.056987,163622.8038736501
203,2022-07-25,0.056895,0.057017,0.055256,0.055327,194976.46763375986
204,2022-07-26,0.055261,0.055447,0.054794,0.055296,264100.90640251007
205,2022-07-27,0.055262,0.057705,0.0548,0.057654,372567.7728606797
206,2022-07-28,0.057652,0.058991,0.056962,0.058466,92284.50563459999
207,2022-07-29,0.058516,0.058793,0.057547,0.057982,32322.37770113002
208,2022-07-30,0.05784,0.059012,0.05784,0.058343,88100.07238617002
209,2022-07-31,0.058182,0.058355,0.057597,0.057642,64290.92287652013
210,2022-08-01,0.057761,0.057997,0.056916,0.057068,37398.11269157999
211,2022-08-02,0.057208,0.057208,0.056148,0.056557,30037.77846453002
212,2022-08-03,0.056551,0.057102,0.05593,0.056095,15210.65398439999
213,2022-08-04,0.056352,0.05677,0.055651,0.055912,55762.74938005003
214,2022-08-05,0.055908,0.057101,0.055897,0.056599,63050.99060047999
215,2022-08-06,0.056739,0.056998,0.055989,0.056495,43135.06103343997
216,2022-08-07,0.056515,0.056989,0.056193,0.056609,151145.32173608997
217,2022-08-08,0.056657,0.057673,0.056515,0.056987,52680.459092309975
218,2022-08-09,0.057039,0.057181,0.055809,0.056005,28861.12525776
219,2022-08-10,0.055846,0.057217,0.055573,0.056786,34735.306029370025
220,2022-08-11,0.056741,0.057943,0.056116,0.056443,120603.31960245996
221,2022-08-12,0.05645,0.057218,0.054592,0.056706,58344.06079318997
222,2022-08-13,0.056619,0.058638,0.056619,0.057456,47036.27993295004
223,2022-08-14,0.057482,0.05801,0.055849,0.056058,35935.97066002002
224,2022-08-15,0.05615,0.056475,0.054186,0.054695,48810.8053678
225,2022-08-16,0.054548,0.05524,0.0545,0.05501,45574.86410037
226,2022-08-17,0.055014,0.05549,0.053983,0.054304,36522.04013541007
227,2022-08-18,0.054404,0.057343,0.0543,0.054558,100612.98691201997
228,2022-08-19,0.054555,0.056374,0.052811,0.053633,113086.65344823
229,2022-08-20,0.05385,0.053935,0.052027,0.052604,37628.97310451
230,2022-08-21,0.052509,0.053088,0.052105,0.052754,26541.444811649984
231,2022-08-22,0.052754,0.052928,0.052191,0.052392,20424.09521608
232,2022-08-23,0.05243,0.05299,0.052113,0.052603,25236.441289679977
233,2022-08-24,0.052637,0.053228,0.052122,0.052879,33509.056617140006
234,2022-08-25,0.05247,0.053045,0.052209,0.052584,35257.59200981999
235,2022-08-26,0.052505,0.052888,0.05169,0.051713,26669.231186769983
236,2022-08-27,0.051767,0.05213,0.051417,0.051656,23110.190858989998
237,2022-08-28,0.051711,0.052485,0.051511,0.051666,34311.902566109995
238,2022-08-29,0.051552,0.052469,0.051172,0.052469,48586.95003664004
239,2022-08-30,0.05209,0.052589,0.051356,0.051487,14941.042732909998
240,2022-08-31,0.051384,0.052189,0.051233,0.051901,16975.80023751
241,2022-09-01,0.051906,0.052139,0.050808,0.051847,24897.794244699973
242,2022-09-02,0.051849,0.052171,0.050179,0.051365,20513.961717159982
243,2022-09-03,0.050853,0.051544,0.050333,0.050796,15684.495999440009
244,2022-09-04,0.050789,0.051707,0.050634,0.051122,16332.766961709998
245,2022-09-05,0.051056,0.051407,0.050064,0.050466,13730.350528509996
246,2022-09-06,0.050828,0.05167,0.050184,0.050351,51138.74554300998
247,2022-09-07,0.050571,0.051355,0.04991,0.050879,43834.71759057994
248,2022-09-08,0.05076,0.051267,0.050414,0.050951,17264.864657589977
249,2022-09-09,0.050951,0.052193,0.050951,0.052039,10971.594030000007
250,2022-09-10,0.05202,0.052805,0.051837,0.052774,220986.14652943006
251,2022-09-11,0.052747,0.052861,0.052246,0.052246,34478.574133249975
252,2022-09-12,0.052377,0.053241,0.051965,0.052559,41793.00454837998
253,2022-09-13,0.052559,0.053444,0.050965,0.05151,42520.802628239966
254,2022-09-14,0.051512,0.051519,0.050811,0.051347,20756.62002576
255,2022-09-15,0.051211,0.051493,0.050503,0.050822,58417.22795379995
256,2022-09-16,0.050805,0.051068,0.050254,0.050595,13879.76800775001
257,2022-09-17,0.050579,0.05125,0.050381,0.05085,28973.706352319972
258,2022-09-18,0.050949,0.051209,0.049642,0.04975,66002.88727496001
259,2022-09-19,0.049847,0.050099,0.049202,0.049819,28755.801760209957
260,2022-09-20,0.050049,0.050243,0.049456,0.049564,31685.20595314
261,2022-09-21,0.049756,0.050164,0.0492,0.049249,67673.76966318997
262,2022-09-22,0.049228,0.050095,0.0492,0.049894,26768.422194349976
263,2022-09-23,0.049916,0.050154,0.0492,0.04989,52642.85553961997
264,2022-09-24,0.050005,0.050109,0.0492,0.049285,28184.53583983999
265,2022-09-25,0.049375,0.049856,0.0488,0.048977,15090.325133030005
266,2022-09-26,0.048918,0.049461,0.048513,0.049346,15031.116529899993
267,2022-09-27,0.049414,0.05003,0.048732,0.049008,14078.138692720011
268,2022-09-28,0.048793,0.049367,0.04856,0.049139,15302.115374399984
269,2022-09-29,0.048906,0.049466,0.048644,0.049063,33178.276041680016
270,2022-09-30,0.049178,0.049812,0.04882,0.049136,17476.04617842
271,2022-10-01,0.049096,0.049474,0.048582,0.04867,25943.809019330016
272,2022-10-02,0.048879,0.048967,0.048202,0.048448,28156.66389971001
273,2022-10-03,0.048348,0.049145,0.048195,0.048647,17667.572227600012
274,2022-10-04,0.048655,0.048974,0.048328,0.048611,35830.811287119956
275,2022-10-05,0.048614,0.049033,0.048397,0.048631,36549.04064734
276,2022-10-06,0.048624,0.048681,0.048182,0.048279,21361.97895144999
277,2022-10-07,0.048198,0.048679,0.047635,0.048062,14193.825471079996
278,2022-10-08,0.048056,0.048511,0.047467,0.04779,25615.17388566998
279,2022-10-09,0.047781,0.048193,0.047312,0.047624,15525.899824080001
280,2022-10-10,0.047817,0.048109,0.047157,0.047157,17207.66131802
281,2022-10-11,0.047348,0.047515,0.046758,0.047062,14445.36048909
282,2022-10-12,0.04715,0.047432,0.0466,0.046961,72503.19539154
