,date,open,high,low,close,volume
0,2022-04-12,1968.33,1968.5,1960.85,1962.05,149.0736156
1,2022-04-13,1962.05,1980.87,1960.0,1976.0,1324.10812037
2,2022-04-14,1976.66,1981.36,1965.0,1970.9,569.39309731
3,2022-04-15,1975.09,1982.56,1971.29,1976.64,180.71833134
4,2022-04-16,1977.84,1983.43,1975.7,1976.44,104.81415793
5,2022-04-17,1976.68,1986.23,1975.57,1981.99,104.34346917
6,2022-04-18,1985.99,2012.27,1976.78,1977.0,986.89406426
7,2022-04-19,1977.0,1984.39,1947.77,1951.29,352.81061311
8,2022-04-20,1953.91,1962.5,1948.43,1959.48,120.41807128
9,2022-04-21,1962.22,1962.42,1945.0,1955.22,348.17340319
10,2022-04-22,1960.05,1961.22,1929.45,1935.06,152.76528294
11,2022-04-23,1938.72,1939.15,1928.02,1935.0,88.07960109
12,2022-04-24,1937.56,1939.14,1931.63,1937.01,21.11643811
13,2022-04-25,1937.01,1937.1,1822.13,1904.35,949.11184904
14,2022-04-26,1904.35,1914.5,1899.64,1905.15,315.41586776
15,2022-04-27,1908.19,1908.2,1890.93,1894.59,179.93596319
16,2022-04-28,1891.73,1903.27,1881.72,1900.0,171.90394266
17,2022-04-29,1902.39,1925.0,1894.2,1903.54,442.42648219
18,2022-04-30,1903.56,1913.87,1900.25,1900.25,293.62212774
19,2022-05-01,1900.94,1908.12,1899.78,1902.09,41.39025527
20,2022-05-02,1902.99,1903.25,1860.02,1870.02,290.28313191
21,2022-05-03,1870.35,1878.56,1837.82,1868.4,472.20723202
22,2022-05-04,1870.08,1889.26,1855.87,1887.33,211.32838658
23,2022-05-05,1889.93,1908.05,1870.0,1875.04,140.00984906
24,2022-05-06,1875.01,1892.0,1866.64,1884.71,425.32666925
25,2022-05-07,1884.86,1891.83,1883.36,1886.94,56.83014168
26,2022-05-08,1886.92,1889.2,1883.2,1883.32,3.10091717
27,2022-05-09,1883.17,1886.2,1844.29,1851.1,857.11324313
28,2022-05-10,1850.4,1865.99,1832.1,1832.1,465.35496464
29,2022-05-11,1835.64,1859.97,1830.17,1848.92,417.69288477
30,2022-05-12,1848.92,1860.0,1820.1,1824.61,1203.80990116
31,2022-05-13,1823.28,1839.72,1800.0,1801.14,885.50857396
32,2022-05-14,1801.8,1814.18,1800.33,1804.67,76.76253898
33,2022-05-15,1808.01,1813.57,1803.49,1808.64,149.59695337
34,2022-05-16,1808.6,1829.8,1791.9,1826.75,414.41684279
35,2022-05-17,1824.61,1838.5,1816.2,1821.0,316.67594538
36,2022-05-18,1821.0,1826.2,1808.07,1816.84,254.99726741
37,2022-05-19,1816.13,1849.95,1815.32,1848.5,344.05659051
38,2022-05-20,1848.49,1860.0,1836.89,1853.61,244.42346093
39,2022-05-21,1851.97,1860.0,1846.29,1850.31,142.86529067
40,2022-05-22,1850.53,1859.15,1847.02,1853.19,121.42378059
41,2022-05-23,1858.16,1870.02,1851.99,1855.08,218.64676165
42,2022-05-24,1853.95,1874.05,1851.76,1873.57,104.40719757
43,2022-05-25,1872.72,1873.82,1847.06,1859.7,85.6070376
44,2022-05-26,1857.76,1861.69,1843.0,1850.45,129.21170262
45,2022-05-27,1851.06,1867.76,1849.01,1853.08,109.47217428
46,2022-05-28,1853.1,1864.08,1853.01,1857.47,40.05242736
47,2022-05-29,1856.51,1860.86,1853.0,1854.08,34.02865899
48,2022-05-30,1854.07,1867.37,1850.0,1851.83,139.94959202
49,2022-05-31,1853.77,1858.25,1835.5,1838.95,54.27245058
50,2022-06-01,1838.96,1850.5,1830.23,1849.82,71.8589348
51,2022-06-02,1847.55,1878.99,1845.01,1873.35,359.70277903
52,2022-06-03,1873.29,1875.39,1850.0,1850.95,26.52285465
53,2022-06-04,1855.12,1866.33,1850.0,1861.82,184.03943557
54,2022-06-05,1860.39,1864.63,1851.91,1851.91,36.44022306
55,2022-06-06,1853.31,1861.58,1843.75,1847.0,78.52964485
56,2022-06-07,1842.68,1854.4,1834.87,1853.92,157.7701231
57,2022-06-08,1853.94,1858.32,1844.53,1852.64,194.79356537
58,2022-06-09,1853.86,1855.36,1842.66,1847.56,42.93700832
59,2022-06-10,1844.65,1877.97,1828.72,1871.05,182.57855243
60,2022-06-11,1873.37,1884.46,1866.3,1883.65,100.80584491
61,2022-06-12,1882.93,1923.91,1879.22,1880.01,727.87489872
62,2022-06-13,1880.0,1887.84,1818.6,1823.36,1263.48779856
63,2022-06-14,1822.8,1833.03,1803.88,1815.34,578.17639148
64,2022-06-15,1813.62,1859.44,1807.8,1835.01,671.2481804
65,2022-06-16,1841.29,1865.0,1821.75,1857.99,146.18626254
66,2022-06-17,1857.97,1859.98,1837.41,1841.02,160.9035967
67,2022-06-18,1841.02,1848.27,1808.33,1820.17,380.14865594
68,2022-06-19,1824.5,1845.87,1814.28,1841.91,151.57137364
69,2022-06-20,1839.46,1847.6,1825.34,1843.51,200.38978652
70,2022-06-21,1844.0,1856.66,1832.26,1833.75,464.85027663
71,2022-06-22,1837.52,1848.21,1825.01,1839.07,173.37700339
72,2022-06-23,1840.05,1843.52,1822.01,1824.98,119.55771162
73,2022-06-24,1824.99,1833.72,1822.0,1825.78,176.65437435
74,2022-06-25,1822.01,1831.2,1820.98,1825.19,119.98495414
75,2022-06-26,1825.2,1832.99,1821.14,1832.98,40.7924052
76,2022-06-27,1831.29,1842.41,1824.41,1828.74,74.77937119
77,2022-06-28,1828.75,1833.38,1816.83,1825.57,240.43650265
78,2022-06-29,1822.0,1834.77,1813.14,1820.39,146.98203897
79,2022-06-30,1820.26,1825.0,1805.64,1810.49,165.67948523
80,2022-07-01,1805.0,1813.27,1802.24,1804.89,104.30092725
81,2022-07-02,1806.07,1813.33,1805.2,1813.33,20.08590287
82,2022-07-03,1810.08,1814.48,1800.59,1810.33,18.98417192
83,2022-07-04,1810.72,1815.72,1804.47,1812.98,86.55292621
84,2022-07-05,1811.04,1817.67,1764.69,1772.35,146.39168247
85,2022-07-06,1772.62,1775.2,1729.0,1740.01,215.41157485
86,2022-07-07,1740.16,1749.97,1739.13,1741.51,162.90481109
87,2022-07-08,1741.53,1755.29,1737.2,1744.02,92.08147092
88,2022-07-09,1744.0,1745.4,1738.01,1739.96,15.91534624
89,2022-07-10,1740.52,1743.97,1731.05,1742.04,71.93371447
90,2022-07-11,1741.99,1743.8,1730.73,1734.5,131.59221711
91,2022-07-12,1734.45,1782.9,1725.03,1725.9,580.12285725
92,2022-07-13,1725.91,1743.68,1709.0,1732.44,191.46287871
93,2022-07-14,1731.99,1731.99,1699.01,1712.53,130.75206361
94,2022-07-15,1712.81,1716.72,1695.52,1703.56,391.26254163
95,2022-07-16,1703.41,1709.23,1692.91,1702.28,41.02667376
96,2022-07-17,1699.47,1706.2,1693.01,1706.2,71.63732651
97,2022-07-18,1708.14,1721.74,1702.4,1705.89,39.34386329
98,2022-07-19,1708.23,1717.57,1700.0,1707.68,444.69785892
99,2022-07-20,1706.89,1712.61,1694.0,1697.1,438.24044047
100,2022-07-21,1697.1,1719.47,1683.5,1718.56,75.44665746
