,date,open,high,low,close,volume
0,2020-10-13,0.99998,0.99998,0.99627,0.9998,6390.37798
1,2020-10-14,0.9975,1.0009,0.99649,0.99999,77701.02701026
2,2020-10-15,0.99999,1.0007,0.9965,1.0007,15831.0
3,2020-10-16,0.99999,0.99999,0.99601,0.999,305.93399999999997
4,2020-10-17,0.99923,0.99923,0.99923,0.99923,9500.748290000001
5,2020-10-18,0.99923,1.0014,0.99602,0.99923,12757.359552999998
6,2020-10-19,0.99923,0.9998,0.99638,0.99638,115486.10602999998
7,2020-10-20,0.9998,1.0025,0.99641,1.0025,16262.558030080001
8,2020-10-21,1.002,1.002,0.996,0.99633,23511.28634
9,2020-10-22,1.00199,1.00199,0.99538,0.99538,63491.05947
10,2020-10-23,0.99534,0.999,0.99499,0.99654,111453.37305
11,2020-10-24,1.0004,1.0004,0.9909,0.99898,73745.28539999998
12,2020-10-25,0.99311,1.0019,0.99311,0.99586,1595.5011771700001
13,2020-10-26,0.999,0.999,0.99685,0.99888,29660.53790499
14,2020-10-27,0.99888,0.99888,0.99487,0.99552,47306.68661999999
15,2020-10-28,0.99888,1.00255,0.99693,1.0008,37339.09148
16,2020-10-29,1.0,1.0,0.9989,1.0,1814.66934
17,2020-10-30,0.9989,0.99999,0.998,0.9985,88777.91759
18,2020-10-31,0.9993,0.9993,0.99692,0.99692,3689.5833699999994
19,2020-11-01,0.998,0.998,0.998,0.998,8020.59375
20,2020-11-02,0.9993,0.9993,0.99455,0.9993,42401.146929999995
21,2020-11-03,0.9993,0.9993,0.99753,0.998,124743.09193000001
22,2020-11-04,0.9989,1.00216,0.99662,0.99881,25069.607229999994
23,2020-11-05,0.99751,1.00301,0.99647,0.99998,9038.293355380001
24,2020-11-06,1.0,1.00334,0.9971,0.998,101213.63577000002
25,2020-11-07,1.00337,1.00337,0.99614,1.00161,64313.69960953001
26,2020-11-08,1.0,1.00332,1.0,1.00332,1114.96132
27,2020-11-09,1.003,1.003,0.99666,0.9974,68125.9350219
28,2020-11-11,1.0,1.0,0.99848,0.99848,33132.989499999996
29,2020-11-12,1.00285,1.0029,0.99421,1.0,930.62658952
30,2020-11-13,0.99552,1.0018,0.99362,1.0,1184.17752283
31,2020-11-14,0.998,0.99999,0.998,0.999,92597.45975
32,2020-11-15,0.99999,0.99999,0.99999,0.99999,3100.6794
33,2020-11-16,0.99957,0.99999,0.99722,0.9985,57664.463627990015
34,2020-11-17,0.99849,1.00236,0.99421,0.99722,46023.69505666
35,2020-11-18,1.00218,1.00218,0.99733,0.99734,32495.101243739995
36,2020-11-19,1.0037,1.0037,0.9973,1.00187,123007.85128
37,2020-11-20,1.00199,1.00266,0.99754,1.0,111070.00179
38,2020-11-21,1.0,1.0325,0.80331,1.001,428149.17492049985
39,2020-11-22,1.001,1.001,0.99499,1.0,24410.090714269994
40,2020-11-23,1.0,1.001,0.997,0.99998,2415707.791229997
41,2020-11-24,0.99998,1.00268,0.98,0.99812,55406.621430420004
42,2020-11-25,0.99812,1.00237,0.95,0.99635,80542.5889033
43,2020-11-26,0.99699,1.0058,0.95,0.99803,122944.85126657992
44,2020-11-27,1.0018,1.003,0.998,0.99804,19961.188601430003
45,2020-11-28,0.99804,1.00295,0.99802,0.99802,17589.919560000002
46,2020-11-29,1.00322,1.00322,0.9973,0.9985,7748.370510000001
47,2020-11-30,0.9999,1.002,0.99645,0.99645,27018.959837669994
48,2020-12-01,0.997,1.0025,0.99584,1.0001,53650.17645131998
49,2020-12-02,0.99879,1.00193,0.99721,1.00193,72772.29057940001
50,2020-12-03,1.0025,1.00269,0.999,0.999,2447.6478083399998
51,2020-12-04,0.999,1.002,0.9972,0.9985,55916.26473
