,date,open,high,low,close,volume
0,2021-08-04,0.9,1.9,0.7999,1.021,39567823.900000505
1,2021-08-05,1.0202,1.165,0.9325,1.0173,31597062.8999997
2,2021-08-06,1.0173,1.0498,0.92,0.9664,13723280.899999952
3,2021-08-07,0.9664,1.19,0.86,0.8995,13646805.499999963
4,2021-08-08,0.8975,0.9999,0.8409,0.9127,7236280.700000058
5,2021-08-09,0.9117,1.15,0.89,0.9894,12193047.499999942
6,2021-08-10,0.9899,1.0905,0.95,1.012,7093720.599999952
7,2021-08-11,1.0098,1.1257,0.9816,1.0448,6155023.599999878
8,2021-08-12,1.0448,1.0463,0.9536,0.9836,1786396.2000000062
9,2021-08-13,0.9843,1.015,0.9711,1.0006,1378713.400000011
10,2021-08-14,0.9999,1.0004,0.9315,0.9705,1267132.7000000093
11,2021-08-15,0.9702,0.98,0.9021,0.9436,2206723.499999983
12,2021-08-16,0.943,1.0198,0.905,0.9227,2781998.5000000005
13,2021-08-17,0.9256,1.1943,0.9,0.9711,8040208.099999866
14,2021-08-18,0.9772,1.0099,0.92,0.9466,3695904.500000092
15,2021-08-19,0.9493,0.977,0.9325,0.9666,2019842.9999999995
16,2021-08-20,0.9683,1.059,0.95,0.9882,3690437.6000000285
17,2021-08-21,0.9882,1.0685,0.9816,0.9881,3152504.700000003
18,2021-08-22,0.9884,1.1,0.98,1.042,3006110.500000033
19,2021-08-23,1.0419,1.11,1.033,1.0641,3307971.800000018
20,2021-08-24,1.0663,1.07,0.97,0.9745,2003602.3000000021
21,2021-08-25,0.9773,1.0225,0.96,0.9982,1167257.8000000014
22,2021-08-26,1.0001,1.0071,0.9314,0.9369,1111868.7000000034
23,2021-08-27,0.9345,0.988,0.9073,0.9726,1524414.3000000059
24,2021-08-28,0.97,1.023,0.9651,1.0061,1197176.4999999963
25,2021-08-29,1.0069,1.0535,0.9713,1.0465,1503872.700000004
26,2021-08-30,1.0473,1.3924,1.0385,1.2918,14979396.60000017
27,2021-08-31,1.295,1.451,1.1819,1.216,7455308.600000124
28,2021-09-01,1.2099,1.3003,1.1845,1.2627,3377889.7999999854
29,2021-09-02,1.2594,1.2623,1.1834,1.2035,1756257.4999999956
30,2021-09-03,1.2036,1.2236,1.1833,1.223,10219427.399999917
31,2021-09-04,1.2225,1.2542,1.1853,1.2139,1544462.800000004
32,2021-09-05,1.214,1.2221,1.1505,1.1766,1184010.300000014
33,2021-09-06,1.1799,1.1855,1.133,1.1532,1223284.099999999
34,2021-09-07,1.1527,1.163,0.861,0.9209,3492520.0999999847
35,2021-09-08,0.9193,1.08,0.88,0.9881,4620379.000000019
36,2021-09-09,0.9881,1.0488,0.9671,1.0167,1268099.3999999973
37,2021-09-10,1.0184,1.0387,0.9001,0.9125,2084539.900000003
38,2021-09-11,0.9123,0.9627,0.8886,0.9264,1497731.700000001
39,2021-09-12,0.9287,0.975,0.9002,0.9436,1391039.5000000019
40,2021-09-13,0.9406,0.9492,0.8058,0.8436,2957297.3999999953
41,2021-09-14,0.8435,0.8917,0.8279,0.8843,2330931.7000000016
42,2021-09-15,0.8858,0.971,0.8764,0.9238,2127862.6000000066
43,2021-09-16,0.9232,0.9425,0.8738,0.9147,2584281.800000008
44,2021-09-17,0.915,0.9359,0.8784,0.8884,1036673.3000000003
45,2021-09-18,0.8893,0.9125,0.8765,0.9031,560874.2999999996
46,2021-09-19,0.9003,0.9036,0.8585,0.8632,674367.6999999981
47,2021-09-20,0.8632,0.8746,0.7049,0.7431,8069063.2000000095
48,2021-09-21,0.7472,0.7664,0.648,0.6561,6601454.399999935
49,2021-09-22,0.6629,0.8798,0.6521,0.7999,11590487.199999994
50,2021-09-23,0.7995,0.84,0.7508,0.8083,9487814.399999967
51,2021-09-24,0.8108,0.8108,0.6701,0.7329,8277966.40000002
52,2021-09-25,0.7322,0.741,0.69,0.7203,12184150.80000003
53,2021-09-26,0.7197,0.7294,0.6671,0.7029,14895235.69999999
54,2021-09-27,0.7054,0.7448,0.6772,0.6772,12412889.299999986
55,2021-09-28,0.6767,0.705,0.6505,0.6637,14769442.800000077
56,2021-09-29,0.6618,0.7049,0.6475,0.6615,17296592.20000001
57,2021-09-30,0.6613,0.7337,0.6563,0.7092,17291967.400000006
58,2021-10-01,0.7066,0.85,0.6991,0.83,18431586.800000034
59,2021-10-02,0.8304,0.8433,0.7855,0.8279,10248526.700000001
60,2021-10-03,0.827,0.8552,0.7846,0.8396,7174447.399999997
61,2021-10-04,0.8396,0.9158,0.8138,0.8473,5053651.599999995
62,2021-10-05,0.849,0.8852,0.8302,0.8669,2505248.5999999954
63,2021-10-06,0.8692,0.9352,0.8353,0.8828,4099527.8000000115
64,2021-10-07,0.8828,0.97,0.8451,0.9531,3359662.900000016
65,2021-10-08,0.9532,0.98,0.91,0.956,1603182.300000007
66,2021-10-09,0.956,0.956,0.8792,0.8988,1239069.2999999986
67,2021-10-10,0.8969,0.9028,0.8375,0.8385,715399.0000000226
68,2021-10-11,0.8379,0.8577,0.812,0.834,1504797.9000000034
69,2021-10-12,0.8348,0.9409,0.7661,0.804,3040195.0000000205
70,2021-10-13,0.8038,0.84,0.7917,0.8383,1049464.5999999999
71,2021-10-14,0.8397,0.8542,0.83,0.8456,1382189.1999999953
72,2021-10-15,0.8461,0.8461,0.7806,0.7936,2274886.200000006
73,2021-10-16,0.7944,0.82,0.79,0.801,2859386.6999999983
74,2021-10-17,0.8,0.81,0.7445,0.778,1966772.3000000073
75,2021-10-18,0.7795,0.7991,0.77,0.7806,1140940.1999999934
76,2021-10-19,0.7818,0.7998,0.7694,0.7818,805911.599999999
77,2021-10-20,0.7846,0.8144,0.7739,0.8043,2382684.4999999977
78,2021-10-21,0.8057,0.8216,0.7829,0.7933,888092.799999998
79,2021-10-22,0.7933,0.817,0.7837,0.8006,538812.9000000006
80,2021-10-23,0.801,0.82,0.7895,0.8023,899337.0999999944
81,2021-10-24,0.8025,0.8149,0.7725,0.7893,574035.5999999986
82,2021-10-25,0.7889,0.812,0.7865,0.8016,794215.5000000006
83,2021-10-26,0.8012,0.8615,0.8,0.8333,1344726.8999999997
84,2021-10-27,0.8333,0.97,0.7848,0.8459,8145181.500000284
85,2021-10-28,0.843,1.1,0.8406,0.9662,7739049.700000412
86,2021-10-29,0.9662,1.07,0.9601,1.039,2970029.199999969
87,2021-10-30,1.0404,1.9,0.97,1.4835,20809520.30000158
88,2021-10-31,1.4866,4.9,1.2157,1.3261,62989799.99998906
89,2021-11-01,1.3261,1.45,1.1886,1.353,19404945.499999397
90,2021-11-02,1.3534,1.85,1.3373,1.6994,33487905.899998367
91,2021-11-03,1.6994,1.78,1.4391,1.6315,11895974.699999837
92,2021-11-04,1.6296,1.6686,1.4763,1.4823,5390423.400000042
93,2021-11-05,1.4823,1.6,1.4688,1.5698,3413333.8000000045
94,2021-11-06,1.5698,1.6289,1.5088,1.572,3959147.2000000053
95,2021-11-07,1.5678,1.5785,1.4433,1.4922,2317393.4999999823
96,2021-11-08,1.4923,1.5081,1.3924,1.4492,3371835.500000005
97,2021-11-09,1.4477,1.4531,1.3506,1.3576,3492699.8999999957
98,2021-11-10,1.3591,1.58,1.2895,1.3244,8942577.799999975
99,2021-11-11,1.3217,1.4871,1.2969,1.4543,4019527.1000000285
100,2021-11-12,1.4512,1.6,1.4109,1.5149,6830621.0999999
101,2021-11-13,1.5154,1.6999,1.4816,1.5366,6105797.299999991
102,2021-11-14,1.5361,1.69,1.5269,1.6803,3194559.2000000463
103,2021-11-15,1.6861,2.15,1.6788,1.8121,18972487.79999753
104,2021-11-16,1.8125,2.4856,1.7736,2.3,25896366.300004512
105,2021-11-17,2.3021,3.229,2.2218,2.4849,36100511.80000671
106,2021-11-18,2.4809,2.6436,2.1112,2.3595,11774996.699998893
107,2021-11-19,2.3597,2.707,2.3263,2.6327,8406995.400000088
108,2021-11-20,2.633,2.7329,2.4438,2.6576,4594675.899999956
109,2021-11-21,2.671,2.671,2.375,2.4038,3065784.700000011
110,2021-11-22,2.4048,2.4889,2.1549,2.4351,5515314.700000069
111,2021-11-23,2.4375,3.4,2.3357,2.7479,13809648.099999543
112,2021-11-24,2.7493,3.4965,2.747,3.0176,9220713.499999674
113,2021-11-25,3.0179,3.44,2.68,2.8942,9410622.599999664
114,2021-11-26,2.9011,2.9392,2.311,2.4005,5783521.199999968
115,2021-11-27,2.3998,2.4841,2.2721,2.3961,2679089.9000000544
116,2021-11-28,2.3908,2.5406,2.098,2.5324,3883076.4000001224
117,2021-11-29,2.5317,2.533,2.2751,2.4229,2592831.6000000723
118,2021-11-30,2.424,2.6002,2.326,2.3789,2979017.2000000332
119,2021-12-01,2.381,2.4862,2.2248,2.2442,1929610.4999999925
120,2021-12-02,2.2435,2.5888,2.0763,2.3679,4721139.399999979
121,2021-12-03,2.3712,2.4754,2.052,2.1159,2722659.9000000614
122,2021-12-04,2.1129,2.161,1.4632,1.9792,6055463.399999801
123,2021-12-05,1.9935,2.0069,1.5536,1.7069,2768029.0000000116
124,2021-12-06,1.7033,1.7174,1.39,1.6731,4725150.099999946
125,2021-12-07,1.6739,1.7462,1.599,1.638,2087199.1000000234
126,2021-12-08,1.6461,1.7174,1.5079,1.6099,2507621.6999999974
127,2021-12-09,1.6065,1.6586,1.4666,1.4683,2253481.000000005
128,2021-12-10,1.4665,1.507,1.3589,1.4048,2764757.3000000007
129,2021-12-11,1.4031,1.4949,1.3964,1.45,1275718.1999999976
130,2021-12-12,1.4534,1.5452,1.4292,1.4961,1415745.8999999925
131,2021-12-13,1.4936,1.5071,1.275,1.2931,1017450.3999999996
132,2021-12-14,1.2894,1.3321,1.1796,1.2961,1475894.400000004
133,2021-12-15,1.3012,1.41,1.1859,1.3998,1979656.7999999947
134,2021-12-16,1.4,1.5767,1.3695,1.375,1285671.4999999998
135,2021-12-17,1.376,1.4201,1.2923,1.3644,813033.7999999984
136,2021-12-18,1.3665,1.4481,1.3317,1.4216,618213.6999999979
137,2021-12-19,1.4249,1.4869,1.3771,1.385,1085116.8000000017
138,2021-12-20,1.3848,1.4086,1.2766,1.3346,616533.6000000001
139,2021-12-21,1.336,1.432,1.2974,1.4148,630886.9000000003
140,2021-12-22,1.4174,1.49,1.4114,1.46,885279.7999999998
141,2021-12-23,1.4657,1.6751,1.4219,1.6749,1457216.499999997
142,2021-12-24,1.6749,1.944,1.6025,1.6691,6484881.899999975
143,2021-12-25,1.6711,1.7982,1.6382,1.729,1690611.4000000015
144,2021-12-26,1.739,1.7762,1.6621,1.7403,1230179.5000000026
145,2021-12-27,1.7414,1.7885,1.6912,1.7156,721076.9000000006
146,2021-12-28,1.7156,1.7199,1.4831,1.5098,1313995.0000000037
147,2021-12-29,1.5101,1.5322,1.3834,1.415,825470.8999999991
148,2021-12-30,1.4105,1.4564,1.37,1.4282,1321052.9000000018
149,2021-12-31,1.4273,1.4999,1.3767,1.4236,1114583.9999999998
150,2022-01-01,1.4233,1.4645,1.4129,1.4623,536188.3999999999
151,2022-01-02,1.4645,1.6002,1.442,1.5409,1004096.0000000005
152,2022-01-03,1.5349,1.68,1.4609,1.5011,1813270.2999999977
153,2022-01-04,1.5001,1.5678,1.4438,1.4568,775482.8000000012
154,2022-01-05,1.4583,1.5219,1.2524,1.3242,1312299.3999999976
155,2022-01-06,1.3244,1.342,1.04,1.2239,23844076.90000046
156,2022-01-07,1.2285,1.2643,1.1517,1.2022,3323229.5999999917
157,2022-01-08,1.2013,1.23,1.1097,1.1484,1674980.8999999962
158,2022-01-09,1.1501,1.1966,1.1301,1.168,671460.7999999999
159,2022-01-10,1.1721,1.1785,1.0068,1.088,1542270.7000000018
160,2022-01-11,1.0848,1.149,1.0353,1.1323,1148219.0999999938
161,2022-01-12,1.1289,1.2029,1.1004,1.1989,915179.5000000012
162,2022-01-13,1.1993,1.2143,1.1248,1.1289,804577.7000000001
