,date,open,high,low,close,volume
0,2021-07-27,0.37,0.37,0.2376,0.2456,19783151.0
1,2021-07-28,0.2462,0.26,0.2312,0.2337,22529447.0
2,2021-07-29,0.235,0.27,0.225,0.254,22282196.0
3,2021-07-30,0.2536,0.4,0.2452,0.2802,67849835.0
4,2021-07-31,0.2802,0.2802,0.2575,0.2741,18169231.0
5,2021-08-01,0.2755,0.283,0.2535,0.2565,12167388.0
6,2021-08-02,0.2565,0.2777,0.2536,0.2718,8997300.0
7,2021-08-03,0.2718,0.2718,0.244,0.2569,8603425.0
8,2021-08-04,0.256,0.2699,0.2488,0.2638,9884875.0
9,2021-08-05,0.2645,0.2694,0.2571,0.2672,8582533.0
10,2021-08-06,0.2672,0.281,0.2628,0.2773,10064741.0
11,2021-08-07,0.2773,0.2934,0.2734,0.2908,10239099.0
12,2021-08-08,0.2908,0.2908,0.2701,0.2749,6913855.0
13,2021-08-09,0.2759,0.2846,0.2574,0.2807,8378655.0
14,2021-08-10,0.2817,0.5657,0.2707,0.3066,71125542.0
15,2021-08-11,0.3066,0.3854,0.2912,0.3043,81051165.0
16,2021-08-12,0.3044,0.3304,0.2767,0.2879,24718949.0
17,2021-08-13,0.2871,0.306,0.2835,0.3051,13154731.0
18,2021-08-14,0.3051,0.3189,0.2936,0.3097,9747237.0
19,2021-08-15,0.3095,0.3299,0.2969,0.3093,14268965.0
20,2021-08-16,0.31,0.3281,0.3054,0.3094,10562522.0
21,2021-08-17,0.3094,0.3399,0.2961,0.2989,11480516.0
22,2021-08-18,0.2989,0.3111,0.2874,0.2913,6912057.0
23,2021-08-19,0.2914,0.34,0.2851,0.3084,14029706.0
24,2021-08-20,0.3085,0.3625,0.3037,0.3225,33117608.0
25,2021-08-21,0.3225,0.3402,0.3158,0.3231,10572962.0
26,2021-08-22,0.322,0.334,0.3159,0.3231,7932161.0
27,2021-08-23,0.323,0.3555,0.3219,0.3447,13217424.0
28,2021-08-24,0.3446,0.3574,0.3177,0.3335,16230448.0
29,2021-08-25,0.3335,0.38,0.3266,0.3598,27806469.0
30,2021-08-26,0.3598,0.3616,0.329,0.348,10787300.0
