,date,open,high,low,close,volume
0,2021-06-24,80.0,119.0,70.0,78.48,38108.310000000136
1,2021-06-25,78.11,114.42,76.72,91.54,218082.57300000364
2,2021-06-26,91.5,96.49,71.51,80.48,100306.7719999994
3,2021-06-27,80.5,88.49,77.21,81.75,46986.0909999997
4,2021-06-28,81.77,92.5,74.82,75.42,52479.95699999973
5,2021-06-29,75.04,80.0,73.61,76.04,57844.04799999995
6,2021-06-30,76.04,76.5,65.51,69.42,56124.492999999864
7,2021-07-01,69.42,76.1,65.69,67.59,28787.47099999974
8,2021-07-02,67.59,77.85,65.0,74.79,44229.62399999988
9,2021-07-03,74.79,89.0,74.5,77.78,72192.46400000103
10,2021-07-04,78.18,84.33,77.75,81.96,30845.086999999523
11,2021-07-05,82.12,87.0,77.84,79.56,29456.033999999767
12,2021-07-06,79.6,82.76,77.13,80.2,26069.152999999827
13,2021-07-07,80.14,82.86,78.46,79.68,22706.817999999952
14,2021-07-08,79.69,79.96,73.29,75.04,18502.176000000043
15,2021-07-09,75.04,78.67,72.31,77.82,18434.024000000012
16,2021-07-10,78.0,82.98,77.66,81.47,22004.353999999992
17,2021-07-11,81.12,81.95,79.02,80.2,10144.548000000032
18,2021-07-12,80.0,80.23,71.8,78.81,16702.136000000035
19,2021-07-13,78.61,78.71,71.25,72.69,20926.406
20,2021-07-14,72.9,77.52,68.83,77.51,21776.04599999992
21,2021-07-15,77.52,82.0,69.68,71.31,27063.592999999782
22,2021-07-16,71.62,73.27,68.44,69.13,21757.60499999992
23,2021-07-17,69.13,70.98,67.79,69.94,17886.946000000065
24,2021-07-18,69.96,74.0,69.18,70.62,14862.89900000006
25,2021-07-19,70.32,70.68,65.83,66.06,29197.246000000083
26,2021-07-20,65.86,75.0,56.51,67.88,74913.32399999916
27,2021-07-21,68.36,75.67,66.67,73.4,39294.09400000019
28,2021-07-22,73.45,75.0,71.93,73.38,16220.014000000132
29,2021-07-23,73.18,78.0,71.1,74.95,29358.222999999987
30,2021-07-24,74.96,85.38,74.53,83.16,39057.33000000029
31,2021-07-25,83.13,99.86,80.59,95.25,104504.2480000005
32,2021-07-26,96.81,98.81,86.48,90.58,62150.765999999116
33,2021-07-27,90.55,96.0,84.7,93.55,35569.610999999786
34,2021-07-28,93.61,99.38,92.6,98.55,34282.38499999981
35,2021-07-29,99.32,170.0,94.77,138.84,317974.65099999844
36,2021-07-30,138.71,140.05,119.9,134.01,101366.78699999914
37,2021-07-31,135.22,139.89,125.88,135.08,36628.811000000016
38,2021-08-01,135.08,189.07,134.58,176.31,198616.12700000315
39,2021-08-02,176.13,197.0,143.16,158.77,208771.5770000044
40,2021-08-03,158.88,177.0,146.0,165.35,104120.468999997
41,2021-08-04,165.45,188.99,157.05,174.7,113482.09799999667
42,2021-08-05,174.66,190.1,170.0,173.61,71670.15000000033
43,2021-08-06,173.6,175.79,160.0,161.91,76310.84599999877
44,2021-08-07,161.24,167.7,150.54,155.5,93999.97400000195
45,2021-08-08,155.6,164.88,147.0,153.23,56226.960999999224
46,2021-08-09,153.04,167.0,142.04,151.73,71371.90799999888
47,2021-08-10,151.65,166.5,149.51,153.01,58817.22499999906
48,2021-08-11,153.19,167.5,153.02,154.93,54592.38699999953
49,2021-08-12,154.68,157.0,144.97,150.66,47406.87599999923
50,2021-08-13,150.53,161.0,147.43,153.97,42678.51499999875
51,2021-08-14,153.56,159.2,149.05,150.28,35889.771999998986
52,2021-08-15,150.46,166.77,147.6,165.09,40754.89399999953
53,2021-08-16,165.17,165.17,150.0,153.01,43005.29099999864
54,2021-08-17,153.03,166.96,149.63,163.95,54107.950999998226
55,2021-08-18,163.99,202.8,163.82,186.87,269225.31500002363
56,2021-08-19,186.86,194.48,177.79,178.09,76406.8989999975
57,2021-08-20,178.09,196.73,177.33,192.48,52206.37600000033
58,2021-08-21,192.49,195.0,184.23,186.74,35152.33099999893
59,2021-08-22,186.86,190.11,177.25,183.46,35167.701000000205
60,2021-08-23,183.43,190.9,179.57,182.07,35655.97099999995
61,2021-08-24,181.75,215.72,178.62,206.09,154235.44900000002
62,2021-08-25,206.48,213.0,187.79,194.47,98079.90399999604
63,2021-08-26,194.38,197.0,183.01,186.6,42119.545999999915
64,2021-08-27,186.51,201.5,180.5,195.81,41972.374000000134
65,2021-08-28,195.43,199.5,191.01,194.07,20478.71399999997
66,2021-08-29,194.53,197.98,188.97,190.31,22262.998999999792
67,2021-08-30,190.3,191.78,183.04,183.57,35314.154999999526
68,2021-08-31,183.57,189.66,178.0,182.17,45290.30299999982
69,2021-09-01,181.93,189.0,179.79,187.49,39711.8959999997
70,2021-09-02,187.73,194.98,183.03,187.32,37565.55399999971
71,2021-09-03,187.66,188.4,182.23,187.69,45605.02100000043
72,2021-09-04,187.43,230.0,187.17,223.62,140726.06100000328
73,2021-09-05,223.62,330.0,222.0,319.97,450939.181999953
74,2021-09-06,319.98,389.25,296.5,326.46,535143.7879999836
75,2021-09-07,326.62,359.0,275.0,355.63,266692.7700000022
76,2021-09-08,355.26,358.81,296.36,311.41,176159.93700000978
77,2021-09-09,311.32,337.5,294.0,313.79,210148.20600002585
78,2021-09-10,313.4,409.42,307.28,394.31,285155.4040000186
79,2021-09-11,394.97,428.45,360.79,384.33,241848.19399996102
80,2021-09-12,384.81,387.0,350.03,354.21,83731.06499999258
81,2021-09-13,354.38,383.7,323.43,382.79,136261.31399999777
82,2021-09-14,382.78,418.99,353.24,372.8,201476.14100000958
83,2021-09-15,372.23,377.0,351.45,367.08,67284.89099999546
84,2021-09-16,367.12,376.93,352.85,367.22,81785.94700000176
85,2021-09-17,367.21,368.8,340.11,346.41,67040.26600000131
