,date,open,high,low,close,volume
0,2022-01-03,7.5289,7.5613,6.8479,7.0451,9523.331021000002
1,2022-01-04,7.0423,7.8978,6.7891,7.5111,17129.908219930025
2,2022-01-05,7.4492,8.42,6.5289,7.3143,32180.13870095001
3,2022-01-06,7.2789,7.2789,6.3442,6.9098,26721.810285610012
4,2022-01-07,6.8994,6.8994,5.3393,5.3393,71517.03414152
5,2022-01-08,5.3622,5.7324,4.4525,5.2547,67695.9353829299
6,2022-01-09,5.2252,5.9168,4.9,5.5494,27624.555548890068
7,2022-01-10,5.5557,5.6778,4.7857,5.1216,45025.33271445003
8,2022-01-11,5.1396,5.8489,4.9,5.6161,11381.132626339997
9,2022-01-12,5.6191,6.486,5.6191,6.3782,6822.270445369994
10,2022-01-13,6.3757,6.3976,5.4082,5.4961,27743.737000149995
11,2022-01-14,5.5041,5.724,5.0291,5.1574,50296.372566510065
12,2022-01-15,5.1888,5.2428,4.7369,4.7651,28594.22254526995
13,2022-01-16,4.7581,5.1866,4.5,4.8732,25095.71914627002
14,2022-01-17,4.8659,4.8714,4.1,4.2762,18468.227711530002
15,2022-01-18,4.2945,4.3879,4.0324,4.3421,9285.000156940003
16,2022-01-19,4.3363,4.3363,3.7698,3.91,7215.970937740007
17,2022-01-20,3.9028,4.2024,3.3518,3.3762,25156.870902530027
18,2022-01-21,3.3784,3.5696,2.6681,2.7259,78780.94239079022
19,2022-01-22,2.723,2.7604,2.0428,2.1096,129431.02362102995
20,2022-01-23,2.1053,2.4361,2.0842,2.273,47083.23001339999
21,2022-01-24,2.2733,2.2733,1.85,2.088,128860.16446078023
22,2022-01-25,2.0822,2.4562,1.9988,2.3078,36740.17425486001
23,2022-01-26,2.3019,2.8756,2.2721,2.4031,43410.71596119998
24,2022-01-27,2.3983,2.5403,2.2306,2.3776,12458.265143469995
25,2022-01-28,2.3778,2.3979,2.179,2.374,5364.510288650006
26,2022-01-29,2.3839,2.4409,2.3055,2.3392,25746.911399400007
27,2022-01-30,2.3359,2.348,2.1427,2.1599,6742.425794020002
28,2022-01-31,2.1567,2.3753,2.0907,2.2807,6503.321240260001
29,2022-02-01,2.277,2.5524,2.2558,2.4472,28376.662014700003
30,2022-02-02,2.4428,2.4493,2.1962,2.2453,85409.14183868002
31,2022-02-03,2.2433,2.3466,2.151,2.3425,1288.5629013699997
32,2022-02-04,2.3493,3.0917,2.313,2.9289,13262.578169000002
33,2022-02-05,2.9213,3.2265,2.884,2.9691,13836.325969770003
34,2022-02-06,2.9775,3.1882,2.9516,3.1388,7586.141303570001
35,2022-02-07,3.1415,3.6567,2.9901,3.3755,25603.55400503001
36,2022-02-08,3.3805,3.95,3.1152,3.5019,40079.31979971003
37,2022-02-09,3.505,4.2098,3.3304,3.9814,13159.022278890008
38,2022-02-10,3.9849,4.2137,3.5084,3.6951,55106.15390598001
39,2022-02-11,3.6753,4.0584,3.2938,3.3358,3773.651369809998
40,2022-02-12,3.3378,3.482,3.2557,3.349,3174.903369130001
