,date,open,high,low,close,volume
0,2022-01-03,17.719,17.794,17.527,17.633,1544.5893919399998
1,2022-01-04,17.565,17.698,17.224,17.224,2471.2279249000003
2,2022-01-05,17.134,17.276,15.942,15.99,4926.35321636
3,2022-01-06,16.039,16.039,15.383,15.5,3184.5371825600005
4,2022-01-07,15.477,15.477,14.617,14.617,2903.426108920001
5,2022-01-08,14.844,14.889,14.001,14.489,1495.5410063300005
6,2022-01-09,14.406,14.757,14.237,14.324,2939.69253041
7,2022-01-10,14.322,14.367,13.683,13.975,3633.5919252699982
8,2022-01-11,14.055,14.378,13.95,14.336,2629.1967419300004
9,2022-01-12,14.293,14.556,14.251,14.41,3538.177290699998
10,2022-01-13,14.373,14.39,13.916,13.959,2905.12783853
11,2022-01-14,13.925,14.004,13.794,13.962,2334.5785246000005
12,2022-01-15,13.919,14.143,13.878,14.043,2541.659200940001
13,2022-01-16,14.043,14.128,14.001,14.007,1276.4601020599998
14,2022-01-17,14.007,14.008,13.799,13.87,2293.0485400100006
15,2022-01-18,13.926,13.951,13.757,13.839,1862.1577974899997
16,2022-01-19,13.839,13.865,13.569,13.659,3406.657839520001
17,2022-01-20,13.673,14.06,13.484,13.484,5503.531771840006
18,2022-01-21,13.527,13.566,11.107,11.688,16001.822641970013
19,2022-01-22,11.693,11.693,10.782,10.814,6711.703410959994
20,2022-01-23,10.88,11.049,10.752,11.049,2267.6097620399996
21,2022-01-24,10.982,10.982,10.33,10.85,8555.08918409
22,2022-01-25,10.818,10.934,9.6548,10.643,7003.9656700000005
23,2022-01-26,10.512,10.843,10.051,10.204,6839.584180529999
24,2022-01-27,10.204,10.292,10.0,10.077,3237.4203241400005
25,2022-01-28,10.108,10.139,9.8186,9.9085,3313.664155399999
26,2022-01-29,9.8703,14.82,9.8703,14.161,7983.954411409993
27,2022-01-30,14.161,14.161,13.547,13.587,3511.29022977
28,2022-01-31,13.587,13.587,13.339,13.581,1824.7596281599972
29,2022-02-01,13.539,13.662,13.35,13.35,2427.37570591
30,2022-02-02,13.335,13.335,12.67,12.747,2425.27518029
31,2022-02-03,12.67,12.681,11.1,11.999,3689.9319757499993
32,2022-02-04,11.77,13.053,11.158,13.053,9086.478055509991
33,2022-02-05,13.053,13.053,12.853,12.853,1106.0365174899996
34,2022-02-06,13.009,13.048,12.853,13.048,1573.2088028599999
35,2022-02-07,12.969,13.458,12.668,13.338,7782.295009939991
36,2022-02-08,13.357,13.577,13.014,13.379,5455.200034119998
37,2022-02-09,13.379,13.5,13.22,13.339,3245.8569012600005
38,2022-02-10,13.339,13.58,13.078,13.141,6953.518613150002
39,2022-02-11,13.061,13.257,12.766,12.766,7265.096431929996
40,2022-02-12,12.777,12.844,12.576,12.576,2311.4398925200003
41,2022-02-13,12.652,12.691,12.613,12.616,996.4719271199999
42,2022-02-14,12.613,12.652,12.459,12.47,2817.2884345999996
43,2022-02-15,12.54,12.995,12.54,12.995,3922.0670281100006
44,2022-02-16,12.917,12.917,12.652,12.767,2525.54362386
45,2022-02-17,12.764,12.764,12.17,12.244,6407.418040250003
46,2022-02-18,12.206,12.334,12.06,12.133,6986.541999809997
47,2022-02-19,12.134,12.137,12.05,12.05,924.47096508
48,2022-02-20,12.05,12.174,11.877,12.09,4957.089079309998
49,2022-02-21,12.09,12.544,11.98,12.05,16672.327670910003
50,2022-02-22,12.05,12.434,12.05,12.434,4627.199286229998
51,2022-02-23,12.359,12.544,12.139,12.139,2955.847483730001
52,2022-02-24,12.139,13.082,11.57,12.848,20175.79385017003
53,2022-02-25,12.927,13.171,12.81,13.054,6525.295787269999
54,2022-02-26,13.054,13.249,12.899,12.899,3161.7405782899996
55,2022-02-27,12.899,12.939,12.22,12.22,7171.138316640001
56,2022-02-28,12.223,13.588,12.125,13.385,13000.699163819994
57,2022-03-01,13.466,13.582,13.132,13.258,7585.986975379998
58,2022-03-02,13.258,13.458,13.101,13.3,4773.072972940002
59,2022-03-03,13.219,13.3,12.943,13.061,3959.92004182
60,2022-03-04,12.983,12.983,12.018,12.092,9402.464862469997
61,2022-03-05,12.092,12.092,12.018,12.05,910.9916449599999
62,2022-03-06,12.05,12.055,11.768,11.768,3827.7332883900003
63,2022-03-07,11.733,12.438,11.592,12.139,9527.029525139997
64,2022-03-08,12.143,12.288,12.05,12.05,3715.2811899299995
65,2022-03-09,12.052,12.701,12.052,12.475,8694.08830903
66,2022-03-10,12.399,12.587,11.897,12.007,12459.524548340003
67,2022-03-11,12.007,12.361,11.826,12.103,6523.408029640003
68,2022-03-12,12.121,12.121,12.05,12.05,564.7364003800001
69,2022-03-13,12.05,12.066,11.848,11.848,1683.8650079
70,2022-03-14,12.066,12.31,12.043,12.235,1897.3699384200004
71,2022-03-15,12.235,12.344,12.053,12.274,3030.55996911
72,2022-03-16,12.274,12.641,12.197,12.55,11002.033448799999
73,2022-03-17,12.562,12.562,12.378,12.418,1488.3231446399998
74,2022-03-18,12.378,12.565,12.304,12.565,2255.28541885
75,2022-03-19,12.489,12.491,12.341,12.473,2247.3861424399997
76,2022-03-20,12.488,12.488,12.193,12.299,2034.4875799000001
77,2022-03-21,12.267,12.305,12.193,12.304,1650.2950858199997
78,2022-03-22,12.305,12.636,12.305,12.45,4243.775494189999
79,2022-03-23,12.45,12.489,12.34,12.489,1307.240911
80,2022-03-24,12.525,12.788,12.487,12.711,2106.16256629
81,2022-03-25,12.751,13.093,12.711,12.933,4127.08762266
82,2022-03-26,12.909,12.933,12.854,12.933,40.084419870000005
83,2022-03-27,12.93,13.244,12.923,13.244,2380.6096951499994
84,2022-03-28,13.244,13.323,13.126,13.149,2746.32272013
85,2022-03-29,13.229,13.545,13.202,13.307,3201.98032083
86,2022-03-30,13.307,13.55,13.198,13.198,2280.8293792400004
87,2022-03-31,13.471,13.471,13.04,13.04,1682.5321134100002
88,2022-04-01,13.04,13.295,12.915,13.256,2550.5343391300003
89,2022-04-02,13.256,13.374,13.059,13.061,1832.8764502400006
90,2022-04-03,13.138,13.256,13.098,13.098,1313.6697864399998
91,2022-04-04,13.098,13.099,12.902,13.099,1673.8900408200002
92,2022-04-05,12.904,13.018,12.863,12.863,1350.9613527200004
93,2022-04-06,12.863,12.863,12.286,12.338,4268.772797620001
94,2022-04-07,12.286,12.286,12.056,12.092,2979.0074171199994
95,2022-04-08,12.092,12.165,11.909,11.981,2762.103781590001
96,2022-04-09,11.981,12.015,11.913,11.913,424.63177174
97,2022-04-10,12.015,12.091,11.727,11.762,1447.4078782
98,2022-04-11,11.727,11.795,11.317,11.317,2531.318072949999
99,2022-04-12,11.421,11.468,11.244,11.355,1815.8849417399997
100,2022-04-13,11.287,11.528,11.287,11.451,2038.6021505999993
101,2022-04-14,11.554,11.72,11.212,11.219,2503.83537018
102,2022-04-15,11.223,11.29,11.156,11.156,321.3458275900001
103,2022-04-16,11.157,11.158,11.156,11.156,91.28748245999999
104,2022-04-17,11.29,11.424,9.4671,9.51,5414.813284220001
105,2022-04-18,10.1,10.44,9.961,10.407,3078.6848622700004
106,2022-04-19,10.44,10.503,10.4,10.4,346.36550299
107,2022-04-20,10.503,10.563,10.342,10.345,1615.3732851500001
108,2022-04-21,10.468,12.213,10.363,12.13,7823.9517217999955
109,2022-04-22,12.111,12.249,11.812,11.813,4116.4624946700005
110,2022-04-23,11.882,12.717,11.882,12.013,452.4777534000001
111,2022-04-24,12.085,12.085,11.806,11.936,2502.7871184099995
112,2022-04-25,11.806,12.648,11.699,12.393,4764.99569316
113,2022-04-26,12.383,12.82,11.677,11.994,7445.2239583599985
114,2022-04-27,12.064,12.222,12.064,12.148,2361.9850552199996
115,2022-04-28,12.143,12.229,12.01,12.12,2526.4383787000006
116,2022-04-29,12.119,12.119,11.879,11.879,1955.2774662399995
117,2022-04-30,11.948,11.95,11.78,11.78,1430.19313194
118,2022-05-01,11.78,11.921,11.745,11.884,1529.17723825
119,2022-05-02,11.953,12.249,11.8,11.904,4832.087090579998
120,2022-05-03,12.047,12.049,11.967,11.967,1847.4302976000001
121,2022-05-04,11.967,12.265,11.923,12.203,2356.7330236899993
122,2022-05-05,12.136,12.307,11.704,11.956,4469.737077790001
123,2022-05-06,12.106,12.188,11.86,12.057,2009.0155282299997
124,2022-05-07,12.02,12.057,11.793,12.008,1841.61281175
125,2022-05-08,11.886,11.886,11.655,11.655,987.0045498
126,2022-05-09,11.655,11.655,9.431,10.469,5078.02664332
127,2022-05-10,10.268,11.02,9.263,10.657,3756.3731153499994
128,2022-05-11,10.671,10.769,9.33,9.3462,6818.643482560003
129,2022-05-12,9.6125,9.818,8.893,9.093,23915.463598500042
130,2022-05-13,9.093,9.449,8.0,9.164,6690.6001611199945
131,2022-05-14,9.172,9.172,8.924,9.104,3442.756768449999
132,2022-05-15,9.143,9.358,9.127,9.312,3119.940734150001
133,2022-05-16,9.198,9.243,8.892,9.081,5308.614661770001
134,2022-05-17,9.053,9.157,8.91,9.157,3597.8708267100005
135,2022-05-18,9.1468,9.184,8.857,8.8571,3973.7510694200005
136,2022-05-19,8.8571,9.076,8.809,9.076,3413.674432299999
137,2022-05-20,9.076,9.628,8.675,8.947,10470.97737683
138,2022-05-21,8.973,8.998,8.919,8.971,733.0107293599999
139,2022-05-22,8.973,9.081,8.973,9.081,1708.2991378100003
140,2022-05-23,9.081,9.2761,8.747,8.747,4581.865323949997
141,2022-05-24,8.855,8.856,8.75,8.856,2390.020427480001
142,2022-05-25,8.882,8.935,8.756,8.834,3210.3653538
143,2022-05-26,8.782,8.826,8.536,8.719,5248.8631846200005
144,2022-05-27,8.719,8.742,8.585,8.61,2639.0505338100006
145,2022-05-28,8.634,8.711,8.634,8.634,648.6974144000001
146,2022-05-29,8.696,8.722,8.669,8.722,504.03957142
147,2022-05-30,8.744,8.986,8.7415,8.906,5030.381644260002
148,2022-05-31,8.929,8.959,8.826,8.907,3176.66418603
149,2022-06-01,8.906,8.926,8.475,8.577,4508.786563630002
150,2022-06-02,8.525,8.662,8.482,8.611,2169.1633617699995
151,2022-06-03,8.584,8.584,8.455,8.505,1383.7423254399998
152,2022-06-04,8.5001,8.586,8.5,8.526,750.14251865
153,2022-06-05,8.545,8.571,8.545,8.545,866.51220615
154,2022-06-06,8.596,8.776,8.596,8.744,3078.002899529999
155,2022-06-07,8.72,8.72,8.408,8.625,6535.883859909998
156,2022-06-08,8.625,8.625,8.447,8.523,3920.12444885
157,2022-06-09,8.4776,8.53,8.399,8.43,2280.8659989500006
158,2022-06-10,8.429,8.478,8.252,8.276,2841.9673234300017
159,2022-06-11,8.276,8.276,8.081,8.129,3570.4561422499996
160,2022-06-12,8.129,8.129,7.489,7.489,9932.610049079998
161,2022-06-13,7.489,7.489,6.139,6.139,6164.58597848
162,2022-06-14,6.1,6.1044,5.66,5.839,6150.362415399995
163,2022-06-15,5.802,5.8611,5.519,5.8611,7348.139666050003
164,2022-06-16,5.8611,5.8722,5.514,5.514,4573.48761597
165,2022-06-17,5.629,5.651,5.499,5.541,1886.7456124
166,2022-06-18,5.568,5.568,5.051,5.232,7844.76575527001
167,2022-06-19,5.232,5.477,5.088,5.444,6886.376401090001
168,2022-06-20,5.427,5.7944,5.349,5.573,20011.562160440004
169,2022-06-21,5.539,5.639,5.462,5.462,17720.085586499998
170,2022-06-22,5.46,5.485,5.354,5.387,11006.99814397
171,2022-06-23,5.39,5.6042,5.37,5.572,10683.986669410007
172,2022-06-24,5.6042,5.652,5.503,5.652,12705.692503540005
173,2022-06-25,5.617,5.656,5.572,5.639,3862.3333004700003
174,2022-06-26,5.646,5.68,5.545,5.545,4816.464366420001
175,2022-06-27,5.545,5.599,5.482,5.512,5210.52866927
176,2022-06-28,5.512,5.546,5.43,5.43,3838.2630723100015
177,2022-06-29,5.43,5.474,5.3931,5.441,4074.4270102899986
178,2022-06-30,5.441,5.441,5.221,5.424,13411.833602629997
179,2022-07-01,5.424,5.522,5.285,5.329,14992.46741778999
180,2022-07-02,5.329,5.331,5.278,5.325,2310.44805252
181,2022-07-03,5.293,5.359,5.246,5.311,6240.88830169
182,2022-07-04,5.3,5.438,5.279,5.4201,6206.4771707
183,2022-07-05,5.438,5.505,5.325,5.422,10095.847101340001
184,2022-07-06,5.422,5.464,5.36,5.4364,6919.869946830001
185,2022-07-07,5.431,5.63,5.431,5.63,6165.2857631399975
186,2022-07-08,5.641,5.691,5.545,5.594,9376.024508249997
187,2022-07-09,5.594,5.63,5.546,5.595,3114.6272922699986
188,2022-07-10,5.57,5.57,5.45,5.45,5505.43107027
189,2022-07-11,5.45,5.452,5.338,5.338,4712.04758597
190,2022-07-12,5.338,5.345,5.25,5.25,3466.0421444299996
191,2022-07-13,5.281,5.402,5.2,5.402,12380.522163640004
192,2022-07-14,5.402,5.46,5.331,5.427,7698.961486870001
193,2022-07-15,5.411,5.464,5.394,5.431,4357.064847500001
194,2022-07-16,5.431,5.529,5.383,5.4492,6610.662522120001
195,2022-07-17,5.48,5.506,5.391,5.391,3986.50063863
196,2022-07-18,5.391,5.635,5.391,5.618,13308.659081810001
197,2022-07-19,5.584,5.738,5.49,5.701,18446.238988559995
198,2022-07-20,5.652,5.982,5.6,5.634,13517.168868600002
199,2022-07-21,5.634,5.71,5.5724,5.641,10957.352855250001
200,2022-07-22,5.657,5.68,5.545,5.545,5891.356853669997
201,2022-07-23,5.578,5.595,5.486,5.5223,6171.16144415
202,2022-07-24,5.535,5.613,5.502,5.562,4571.170513339999
203,2022-07-25,5.562,5.562,5.397,5.397,6964.367172649999
204,2022-07-26,5.397,5.397,5.347,5.379,3894.49581458
205,2022-07-27,5.364,5.626,5.364,5.592,6766.284148989999
206,2022-07-28,5.626,5.758,5.572,5.723,9582.594879999999
207,2022-07-29,5.723,5.794,5.69,5.724,5436.872470759999
208,2022-07-30,5.724,5.833,5.695,5.712,4871.657196460002
209,2022-07-31,5.729,5.771,5.651,5.651,4931.988135120001
210,2022-08-01,5.643,5.664,5.609,5.658,3016.4816837900003
211,2022-08-02,5.63,5.67,5.586,5.602,5984.4574055600015
212,2022-08-03,5.586,5.677,5.569,5.5761,4744.3554102
213,2022-08-04,5.609,5.669,5.532,5.532,3077.16973189
214,2022-08-05,5.614,5.687,5.493,5.541,4618.7136326
215,2022-08-06,5.533,5.533,5.5,5.5,1330.70081278
216,2022-08-07,5.5,5.522,5.483,5.489,1026.71988448
217,2022-08-08,5.52,7.7423,5.52,7.735,2973.6723711299987
218,2022-08-09,7.7398,8.025,7.047,7.862,3824.9170776899996
219,2022-08-10,7.862,8.072,7.815,8.047,7803.13870569
220,2022-08-11,8.072,8.188,8.017,8.017,3847.6858317500014
221,2022-08-12,8.017,8.116,7.971,8.0731,2955.0888115300004
222,2022-08-13,8.116,8.164,8.027,8.095,4185.73820768
223,2022-08-14,8.046,8.172,8.027,8.027,4006.0554363999995
224,2022-08-15,8.0273,8.197,7.902,7.973,7521.595313159998
225,2022-08-16,7.9729,7.973,7.902,7.949,1603.65900748
226,2022-08-17,7.9031,8.849,7.25,7.25,4047.937851479999
227,2022-08-18,8.3015,9.277,6.43,8.0,2707.594878009997
228,2022-08-19,8.37,10.222,6.7248,10.016,10370.7161817
229,2022-08-20,9.955,10.069,9.6925,10.018,5858.5594839199985
230,2022-08-21,10.018,10.2,9.8055,10.05,2668.77173549
231,2022-08-22,10.052,10.052,9.909,9.997,5095.68792412
232,2022-08-23,9.997,10.028,9.85,9.9381,4106.71547762
233,2022-08-24,9.938,10.049,9.909,9.959,2144.5236306199995
234,2022-08-25,9.959,9.989,9.9,9.9,1691.2892529300002
235,2022-08-26,9.9,9.979,9.532,9.55,9440.984055640005
236,2022-08-27,9.6169,9.617,9.443,9.4433,2043.0955469599994
237,2022-08-28,9.443,9.499,9.336,9.336,2827.219048560001
238,2022-08-29,9.336,9.486,9.336,9.425,2984.2398459299993
239,2022-08-30,9.425,9.51,9.299,9.355,5071.35600645
240,2022-08-31,9.412,9.498,9.316,9.372,4528.856397819999
241,2022-09-01,9.372,9.372,9.214,9.296,4447.747583520001
242,2022-09-02,9.3249,9.325,9.186,9.241,3068.5197474899987
243,2022-09-03,9.241,9.241,9.146,9.146,702.96916831
244,2022-09-04,9.152,9.207,9.124,9.207,1838.3085345600002
245,2022-09-05,9.1513,9.157,9.047,9.101,3171.3494359399992
246,2022-09-06,9.157,9.212,8.773,8.851,6225.852162780002
247,2022-09-07,8.774,12.278,8.4931,12.172,2080.39800701
248,2022-09-08,12.1,12.135,11.991,11.991,2477.2488425599995
249,2022-09-09,12.063,12.609,12.063,12.534,9525.706807470002
250,2022-09-10,12.534,12.665,12.497,12.589,2680.4094376899993
251,2022-09-11,12.665,12.665,12.544,12.545,1205.3667744000004
252,2022-09-12,12.551,12.828,12.551,12.828,6395.694382900002
253,2022-09-13,12.828,12.906,12.069,12.142,11960.25261194001
254,2022-09-14,12.107,12.253,11.98,12.162,3690.0914574000008
255,2022-09-15,12.162,12.235,11.98,12.015,3243.6170917600016
256,2022-09-16,12.088,12.124,11.935,11.989,3085.704224680001
257,2022-09-17,12.006,12.116,11.983,12.019,2428.50999121
258,2022-09-18,12.092,12.092,11.852,11.852,2355.003542580001
259,2022-09-19,11.852,11.882,11.5,11.811,12272.376313519997
260,2022-09-20,11.812,11.812,11.604,11.604,4804.981851689998
261,2022-09-21,11.67,11.833,11.337,11.406,16987.46636539996
262,2022-09-22,11.381,11.727,11.381,11.727,4665.142216609996
263,2022-09-23,11.65,11.684,11.405,11.649,5043.824224580001
264,2022-09-24,11.579,11.579,11.35,11.35,3396.7818246299994
265,2022-09-25,11.404,11.439,11.3,11.369,2263.96191568
266,2022-09-26,11.363,11.431,11.328,11.328,2542.670688240001
267,2022-09-27,11.396,11.735,11.296,11.362,8172.586602680002
268,2022-09-28,11.297,11.516,11.212,11.447,8444.363147679995
269,2022-09-29,11.447,11.515,11.31,11.412,6205.541983410002
270,2022-09-30,11.413,11.601,11.327,11.36,7618.830404230001
271,2022-10-01,11.362,11.362,11.327,11.327,258.3020923
272,2022-10-02,11.327,11.327,11.292,11.292,842.1478719200002
273,2022-10-03,11.359,11.54,11.336,11.471,3134.56284955
274,2022-10-04,11.538,11.718,11.472,11.718,4622.701022559999
275,2022-10-05,11.683,11.683,11.564,11.6,2534.7730214000003
276,2022-10-06,11.667,11.705,11.597,11.597,1670.77970572
277,2022-10-07,11.565,11.591,11.426,11.494,2483.4081615800005
278,2022-10-08,11.427,11.427,11.391,11.392,328.62766912999996
279,2022-10-09,11.459,11.459,11.459,11.459,8.40000002
280,2022-10-10,11.394,11.394,11.188,11.188,1919.28054648
