,date,open,high,low,close,volume
0,2020-10-13,2.3293,2.4074,2.3146,2.3373,9810.087238479997
1,2020-10-14,2.3434,2.3607,2.2528,2.2539,6977.14578823
2,2020-10-15,2.2615,2.2615,2.2084,2.246,2623.8491189699994
3,2020-10-16,2.2294,2.2365,2.1403,2.1755,1989.6297099599997
4,2020-10-17,2.1714,2.1842,2.1398,2.1806,3687.6365363800005
5,2020-10-18,2.1868,2.2216,2.1868,2.2216,1248.55377493
6,2020-10-19,2.2225,2.2225,2.2225,2.2225,2.99
7,2020-10-20,2.1869,2.192,2.1487,2.1489,2010.4610419
8,2020-10-21,2.202,2.3146,2.1813,2.3037,4343.011701640001
9,2020-10-22,2.3085,2.3859,2.2977,2.3267,4267.90424688
10,2020-10-23,2.3261,2.3358,2.2782,2.2786,3270.34465999
11,2020-10-24,2.2946,2.3303,2.2778,2.3132,4940.671942829999
12,2020-10-25,2.3013,2.3176,2.2169,2.2391,3841.42208264
13,2020-10-26,2.2479,2.2594,2.138,2.1814,3629.66715522
14,2020-10-27,2.1846,2.2053,2.1732,2.19,1004.3233305700002
15,2020-10-28,2.1733,2.1733,2.0563,2.083,2459.1725698600003
16,2020-10-29,2.1052,2.1052,2.01,2.0548,296.65210425999993
17,2020-10-30,2.0292,2.0292,1.8858,1.946,3311.7562179600004
18,2020-10-31,1.9514,1.9749,1.944,1.959,1329.6193440700001
19,2020-11-01,1.9869,2.0082,1.9618,2.0038,81.74522926
20,2020-11-02,2.0249,2.0424,1.9392,1.9392,835.8192982300001
21,2020-11-03,1.9,1.9,1.8218,1.835,8912.953240179999
22,2020-11-04,1.8591,1.8591,1.7711,1.8372,4910.16122859
23,2020-11-05,1.8542,1.93,1.8228,1.9269,4331.2089820599995
24,2020-11-06,1.9542,2.063,1.929,2.0501,3666.2421463499995
25,2020-11-07,2.108,2.1672,1.9337,1.9587,8003.8639078999995
26,2020-11-08,1.938,2.0438,1.9284,2.0252,2547.3205112800006
27,2020-11-09,2.032,2.0443,1.948,1.9849,1065.19087431
28,2020-11-10,1.9901,2.0119,1.9613,2.0088,1544.53807394
