,date,open,high,low,close,volume
0,2021-08-11,774.01,893.0,600.0,761.0,2474.758800000002
1,2021-08-12,760.0,847.11,570.0,708.0,17568.965700000073
2,2021-08-13,705.7,1080.0,635.0,810.0,27194.66499999993
3,2021-08-14,807.0,848.0,744.28,766.46,10463.629100000078
4,2021-08-15,773.13,794.99,704.28,717.54,6650.057600000068
5,2021-08-16,717.54,755.0,670.0,673.45,6635.200900000077
6,2021-08-17,681.84,706.98,625.39,632.98,3959.3574000000413
7,2021-08-18,632.98,660.34,603.92,612.25,3913.59390000003
8,2021-08-19,613.0,685.89,587.04,663.45,4535.931100000054
9,2021-08-20,660.01,770.0,660.01,748.42,9893.577700000067
10,2021-08-21,748.22,765.08,681.02,685.69,5763.73590000007
11,2021-08-22,685.7,717.47,683.57,714.99,2457.9818999999875
12,2021-08-23,714.99,740.0,690.66,696.04,4184.18050000004
13,2021-08-24,694.99,705.22,625.0,638.16,3353.0910000000094
14,2021-08-25,635.76,684.14,618.77,650.93,2340.111800000005
15,2021-08-26,650.93,657.61,585.51,605.53,3445.7039000000377
16,2021-08-27,605.0,650.0,592.65,619.0,2379.025599999989
17,2021-08-28,618.01,647.0,613.41,621.58,1818.7372000000132
18,2021-08-29,623.19,641.77,600.31,610.01,1696.163599999989
19,2021-08-30,610.0,636.8,574.88,589.96,3571.6810000000232
20,2021-08-31,582.41,600.1,567.01,569.25,1965.1734999999856
21,2021-09-01,569.18,613.46,567.01,599.79,1851.8440999999937
22,2021-09-02,600.14,606.98,571.99,582.28,2276.4465999999934
23,2021-09-03,582.25,587.0,567.01,570.96,1488.632
24,2021-09-04,570.97,617.27,570.96,612.24,2342.449500000018
25,2021-09-05,616.81,640.61,586.89,600.07,3236.321699999996
26,2021-09-06,600.48,609.84,583.18,599.38,1200.2434999999894
27,2021-09-07,595.04,601.64,465.01,519.59,3178.2828000000336
28,2021-09-08,513.19,522.47,455.9,490.67,1136.1259999999954
29,2021-09-09,502.64,505.59,471.14,475.99,2400.9478999999997
30,2021-09-10,475.99,485.05,418.01,435.9,3195.3403000001395
31,2021-09-11,436.7,463.49,430.0,441.41,2159.5992999999758
32,2021-09-12,441.36,462.99,432.4,448.3,1840.4111999999163
33,2021-09-13,447.0,455.12,406.19,413.46,1982.0834999999015
34,2021-09-14,411.63,514.12,409.98,473.78,2432.232200000046
35,2021-09-15,473.0,580.0,451.0,510.25,6730.320700001109
36,2021-09-16,511.08,536.2,484.59,488.43,1704.5478999999318
37,2021-09-17,488.43,494.31,458.21,466.11,1393.1426999998873
38,2021-09-18,465.5,487.8,461.12,472.04,1098.323699999948
39,2021-09-19,471.94,486.18,450.02,450.29,878.4071999999676
