,date,open,high,low,close,volume
0,2021-08-03,3.12,3.7,2.99,3.06,1020451.6799999996
1,2021-08-04,3.06,3.07,2.96,3.01,826082.0400000003
2,2021-08-05,3.01,3.03,2.97,2.97,221446.0000000001
3,2021-08-06,2.97,3.02,2.97,3.01,200848.61999999997
4,2021-08-07,2.99,3.03,2.98,3.0,98845.90000000023
5,2021-08-08,3.01,3.04,2.98,2.99,132921.85999999996
6,2021-08-09,3.02,3.03,2.99,3.02,53177.06000000004
7,2021-08-10,3.02,3.04,2.99,3.0199,53490.88000000001
8,2021-08-11,3.0198,3.08,2.9912,3.0017,136292.2000000001
9,2021-08-12,3.0196,3.059,2.98,3.0198,110277.83000000005
10,2021-08-13,3.02,3.0299,2.99,3.0278,71587.8699999999
11,2021-08-14,3.0103,3.0278,2.9923,3.0169,21268.029999999988
12,2021-08-15,3.017,3.017,2.99,3.0145,32543.43000000003
13,2021-08-16,3.0139,3.0289,2.9905,3.0071,45473.69999999998
14,2021-08-17,3.0187,3.0289,2.9987,3.0022,29674.089999999993
15,2021-08-18,3.0022,3.0199,2.9905,3.0114,18997.849999999995
16,2021-08-19,3.0161,3.0161,2.9905,2.9984,19993.90999999998
17,2021-08-20,2.9984,3.0159,2.9905,3.0151,65202.06
18,2021-08-21,3.0151,3.0197,3.0078,3.019,17595.06
19,2021-08-22,3.0185,3.0203,3.0171,3.0195,38527.47000000001
20,2021-08-23,3.0202,3.0203,3.0179,3.0203,13329.30000000001
21,2021-08-24,3.0203,3.024,3.0179,3.0201,31969.469999999994
22,2021-08-25,3.021,3.0293,3.0166,3.0196,90200.3700000001
23,2021-08-26,3.0197,3.0213,3.0184,3.0184,14306.650000000001
24,2021-08-27,3.0184,3.0215,3.0182,3.0195,18832.350000000024
25,2021-08-28,3.0195,3.0221,3.0179,3.0202,27287.36
26,2021-08-29,3.0203,3.0221,3.0176,3.0194,10482.230000000001
27,2021-08-30,3.0207,3.0217,3.0175,3.0194,14194.130000000012
28,2021-08-31,3.0194,3.0222,3.0176,3.0199,16684.87
29,2021-09-01,3.0222,3.0223,3.0185,3.0202,7700.979999999998
30,2021-09-02,3.0188,3.0208,3.0176,3.0207,7179.969999999995
31,2021-09-03,3.0192,3.0222,3.0174,3.0192,20082.21999999998
32,2021-09-04,3.0209,3.0223,3.0185,3.0217,13016.579999999993
33,2021-09-05,3.0193,3.0226,3.0185,3.0223,20152.290000000008
34,2021-09-06,3.0198,3.0228,3.0181,3.0212,23495.470000000045
35,2021-09-07,3.021,3.0231,3.0172,3.0229,62055.120000000104
36,2021-09-08,3.0231,3.0231,3.0169,3.0169,35920.61000000004
37,2021-09-09,3.0207,3.0217,3.0167,3.019,20760.470000000023
38,2021-09-10,3.019,3.0223,3.0188,3.0222,15408.899999999996
39,2021-09-11,3.0222,3.024,3.0187,3.0212,27085.52
40,2021-09-12,3.0212,3.0214,3.0178,3.0211,14049.119999999997
41,2021-09-13,3.0179,3.0214,3.0176,3.0198,7078.5400000000045
42,2021-09-14,3.0202,3.0215,3.017,3.0198,20111.70999999999
43,2021-09-15,3.0208,3.0219,3.0194,3.0216,13985.530000000006
44,2021-09-16,3.0216,3.022,3.0185,3.0185,14098.669999999996
45,2021-09-17,3.02,3.025,3.0128,3.0198,114883.75000000013
46,2021-09-18,3.0198,3.0214,3.0181,3.0214,12454.979999999978
47,2021-09-19,3.0194,3.022,3.0188,3.0188,10545.159999999996
48,2021-09-20,3.0188,3.0224,3.0179,3.0224,27467.47000000001
49,2021-09-21,3.0224,3.0224,3.0187,3.0193,13000.179999999986
50,2021-09-22,3.0215,3.0224,3.0178,3.0224,19211.99
51,2021-09-23,3.0223,3.0224,3.0192,3.0213,10849.149999999998
52,2021-09-24,3.0222,3.0224,3.0198,3.0224,23087.660000000003
53,2021-09-25,3.0199,3.0224,3.0195,3.0196,4991.16
54,2021-09-26,3.0211,3.0226,3.0174,3.0175,32237.16
55,2021-09-27,3.0175,3.0226,3.0173,3.018,4000.470000000001
56,2021-09-28,3.018,3.0238,3.0174,3.0238,19430.09999999996
57,2021-09-29,3.0226,3.0249,3.0225,3.0249,9374.599999999977
58,2021-09-30,3.0249,3.025,3.0224,3.0247,18982.92
59,2021-10-01,3.025,3.0374,3.0231,3.0302,123858.35000000011
60,2021-10-02,3.0301,3.0319,3.0286,3.0286,15965.34
61,2021-10-03,3.0304,3.0311,3.0283,3.0308,5281.380000000001
62,2021-10-04,3.0308,3.0313,3.0282,3.0282,11362.84
63,2021-10-05,3.0282,3.0319,3.0279,3.0279,16945.06999999999
64,2021-10-06,3.0301,3.032,3.0278,3.0292,17284.679999999975
65,2021-10-07,3.0292,3.0322,3.0276,3.0279,21356.969999999994
66,2021-10-08,3.0279,3.0324,3.0276,3.0277,19854.079999999998
67,2021-10-09,3.0277,3.0322,3.0275,3.0321,13551.249999999989
68,2021-10-10,3.0293,3.0321,3.0275,3.0296,6003.37
69,2021-10-11,3.0296,3.0321,3.0274,3.0297,9478.699999999986
70,2021-10-12,3.0297,3.0308,3.0274,3.0299,7820.439999999997
71,2021-10-13,3.0305,3.0316,3.0289,3.031,12453.929999999991
72,2021-10-14,3.0291,3.0337,3.0291,3.0322,13869.799999999988
73,2021-10-15,3.0322,3.0322,3.0289,3.0289,13167.929999999995
74,2021-10-16,3.0308,3.0316,3.0285,3.0294,21560.580000000013
75,2021-10-17,3.0294,3.0316,3.0283,3.0289,13833.989999999993
76,2021-10-18,3.0287,3.0304,3.0283,3.0298,6366.359999999998
77,2021-10-19,3.0298,3.031,3.0291,3.0293,3346.85
78,2021-10-20,3.0293,3.0315,3.0288,3.0311,10961.999999999995
79,2021-10-21,3.0288,3.0315,3.0283,3.0283,20261.739999999983
80,2021-10-22,3.0283,3.0316,3.0282,3.0304,9613.210000000001
81,2021-10-23,3.0282,3.0317,3.0282,3.0291,4844.019999999999
82,2021-10-24,3.0307,3.04,3.0209,3.0305,52861.11000000003
83,2021-10-25,3.0307,3.0316,3.0278,3.0316,9109.929999999993
84,2021-10-26,3.0316,3.0326,3.028,3.0288,15575.45999999999
85,2021-10-27,3.028,3.0339,3.0252,3.0315,33976.32999999999
86,2021-10-28,3.0315,3.0319,3.0253,3.0303,24102.309999999994
87,2021-10-29,3.0269,3.0331,3.0261,3.0287,16177.110000000008
88,2021-10-30,3.0311,3.0341,3.0283,3.0313,23331.020000000015
89,2021-10-31,3.0313,3.0349,3.0284,3.0348,18391.599999999984
90,2021-11-01,3.0348,3.0348,3.0255,3.03,22368.04
91,2021-11-02,3.03,3.0329,3.028,3.0327,12162.669999999998
92,2021-11-03,3.0329,3.0385,3.0239,3.03,49971.54000000011
93,2021-11-04,3.0325,3.0348,3.0284,3.029,21504.449999999968
94,2021-11-05,3.0314,3.0314,3.028,3.0286,9760.109999999982
95,2021-11-06,3.0299,3.0318,3.027,3.0313,10063.509999999991
96,2021-11-07,3.0282,3.0318,3.0268,3.0295,11323.650000000009
97,2021-11-08,3.03,3.0355,3.0275,3.0294,20636.160000000018
98,2021-11-09,3.0324,3.0328,3.0291,3.0296,9023.980000000005
99,2021-11-10,3.0324,3.0336,3.0283,3.0335,15587.359999999979
100,2021-11-11,3.0336,3.0358,3.0274,3.0277,21628.02999999999
101,2021-11-12,3.0315,3.0326,3.027,3.0301,12044.890000000003
