,date,open,high,low,close,volume
0,2021-11-23,18.03,19.84,17.85,19.57,38925.434999999554
1,2021-12-14,13.41,14.76,12.82,14.04,47520.815000000504
2,2021-12-15,14.05,14.81,13.15,13.89,63716.59900000062
3,2021-12-16,13.83,15.0,13.67,13.95,37396.94799999981
4,2021-12-17,13.92,14.4,13.06,13.63,41126.21900000013
5,2021-12-18,13.63,14.02,13.27,13.57,32127.459000000315
6,2021-12-19,13.53,14.14,13.5,13.64,40360.949999999786
7,2021-12-20,13.65,13.67,12.29,12.63,39241.786000000015
8,2021-12-21,12.62,14.04,12.62,12.95,50983.0690000009
9,2021-12-22,12.95,14.0,12.8,13.7,53079.08000000012
10,2021-12-23,13.7,14.34,13.28,14.18,40428.77099999983
11,2021-12-24,14.16,16.56,13.68,13.92,113098.79500000048
12,2021-12-25,14.01,14.9,13.81,14.32,27633.91299999966
13,2021-12-26,14.28,14.94,13.86,14.65,22869.40100000005
14,2021-12-27,14.61,15.24,14.11,14.95,32770.87299999968
15,2021-12-28,14.94,14.96,13.28,13.49,45805.809000000176
16,2021-12-29,13.49,13.74,12.86,12.99,42091.329000000034
17,2021-12-30,12.96,13.34,12.75,12.94,38351.521
18,2021-12-31,12.96,13.37,12.13,12.44,54211.96599999993
19,2022-01-01,12.45,23.56,12.4,18.86,516414.7129999699
20,2022-01-02,18.85,20.24,15.25,16.8,763806.7700000067
21,2022-01-03,16.79,16.9,15.15,15.21,144181.292000004
22,2022-01-04,15.18,16.3,14.86,15.54,102232.94100000264
23,2022-01-05,15.55,15.72,13.6,14.21,95617.65100000009
24,2022-01-06,14.24,14.39,13.18,14.17,91043.97999999937
25,2022-01-07,14.17,15.33,12.33,12.76,154552.5400000014
26,2022-01-08,12.74,16.42,12.59,13.61,377080.347000011
27,2022-01-09,13.61,15.25,13.32,13.6,163031.25800000064
28,2022-01-10,13.6,14.25,12.68,13.09,83032.1080000008
29,2022-01-11,13.09,13.67,12.82,13.26,59161.33999999979
30,2022-01-12,13.26,13.86,13.0,13.42,80216.02700000066
31,2022-01-13,13.42,13.63,12.68,12.77,58533.06999999991
32,2022-01-14,12.77,13.0,12.68,12.98,36970.19600000006
33,2022-01-15,13.0,14.48,12.87,13.61,112230.49500000053
34,2022-01-16,13.62,13.69,12.8,13.08,53480.11200000013
35,2022-01-17,13.08,13.19,12.28,12.41,57340.11100000008
36,2022-01-18,12.41,12.93,12.03,12.8,45930.62900000022
37,2022-01-19,12.87,15.47,12.56,12.9,346967.3900000002
38,2022-01-20,12.93,13.25,12.14,12.15,65679.9380000002
39,2022-01-21,12.18,12.34,10.0,10.04,87471.38200000017
40,2022-01-22,10.01,10.13,8.7,9.02,106230.35000000015
41,2022-01-23,8.99,11.22,8.98,10.03,182238.98000000187
42,2022-01-24,10.06,10.97,7.54,8.4,214607.0240000002
43,2022-01-25,8.43,9.13,8.34,8.85,56947.60099999988
44,2022-01-26,8.82,9.43,8.56,8.64,55985.34199999994
45,2022-01-27,8.64,8.71,7.69,8.12,44323.37299999989
46,2022-01-28,8.12,8.62,7.68,8.39,59373.70999999975
47,2022-01-29,8.39,8.98,8.25,8.63,38363.059000000176
48,2022-01-30,8.63,9.08,8.0,8.3,47360.85400000008
49,2022-01-31,8.29,9.4,7.94,9.32,50995.29100000008
50,2022-02-01,9.3,12.56,8.25,9.02,505585.28400000086
51,2022-02-02,9.02,9.98,8.87,8.93,110532.94100000057
52,2022-02-03,8.93,9.2,8.4,8.59,51581.08500000016
53,2022-02-04,8.64,9.79,8.57,9.69,67515.75100000021
54,2022-02-05,9.66,9.93,9.38,9.71,48445.55099999979
55,2022-02-06,9.71,9.87,9.41,9.62,28914.468999999972
56,2022-02-07,9.63,11.45,9.49,10.49,83945.59599999944
57,2022-02-08,10.49,11.25,9.36,10.04,77717.23699999985
58,2022-02-09,10.04,11.32,9.65,10.45,51610.2739999997
59,2022-02-10,10.47,10.57,9.3,9.47,62442.35200000008
60,2022-02-11,9.46,9.82,8.79,8.91,60462.022000000274
61,2022-02-12,8.93,9.33,8.66,8.74,29286.775000000078
62,2022-02-13,8.76,9.12,8.65,8.82,17112.76400000002
63,2022-02-14,8.86,8.9,8.3,8.61,24563.16
64,2022-02-15,8.61,9.52,8.6,9.3,32925.588999999956
65,2022-02-16,9.3,9.36,8.95,9.2,23267.343000000063
66,2022-02-17,9.18,9.36,8.32,8.41,31719.92600000004
67,2022-02-18,8.41,8.45,7.91,7.99,33048.98299999998
68,2022-02-19,7.99,8.57,7.6,7.96,32137.31600000002
69,2022-02-20,7.96,8.06,7.27,7.45,24874.660000000044
70,2022-02-21,7.47,7.95,6.9,7.04,38671.787000000055
71,2022-02-22,7.04,7.15,6.39,6.9,33579.87900000031
72,2022-02-23,6.9,7.39,6.58,6.64,51572.14299999977
73,2022-02-24,6.64,6.68,5.54,6.11,89667.97300000071
74,2022-02-25,6.11,6.94,6.1,6.8,34635.756000000176
75,2022-02-26,6.84,7.47,6.62,6.9,46150.31799999998
76,2022-02-27,6.88,6.95,6.5,6.53,17690.352000000014
77,2022-02-28,6.5,7.44,6.31,7.14,42529.79200000014
78,2022-03-01,7.13,7.71,6.57,6.88,46793.55099999973
79,2022-03-02,6.88,7.71,5.87,7.34,130297.11899999973
80,2022-03-03,7.36,9.5,6.65,7.01,283147.37999999995
81,2022-03-04,7.03,7.8,6.53,6.67,77802.67400000074
82,2022-03-05,6.66,7.05,6.3,6.75,36070.21200000006
83,2022-03-06,6.76,9.34,6.5,7.62,280410.83899998904
84,2022-03-07,7.64,8.95,6.75,7.31,497902.47500001296
85,2022-03-08,7.32,7.86,6.89,7.01,84235.50900000031
86,2022-03-09,6.98,7.91,6.9,7.29,100607.68699999964
87,2022-03-10,7.32,7.48,6.91,6.92,54394.116000000045
88,2022-03-11,6.93,7.13,6.64,6.82,42549.723
89,2022-03-12,6.82,7.03,6.59,6.77,30438.264999999952
90,2022-03-13,6.74,6.94,6.43,6.6,29404.90999999995
91,2022-03-14,6.57,6.76,6.4,6.69,25006.25300000003
92,2022-03-15,6.69,6.69,6.22,6.41,25547.282999999996
93,2022-03-16,6.39,6.66,6.26,6.56,17477.836000000018
94,2022-03-17,6.58,6.89,6.53,6.84,21859.793999999965
95,2022-03-18,6.84,6.89,6.46,6.77,55220.820000000145
96,2022-03-19,6.74,7.04,6.35,6.68,112952.08200000042
97,2022-03-20,6.68,7.41,6.54,7.02,110300.88800000068
98,2022-03-21,7.03,7.23,6.8,6.82,39426.38900000002
99,2022-03-22,6.84,7.03,6.8,6.97,34423.10899999998
100,2022-03-23,7.0,7.07,6.75,6.91,61599.15399999997
101,2022-03-24,6.89,9.0,6.83,7.04,188139.4500000005
102,2022-03-25,7.06,7.43,6.62,6.98,91289.35300000032
103,2022-03-26,6.99,7.28,6.9,7.19,33595.90799999994
104,2022-03-27,7.15,8.29,7.06,8.11,90423.50899999941
105,2022-03-28,8.15,14.11,7.44,9.74,588873.7890000248
106,2022-03-29,9.72,12.9,8.45,10.3,1626864.0120000031
107,2022-03-30,10.3,11.11,9.02,9.91,447942.94999999274
