,date,open,high,low,close,volume
0,2020-10-13,0.3605,0.3758,0.3301,0.3403,15740569.860495001
1,2020-10-14,0.3408,0.4246,0.3382,0.4081,24280047.98980969
2,2020-10-15,0.4081,0.4135,0.3544,0.3607,15110085.707997983
3,2020-10-16,0.3617,0.3659,0.32,0.3243,10688617.468029052
4,2020-10-17,0.3241,0.3575,0.3109,0.3485,10744017.03075805
5,2020-10-18,0.3485,0.3537,0.3356,0.3457,8306283.014635054
6,2020-10-19,0.3452,0.3456,0.3201,0.3245,8432770.954944002
7,2020-10-20,0.3242,0.3362,0.27,0.2844,15735914.12477412
8,2020-10-21,0.284,0.3525,0.2828,0.3275,18491623.840477027
9,2020-10-22,0.3268,0.36,0.3238,0.3387,12882999.680083055
10,2020-10-23,0.3374,0.3486,0.3171,0.3392,7639920.6637130305
11,2020-10-24,0.3399,0.3413,0.3255,0.3278,3844243.3713609893
12,2020-10-25,0.3278,0.3299,0.305,0.3135,6402400.683728009
13,2020-10-26,0.3138,0.32,0.2855,0.2961,7675192.851344982
14,2020-10-27,0.296,0.32,0.2869,0.2957,7211993.316601006
15,2020-10-28,0.2962,0.3084,0.2705,0.28,6204143.7504070075
16,2020-10-29,0.28,0.2847,0.2517,0.2566,6635975.938091013
17,2020-10-30,0.2565,0.2703,0.2306,0.2674,12001095.161110044
18,2020-10-31,0.2671,0.2907,0.2613,0.2871,11151845.704215994
19,2020-11-01,0.2871,0.2924,0.2624,0.2672,7683136.953083012
20,2020-11-02,0.2669,0.2772,0.2472,0.2529,5561305.531446999
21,2020-11-03,0.2528,0.265,0.2357,0.2562,7215919.382877999
22,2020-11-04,0.2567,0.2667,0.2382,0.2493,6048870.963466991
23,2020-11-05,0.2491,0.2738,0.2381,0.2632,8814979.346892033
24,2020-11-06,0.2638,0.3185,0.2584,0.3141,11995243.15457102
25,2020-11-07,0.3145,0.35,0.2691,0.2836,17511046.524643928
26,2020-11-08,0.2835,0.325,0.2778,0.306,10069334.317403061
27,2020-11-09,0.3066,0.3352,0.2938,0.3273,9734876.135354009
28,2020-11-10,0.3272,0.3479,0.3156,0.342,15904094.150176032
29,2020-11-11,0.3412,0.3563,0.3106,0.3153,10495364.741242016
30,2020-11-12,0.315,0.3245,0.2912,0.2981,6900927.227625986
31,2020-11-13,0.2985,0.3268,0.294,0.319,6743309.881880993
32,2020-11-14,0.3186,0.32,0.294,0.3066,4164288.262385011
33,2020-11-15,0.3069,0.321,0.296,0.3055,5523375.117370003
34,2020-11-16,0.3051,0.3388,0.2969,0.322,5909261.433210006
35,2020-11-17,0.3219,0.3479,0.3143,0.3452,9524989.74775898
36,2020-11-18,0.3452,0.3521,0.3085,0.3239,7167495.466612009
37,2020-11-19,0.324,0.33,0.3083,0.3145,4124294.1707749977
38,2020-11-20,0.3147,0.3358,0.3124,0.3219,5412332.106193996
39,2020-11-21,0.3217,0.3595,0.3142,0.358,10588267.41702198
40,2020-11-22,0.3581,0.375,0.3215,0.359,10105895.899830952
41,2020-11-23,0.3593,0.388,0.3426,0.366,14371915.539735924
42,2020-11-24,0.3661,0.404,0.3535,0.3743,12826604.041900989
43,2020-11-25,0.3743,0.4097,0.353,0.3676,10479627.27670701
44,2020-11-26,0.3675,0.3981,0.29,0.3194,13038803.427133026
45,2020-11-27,0.3195,0.3327,0.2932,0.3115,4868715.564900989
46,2020-11-28,0.3115,0.3277,0.3014,0.318,5041765.037555005
47,2020-11-29,0.318,0.3244,0.3085,0.3226,3186618.872467999
48,2020-11-30,0.3231,0.3421,0.3145,0.3366,5267465.875111986
49,2020-12-01,0.3371,0.3456,0.308,0.3116,5375528.598584006
50,2020-12-02,0.3113,0.3455,0.3066,0.3396,6031877.156585989
51,2020-12-03,0.3395,0.358,0.334,0.3576,4213372.085375003
52,2020-12-04,0.3578,0.3739,0.3144,0.3182,9708609.569147987
53,2020-12-05,0.3182,0.3419,0.3135,0.3334,5657475.363517018
54,2020-12-06,0.3332,0.3445,0.321,0.3413,4243905.719311001
55,2020-12-07,0.3413,0.3501,0.33,0.3347,4857170.101750009
56,2020-12-08,0.3341,0.3354,0.2903,0.2979,5586329.002950997
57,2020-12-09,0.2977,0.2998,0.2725,0.2929,7029696.436885005
58,2020-12-10,0.2933,0.295,0.2716,0.2777,4716323.097860996
59,2020-12-11,0.2781,0.2786,0.2502,0.2675,7751777.247968004
60,2020-12-12,0.2675,0.2912,0.2657,0.2825,6300380.183209009
61,2020-12-13,0.2826,0.2999,0.2823,0.2909,4419811.891795001
62,2020-12-14,0.2909,0.2999,0.2798,0.2874,3527462.7508940026
63,2020-12-15,0.2875,0.3002,0.2784,0.292,4629927.01755199
64,2020-12-16,0.2919,0.31,0.2828,0.3047,6422728.985455991
65,2020-12-17,0.3047,0.3117,0.2826,0.2902,7200521.23052799
66,2020-12-18,0.2907,0.2996,0.2833,0.2969,3577399.582146004
