,date,open,high,low,close,volume
0,2020-10-13,14.3434,14.4,13.5364,13.9782,15028.407927270076
1,2020-10-14,13.9021,14.39,13.62,13.8575,33023.12007355011
2,2020-10-15,13.98,14.04,13.5365,13.661,23478.04845858012
3,2020-10-16,13.6223,13.8305,13.234,13.5568,24922.843310660093
4,2020-10-17,13.575,13.7109,13.4103,13.5533,13952.54008546003
5,2020-10-18,13.5018,13.8311,13.2141,13.5705,27584.453276620137
6,2020-10-19,13.5649,13.89,13.0797,13.5905,34987.05787651001
7,2020-10-20,13.5891,13.89,12.8075,12.9438,27299.81583281
8,2020-10-21,12.9454,13.85,12.9217,13.487,36139.61650001009
9,2020-10-22,13.4834,13.9116,13.4274,13.5915,25283.108587190112
10,2020-10-23,13.5902,13.9912,13.1109,13.6106,22738.05089790002
11,2020-10-24,13.5996,13.98,13.0897,13.4928,17672.24336477998
12,2020-10-25,13.529,13.668,13.032,13.3042,16313.679875550048
13,2020-10-26,13.2984,13.446,12.722,12.99,23931.06559593007
14,2020-10-27,13.0295,13.37,12.491,13.0675,23484.684093550066
15,2020-10-28,13.066,13.2349,12.02,12.3129,36347.89790296993
16,2020-10-29,12.255,17.0,12.239,12.4317,82727.25924324959
17,2020-10-30,12.4036,14.697,11.7547,13.393,57458.20276286996
18,2020-10-31,12.0975,14.2,11.555,12.2926,26423.081142560368
19,2020-11-01,13.744,14.868,11.601,12.5844,42451.60255548013
20,2020-11-02,12.588,15.398,11.754,12.3343,45760.49795943984
21,2020-11-03,12.3376,17.05,12.193,13.1856,110790.54570052994
22,2020-11-04,14.38,15.68,12.2699,14.52,56964.878030230466
23,2020-11-05,14.635,16.0,12.4394,13.2315,52398.79922368014
24,2020-11-06,14.19,14.88,12.558,13.6699,48026.29539643025
25,2020-11-07,13.6685,15.8,12.754,13.1759,50821.299279230756
26,2020-11-08,13.0231,15.058,12.6176,13.4811,58792.93494981035
27,2020-11-09,13.87,16.77,12.8765,13.4246,104943.18901608189
28,2020-11-10,15.63,16.99,13.4223,15.65,78720.05471524129
