,date,open,high,low,close,volume
0,2022-02-14,2.56,2.9,2.52,2.84,417631.56999997824
1,2022-02-15,2.83,3.28,2.83,3.25,631658.9199998855
2,2022-02-16,3.25,3.74,2.99,3.2,802247.7999999708
3,2022-02-17,3.19,3.35,2.73,2.79,561922.0900000252
4,2022-02-18,2.79,3.01,2.67,2.69,459373.1799999923
5,2022-02-19,2.69,2.79,2.53,2.61,284801.1099999999
6,2022-02-20,2.61,2.62,2.34,2.46,394796.0499999953
7,2022-02-21,2.46,2.88,2.32,2.35,828422.3999999951
8,2022-02-22,2.35,2.5,2.22,2.45,504063.54999999376
9,2022-02-23,2.45,2.64,2.34,2.35,398131.6199999943
10,2022-02-24,2.34,2.4,1.99,2.33,1068371.390000004
11,2022-02-25,2.34,2.6,2.32,2.58,489120.70999999077
12,2022-02-26,2.58,2.73,2.45,2.46,293290.28999999823
13,2022-02-27,2.46,2.54,2.33,2.39,270522.2999999997
14,2022-02-28,2.37,2.69,2.36,2.67,343782.9199999971
15,2022-03-01,2.67,3.01,2.53,2.97,742533.550000003
16,2022-03-02,2.99,3.33,2.84,2.89,1085858.9999999937
17,2022-03-03,2.89,2.94,2.69,2.75,387907.96999999945
18,2022-03-04,2.76,2.76,2.48,2.5,440568.2699999984
19,2022-03-05,2.51,2.69,2.47,2.63,246063.97000000026
20,2022-03-06,2.62,2.65,2.48,2.53,261012.11000000156
21,2022-03-07,2.53,2.6,2.41,2.48,380265.6799999982
22,2022-03-08,2.48,2.56,2.43,2.5,240839.66000000035
23,2022-03-09,2.5,2.76,2.5,2.65,285770.5000000007
24,2022-03-10,2.65,2.66,2.48,2.52,316481.29999999754
25,2022-03-11,2.51,2.56,2.35,2.38,302582.5699999998
26,2022-03-12,2.38,2.42,2.35,2.35,145772.10999999996
27,2022-03-13,2.35,2.41,2.25,2.27,179154.83
28,2022-03-14,2.26,2.33,2.25,2.31,99528.76000000024
29,2022-03-15,2.32,2.36,2.25,2.33,293350.18000000017
30,2022-03-16,2.33,2.53,2.27,2.49,417979.1699999998
31,2022-03-17,2.49,2.58,2.41,2.42,182323.68999999954
32,2022-03-18,2.42,2.58,2.34,2.55,358314.9399999995
33,2022-03-19,2.55,3.11,2.53,2.71,620252.8200000012
34,2022-03-20,2.7,2.78,2.51,2.6,152351.38999999978
35,2022-03-21,2.6,2.77,2.54,2.66,202599.79999999996
36,2022-03-22,2.66,2.91,2.62,2.82,337394.5499999967
37,2022-03-23,2.81,2.88,2.72,2.82,251515.68000000055
38,2022-03-24,2.81,2.96,2.79,2.85,296930.67000000086
39,2022-03-25,2.84,2.94,2.74,2.74,506224.8599999976
40,2022-03-26,2.75,2.75,2.64,2.7,214317.7499999997
41,2022-03-27,2.7,2.82,2.6,2.79,325117.07999999885
42,2022-03-28,2.79,3.12,2.77,2.94,746539.540000006
43,2022-03-29,2.94,3.14,2.86,2.94,333557.71999999887
44,2022-03-30,2.95,3.05,2.84,3.0,278029.469999999
45,2022-03-31,3.01,3.26,2.9,2.93,557927.5000000005
46,2022-04-01,2.93,3.11,2.81,2.96,249864.8499999997
47,2022-04-02,2.96,3.24,2.93,3.04,301526.7099999994
48,2022-04-03,3.04,3.17,3.0,3.05,268855.2300000002
49,2022-04-04,3.06,3.06,2.73,2.9,398977.6599999963
50,2022-04-05,2.91,2.98,2.78,2.8,310874.4799999984
51,2022-04-06,2.8,2.81,2.49,2.49,410957.81999999855
52,2022-04-07,2.5,2.65,2.47,2.58,284440.02999999933
53,2022-04-08,2.59,2.61,2.42,2.44,339407.04999999993
54,2022-04-09,2.44,2.52,2.4,2.5,101045.81999999999
55,2022-04-10,2.51,2.58,2.45,2.46,127408.29000000026
56,2022-04-11,2.47,2.47,2.0,2.07,596064.4499999986
57,2022-04-12,2.07,2.17,1.99,2.05,567992.8800000001
58,2022-04-13,2.05,2.13,2.0,2.1,435508.18999999686
59,2022-04-14,2.1,2.13,1.97,2.01,273046.75000000064
60,2022-04-15,2.02,2.07,2.0,2.04,168427.14000000042
61,2022-04-16,2.04,2.05,2.0,2.01,131140.01000000013
