,date,open,high,low,close,volume
0,2022-03-01,3.219,3.3868,3.1677,3.3577,190905.03427706
1,2022-03-02,3.3672,3.4319,3.2268,3.2698,522145.596752717
2,2022-03-03,3.2748,3.2936,3.0449,3.1479,367965.6294843465
3,2022-03-04,3.1427,3.1427,2.8669,2.9195,319011.5544453532
4,2022-03-05,2.9064,3.0414,2.8579,3.0067,146455.90544274
5,2022-03-06,3.0003,3.0579,2.8366,2.8426,170187.07531758
6,2022-03-07,2.8467,2.9388,2.7095,2.783,336013.0068885974
7,2022-03-08,2.7703,2.8941,2.7584,2.8186,113761.1219525
8,2022-03-09,2.8317,3.0109,2.8257,2.9635,294303.864425362
9,2022-03-10,2.9655,4.2402,2.7673,2.8279,738207.8096464416
10,2022-03-11,2.8258,4.1361,2.74055,2.7748,772569.7208074268
11,2022-03-12,2.7783,2.8255,2.7741,2.7811,166430.22954069
12,2022-03-13,2.7776,2.9377,2.6905,2.7171,283923.1958000406
13,2022-03-14,2.71,2.77744,2.6685,2.7502,208487.29639416
14,2022-03-15,2.7498,2.7687,2.6726,2.734,420187.3578859351
15,2022-03-16,2.7336,3.2594,2.6961,3.2594,1105420.0415088895
16,2022-03-17,3.2595,3.3644,3.1421,3.2108,787554.231124576
17,2022-03-18,3.2116,3.2416,3.0245,3.2127,665020.0177417492
18,2022-03-19,3.21,3.2966,3.1289,3.2345,220980.88447648
19,2022-03-20,3.2324,3.2408,3.05,3.0896,232883.9667922
20,2022-03-21,3.085,3.13399,2.98655,3.0809,258273.64031438
21,2022-03-22,3.0674,3.2017,3.055,3.1135,430902.749423614
22,2022-03-23,3.1162,3.34327,3.07,3.311,485797.9181458364
23,2022-03-24,3.3242,3.5299,3.2818,3.4516,568126.285171911
24,2022-03-25,3.4778,3.61769,3.31453,3.3698,1503438.8932895595
25,2022-03-26,3.3844,3.4038,3.3752,3.39986,9212.96506443
26,2022-03-27,3.401,3.5868,3.319,3.575,397325.9319060349
27,2022-03-28,3.5759,3.7,3.4344,3.4678,747896.6525449022
28,2022-03-29,3.4594,3.64721,3.4233,3.5105,390730.2622333972
29,2022-03-30,3.4929,3.60881,3.36549,3.5187,286197.3239335818
30,2022-03-31,3.5168,3.8579,3.3241,3.382,812252.4176297234
31,2022-04-01,3.3896,3.55569,3.2398,3.5143,954697.8900986904
32,2022-04-02,3.5104,3.6794,3.42613,3.4381,496280.1988090404
33,2022-04-03,3.4565,3.59776,3.4565,3.5368,261181.5240594101
34,2022-04-04,3.5402,3.5614,3.3169,3.47229,388311.6968299474
35,2022-04-05,3.4662,3.49232,3.3226,3.33035,256231.2849272802
36,2022-04-06,3.3232,3.3232,2.9538,2.95898,585802.6095401268
37,2022-04-07,2.9583,3.10199,2.8928,3.08499,279292.3559835003
38,2022-04-08,3.0711,3.12087,2.87,2.9015,211062.71239589
39,2022-04-09,2.9055,3.0071,2.9015,3.00474,127973.63143794
40,2022-04-10,3.00368,3.03074,2.8739,2.8739,120578.81588718
41,2022-04-11,2.8892,2.9047,2.6462,2.6708,555968.6679920782
42,2022-04-12,2.6863,2.82962,2.6645,2.7866,344658.1481008173
43,2022-04-13,2.7767,2.8848,2.7468,2.8712,235284.8953901
44,2022-04-14,2.8653,2.9174,2.71,2.7822,396906.7329948765
45,2022-04-15,2.7888,2.8209,2.74692,2.8048,77655.26075124
46,2022-04-16,2.8068,2.91234,2.7705,2.8215,240231.43160156
47,2022-04-17,2.8158,2.8173,2.6594,2.6843,163934.57526702
48,2022-04-18,2.676,2.7725,2.55,2.7403,430102.2211392079
49,2022-04-19,2.7453,3.0274,2.7189,2.9266,569612.2992379308
50,2022-04-20,2.9189,3.095,2.81,2.8639,499640.3725390366
51,2022-04-21,2.864,2.9468,2.05,2.76,872970.1014237854
52,2022-04-22,2.7623,2.81517,2.7102,2.7509,267766.1339840206
53,2022-04-23,2.7429,2.7638,2.6729,2.6934,357009.0785894349
54,2022-04-24,2.6986,2.835,2.6592,2.7635,215198.22923014
55,2022-04-25,2.7612,2.7612,2.5685,2.7232,620137.1935341178
56,2022-04-26,2.7175,2.7468,2.436,2.4779,518087.1726288202
57,2022-04-27,2.4781,2.5739,2.4398,2.5323,252784.6034171903
58,2022-04-28,2.53389,2.5851,2.4637,2.5025,215036.05467338
