,date,open,high,low,close,volume
0,2020-10-13,0.1325,0.14229,0.1325,0.1333,441.914848
1,2020-10-14,0.13605,0.14,0.136,0.14,4335.78456498
2,2020-10-15,0.136,0.14111,0.136,0.14,9501.05269857
3,2020-10-16,0.14,0.14,0.1375,0.1375,2040.4736385400001
4,2020-10-17,0.14043,0.14043,0.1375,0.1375,1228.8283632400005
5,2020-10-18,0.1375,0.14039,0.13198,0.13302,2003.21
6,2020-10-19,0.13198,0.14033,0.12571,0.13882,16921.98483447
7,2020-10-20,0.132,0.1425,0.1282,0.1419,23266.112258349996
8,2020-10-21,0.142,0.143,0.1355,0.143,20543.960493040002
9,2020-10-22,0.13386,0.149,0.13386,0.1396,13555.514645509998
10,2020-10-23,0.13997,0.148,0.13575,0.138,12414.77162505
11,2020-10-24,0.13838,0.14238,0.13451,0.13527,5713.06111475
12,2020-10-25,0.13451,0.1445,0.13451,0.13502,4770.256222470002
13,2020-10-26,0.13505,0.144,0.13451,0.144,18791.02182789
14,2020-10-27,0.13451,0.144,0.13066,0.13068,55551.38231698998
15,2020-10-28,0.13321,0.13812,0.12925,0.132,10871.182882190005
16,2020-10-29,0.13134,0.13339,0.1298,0.13131,5016.2565073900005
17,2020-10-30,0.12907,0.132,0.12811,0.12811,9687.008708999998
18,2020-10-31,0.13072,0.13072,0.12812,0.12812,2052.09650495
19,2020-11-01,0.12811,0.12912,0.119,0.12513,8289.885618229999
20,2020-11-02,0.12431,0.12433,0.11507,0.1151,14935.618999999999
21,2020-11-03,0.12452,0.12452,0.1155,0.11551,4257.459023679999
22,2020-11-04,0.115,0.1243,0.115,0.117,9107.09870535
23,2020-11-05,0.12446,0.129,0.1175,0.12563,22503.371428989998
24,2020-11-06,0.129,0.13494,0.12262,0.12499,17919.08466433
25,2020-11-07,0.13157,0.13157,0.12336,0.12341,36715.08917248
26,2020-11-08,0.12936,0.12936,0.12333,0.12334,12868.440321909999
27,2020-11-09,0.12301,0.125,0.12031,0.12031,6089.234004
28,2020-11-10,0.125,0.125,0.11762,0.11773,32092.749314099994
29,2020-11-11,0.11857,0.13023,0.11857,0.12184,6072.265365550002
30,2020-11-12,0.12899,0.131,0.12145,0.12689,6138.59502322
31,2020-11-13,0.12391,0.12795,0.1228,0.12345,12460.19629209
32,2020-11-14,0.12351,0.1279,0.12262,0.1279,1801.13678367
33,2020-11-15,0.12284,0.12789,0.1226,0.1226,18471.520002690002
34,2020-11-16,0.12219,0.1226,0.12053,0.12056,13635.438749719997
35,2020-11-17,0.12056,0.13133,0.12001,0.12526,27879.85411015999
36,2020-11-18,0.12421,0.131,0.12394,0.12641,18714.33671785
37,2020-11-19,0.1276,0.131,0.12483,0.12637,11536.92547449
38,2020-11-20,0.12918,0.1297,0.12482,0.12969,11058.239099539998
39,2020-11-21,0.12968,0.14467,0.1215,0.13276,95776.49481084001
40,2020-11-22,0.14021,0.1412,0.13168,0.13713,11897.618493539996
41,2020-11-23,0.13658,0.14468,0.1327,0.1359,60908.42986532
42,2020-11-24,0.13298,0.1479,0.13298,0.14006,105903.9946534
43,2020-11-25,0.1467,0.172,0.13801,0.14999,191976.71223531014
44,2020-11-26,0.14999,0.1622,0.1145,0.1177,132146.72402645004
45,2020-11-27,0.12624,0.13031,0.11753,0.11753,21758.36907635
46,2020-11-28,0.12373,0.14489,0.119,0.14471,94921.65490535002
47,2020-11-29,0.13125,0.14135,0.1275,0.1275,19819.570716779996
48,2020-11-30,0.135,0.145,0.1275,0.13702,27425.052716509992
49,2020-12-01,0.14,0.16417,0.13408,0.13809,152856.83641331023
50,2020-12-02,0.142,0.142,0.13159,0.14007,41480.48394799998
51,2020-12-03,0.14007,0.142,0.13263,0.13541,76457.62590083001
52,2020-12-04,0.13531,0.142,0.13201,0.13202,30593.09709522
53,2020-12-05,0.13202,0.13816,0.13201,0.13234,26536.422170310005
54,2020-12-06,0.13218,0.13935,0.13169,0.13287,17035.298049799992
55,2020-12-07,0.13285,0.13859,0.132,0.13309,20008.21090252
56,2020-12-08,0.132,0.13935,0.12557,0.13058,85110.07312299
57,2020-12-09,0.12852,0.13058,0.1205,0.12117,101892.21006446001
58,2020-12-10,0.12118,0.131,0.12055,0.12057,60914.95458542002
59,2020-12-11,0.12055,0.12685,0.118,0.12106,38505.72230417
60,2020-12-12,0.12111,0.12384,0.118,0.11815,20792.86565066999
61,2020-12-13,0.12208,0.1251,0.11811,0.1185,40272.52366510998
62,2020-12-14,0.1185,0.12614,0.11812,0.12584,37751.02834317999
63,2020-12-15,0.12116,0.126,0.11349,0.11668,127043.13108392998
64,2020-12-16,0.12215,0.12215,0.11487,0.11503,174832.81158894012
65,2020-12-17,0.1175,0.12008,0.114,0.1144,89968.63106964005
66,2020-12-18,0.11402,0.1178,0.114,0.11406,34942.97201237
67,2020-12-19,0.119,0.11925,0.11402,0.11405,38166.56360344
68,2020-12-20,0.11758,0.1176,0.10015,0.10017,102387.81154521
69,2020-12-21,0.10118,0.1135,0.10118,0.10382,78129.57631065999
70,2020-12-22,0.10369,0.10369,0.096376,0.099918,73379.50093298
71,2020-12-23,0.096778,0.10052,0.08722,0.08732,100121.44102222989
72,2020-12-24,0.08741,0.09293,0.08741,0.088751,33351.559069380004
73,2020-12-25,0.089499,0.095671,0.085721,0.08784,142580.43275285998
74,2020-12-26,0.08723,0.10321,0.08721,0.089623,215268.86962983006
75,2020-12-27,0.089681,0.09962,0.088885,0.08942,184255.08440379004
76,2020-12-28,0.089423,0.0959,0.08942,0.089505,116170.57640299996
77,2020-12-29,0.089501,0.0924,0.0878,0.087804,51018.831773499995
78,2020-12-30,0.0878,0.091498,0.087772,0.087772,26557.204383700006
79,2020-12-31,0.087769,0.0914,0.08705,0.08705,21879.606419559997
80,2021-01-01,0.08705,0.091042,0.08705,0.08705,11265.215565909999
81,2021-01-02,0.0895,0.090874,0.085175,0.085175,189439.01935260007
82,2021-01-03,0.085175,0.0906,0.084805,0.089845,210398.3973589799
83,2021-01-04,0.08771,0.091684,0.081001,0.082055,377145.87749398005
84,2021-01-05,0.083116,0.0999,0.073982,0.08057,416037.0579679098
85,2021-01-06,0.08062,0.0895,0.080555,0.083324,318971.37873581
86,2021-01-07,0.083326,0.09179,0.083322,0.090551,329716.8123046102
87,2021-01-08,0.088006,0.092,0.085,0.0851,291770.15757231
88,2021-01-09,0.0851,0.0889,0.082601,0.08386,316055.7537008699
89,2021-01-10,0.0836,0.0876,0.080965,0.081693,346283.26045164996
90,2021-01-11,0.082,0.082,0.07,0.070014,291486.9050298499
91,2021-01-12,0.072198,0.078028,0.071,0.073008,160661.42340735003
92,2021-01-13,0.073008,0.077481,0.0715,0.072503,229508.25239075997
93,2021-01-14,0.072522,0.0779,0.072505,0.074322,290097.92630473006
94,2021-01-15,0.074326,0.077,0.0713,0.071503,145653.12000251003
95,2021-01-16,0.071501,0.0745,0.071501,0.073152,93391.78108009
96,2021-01-17,0.074299,0.0775,0.0725,0.073025,127031.2064567
97,2021-01-18,0.07703,0.07703,0.07305,0.073087,187885.07159276
98,2021-01-19,0.07309,0.0774,0.073085,0.073193,294727.9732234899
99,2021-01-20,0.0732,0.0765,0.07311,0.073122,115854.12773984001
100,2021-01-21,0.07312,0.0752,0.065897,0.069998,268022.08129959996
101,2021-01-22,0.065897,0.072506,0.065,0.0681,360552.28003707004
102,2021-01-23,0.071533,0.071533,0.067408,0.069596,76757.13439125998
103,2021-01-24,0.069578,0.074461,0.067421,0.069319,516849.7515228201
104,2021-01-25,0.069013,0.074,0.069009,0.069811,372090.00756630977
105,2021-01-26,0.069015,0.0728,0.069009,0.0715,39685.00444877001
106,2021-01-27,0.0715,0.071837,0.067409,0.067554,20737.427110949997
107,2021-01-28,0.067554,0.0705,0.06741,0.07,63271.77664353002
108,2021-01-29,0.07,0.07217,0.06745,0.07217,121416.62339213004
109,2021-01-30,0.07217,0.085,0.07151,0.07667,190315.7494811499
