,date,open,high,low,close,volume
0,2021-09-09,1e-05,9e-05,6e-06,5.67e-05,2011405038944.0
1,2021-09-10,5.67e-05,6e-05,6.76e-06,7.02e-06,3803666278890.0
2,2021-09-11,7.28e-06,7.35e-06,6.73e-06,6.77e-06,1663194647440.0
3,2021-09-12,6.78e-06,7.19e-06,6.64e-06,6.91e-06,859389740690.0
4,2021-09-13,6.91e-06,7.1e-06,6.17e-06,6.48e-06,851872051559.0
5,2021-09-14,6.48e-06,6.9e-06,6.44e-06,6.67e-06,799842914475.0
6,2021-09-15,6.67e-06,6.91e-06,6.6e-06,6.78e-06,1354279397992.0
7,2021-09-16,6.78e-06,1.34e-05,6.52e-06,8.81e-06,33971466502853.0
8,2021-09-17,8.81e-06,9.7e-06,8.1e-06,8.43e-06,25611870030486.0
9,2021-09-18,8.44e-06,8.62e-06,7.61e-06,7.86e-06,8832750100865.0
10,2021-09-19,7.86e-06,8.48e-06,7.36e-06,8.17e-06,8445364127353.0
11,2021-09-20,8.19e-06,8.24e-06,6.79e-06,7.02e-06,7359714007413.0
12,2021-09-21,7.02e-06,7.34e-06,6.59e-06,6.88e-06,5539387125062.0
13,2021-09-22,6.88e-06,7.33e-06,6.84e-06,7.26e-06,4517368674647.0
14,2021-09-23,7.26e-06,7.75e-06,7.09e-06,7.65e-06,4500476217476.0
15,2021-09-24,7.64e-06,7.88e-06,6.75e-06,7.39e-06,6678475561916.0
16,2021-09-25,7.38e-06,7.6e-06,7.11e-06,7.32e-06,3526603420475.9893
17,2021-09-26,7.34e-06,7.34e-06,6.82e-06,7.1e-06,2945757008839.993
18,2021-09-27,7.11e-06,7.27e-06,6.9e-06,6.98e-06,2944845921478.0
19,2021-09-28,6.99e-06,7.18e-06,6.82e-06,6.98e-06,3024049155494.0
20,2021-09-29,6.97e-06,7.17e-06,6.91e-06,7.02e-06,2504677982674.0
21,2021-09-30,7.02e-06,7.44e-06,7e-06,7.2e-06,3342450025562.9995
22,2021-10-01,7.22e-06,7.82e-06,7.16e-06,7.72e-06,4113210977188.0
23,2021-10-02,7.72e-06,8.26e-06,7.43e-06,7.9e-06,5015820833460.962
24,2021-10-03,7.87e-06,9.04e-06,7.65e-06,8.56e-06,8828728646898.0
25,2021-10-04,8.56e-06,1.54e-05,8.2e-06,1.349e-05,48519921914756.0
26,2021-10-05,1.348e-05,2.5e-05,1.208e-05,1.734e-05,70956971611954.0
27,2021-10-06,1.734e-05,2.945e-05,1.662e-05,2.794e-05,76256561739497.0
28,2021-10-07,2.794e-05,3.7e-05,2.029e-05,2.292e-05,97115417041931.0
29,2021-10-08,2.292e-05,2.95e-05,2.057e-05,2.727e-05,53103264344107.0
30,2021-10-09,2.729e-05,3e-05,2.415e-05,2.671e-05,27664393028438.0
31,2021-10-10,2.671e-05,2.782e-05,2.51e-05,2.62e-05,16802048221030.934
32,2021-10-11,2.616e-05,3.212e-05,2.584e-05,3.066e-05,30099294306360.0
33,2021-10-12,3.066e-05,3.156e-05,2.73e-05,2.906e-05,21754529450821.0
34,2021-10-13,2.906e-05,3.07e-05,2.77e-05,2.91e-05,13679412443629.0
35,2021-10-14,2.91e-05,2.984e-05,2.59e-05,2.742e-05,13720215083487.0
36,2021-10-15,2.742e-05,2.766e-05,2.333e-05,2.526e-05,26002337404652.0
37,2021-10-16,2.526e-05,2.659e-05,2.47e-05,2.572e-05,10719570393974.0
38,2021-10-17,2.572e-05,2.9e-05,2.376e-05,2.775e-05,11829673573895.0
39,2021-10-18,2.775e-05,2.958e-05,2.639e-05,2.867e-05,16249399760002.0
40,2021-10-19,2.868e-05,2.918e-05,2.751e-05,2.803e-05,7571952235394.0
41,2021-10-20,2.803e-05,2.957e-05,2.693e-05,2.925e-05,8198644533326.0
42,2021-10-21,2.922e-05,2.925e-05,2.703e-05,2.747e-05,7657666352124.0
43,2021-10-22,2.747e-05,2.847e-05,2.7e-05,2.794e-05,6142751018213.0
44,2021-10-23,2.794e-05,3.458e-05,2.762e-05,3.388e-05,18655823025905.0
45,2021-10-24,3.389e-05,4.559e-05,3.201e-05,3.607e-05,55155530960840.0
46,2021-10-25,3.607e-05,4.364e-05,3.505e-05,4.23e-05,24909275657356.0
47,2021-10-26,4.23e-05,4.98e-05,4.043e-05,4.798e-05,31634150643615.0
48,2021-10-27,4.798e-05,8.8e-05,4.689e-05,8.229e-05,63932087951176.63
49,2021-10-28,6.8e-05,8.251e-05,5.889e-05,6.873e-05,53246134060.84131
50,2021-10-29,6.88e-05,7.79e-05,6.03e-05,7.48e-05,25065193983165.496
51,2021-10-30,7.48e-05,7.8e-05,6.13e-05,6.54e-05,19763966681510.79
52,2021-10-31,6.53e-05,6.97e-05,5.81e-05,6.71e-05,19514248494402.215
53,2021-11-01,6.71e-05,7.5e-05,6.57e-05,7.16e-05,16811774884603.305
54,2021-11-02,7.16e-05,7.31e-05,6.62e-05,6.92e-05,13312586605321.436
55,2021-11-03,6.91e-05,6.92e-05,4.87e-05,5.39e-05,23076344801159.043
56,2021-11-04,5.4e-05,6.1e-05,4.13e-05,4.93e-05,34394440139786.62
57,2021-11-05,4.93e-05,6.56e-05,4.41e-05,6.28e-05,26371560231341.117
58,2021-11-06,6.28e-05,6.33e-05,5.5e-05,5.87e-05,12592953412561.84
59,2021-11-07,5.86e-05,5.98e-05,5.59e-05,5.69e-05,5954543044463.3545
60,2021-11-08,5.7e-05,5.9e-05,5.25e-05,5.52e-05,10131927907729.625
61,2021-11-09,5.52e-05,5.85e-05,5.34e-05,5.49e-05,7871527020414.133
62,2021-11-10,5.49e-05,5.52e-05,4.559e-05,5.04e-05,12005338118142.69
63,2021-11-11,5.04e-05,5.8e-05,4.83e-05,5.67e-05,11184945680159.367
64,2021-11-12,5.67e-05,5.7e-05,5.13e-05,5.24e-05,5675595596933.884
65,2021-11-13,5.24e-05,5.29e-05,5.05e-05,5.17e-05,3605898052020.1943
66,2021-11-14,5.17e-05,5.65e-05,5.15e-05,5.32e-05,5270914383293.932
67,2021-11-15,5.32e-05,5.6e-05,5.23e-05,5.35e-05,4525549074349.136
68,2021-11-16,5.35e-05,5.36e-05,4.52e-05,4.83e-05,7926412825295.61
69,2021-11-17,4.84e-05,4.99e-05,4.66e-05,4.81e-05,6457244413071.988
70,2021-11-18,4.81e-05,4.9e-05,4.05e-05,4.26e-05,10253728328611.758
71,2021-11-19,4.25e-05,5.29e-05,4.18e-05,4.85e-05,10267278333545.37
72,2021-11-20,4.85e-05,5.01e-05,4.56e-05,4.77e-05,5269540733983.362
73,2021-11-21,4.77e-05,4.78e-05,4.34e-05,4.41e-05,4251372455652.7974
74,2021-11-22,4.41e-05,4.63e-05,4.27e-05,4.32e-05,4834487411892.697
75,2021-11-23,4.33e-05,4.46e-05,4.11e-05,4.2e-05,4886511172945.515
76,2021-11-24,4.19e-05,4.285e-05,3.56e-05,3.79e-05,11162815429338.465
77,2021-11-25,3.79e-05,4.84e-05,3.76e-05,4.28e-05,15137969793677.438
78,2021-11-26,4.28e-05,4.29e-05,3.478e-05,3.87e-05,8369183413965.142
79,2021-11-27,3.87e-05,4.18e-05,3.82e-05,3.92e-05,5062274088228.049
80,2021-11-28,3.92e-05,3.96e-05,3.62e-05,3.92e-05,4285597630046.6313
