,date,open,high,low,close,volume
0,2021-03-11,0.7015,0.94,0.6243,0.792,67158870.99999951
1,2021-03-12,0.7921,1.3777,0.792,0.8823,213182834.69999766
2,2021-03-13,0.8807,0.9955,0.805,0.829,88385936.79999818
3,2021-03-14,0.8273,0.878,0.751,0.815,53958417.40000041
4,2021-03-15,0.815,0.8642,0.72,0.7445,35292098.20000008
5,2021-03-16,0.7451,0.7746,0.6825,0.7,30301826.900000256
6,2021-03-17,0.6992,0.7649,0.686,0.7264,39671555.69999974
7,2021-03-18,0.7264,0.7547,0.6805,0.6919,37580325.30000002
8,2021-03-19,0.6919,0.7318,0.68,0.6946,22101692.299999893
9,2021-03-20,0.6933,0.725,0.674,0.6842,20614306.099999815
10,2021-03-21,0.6841,0.6841,0.64,0.661,24186785.09999992
11,2021-03-22,0.6599,0.7587,0.6301,0.6943,46394569.00000023
12,2021-03-23,0.6934,0.7445,0.64,0.6566,34202610.400000274
13,2021-03-24,0.6566,0.6994,0.5601,0.5776,27379766.99999999
14,2021-03-25,0.5763,0.6055,0.48,0.5167,38495529.10000013
15,2021-03-26,0.517,0.6079,0.5161,0.5816,29448632.80000019
16,2021-03-27,0.5821,0.6448,0.5715,0.5911,28088566.599999964
17,2021-03-28,0.5908,0.7423,0.5826,0.7359,44403982.99999989
18,2021-03-29,0.7384,1.072,0.6691,0.839,165378400.8000032
19,2021-03-30,0.8385,0.8617,0.7565,0.8013,74344424.4999999
20,2021-03-31,0.8029,0.82,0.7168,0.7492,33322807.2000001
21,2021-04-01,0.7503,0.8269,0.7185,0.8164,44286255.69999995
22,2021-04-02,0.8174,0.8207,0.7249,0.7491,32780288.4000001
23,2021-04-03,0.7492,0.759,0.6673,0.6738,25143642.900000036
24,2021-04-04,0.6738,0.7278,0.6648,0.7055,13312394.3
25,2021-04-05,0.7054,0.77,0.693,0.7272,27116068.000000056
26,2021-04-06,0.7273,0.742,0.6756,0.705,16656059.400000019
27,2021-04-07,0.7077,0.7167,0.6014,0.6269,20657441.80000002
28,2021-04-08,0.6275,0.6812,0.626,0.6671,15397088.50000002
29,2021-04-09,0.6673,0.7025,0.6586,0.6813,19000862.600000065
30,2021-04-10,0.6801,0.75,0.6638,0.7052,22410061.70000017
31,2021-04-11,0.7042,0.733,0.6836,0.696,11447367.700000014
32,2021-04-12,0.6963,0.712,0.6558,0.6787,11087245.200000007
33,2021-04-13,0.679,0.7288,0.6722,0.6947,15543636.499999994
34,2021-04-14,0.694,0.7375,0.6269,0.6827,21779576.19999999
35,2021-04-15,0.6823,0.725,0.6697,0.7047,15391357.999999931
36,2021-04-16,0.7058,0.7383,0.6623,0.7064,24802084.50000006
37,2021-04-17,0.7066,0.8425,0.7064,0.7877,39249960.19999996
