,date,open,high,low,close,volume
0,2020-10-17,0.00454568,0.00454568,0.00454568,0.00454568,10
1,2020-10-23,0.0040562,0.00405624,0.0040562,0.00405624,2590
2,2020-10-24,0.00318514,0.00318514,0.00318514,0.00318514,2460
3,2020-10-26,0.00307621,0.00307621,0.0030531,0.0030531,1250
4,2020-10-27,0.00453626,0.00453626,0.00373215,0.00373215,2450
5,2020-10-28,0.00453623,0.00453623,0.00289765,0.00289765,80
6,2020-10-29,0.00453196,0.00453196,0.00289801,0.00289801,40
7,2020-11-02,0.0044898,0.0044898,0.00295002,0.00295002,1010
8,2020-11-03,0.00295002,0.00295002,0.00288857,0.00288857,29990
9,2020-11-05,0.00353848,0.00353848,0.00353848,0.00353848,10
10,2020-11-06,0.00353402,0.00353402,0.00288857,0.00288857,360
11,2020-11-09,0.00351032,0.00351032,0.00351032,0.00351032,10
12,2020-11-18,0.00265611,0.00350298,0.00265611,0.00350298,310
13,2020-11-19,0.00321395,0.00321395,0.00264448,0.00264448,4910
14,2020-11-20,0.0031235,0.0031235,0.00264329,0.00264329,1820
15,2020-11-22,0.00307791,0.00307791,0.00307791,0.00307791,10
16,2020-11-23,0.00261045,0.00348044,0.00261045,0.00348044,5970
17,2020-11-24,0.002776,0.002776,0.002776,0.002776,6080
18,2020-11-25,0.00276602,0.00276602,0.00274297,0.00274297,7510
19,2020-11-26,0.0033925,0.0033925,0.00230001,0.00230001,7570
20,2020-11-27,0.003,0.003,0.003,0.003,10
21,2020-11-28,0.00328799,0.00328799,0.00328799,0.00328799,10
22,2020-11-30,0.00259278,0.00259278,0.0025924,0.0025924,3500
23,2020-12-01,0.0031052,0.0031052,0.0031052,0.0031052,10
24,2020-12-06,0.00258567,0.00258567,0.00258567,0.00258567,4240
25,2020-12-07,0.00310329,0.00310329,0.00310329,0.00310329,10
26,2020-12-09,0.00230016,0.00310141,0.00230016,0.00310141,1200
27,2020-12-10,0.00230012,0.00230012,0.00230012,0.00230012,2320
28,2020-12-11,0.00294879,0.00294879,0.00294879,0.00294879,10
29,2020-12-13,0.00297305,0.0035117,0.00242995,0.00270112,396900
30,2020-12-17,0.00276251,0.00319999,0.00230001,0.00319999,51890
31,2020-12-23,0.00319554,0.0032,0.00319554,0.0032,9220
32,2020-12-25,0.00541817,0.00541817,0.00541777,0.00541777,80
33,2020-12-30,0.00231441,0.00231454,0.00212592,0.00212593,25620
34,2021-01-01,0.00492124,0.00492124,0.00483269,0.00483269,210
35,2021-01-02,0.00483269,0.00485676,0.00212591,0.00449999,123540
36,2021-01-03,0.0019259,0.00439,0.00192582,0.00192582,6730
37,2021-01-04,0.00438976,0.00438976,0.00192581,0.00438,2090
38,2021-01-06,0.00436168,0.00436168,0.0020261,0.0043,30
39,2021-01-07,0.00202611,0.00429998,0.00202611,0.00202631,12930
40,2021-01-08,0.00429998,0.00429998,0.00202728,0.00428996,170
41,2021-01-09,0.00204002,0.00428996,0.00204002,0.00428996,20
42,2021-01-10,0.0022,0.00428993,0.0021,0.00428993,13660
43,2021-01-11,0.00428897,0.00428897,0.00428897,0.00428897,20
44,2021-01-12,0.00428897,0.00428898,0.0020443,0.00428821,380
45,2021-01-16,0.00427531,0.00427531,0.00427531,0.00427531,3340
46,2021-01-18,0.00210551,0.00406153,0.00210551,0.00406153,7920
47,2021-01-19,0.00405939,0.00405939,0.00405939,0.00405939,1230
48,2021-01-22,0.00215399,0.00405104,0.00215399,0.00405104,3350
49,2021-01-24,0.0040473,0.0040473,0.0040473,0.0040473,10
50,2021-01-28,0.00298999,0.00298999,0.00298999,0.00298999,9690
51,2021-01-29,0.00298999,0.00298999,0.00298999,0.00298999,6580
52,2021-01-30,0.00298966,0.00298978,0.00298966,0.00298978,3440
53,2021-01-31,0.00298994,0.00298995,0.00298994,0.00298995,21000
54,2021-02-02,0.00262732,0.00262732,0.00262732,0.00262732,310
55,2021-02-03,0.00260001,0.00502485,0.0026,0.00502424,188750
56,2021-02-04,0.00320003,0.00340004,0.00320003,0.00340004,2960
57,2021-02-05,0.00544746,0.00544746,0.00307044,0.00544735,9540
58,2021-02-06,0.00549326,0.00653661,0.0048,0.00653661,61340
59,2021-02-07,0.005,0.00653999,0.00380084,0.00509276,42080
60,2021-02-08,0.00636728,0.00636728,0.0045835,0.0045835,52890
61,2021-02-09,0.00617289,0.00617289,0.00462953,0.00535528,34370
62,2021-02-11,0.00440184,0.00625994,0.00440184,0.0059745,72220
63,2021-02-12,0.00488687,0.00653999,0.00488687,0.00653999,430
64,2021-02-13,0.00491496,0.00491496,0.00491496,0.00491496,140
65,2021-02-14,0.00653886,0.00653886,0.00492134,0.00492134,3000
66,2021-02-15,0.00493782,0.0063859,0.00493115,0.0063859,26320
67,2021-02-16,0.00653999,0.00654,0.00523406,0.00523406,4720
68,2021-02-17,0.00654,0.0075,0.006515,0.006515,51370
69,2021-02-18,0.00662029,0.00771843,0.00530143,0.00691533,3050
70,2021-02-19,0.00767552,0.007693,0.00764739,0.007693,4730
71,2021-02-20,0.00654233,0.00935392,0.0062034,0.0062034,5910
72,2021-02-21,0.00935487,0.00935487,0.00721036,0.00721064,25170
73,2021-02-22,0.00913535,0.00913535,0.00524499,0.00524499,8800
74,2021-02-23,0.0065,0.00781804,0.00600003,0.00601229,32520
75,2021-02-24,0.00643511,0.007895,0.0051,0.00515639,82990
76,2021-02-25,0.00782882,0.00782938,0.00782867,0.00782938,12730
77,2021-02-26,0.00541251,0.00789238,0.00478279,0.00478279,36580
78,2021-02-27,0.0064722,0.00664971,0.00521315,0.00521315,16480
79,2021-02-28,0.00486975,0.00625384,0.0047828,0.00625384,10900
80,2021-03-01,0.005,0.005,0.00484513,0.00484513,570
81,2021-03-03,0.00484513,0.00566872,0.00484513,0.00566872,930
82,2021-03-04,0.0056361,0.0056361,0.00557997,0.00557997,17790
83,2021-03-05,0.00478353,0.00478353,0.00478353,0.00478353,3180
84,2021-03-06,0.00529563,0.00538933,0.00478277,0.00478277,11400
85,2021-03-08,0.00538441,0.00538441,0.0048,0.0049,240
86,2021-03-09,0.00490051,0.00682,0.0049005,0.00632864,253340
87,2021-03-10,0.00627351,0.00627351,0.00508512,0.00532253,30270
88,2021-03-11,0.00522038,0.00522038,0.00512981,0.00518462,350
89,2021-03-12,0.0052302,0.00893999,0.00498692,0.00893999,56410
90,2021-03-13,0.0077,0.01293776,0.00626077,0.01293776,46220
91,2021-03-14,0.01256207,0.01999999,0.00611049,0.00830977,85850
92,2021-03-15,0.00891938,0.00899997,0.007,0.0088,19450
93,2021-03-16,0.00720001,0.01066523,0.00720001,0.00720001,25720
94,2021-03-17,0.00720001,0.01059094,0.0072,0.01059094,29850
95,2021-03-18,0.00720001,0.01066803,0.0071,0.01066803,19500
96,2021-03-19,0.00762139,0.00762139,0.00762139,0.00762139,890
97,2021-03-20,0.0106684,0.0106684,0.0106684,0.0106684,20
98,2021-03-21,0.00999999,0.00999999,0.00902894,0.00902894,320
99,2021-03-22,0.00920646,0.0099512,0.00838112,0.0098894,17350
100,2021-03-23,0.00988586,0.00988586,0.00891899,0.00891899,4690
101,2021-03-24,0.00983721,0.00983721,0.00843364,0.00982969,440
102,2021-03-25,0.00745361,0.0075806,0.00745358,0.00745358,14050
103,2021-03-26,0.00964921,0.00964921,0.00964361,0.00964361,150
104,2021-03-27,0.00949469,0.01066839,0.00800221,0.00800221,11930
105,2021-03-28,0.00890023,0.00890023,0.00890023,0.00890023,980
106,2021-03-29,0.0091132,0.01023239,0.0091132,0.01023239,9580
107,2021-03-30,0.00897047,0.01021265,0.00896805,0.0101537,12250
108,2021-03-31,0.01065372,0.0106684,0.00896805,0.0106684,16050
109,2021-04-01,0.01066628,0.01066628,0.00918434,0.01064997,11370
110,2021-04-02,0.00882512,0.01,0.00882511,0.01,3230
111,2021-04-03,0.00999899,0.0105,0.00941096,0.00941096,51850
112,2021-04-04,0.01066627,0.01268035,0.01066627,0.01141232,9060
113,2021-04-05,0.01299953,0.01299953,0.00911467,0.01143499,90590
114,2021-04-06,0.00917499,0.01148621,0.00912,0.01147669,11120
115,2021-04-07,0.01251761,0.01251765,0.009397,0.01143027,6750
116,2021-04-08,0.009397,0.00940001,0.00912132,0.00912132,16360
117,2021-04-09,0.00912132,0.01160568,0.00850324,0.01153856,32370
118,2021-04-10,0.01153833,0.0148268,0.00854428,0.0148268,19740
119,2021-04-11,0.0148221,0.0148221,0.01082094,0.01082094,24320
120,2021-04-12,0.01082094,0.01099987,0.00921,0.00921433,52440
121,2021-04-13,0.01,0.01099997,0.01,0.01099997,4550
122,2021-04-14,0.01,0.011,0.00966035,0.00966987,64600
123,2021-04-15,0.00967334,0.011,0.00890916,0.01099993,9740
124,2021-04-16,0.01099734,0.01099734,0.01099734,0.01099734,40
125,2021-04-17,0.01099723,0.01149602,0.01099553,0.01149602,18280
126,2021-04-18,0.00978949,0.01128444,0.00771194,0.00771194,12150
127,2021-04-19,0.01111759,0.01111759,0.00747752,0.00752502,19170
128,2021-04-20,0.0107798,0.0107798,0.01055302,0.0105606,10920
129,2021-04-21,0.0105734,0.01082998,0.00902099,0.01082993,1720
130,2021-04-22,0.00903589,0.01061396,0.00859999,0.00859999,16030
131,2021-04-23,0.0085,0.0085,0.0081,0.0081,1290
132,2021-04-24,0.00810001,0.00964505,0.00621001,0.00655963,55400
133,2021-04-25,0.00960381,0.00960381,0.00655326,0.0071,3690
134,2021-04-26,0.00769961,0.00944196,0.00672934,0.00672934,36670
135,2021-04-27,0.00776127,0.01099976,0.00776127,0.01099976,6830
136,2021-04-28,0.00778862,0.01080392,0.00778777,0.01080392,39970
137,2021-04-29,0.01045279,0.01045279,0.00740336,0.00944154,3620
138,2021-04-30,0.00836766,0.00945253,0.00826799,0.00836799,54010
139,2021-05-01,0.00740346,0.01044229,0.00740341,0.00862941,41520
140,2021-05-02,0.00862941,0.00936152,0.00766987,0.00924827,16900
141,2021-05-03,0.00854664,0.00854664,0.00788492,0.00839664,340
142,2021-05-04,0.00836063,0.00836063,0.00700975,0.00835117,13560
143,2021-05-05,0.00831632,0.00831632,0.00673926,0.00673926,2120
144,2021-05-06,0.00830559,0.01046,0.00666059,0.00953933,30160
145,2021-05-07,0.00920091,0.00920091,0.00743294,0.00743294,1690
146,2021-05-08,0.0085324,0.01479999,0.0085324,0.01251697,72690
147,2021-05-09,0.01246221,0.01246221,0.00883424,0.00883424,24180
148,2021-05-10,0.008837,0.00930667,0.00841975,0.00917856,72780
149,2021-05-11,0.00920799,0.00926535,0.00920799,0.00926535,20
150,2021-05-12,0.00857302,0.00919854,0.00782632,0.00782632,4820
151,2021-05-13,0.0078016,0.00919621,0.006862,0.006862,4820
152,2021-05-14,0.00670001,0.00716823,0.0067,0.00716823,2630
153,2021-05-15,0.00678039,0.00858602,0.00671801,0.00858602,39820
154,2021-05-16,0.008587,0.00917102,0.00731555,0.00732608,48640
155,2021-05-17,0.00670081,0.00731841,0.0067,0.00727706,6120
156,2021-05-18,0.006964,0.0092,0.006964,0.0092,16120
157,2021-05-19,0.00746065,0.0082231,0.00478292,0.00681848,96190
158,2021-05-20,0.0068111,0.00681848,0.0068111,0.00681848,31350
159,2021-05-21,0.00681848,0.00681848,0.00520314,0.00520314,24680
160,2021-05-22,0.00520313,0.00520313,0.00520313,0.00520313,10
161,2021-05-23,0.00478295,0.00478301,0.00369262,0.00369262,32670
