,date,open,high,low,close,volume
0,2020-10-13,0.0272269,0.0272269,0.026117,0.026696,1274
1,2020-10-16,0.0265315,0.0265315,0.02451,0.02451,8
2,2020-10-18,0.02661,0.02661,0.02661,0.02661,1
3,2020-10-19,0.0264471,0.0267291,0.0264471,0.0267291,142579
4,2020-10-20,0.0269152,0.0269152,0.0269152,0.0269152,617
5,2020-10-21,0.0259741,0.0291527,0.0247199,0.0291527,3277
6,2020-10-22,0.0299978,0.03,0.0299978,0.03,1233
7,2020-10-24,0.0288285,0.0288285,0.0274052,0.0274052,10897
8,2020-10-25,0.0301815,0.0301817,0.0294112,0.0294112,32
9,2020-10-27,0.0296772,0.0296772,0.0296772,0.0296772,1
10,2020-10-28,0.0283436,0.0283436,0.0283421,0.0283421,87
11,2020-10-29,0.031201,0.0330832,0.031201,0.031201,239
12,2020-10-31,0.0348217,0.035,0.0348217,0.035,201
13,2020-11-01,0.0347702,0.0354635,0.0338966,0.0354635,1033
14,2020-11-03,0.0324883,0.0324883,0.0290096,0.0290096,633
15,2020-11-05,0.0344295,0.0344302,0.0330429,0.034,836
16,2020-11-06,0.035799,0.035802,0.035799,0.035802,4
17,2020-11-07,0.0370521,0.0370554,0.0321398,0.0321398,366
18,2020-11-09,0.0358092,0.0368252,0.0344719,0.0344719,6092
19,2020-11-10,0.0338296,0.0360862,0.0338284,0.0360862,4558
20,2020-11-11,0.0355392,0.0355392,0.0324446,0.0324446,16556
21,2020-11-12,0.0347062,0.035716,0.0333694,0.035716,1010
22,2020-11-13,0.035716,0.035716,0.035716,0.035716,8
23,2020-11-15,0.0342639,0.0383401,0.0338484,0.0338484,1704
24,2020-11-16,0.036449,0.0364492,0.036449,0.0364492,50
25,2020-11-17,0.0378095,0.0378095,0.0353781,0.0353781,119
26,2020-11-18,0.0379339,0.0379339,0.0347409,0.0347409,828
27,2020-11-19,0.0323169,0.0323169,0.0290707,0.0290707,64
28,2020-11-20,0.0355204,0.0355235,0.0355204,0.0355235,35
29,2020-11-21,0.038563,0.0385644,0.038563,0.0385644,21
30,2020-11-22,0.0349951,0.0349951,0.0349932,0.0349932,40
31,2020-11-23,0.0370338,0.0371577,0.0276027,0.0276027,19807
32,2020-11-24,0.0324475,0.0324475,0.0315784,0.0315784,246
33,2020-11-25,0.0343355,0.0352037,0.0328222,0.0332078,36200
34,2020-11-26,0.0308298,0.0308298,0.0262808,0.0308249,106
