,date,open,high,low,close,volume
0,2020-10-13,4.6582,4.7148,4.3922,4.5098,1240.5213759599987
1,2020-10-14,4.5102,4.5884,4.2571,4.2826,559.85670572
2,2020-10-15,4.2765,4.2825,3.9047,3.9063,693.3172185199995
3,2020-10-16,3.9,4.1403,3.7588,3.9062,843.5122415899997
4,2020-10-17,3.9143,4.0244,3.8402,3.9646,234.39297305999997
5,2020-10-18,3.9505,4.0288,3.9,3.9547,89.32380064
6,2020-10-19,3.9672,3.9709,3.7158,3.7223,638.2826457699999
7,2020-10-20,3.7223,3.7223,3.3604,3.7069,2501.9239239999997
8,2020-10-21,3.7115,3.7984,3.5084,3.5698,3158.975906200001
9,2020-10-22,3.5498,4.0816,3.5409,3.8952,3474.3619504399976
10,2020-10-23,3.9034,3.9571,3.7,3.7943,417.72822205999967
11,2020-10-24,3.7855,3.8999,3.75,3.7962,160.03086288000003
12,2020-10-25,3.7666,3.7819,3.5928,3.6624,865.2918562699991
13,2020-10-26,3.6575,3.7224,3.5042,3.5785,3613.1735268199945
14,2020-10-27,3.5403,3.6778,3.4552,3.5611,1070.6180634999998
15,2020-10-28,3.5424,3.6999,3.3531,3.5999,2333.022141779998
16,2020-10-29,3.6006,3.779,3.264,3.264,1498.43519976
17,2020-10-30,3.2359,3.2376,2.9902,3.1096,1669.1514573799998
18,2020-10-31,3.0852,3.1334,3.021,3.0213,1001.2794439599998
19,2020-11-01,3.0128,3.0498,2.8,2.9204,1929.8258917099986
20,2020-11-02,2.9403,3.0219,2.6434,2.6434,1021.6208578699999
21,2020-11-03,2.6364,2.6533,2.502,2.6173,3350.9856963999996
22,2020-11-04,2.5905,2.7658,2.502,2.7326,1275.3838389300013
23,2020-11-05,2.7451,3.2999,2.5706,3.1637,6385.148706479999
24,2020-11-06,3.1621,3.8,3.1621,3.5333,1857.1013843100015
25,2020-11-07,3.6211,4.6,3.5941,3.7906,2400.87943266
26,2020-11-08,3.8651,4.5999,3.7326,4.547,2333.6968624700003
27,2020-11-09,4.4443,4.6,4.0,4.1774,996.8405282999998
28,2020-11-10,4.214,4.9654,4.14,4.7,1252.6102232299993
29,2020-11-11,4.7,4.8378,4.1,4.1,1188.1640832100006
30,2020-11-12,4.1,4.3,3.8,3.8,822.056125540001
31,2020-11-13,3.8,4.5,3.8,4.248,367.48069501999987
32,2020-11-14,4.248,4.5,3.9473,4.45,519.6924149000004
33,2020-11-15,4.45,4.6982,4.033,4.2685,726.7164062700001
34,2020-11-16,4.0987,4.6,4.0987,4.4196,497.4840863800001
35,2020-11-17,4.5552,5.321,4.4795,5.0823,1905.6587336400019
36,2020-11-18,5.0988,5.3518,4.6,4.8863,2287.9618349800007
37,2020-11-19,4.8803,5.2879,4.6056,4.9692,1039.9611719799998
38,2020-11-20,5.0499,5.6995,4.9814,5.1446,1281.37465774
39,2020-11-21,5.1668,5.5666,5.1013,5.2655,2374.7954888299996
40,2020-11-22,5.2528,5.3399,4.7372,5.068,278.30022737000013
41,2020-11-23,5.0343,5.5818,4.9769,5.4223,349.80803018000006
42,2020-11-24,5.4389,5.8493,5.118,5.2283,1074.662672699999
43,2020-11-25,5.2286,5.3355,4.6312,4.8416,5284.62410552
44,2020-11-26,4.7476,4.8704,3.6,4.3441,2767.3576071899997
45,2020-11-27,4.3485,4.6025,3.9283,4.1058,2617.6799381000005
46,2020-11-28,4.1584,4.4599,4.0023,4.2936,1292.8127310099994
47,2020-11-29,4.2458,4.56,4.1259,4.56,4029.9987791700037
48,2020-11-30,4.57,4.9265,4.57,4.755,1574.0495772900001
49,2020-12-01,4.7533,5.2707,4.6195,4.779,5026.183827789996
50,2020-12-02,4.7593,5.4616,4.7463,5.2527,1531.2304190699992
51,2020-12-03,5.2709,5.3159,5.0419,5.2609,1322.2426294199993
