,date,open,high,low,close,volume
0,2021-02-25,24.6,24.6,13.821,13.823,70884.29332110008
1,2021-02-26,13.854,15.404,13.167,13.612,131414.36645997994
2,2021-02-27,13.59,14.691,13.118,13.197,197922.43930267022
3,2021-02-28,13.179,13.741,11.556,13.096,210657.64310542963
4,2021-03-01,13.109,16.89,13.098,14.992,182168.99516104968
5,2021-03-02,14.94,15.999,13.5,14.034,40114.13220844995
6,2021-03-03,13.955,15.95,13.825,14.6,19733.156654010007
7,2021-03-04,14.641,16.99,12.811,13.3,6853.891231610005
8,2021-03-05,12.997,12.997,12.25,12.576,26408.81981667998
9,2021-03-06,12.63,13.29,11.947,13.056,40959.30856289005
10,2021-03-07,13.083,13.99,12.747,13.863,16850.77482614001
11,2021-03-08,13.845,13.875,13.093,13.635,13014.914707850005
12,2021-03-09,13.655,15.0,13.36,14.906,11793.149247900004
13,2021-03-10,14.921,15.22,14.112,14.531,11302.001364179992
14,2021-03-11,14.52,16.7,13.755,15.974,44061.46615669003
15,2021-03-12,16.104,16.5,14.214,14.632,29943.088626709996
16,2021-03-13,14.707,15.429,14.009,15.333,16015.658566760008
17,2021-03-14,15.359,15.374,14.412,14.583,12249.494893410012
18,2021-03-15,14.513,14.792,13.747,14.214,43666.69960811003
19,2021-03-16,14.261,14.326,13.269,13.618,52047.022243799984
20,2021-03-17,13.685,14.224,13.09,14.206,82023.61381679986
21,2021-03-18,14.235,14.73,14.001,14.193,18702.18360831001
22,2021-03-19,14.188,14.471,13.831,14.16,22063.404054270013
23,2021-03-20,14.149,14.92,14.127,14.197,11455.698505539984
24,2021-03-21,14.112,14.347,13.647,14.337,23657.691752400016
25,2021-03-22,14.269,16.574,14.177,14.866,31253.717336810005
26,2021-03-23,14.792,15.201,14.077,14.215,15705.773750029988
27,2021-03-24,14.203,15.332,13.612,13.612,12070.25414185
28,2021-03-25,13.608,13.664,12.549,13.016,17745.487761450022
29,2021-03-26,13.027,14.762,12.346,14.762,15887.601664809989
30,2021-03-27,14.793,16.78,14.745,16.524,39336.431011620014
31,2021-03-28,16.539,19.369,16.36,18.052,27884.45935606998
32,2021-03-29,18.215,18.941,17.685,18.89,10233.07833479001
33,2021-03-30,18.961,30.0,18.961,19.28,20909.882731929993
34,2021-03-31,19.7,20.29,18.17,19.9,15085.949750259993
35,2021-04-01,20.006,24.0,18.914,19.459,5184.182904810003
36,2021-04-02,19.049,20.105,18.728,20.105,2844.058855100001
37,2021-04-03,19.826,23.959,19.826,22.602,9178.357206680012
38,2021-04-04,22.603,25.88,22.603,24.322,19287.823703230002
39,2021-04-05,24.325,25.459,22.914,23.17,18940.65473160999
40,2021-04-06,23.119,25.357,22.25,25.117,9221.900284860003
41,2021-04-07,25.44,27.5,23.045,26.534,75356.75295263997
42,2021-04-08,26.601,27.934,25.69,27.002,18829.874680700006
43,2021-04-09,26.93,28.951,26.9,27.742,21274.36392208005
44,2021-04-10,27.639,28.192,26.001,26.824,26005.222534680044
45,2021-04-11,26.842,28.62,25.662,27.957,26507.115870920006
46,2021-04-12,27.918,29.882,26.964,28.566,21521.154091160017
47,2021-04-13,28.56,28.807,26.409,27.475,10707.29699408
48,2021-04-14,27.516,27.516,24.848,26.394,53035.59153376019
49,2021-04-15,26.482,28.193,25.515,27.804,19096.340894830035
