,date,open,high,low,close,volume
0,2021-11-23,0.017464,0.018205,0.015971,0.017785,625999.87036697
1,2021-12-14,0.0113,0.01178,0.01048,0.01123,887390333.592786
2,2021-12-15,0.01125,0.01582,0.01123,0.01442,2472597899.011394
3,2021-12-16,0.01445,0.01663,0.01382,0.01383,1867970015.542603
4,2021-12-17,0.01383,0.01439,0.01255,0.01328,1267235886.6927166
5,2021-12-18,0.01328,0.017,0.01285,0.01672,1976226870.60839
6,2021-12-19,0.01673,0.0189,0.01608,0.01689,3110237335.4780555
7,2021-12-20,0.01689,0.0185,0.01556,0.01809,1575432451.9762156
8,2021-12-21,0.01806,0.0234,0.01766,0.02294,2406745315.3149114
9,2021-12-22,0.02297,0.02539,0.02048,0.02388,3558517063.2597237
10,2021-12-23,0.02389,0.0268,0.02222,0.02368,2879560331.1364965
11,2021-12-24,0.02369,0.028,0.02163,0.02191,2863416911.4372277
12,2021-12-25,0.02193,0.0237,0.02183,0.02285,1016839011.9002192
13,2021-12-26,0.02284,0.02309,0.02132,0.02201,784197424.7034315
14,2021-12-27,0.02202,0.0275,0.02115,0.0262,2115063731.8398364
15,2021-12-28,0.0262,0.02626,0.02156,0.02187,2242746408.357494
16,2021-12-29,0.02186,0.02326,0.02003,0.02115,1294053563.7986605
17,2021-12-30,0.02115,0.0222,0.02031,0.02165,832665292.4687202
18,2021-12-31,0.02164,0.0243,0.02137,0.02346,1260301164.9739187
19,2022-01-01,0.02346,0.02405,0.02263,0.02333,575628393.5959215
20,2022-01-02,0.02333,0.025,0.02221,0.02402,847924849.3867931
21,2022-01-03,0.02404,0.02543,0.02212,0.02216,1050107160.4950689
22,2022-01-04,0.02216,0.02317,0.021,0.02111,1255021580.6479938
23,2022-01-05,0.02111,0.02149,0.01662,0.01822,2844311554.0963674
24,2022-01-06,0.01827,0.01857,0.01595,0.01705,2555273541.182661
25,2022-01-07,0.01708,0.01715,0.0141,0.01509,2119629833.7526531
26,2022-01-08,0.0151,0.01631,0.0139,0.01469,1648661038.1840124
27,2022-01-09,0.01468,0.0158,0.0142,0.015,1039503339.5161366
28,2022-01-10,0.015,0.01553,0.01321,0.01395,1744757399.9061878
29,2022-01-11,0.01393,0.01492,0.01355,0.01458,1362394257.4479542
30,2022-01-12,0.0146,0.01636,0.0143,0.01576,1278226954.0855742
31,2022-01-13,0.01574,0.0159,0.01433,0.01444,1094343709.8494048
32,2022-01-14,0.01445,0.01473,0.01384,0.01434,1036128723.7746456
33,2022-01-15,0.01433,0.015,0.01381,0.01441,711332046.6180159
34,2022-01-16,0.01441,0.01628,0.0144,0.0159,1460016463.2440286
35,2022-01-17,0.01588,0.01599,0.01352,0.01358,1632834441.4117742
36,2022-01-18,0.01357,0.01389,0.0123,0.01274,1532291821.6832442
37,2022-01-19,0.01274,0.01308,0.01154,0.01172,1357590763.681572
38,2022-01-20,0.0117,0.013719,0.01163,0.01207,1510731306.1948087
39,2022-01-21,0.01205,0.0129,0.00891,0.0092,4320947272.940545
40,2022-01-22,0.00921,0.00963,0.00661,0.00793,3597991669.868934
41,2022-01-23,0.00793,0.009,0.00765,0.00841,2132375322.509486
42,2022-01-24,0.0084,0.0088292,0.00662,0.00795,2584888117.373748
43,2022-01-25,0.00793,0.00975,0.00759,0.00833,2429546248.684142
44,2022-01-26,0.00832,0.00856,0.00742,0.0078,3564291933.349769
45,2022-01-27,0.0078,0.00782,0.00483,0.00534,10164687090.348076
46,2022-01-28,0.00534,0.00579,0.00496,0.00547,4599352562.656742
