,date,open,high,low,close,volume
0,2020-10-15,0.0120575,0.0172989,0.0115839,0.0115839,295.0
1,2020-10-19,0.0110936,0.0110936,0.0110936,0.0110936,1784.0
2,2020-10-21,0.0110935,0.0110935,0.0110935,0.0110935,100.0
3,2020-10-22,0.0110935,0.0110935,0.0110935,0.0110935,85.0
4,2020-10-28,0.0173,0.0173,0.0173,0.0173,1.0
5,2020-10-29,0.02,0.02,0.02,0.02,1.0
6,2020-11-03,0.0106026,0.0106026,0.0106025,0.0106025,2650.0
7,2020-11-05,0.0108733,0.0108733,0.0108727,0.0108727,5815.0
8,2020-11-13,0.012947,0.012947,0.0121174,0.0121174,5044.0
9,2020-11-18,0.0123393,0.0123393,0.0123393,0.0123393,24.0
10,2020-11-21,0.012184,0.012184,0.012184,0.012184,354.0
11,2020-11-23,0.0117411,0.0117411,0.0117411,0.0117411,1.0
12,2020-11-25,0.0142375,0.0142375,0.0142375,0.0142375,80.0
13,2020-12-01,0.0142375,0.0149716,0.0142375,0.0149716,75422.0
14,2020-12-06,0.0179448,0.0180094,0.0179448,0.0180094,3343.0
15,2020-12-08,0.0140218,0.0140218,0.0140142,0.0140142,200.0
16,2020-12-09,0.0140142,0.0140142,0.0140142,0.0140142,1.0
17,2020-12-13,0.015,0.015,0.015,0.015,117.0
18,2020-12-15,0.015,0.015,0.015,0.015,724.0
19,2020-12-16,0.0123557,0.0171444,0.0123557,0.0171444,2654.0
20,2020-12-17,0.0171947,0.0171947,0.0166357,0.0166357,3013.0
21,2020-12-19,0.016,0.016,0.016,0.016,1017.0
22,2020-12-21,0.016,0.0215275,0.016,0.020208,5874.0
23,2020-12-24,0.0200539,0.0200539,0.0200539,0.0200539,4450.0
24,2020-12-26,0.0219114,0.0219114,0.0219114,0.0219114,4.0
25,2020-12-27,0.0248444,0.0297,0.0248444,0.0276834,50090.0
26,2020-12-28,0.0250553,0.0250553,0.0250553,0.0250553,50.0
27,2020-12-29,0.0170717,0.0170717,0.0170717,0.0170717,3000.0
28,2020-12-30,0.0263407,0.0263407,0.0263407,0.0263407,12712.0
29,2021-01-03,0.0171888,0.0171889,0.0171888,0.0171888,35.0
30,2021-01-04,0.017,0.017,0.017,0.017,1.0
31,2021-01-07,0.0219632,0.0249623,0.0120235,0.0249623,22484.0
32,2021-01-08,0.028,0.0399693,0.0218389,0.0218389,568.0
33,2021-01-09,0.02,0.026,0.02,0.026,11.0
34,2021-01-11,0.0225836,0.0228644,0.0225836,0.0228644,8.0
35,2021-01-12,0.0220971,0.0220971,0.0140618,0.0140618,12.0
36,2021-01-15,0.0143841,0.0143841,0.0143841,0.0143841,1505.0
37,2021-01-17,0.025,0.025503,0.02,0.02,12522.0
38,2021-01-18,0.02,0.02,0.02,0.02,50.0
39,2021-01-21,0.0204,0.0317638,0.0204,0.0258252,12686.0
40,2021-01-23,0.0156406,0.0156406,0.0156406,0.0156406,100.0
41,2021-01-24,0.0254969,0.0254969,0.0254969,0.0254969,40.0
42,2021-01-26,0.0254969,0.0254969,0.0254969,0.0254969,1843.0
43,2021-01-28,0.0282442,0.0282442,0.0269848,0.0271092,6.0
44,2021-01-29,0.0204207,0.0266894,0.0204207,0.0266894,1030.0
45,2021-01-30,0.0212426,0.026159,0.0212372,0.026159,9826.0
46,2021-01-31,0.0269132,0.0269132,0.0212823,0.0212823,2094.0
47,2021-02-04,0.0282441,0.0282443,0.0271314,0.0271314,3862.0
48,2021-02-05,0.027,0.0315998,0.027,0.0315998,4571.0
49,2021-02-06,0.0279805,0.0280123,0.0273136,0.0273136,20841.0
50,2021-02-07,0.0273136,0.0307141,0.0273136,0.0300977,9439.0
51,2021-02-08,0.0307328,0.0307329,0.0277085,0.0277085,224.0
52,2021-02-09,0.0307329,0.0335501,0.0278323,0.0335501,1325.0
53,2021-02-10,0.0284247,0.0284247,0.0284247,0.0284247,198.0
54,2021-02-11,0.0369987,0.0369987,0.0285295,0.0285295,816.0
55,2021-02-12,0.0285872,0.0369988,0.0285872,0.0369988,3189.0
56,2021-02-13,0.0395944,0.0399689,0.0395944,0.0399689,55.0
57,2021-02-14,0.0399693,0.04,0.0399693,0.04,1707.0
