,date,open,high,low,close,volume
0,2022-01-03,0.5041,0.5111,0.48517,0.4934,1947527.3023454046
1,2022-01-04,0.4934,0.528,0.4831,0.5088,2949820.5923002507
2,2022-01-05,0.511,0.5139,0.4511,0.4566,2142157.237624177
3,2022-01-06,0.4561,0.4683,0.4322,0.459,1436676.1772600887
4,2022-01-07,0.4585,0.4592,0.4244,0.433,1181901.4299978693
5,2022-01-08,0.4334,0.4471,0.4004,0.4137,1601701.4734558228
6,2022-01-09,0.4137,0.452,0.4118,0.4157,1632456.010780844
7,2022-01-10,0.4165,0.4225,0.38,0.3832,1933524.7384523835
8,2022-01-11,0.3839,0.4185,0.383,0.3994,2465269.3853445025
9,2022-01-12,0.3994,0.407,0.3888,0.4046,964294.0300684782
10,2022-01-13,0.4046,0.4664,0.3976,0.4101,4788623.7543306295
11,2022-01-14,0.4098,0.49,0.4042,0.4425,4981893.417441814
12,2022-01-15,0.4427,0.4428,0.4105,0.4156,1463806.847479589
13,2022-01-16,0.4156,0.4185,0.4006,0.4064,829681.2255950833
14,2022-01-17,0.4067,0.4116,0.3889,0.389,755387.0008601021
15,2022-01-18,0.3889,0.3949,0.3557,0.3697,1239811.1545995348
16,2022-01-19,0.3703,0.3739,0.364,0.3668,621652.900000001
17,2022-01-20,0.3673,0.528,0.362,0.4348,13931643.45499983
18,2022-01-21,0.434,1.299,0.4156,0.6191,146608761.6737714
19,2022-01-22,0.6057,0.61681,0.4103,0.44904,218022.6450060099
20,2022-01-23,0.4467,0.51076,0.4156,0.4324,18934285.19142394
21,2022-01-24,0.4325,0.4726,0.3518,0.4055,14865647.388455048
22,2022-01-25,0.4051,0.4072,0.3542,0.3634,10080033.423506863
23,2022-01-26,0.3643,0.41,0.35,0.3665,12560234.694433006
24,2022-01-27,0.367,0.37,0.3199,0.3304,9388674.832633458
25,2022-01-28,0.3304,0.3376,0.3,0.3349,7538409.198719608
26,2022-01-29,0.3349,0.3688,0.334,0.3475,8067361.9133714745
27,2022-01-30,0.3484,0.3582,0.3294,0.3353,4612419.512823247
28,2022-01-31,0.3344,0.3375,0.3145,0.328,3543864.0258815764
29,2022-02-01,0.3284,0.6036,0.3272,0.5609,95436721.52269918
30,2022-02-02,0.5613,0.68,0.3951,0.4386,55794338.07867721
31,2022-02-03,0.439,0.44,0.3497,0.373,17578551.424397226
32,2022-02-04,0.3728,0.4,0.3567,0.3903,12956759.967299957
33,2022-02-05,0.3903,0.3963,0.3642,0.3642,8513025.664776815
34,2022-02-06,0.365,0.395,0.3614,0.3734,8122835.8911376875
35,2022-02-07,0.3733,0.385,0.365,0.3713,11868120.864823308
36,2022-02-08,0.372,0.4734,0.3671,0.3819,37985063.782441996
37,2022-02-09,0.3818,0.4075,0.3733,0.3826,13148482.154241014
38,2022-02-10,0.3818,0.3875,0.3612,0.3711,6897228.122345007
39,2022-02-11,0.3725,0.3736,0.347,0.3523,5813779.781517585
40,2022-02-12,0.352,0.3602,0.3314,0.3384,4636418.3050617445
41,2022-02-13,0.3389,0.3517,0.3215,0.3283,5396181.188912424
42,2022-02-14,0.3283,0.3401,0.3217,0.3301,5149069.49943997
43,2022-02-15,0.3304,0.352,0.3299,0.3498,4393723.277355519
44,2022-02-16,0.3506,0.3616,0.335,0.3409,5713951.660652895
45,2022-02-17,0.3417,0.3604,0.3151,0.3183,6738722.757243615
46,2022-02-18,0.3178,0.3244,0.3061,0.3079,3758632.483840527
47,2022-02-19,0.3079,0.315,0.2961,0.2986,4322858.255683531
48,2022-02-20,0.2998,0.2999,0.2744,0.2814,4225541.408666081
49,2022-02-21,0.2818,0.3199,0.2666,0.2668,9748183.950542616
50,2022-02-22,0.2672,0.2683,0.2394,0.2593,10212153.864423849
51,2022-02-23,0.2592,0.3059,0.2551,0.2658,12558318.700253997
52,2022-02-24,0.2673,0.2679,0.216,0.2448,13537709.642167598
53,2022-02-25,0.2448,0.268,0.2401,0.253,7237134.45272526
54,2022-02-26,0.2527,0.2638,0.2504,0.2541,4886689.170199533
55,2022-02-27,0.2542,0.2557,0.2381,0.2407,5818018.388859692
56,2022-02-28,0.2408,0.2615,0.2364,0.2597,6357108.723039053
57,2022-03-01,0.2603,0.2658,0.2388,0.2507,6365504.3420100855
58,2022-03-02,0.2497,0.3,0.2425,0.2784,19413313.84072197
59,2022-03-03,0.2794,0.2945,0.26,0.2664,9215382.064015495
60,2022-03-04,0.2669,0.2702,0.2365,0.2418,8210604.953223213
61,2022-03-05,0.2421,0.2489,0.2352,0.2403,3823394.158563781
62,2022-03-06,0.2414,0.2422,0.2279,0.229,3150731.4565625596
63,2022-03-07,0.2279,0.2317,0.22,0.2209,3008197.9960365603
64,2022-03-08,0.2211,0.2271,0.2163,0.2251,2415224.4344584327
65,2022-03-09,0.2256,0.2417,0.225,0.2275,6353437.7635744205
66,2022-03-10,0.2272,0.2318,0.2134,0.217,2765778.46799402
67,2022-03-11,0.217,0.2205,0.2021,0.2043,3475919.694981481
68,2022-03-12,0.2048,0.2113,0.1988,0.2021,2931732.979800493
69,2022-03-13,0.2008,0.2239,0.1988,0.204,6070941.57769291
70,2022-03-14,0.2041,0.2084,0.199,0.2068,2948609.533671418
71,2022-03-15,0.206,0.215,0.195,0.2019,5552816.16493683
72,2022-03-16,0.2022,0.2141,0.2004,0.212,3802806.863994768
73,2022-03-17,0.2121,0.2162,0.2048,0.2078,3488790.685893461
74,2022-03-18,0.2069,0.22,0.2,0.2104,6680030.40888315
75,2022-03-19,0.2103,0.249,0.2064,0.22266,11248088.265258472
76,2022-03-20,0.2283,0.2379,0.209,0.2133,9130110.43248128
77,2022-03-21,0.214,0.2204,0.2085,0.2146,3377528.7203200203
78,2022-03-22,0.2139,0.28,0.2135,0.279,21304903.611819163
79,2022-03-23,0.2795,0.3228,0.2307,0.247,68071554.82284468
80,2022-03-24,0.2471,0.259,0.24,0.2425,14143410.759394009
81,2022-03-25,0.2425,0.28,0.2411,0.2488,13664182.734931638
82,2022-03-26,0.2491,0.2577,0.2459,0.2497,4249692.2273256825
83,2022-03-27,0.251,0.2617,0.2475,0.2578,5686868.507906599
84,2022-03-28,0.2578,0.2911,0.2511,0.2769,17392927.42146068
85,2022-03-29,0.2769,0.38,0.2689,0.3018,60733706.67500786
86,2022-03-30,0.3018,0.3287,0.2899,0.3078,13447535.400021547
87,2022-03-31,0.3078,0.3175,0.2769,0.2861,7002822.426889185
88,2022-04-01,0.2861,0.3155,0.2854,0.304,4835132.202247469
89,2022-04-02,0.303,0.3098,0.2975,0.299,2258058.6690898663
90,2022-04-03,0.2983,0.31,0.2902,0.3035,3649491.071448328
91,2022-04-04,0.3045,0.3069,0.285,0.2898,2877935.49667909
92,2022-04-05,0.2906,0.2975,0.2812,0.2845,2265128.562120163
93,2022-04-06,0.2853,0.2853,0.2464,0.249,4806641.59819906
94,2022-04-07,0.25,0.26184,0.2489,0.2591,1538484.3590834553
95,2022-04-08,0.2589,0.2843,0.2496,0.2509,4560651.672758704
96,2022-04-09,0.2503,0.2646,0.2462,0.2611,1507797.7852540815
97,2022-04-10,0.262,0.2663,0.2471,0.2476,1753325.4627492733
98,2022-04-11,0.24747,0.2563,0.2145,0.2295,5151309.430410465
99,2022-04-12,0.2301,0.257,0.2263,0.2334,7384712.130867806
100,2022-04-13,0.2334,0.2372,0.227,0.2318,1984349.044483695
101,2022-04-14,0.2313,0.2399,0.2161,0.2215,4340796.595130581
102,2022-04-15,0.2218,0.236,0.218,0.2269,5924706.372988269
103,2022-04-16,0.227,0.2431,0.2212,0.2298,5820233.4891737765
104,2022-04-17,0.2294,0.2322,0.22,0.2203,2060461.4544436464
105,2022-04-18,0.2201,0.2236,0.21,0.2194,3043161.3225355023
106,2022-04-19,0.2193,0.2323,0.2175,0.2246,2714421.8350903136
107,2022-04-20,0.2258,0.23,0.2184,0.2244,2503235.9517927477
108,2022-04-21,0.2245,0.2352,0.2189,0.2195,3379946.3388783126
109,2022-04-22,0.219,0.2214,0.2147,0.2175,1531347.1701245764
110,2022-04-23,0.2174,0.2218,0.2131,0.215,1598621.334862516
111,2022-04-24,0.215,0.2188,0.2065,0.208,1832230.9846672362
112,2022-04-25,0.2089,0.2148,0.2002,0.2065,2907256.4869419844
113,2022-04-26,0.2064,0.216,0.1989,0.1995,2657749.0016924613
114,2022-04-27,0.1999,0.2055,0.1957,0.1984,1811703.4523768744
115,2022-04-28,0.1983,0.2079,0.1963,0.1994,2548377.2336991215
116,2022-04-29,0.2001,0.2039,0.1837,0.1877,2236102.11158455
117,2022-04-30,0.1878,0.1884,0.1735,0.1739,2014675.0992313947
118,2022-05-01,0.1749,0.1819,0.1722,0.1733,2590657.5946053136
119,2022-05-02,0.1737,0.1974,0.1715,0.1835,6555248.200475957
120,2022-05-03,0.1842,0.1904,0.1715,0.1758,4100298.836098694
121,2022-05-04,0.1752,0.1865,0.1739,0.182,1610914.4477102074
122,2022-05-05,0.1815,0.1934,0.1638,0.1688,4059250.6776609034
123,2022-05-06,0.1695,0.1695,0.1617,0.1655,2416394.6202872903
124,2022-05-07,0.1657,0.2095,0.1585,0.188,14070545.730105286
125,2022-05-08,0.1881,0.1898,0.1553,0.1574,8861893.228884634
126,2022-05-09,0.1568,0.1598,0.123,0.1231,6340539.682812643
127,2022-05-10,0.1231,0.1391,0.1216,0.1262,6511533.555210373
128,2022-05-11,0.1266,0.1316,0.0841,0.0845,10956776.794610003
129,2022-05-12,0.0853,0.0973,0.0659,0.0862,8650458.184471278
130,2022-05-13,0.0859,0.1105,0.0855,0.0958,6372133.459235224
131,2022-05-14,0.0954,0.1021,0.0864,0.0915,4210557.079756769
132,2022-05-15,0.0915,0.1219,0.0891,0.1087,7735646.173659727
133,2022-05-16,0.1082,0.1195,0.0963,0.1158,7807018.094533762
134,2022-05-17,0.1157,0.144,0.1103,0.1292,11781519.437012153
135,2022-05-18,0.1292,0.1325,0.1081,0.1101,5479506.25472917
136,2022-05-19,0.1098,0.153,0.1077,0.1328,11257808.644552194
137,2022-05-20,0.1336,0.1409,0.1154,0.1233,7516353.624229073
138,2022-05-21,0.1231,0.1289,0.1155,0.1214,3753473.9999999986
139,2022-05-22,0.1219,0.1302,0.1191,0.1261,3794295.222291728
140,2022-05-23,0.1253,0.1295,0.1142,0.1174,4210220.045250996
141,2022-05-24,0.117,0.1246,0.1104,0.1238,4187722.4999999898
142,2022-05-25,0.1243,0.1265,0.1183,0.1187,1786182.3999999957
143,2022-05-26,0.1185,0.1207,0.1095,0.1103,2439267.0402347986
144,2022-05-27,0.1107,0.1127,0.0971,0.1005,4513714.803339983
145,2022-05-28,0.101,0.1149,0.101,0.1084,3970557.6440021
146,2022-05-29,0.1082,0.1108,0.104,0.1105,2344862.466670202
147,2022-05-30,0.1105,0.1251,0.1089,0.1169,5679360.541490954
148,2022-05-31,0.117,0.1271,0.1135,0.12,4089249.0599773335
149,2022-06-01,0.1202,0.1202,0.1071,0.1097,2588759.7235229868
150,2022-06-02,0.1092,0.12,0.1078,0.1133,1571501.3000000028
151,2022-06-03,0.114,0.1142,0.103,0.1046,2029840.3289772845
152,2022-06-04,0.1046,0.1096,0.1037,0.1084,1228676.74193049
153,2022-06-05,0.1082,0.1095,0.105,0.108,778334.2999999999
154,2022-06-06,0.1077,0.1139,0.1074,0.1103,1378971.2999999998
155,2022-06-07,0.1104,0.1255,0.1002,0.1133,3797310.0744412127
156,2022-06-08,0.1121,0.1168,0.1041,0.1085,4203790.982105
157,2022-06-09,0.1086,0.1415,0.1065,0.1194,10499019.379443642
158,2022-06-10,0.119,0.1341,0.112,0.1219,13503426.922557613
159,2022-06-11,0.1213,0.1259,0.1015,0.1077,6756667.834653249
160,2022-06-12,0.108,0.108,0.0948,0.0952,4046771.1999999965
161,2022-06-13,0.0947,0.0948,0.0787,0.0807,6091201.23344456
162,2022-06-14,0.0802,0.095,0.0754,0.0847,5019142.991916835
163,2022-06-15,0.0841,0.091,0.0758,0.0885,3205449.8283824306
164,2022-06-16,0.0887,0.0939,0.0827,0.0845,2238199.389948086
165,2022-06-17,0.0847,0.0877,0.0817,0.0842,2518816.1000000024
166,2022-06-18,0.0844,0.0858,0.0717,0.0758,3019842.3
167,2022-06-19,0.0755,0.089,0.0751,0.0841,3290478.6223520474
168,2022-06-20,0.0852,0.09,0.0787,0.0848,2533827.076789998
169,2022-06-21,0.0846,0.0943,0.0839,0.0876,3744197.8642112575
170,2022-06-22,0.0884,0.0922,0.0834,0.0866,2142202.9000000013
171,2022-06-23,0.0853,0.0883,0.0844,0.088,1618668.2368081373
