,date,open,high,low,close,volume
0,2021-01-13,40.0,40.0,1.0,5.1207,174639.20772285992
1,2021-01-14,5.1254,5.7774,4.9964,5.6384,552971.3792598108
2,2021-01-15,5.6868,6.8416,5.3543,6.4082,479168.4875711997
3,2021-01-16,6.4507,7.4798,6.1192,7.1562,352525.7641480805
4,2021-01-17,7.1404,7.7845,6.82,7.0601,468894.4105468502
5,2021-01-18,7.0647,7.7007,6.8457,7.4853,705935.6294050589
6,2021-01-19,7.4931,7.7163,6.2214,6.53,1315852.234796981
7,2021-01-20,6.5154,7.3185,6.0625,7.2978,2240099.9230428976
8,2021-01-21,7.3004,7.3423,5.4125,5.6074,853753.0321114497
9,2021-01-22,5.6243,6.9958,5.2255,6.7773,690128.9162141577
10,2021-01-23,6.7209,7.4383,6.5885,7.0367,357222.8802404792
11,2021-01-24,7.075,8.5107,6.997,8.343,418996.151687008
12,2021-01-25,8.3495,10.396,7.4317,7.6148,938968.1381463826
13,2021-01-26,7.5755,8.3992,6.8052,8.1636,623013.633660841
14,2021-01-27,8.18,8.18,6.9575,7.076,529902.9557355421
15,2021-01-28,7.0768,8.7383,6.9259,8.2275,468079.434221751
16,2021-01-29,8.26,9.02,7.7482,8.9832,514313.9992240728
17,2021-01-30,8.9783,10.381,8.3727,10.381,415988.88138517895
18,2021-01-31,10.416,11.111,9.6639,10.158,552266.5553688196
19,2021-02-01,10.136,13.09,9.7746,13.055,1191104.439186641
20,2021-02-02,13.069,13.844,12.219,12.647,509942.9064587386
21,2021-02-03,12.678,14.844,12.483,14.198,312183.0727178394
22,2021-02-04,14.244,16.57,13.99,15.427,548823.4377198817
23,2021-02-05,15.354,15.839,14.66,14.971,379650.60646832007
24,2021-02-06,14.948,15.369,13.267,13.788,660305.6638337119
25,2021-02-07,13.788,14.022,11.43,13.171,537047.6820109
26,2021-02-08,13.166,14.734,12.649,14.16,427584.50184558006
27,2021-02-09,14.187,15.004,13.569,14.318,301113.3821429702
28,2021-02-10,14.308,15.855,13.701,14.902,572962.4580125833
29,2021-02-11,14.862,17.566,13.97,16.824,593255.1681112633
30,2021-02-12,16.82,17.326,15.551,16.574,485465.9479465399
31,2021-02-13,16.58,17.254,15.673,16.022,288423.98168592976
32,2021-02-14,16.037,16.353,14.815,14.914,268158.1853187907
33,2021-02-15,14.956,18.36,12.743,17.265,984042.5097298236
34,2021-02-16,17.223,17.909,15.577,16.467,479893.58228814934
35,2021-02-17,16.49,17.116,14.635,16.169,579148.8721677287
36,2021-02-18,16.193,16.98,15.516,15.81,181500.74232829953
37,2021-02-19,15.81,15.898,13.94,14.528,494026.13169812
38,2021-02-20,14.54,19.74,14.437,18.322,1119164.999849412
39,2021-02-21,18.283,19.38,16.878,17.325,471126.4399567077
40,2021-02-22,17.342,17.359,13.5,16.605,948747.6957125274
41,2021-02-23,16.605,17.3,11.779,14.836,1749018.7295657669
42,2021-02-24,14.832,15.744,13.619,14.727,527719.7772009398
43,2021-02-25,14.733,17.116,14.231,14.36,693103.6909730467
44,2021-02-26,14.37,16.5,13.072,15.27,948487.6190799243
45,2021-02-27,15.328,17.592,15.303,16.239,553797.2717003387
46,2021-02-28,16.268,16.367,13.64,15.105,598140.5671672788
47,2021-03-01,15.106,18.853,15.012,18.85,532730.9786847485
48,2021-03-02,18.854,20.667,16.75,17.919,1476873.9417648367
49,2021-03-03,17.836,19.151,17.234,17.454,528343.9432792114
50,2021-03-04,17.434,18.936,17.01,17.323,692609.2264669589
51,2021-03-05,17.288,17.291,15.631,16.71,427072.7830286687
52,2021-03-06,16.675,17.052,15.792,16.618,194205.97095335004
53,2021-03-07,16.599,18.09,16.317,17.935,249117.35322558964
54,2021-03-08,17.983,18.18,16.719,17.265,207474.89206848992
55,2021-03-09,17.317,20.217,17.149,19.678,458233.2535265906
56,2021-03-10,19.706,19.84,17.68,17.953,262465.2132387995
