,date,open,high,low,close,volume
0,2020-10-13,0.32038,0.32038,0.32038,0.32038,10.0
1,2020-10-21,0.39,0.39,0.39,0.39,10.0
2,2020-10-24,0.28762,0.28762,0.28762,0.28762,1463.4822626999999
3,2020-11-01,0.23432,0.23432,0.23432,0.23432,17.048356
4,2020-11-09,0.66887,0.95,0.25202,0.36,132971.53511175
5,2020-11-10,0.30163,0.3588,0.30163,0.3588,642.275698
6,2020-11-11,0.35,0.38049,0.35,0.36,244.9
7,2020-11-15,0.303,0.303,0.2955,0.2955,10.308950500000002
8,2020-11-19,0.241,0.24295,0.241,0.24295,449.98
9,2020-11-20,0.28013,0.28013,0.28013,0.28013,701.47
10,2020-11-22,0.381,0.381,0.378,0.378,53.169059000000004
11,2020-11-23,0.28013,0.381,0.28013,0.381,373.0379044
12,2020-11-24,0.37789,0.37789,0.37789,0.37789,68.338474
13,2020-11-25,0.377,0.377,0.377,0.377,39.004526
14,2020-11-26,0.34,0.34,0.32,0.32,1009.6605643
15,2020-11-28,0.28317,0.28317,0.28317,0.28317,341.7576584
16,2020-11-29,0.38186,0.39999,0.30558,0.39999,6077.4361784699995
17,2020-12-01,0.29,0.43999,0.29,0.33646,81.9598043
18,2020-12-02,0.35042,0.35042,0.34413,0.34413,32.83892405
19,2020-12-07,0.33635,0.52,0.33414,0.33414,210.83888314
20,2020-12-09,0.33414,0.34675,0.32,0.32,2000.0000003399998
21,2020-12-10,0.39888,0.47506,0.248,0.252,1419.75693634
22,2020-12-11,0.28432,0.37674,0.28432,0.33,3415.52365586
23,2020-12-13,0.31952,0.31952,0.31952,0.31952,4.96757
24,2020-12-15,0.34044,0.34044,0.34044,0.34044,4.96757
25,2020-12-17,0.47,0.47904,0.34247,0.376,172.6648111
26,2020-12-18,0.34029,0.3901,0.34029,0.3901,55.77646105
27,2020-12-19,0.42475,0.44555,0.29,0.38,28417.610193150005
28,2020-12-20,0.435,0.435,0.31,0.31,405.107833
29,2020-12-21,0.43,0.49,0.42,0.42,7175.544684750001
30,2020-12-22,0.3113,0.32,0.29,0.31,4933.574512
31,2020-12-23,0.30243,0.31,0.30243,0.309,4012.98416657
32,2020-12-24,0.309,0.33516,0.264,0.28031,5826.08290896
33,2020-12-25,0.28913,0.28913,0.28913,0.28913,388.10295
34,2020-12-27,0.28999,0.28999,0.264,0.27717,333.31732788
35,2020-12-28,0.28072,0.30145,0.28072,0.30145,274.20306597
36,2020-12-29,0.28072,0.28184,0.28072,0.28184,4452.15505655
37,2020-12-30,0.29058,0.29058,0.29058,0.29058,15.6776964
38,2020-12-31,0.29387,0.29387,0.29387,0.29387,15.6776964
39,2021-01-02,0.28212,0.30175,0.28212,0.30175,17.3416
40,2021-01-04,0.376,0.3887,0.37327,0.3884,5134.08019924
41,2021-01-05,0.385,0.38976,0.2824,0.38976,1114.40340987
42,2021-01-06,0.38602,0.46646,0.38602,0.40776,3582.1653017600006
43,2021-01-07,0.41154,0.43887,0.26049,0.2733,6421.040994099999
44,2021-01-09,0.43517,0.43517,0.28915,0.41992,1349.4153977300002
45,2021-01-10,0.43139,0.4342,0.42657,0.4342,473.07003846
46,2021-01-11,0.3777,0.3888,0.31131,0.36268,1384.5181479999999
47,2021-01-12,0.35869,0.35869,0.35869,0.35869,724.05
48,2021-01-14,0.36158,0.38887,0.36158,0.37609,102.9059774
49,2021-01-15,0.3918,0.39738,0.3918,0.39738,33.484
50,2021-01-16,0.32484,0.47016,0.31483,0.47016,2862.83379916
51,2021-01-17,0.46989,0.46989,0.335,0.335,36.988
52,2021-01-18,0.47,0.47984,0.34045,0.40985,8396.07164484
53,2021-01-19,0.34594,0.47,0.34594,0.47,153.44951584
54,2021-01-20,0.46857,0.47395,0.46857,0.47,88.0
55,2021-01-21,0.367,0.367,0.367,0.367,9.98
56,2021-01-24,0.38868,0.38868,0.38868,0.38868,4.99
57,2021-01-25,0.4468,0.4468,0.32387,0.32387,675.707982
58,2021-01-27,0.33195,0.33195,0.33195,0.33195,99.6
59,2021-01-29,0.34013,0.34013,0.34013,0.34013,255.077869
60,2021-01-30,0.35192,0.35192,0.35192,0.35192,255.077869
61,2021-01-31,0.35194,0.35345,0.35193,0.352,5009.21282782
62,2021-02-01,0.352,0.42351,0.31868,0.42351,590.26512653
63,2021-02-02,0.33015,0.42351,0.33015,0.42351,170.23511406
64,2021-02-03,0.3334,0.3334,0.3334,0.3334,5.55556
65,2021-02-04,0.33499,0.335,0.33499,0.335,441.00291868
66,2021-02-06,0.33882,0.463,0.33882,0.463,3011.450721
67,2021-02-07,0.34639,0.4487,0.34276,0.41241,2073.8920603999995
68,2021-02-08,0.39497,0.48976,0.31823,0.35453,6443.787469520002
69,2021-02-09,0.39497,0.46,0.33,0.33892,8605.838346330003
70,2021-02-10,0.37654,0.37654,0.33499,0.37654,2962.39735931
71,2021-02-11,0.31624,0.37654,0.31624,0.37654,1745.501013
72,2021-02-12,0.38,0.3909,0.32145,0.33,2571.386713
73,2021-02-13,0.33866,0.38816,0.33866,0.38296,38.38027684
74,2021-02-14,0.3585,0.3585,0.3585,0.3585,207.136097
75,2021-02-15,0.3585,0.38999,0.3585,0.3585,359.24122800000004
76,2021-02-16,0.34,0.38111,0.34,0.38111,417.079565
77,2021-02-18,0.34275,0.3593,0.34275,0.3593,398.4
78,2021-02-19,0.36,0.39,0.34275,0.35192,6650.364584960002
79,2021-02-20,0.35671,0.3909,0.35671,0.3909,484.64034534
80,2021-02-21,0.3909,0.3909,0.33333,0.34,1609.1100000000001
81,2021-02-22,0.33101,0.34,0.33101,0.34,938.903688
82,2021-02-23,0.38152,0.38152,0.26876,0.27094,8652.93921611
83,2021-02-24,0.29127,0.33735,0.27313,0.335,5425.536789709999
84,2021-02-25,0.32,0.33925,0.27527,0.32855,66.373428
85,2021-02-26,0.26201,0.27777,0.257,0.257,664.48827134
86,2021-02-27,0.24,0.328,0.23278,0.32582,281.20525467
87,2021-02-28,0.3,0.3,0.218,0.223,10896.35892372
88,2021-03-01,0.28304,0.28359,0.2301,0.2301,449.1700568399999
89,2021-03-02,0.28356,0.35,0.24107,0.24107,50110.10264526
90,2021-03-03,0.2671,0.387,0.26,0.28,231564.4534827201
91,2021-03-05,0.27,0.27,0.261,0.261,214.397719
92,2021-03-06,0.30657,0.30657,0.26424,0.26923,5959.35016468
93,2021-03-07,0.27092,0.29959,0.26306,0.29959,6715.460872760001
94,2021-03-08,0.26636,0.26636,0.26636,0.26636,71.856
95,2021-03-09,0.29405,0.32,0.29405,0.30654,7320.5382826099985
96,2021-03-10,0.30863,0.335,0.30863,0.335,1639.83570886
97,2021-03-11,0.27506,0.335,0.27506,0.31077,4663.219361839999
98,2021-03-12,0.31329,0.31329,0.31329,0.31329,2000.0
99,2021-03-13,0.31491,0.35452,0.31491,0.35452,13724.65448137
100,2021-03-14,0.36,0.3909,0.261,0.33,11511.764961980001
101,2021-03-15,0.34767,0.34767,0.31272,0.31272,617.13601619
102,2021-03-16,0.34456,0.36,0.31557,0.36,62.893654
103,2021-03-17,0.3521,0.3521,0.35,0.35,1184.815905
104,2021-03-18,0.32151,0.35088,0.28,0.28901,2506.6415898200003
105,2021-03-19,0.28351,0.325,0.265,0.3,19031.397545130003
106,2021-03-20,0.31112,0.32638,0.31,0.32447,4121.01381649
107,2021-03-21,0.31111,0.3399,0.26703,0.30547,2567.1208533900003
108,2021-03-22,0.27439,0.34,0.26709,0.31298,3038.9498159099994
109,2021-03-23,0.2997,0.2997,0.27219,0.27219,1737.64084499
110,2021-03-24,0.27439,0.27694,0.27439,0.27505,467.48766795
111,2021-03-25,0.26705,0.26709,0.25904,0.25904,3737.04184006
112,2021-03-26,0.25904,0.28889,0.23012,0.28889,3086.4661194999994
